date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-08-22,0.1818,,1,0.1818,0.0,0,0,0,0,0,0,0,0,118.0,ACLS
2020-11-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,ACLS
2021-02-06,0.0682,,1,0.0682,0.0,0,0,0,0,0,0,0,0,80.0,ACLS
2021-03-26,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,78.0,ACLS
2021-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,256.0,ACLS
2021-05-06,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,122.0,ACLS
2021-06-19,0.4429,,1,0.4429,0.0,0,0,0,0,0,0,0,0,168.0,ACLS
2021-07-21,0.3,,1,0.3,0.2,0,0,0,0,0,0,0,0,129.0,ACLS
2021-07-28,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,242.0,ACLS
2021-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,ACLS
2021-08-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,122.0,ACLS
2021-08-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,201.0,ACLS
2021-08-10,0.22,,1,0.22,0.0,0,1,0,0,0,1,0,0,219.0,ACLS
2021-08-12,0.1652,,1,0.1652,0.0,0,1,0,0,1,0,0,0,161.0,ACLS
2021-08-24,0.15,,1,0.15,0.0,1,0,0,0,0,0,0,0,205.0,ACLS
2021-08-29,0.2,0.0,2,0.2,0.0,0,0,0,0,0,0,0,0,183.5,ACLS
2021-09-02,0.1591,,1,0.1591,0.0,1,1,0,0,0,0,0,0,187.0,ACLS
2021-09-06,-0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,153.0,ACLS
2021-09-10,0.26,,1,0.26,0.0,0,0,0,0,0,0,0,0,283.0,ACLS
2021-09-14,0.0833,,1,0.0833,0.0,1,1,0,0,0,0,0,0,236.0,ACLS
2021-09-21,0.0571,,1,0.0571,0.0,0,1,0,0,0,0,0,0,169.0,ACLS
2021-10-17,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,207.0,ACLS
2021-10-27,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,254.0,ACLS
2021-11-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,256.0,ACLS
2021-11-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,127.0,ACLS
2021-11-08,0.38,,1,0.38,0.0,1,0,0,0,0,0,0,0,236.0,ACLS
2021-11-09,0.5,,1,0.5,0.0,0,0,1,0,0,0,0,0,183.0,ACLS
2021-11-12,0.1089,,1,0.1089,0.0,0,0,0,0,0,0,0,0,170.0,ACLS
2021-11-13,0.1121,,1,0.1121,0.0,0,0,0,0,0,0,0,0,165.0,ACLS
2021-11-18,-0.0133,,1,0.0133,0.0,0,1,0,0,0,1,0,0,246.0,ACLS
2021-11-19,0.15,,1,0.15,0.0,1,1,0,0,0,0,0,0,211.0,ACLS
2021-11-22,0.1199,0.1872,2,0.1324,0.0,0,1,1,0,0,0,0,0,200.5,ACLS
2021-11-30,0.2458,,1,0.2458,0.0,1,0,0,0,0,0,0,0,202.0,ACLS
2021-12-02,0.015,,1,0.015,0.0,0,0,0,0,0,0,0,0,168.0,ACLS
2021-12-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,186.0,ACLS
2021-12-08,0.0831,0.1153,3,0.0915,0.0,0,2,1,0,0,0,0,0,172.6667,ACLS
2021-12-16,0.25,,1,0.25,0.0,0,0,0,0,1,0,0,0,169.0,ACLS
2021-12-21,-0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,199.0,ACLS
2021-12-22,0.2833,0.4007,2,0.2833,0.0,0,0,0,0,0,0,0,0,257.0,ACLS
2022-01-04,0.2302,0.2334,3,0.2302,0.0,0,0,0,0,0,0,0,0,188.0,ACLS
