title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
12 Health Care Stocks Moving In Friday's Pre-Market Session,"Gainers

Windtree Therapeutics (NASDAQ:WINT) stock moved upwards by 29.79% to $2.57 during Friday's pre-market session. The market value of their outstanding shares is at $67.4 million.
Protara Therapeutics (NASDAQ:TARA) stock increased by 11.23% to $10.3. The market value of their outstanding shares is at $115.6 million.
Progenity (NASDAQ:PROG) stock increased by 9.95% to $2.32. The company's market cap stands at $140.2 million.
Calyxt (NASDAQ:CLXT) shares ...Full story available on Benzinga.com",2021-06-04 12:11:02+00:00,https://www.benzinga.com/pre-market-outlook/21/06/21427043/12-health-care-stocks-moving-in-fridays-pre-market-session,Benzinga,0.4666666666666666,0.7166666666666667,positive,0.4666666666666666,False,False,False,False,False,False,False,False,0.0,562,"['TTNP', 'NVIV', 'ADMP', 'WINT', 'CWBR', 'CLXT', 'ADIL', 'MITO', 'TARA', 'PROG', 'PPBT']",ADIL,2021-06-04
"The Daily Biotech Pulse: Roche Gets Authorization For COVID-19 Treatment, Nods For Sanofi-Regeneron In Europe, Osmotica Divestment, 2 IPOs","Here's a roundup of top developments in the biotech space over the last 24 hours.
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs June 24)

AngioDynamics, Inc. (NASDAQ: ANGO)
Apellis Pharmaceuticals, Inc. (NASDAQ: APLS)
Atossa Therapeutics, Inc. (NASDAQ: ATOS)
Axonics, Inc. (NASDAQ: AXNX)
Catalyst Pharmaceuticals, Inc. (NASDAQ: CPRX)
Celcuity Inc. (NASDAQ: CELC)
Cortexyme, Inc. (NASDAQ: CRTX)
Dicerna Pharmaceuticals, Inc. (NASDAQ: DRNA)
Edwards Lifesciences Corporation  (NYSE: EW)
Eli Lilly and Company (NYSE: LLY) (announced  intention to file regulatory application for Alzheimer's disease drug later this year)
Intuitive Surgical, Inc. (NASDAQ: ISRG)
Lantheus Holdings, Inc. (NASDAQ: LNTH)
NovoCure Limited (NASDAQ: NVCR)
OrthoPediatrics Corp. (NASDAQ: KIDS)
ResMed Inc.  (NYSE: RMD)
ShockWave Medical, Inc. (NASDAQ: SWAV)
Vericel Corporation (NASDAQ: VCEL)
West Pharmaceutical Services, Inc.  (NYSE: WST)
Zoetis Inc. (NYSE: ZTS)

Down In The Dumps
(Biotech Stocks Hitting 52-week Lows June 24)

4D Molecular Therapeutics, Inc. (NASDAQ: FDMT) (reacted  to Roche Holding AG (OTC: RHHBY) terminating a licensing deal)
Achilles Therapeutics plc (NASDAQ: ACHL)
Galapagos NV (NASDAQ: GLPG)
Impel NeuroPharma, Inc. (NASDAQ: IMPL)
Medicenna Therapeutics Corp. (NASDAQ: MDNA)
Terns Pharmaceuticals, Inc. (NASDAQ: TERN)
VectivBio Holding AG (NASDAQ: VECT) (announced receipt of orphan drug designation for apraglutide for the prevention of acute graft-versus-host disease)

Stocks In Focus
Mirati's KRAS Inhibitor Adagrasib Gets Breakthrough Designation For Lung Cancer Treatment
Mirati Therapeutics, Inc. (NASDAQ: MRTX) said the FDA has granted breakthrough therapy designation to adagrasib for the potential treatment of patients with non-small cell lung cancer, who harbor the KRASG12C mutation following prior systemic therapy.
The stock was up 3.72% at $168.50 in premarket trading.
Roche's Rheumatoid Arthritis Drug Authorized For Emergency Use In Hospitalized COVID Patients
Roche Holding AG (OTC: RHHBY) said the FDA has issued an emergency use authorization  for intravenous Actemra for the treatment of COVID-19 in hospitalized adults and pediatric patients, 2 years of age and older, who are receiving systemic corticosteroids and require supplemental oxygen, non-invasive or invasive mechanical ventilation, or extracorporeal membrane oxygenation.
Related Link:  Attention Biotech Investors: Mark Your Calendar For June PDUFA Dates 
Bristol-Myers Squibb Gets EMA Committee Backing For Cell Therapy For Multiple Myeloma
Bristol-Myers Squibb Company (NYSE: BMY) said the Committee for Medicinal Products for Human ...",2021-06-25 11:32:32+00:00,https://www.benzinga.com/general/biotech/21/06/21720518/the-daily-biotech-pulse-roche-gets-authorization-for-covid-19-treatment-nods-for-sanofi-regeneron,Benzinga,0.06931216931216931,0.2554497354497355,neutral,0.06931216931216931,False,False,True,False,True,False,False,False,0.0,2774,"['RGLS', 'MDNA', 'IVA', 'ATOS', 'OSMT', 'ANGO', 'ZTS', 'AXNX', 'CPRX', 'ABBV', 'VIR', 'CRTX', 'MRTX', 'SWAV', 'IBB', 'DRNA', 'FDMT', 'ISRG', 'TBPH', 'TERN', 'REGN', 'LNTH', 'ACHL', 'BMY', 'VCEL', 'IMPL', 'EW', 'ASMB', 'LLY', 'PIRS', 'RMD', 'GLPG', 'SNY', 'NVCR', 'WST', 'CELC', 'APLS', 'KIDS', 'ADIL', 'VECT']",ADIL,2021-06-25
Adial Pharmaceuticals Reports CEO Op-Ed Featured on Nasdaq.com,"CHARLOTTESVILLE, Va., July  29, 2021  (GLOBE NEWSWIRE) -- Adial Pharmaceuticals, Inc. (NASDAQ: ADIL; ADILW), a clinical-stage biopharmaceutical company focused on the development of treatments for addictions, today announced that an op-ed from Adial’s CEO, William Stilley, has been featured on Nasdaq.com.",2021-07-29 13:30:00+00:00,https://www.globenewswire.com/news-release/2021/07/29/2271437/26135/en/Adial-Pharmaceuticals-Reports-CEO-Op-Ed-Featured-on-Nasdaq-com.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,False,True,False,0.0,370,"['ADIL', 'ADILW']",ADIL,2021-07-29
Adial Pharmaceuticals Announces Closing of $5 Million Private Placement Priced at a Premium to Market,Financing fully funds ONWARD™ Phase 3 trial until data read-out Financing fully funds ONWARD™ Phase 3 trial until data read-out,2021-08-05 14:12:00+00:00,https://www.globenewswire.com/news-release/2021/08/05/2275780/26135/en/Adial-Pharmaceuticals-Announces-Closing-of-5-Million-Private-Placement-Priced-at-a-Premium-to-Market.html,GlobeNewswire Inc.,0.0,0.375,neutral,0.0,False,False,False,False,False,False,False,False,0.0,230,"['ADIL', 'ADILW']",ADIL,2021-08-05
Adial Pharmaceuticals Awarded U.S. and International Patents for the Treatment Of Alcohol and Opioid Use Disorders Using AD04,"CHARLOTTESVILLE, Va., Aug.  10, 2021  (GLOBE NEWSWIRE) -- Adial Pharmaceuticals, Inc. (NASDAQ: ADIL; ADILW) (“Adial” or the “Company”), a clinical-stage biopharmaceutical company focused on developing therapies for the treatment and prevention of addiction and related disorders, today provided an update on recently issued patents for the use of Adial’s lead asset, AD04, for the treatment of both Alcohol Use Disorder (AUD) and Opioid Use Disorder (OUD). AD04 is currently being evaluated in the Company’s ONWARD trial, a Phase 3 clinical study to evaluate the efficacy, safety and tolerability of AD04 in patients with AUD, which is being conducted in seven countries.",2021-08-10 13:30:00+00:00,https://www.globenewswire.com/news-release/2021/08/10/2278082/26135/en/Adial-Pharmaceuticals-Awarded-U-S-and-International-Patents-for-the-Treatment-Of-Alcohol-and-Opioid-Use-Disorders-Using-AD04.html,GlobeNewswire Inc.,0.0,0.2625,neutral,0.0,False,False,False,False,False,False,False,False,0.0,798,"['ADIL', 'ADILW']",ADIL,2021-08-10
Adial Pharmaceuticals Schedules Conference Call to Provide Clinical Update and Discuss Positive Business Developments,"CHARLOTTESVILLE, Va., Aug.  12, 2021  (GLOBE NEWSWIRE) -- Adial Pharmaceuticals, Inc. (NASDAQ: ADIL; ADILW) (“Adial” or the “Company”), a clinical-stage biopharmaceutical company focused on developing therapies for the treatment and prevention of addiction and related disorders, today announced it will host a conference call at 11:00 A.M. Eastern Time on Friday, August 20, 2021 to provide a clinical update and discuss the latest business developments.",2021-08-12 18:50:00+00:00,https://www.globenewswire.com/news-release/2021/08/12/2280043/26135/en/Adial-Pharmaceuticals-Schedules-Conference-Call-to-Provide-Clinical-Update-and-Discuss-Positive-Business-Developments.html,GlobeNewswire Inc.,0.24242424242424243,0.6151515151515151,positive,0.24242424242424243,False,False,False,False,False,False,False,False,0.0,574,"['ADIL', 'ADILW']",ADIL,2021-08-12
Adial Pharmaceuticals to Host Conference Call Today at 11AM Eastern to Provide Clinical Update and Discuss Positive Business Developments,"CHARLOTTESVILLE, Va., Aug.  20, 2021  (GLOBE NEWSWIRE) -- Adial Pharmaceuticals, Inc. (NASDAQ: ADIL; ADILW) (“Adial” or the “Company”), a clinical-stage biopharmaceutical company focused on developing therapies for the treatment and prevention of addiction and related disorders, will host a conference call at 11:00 A.M. Eastern Time today, August 20, 2021 to provide a clinical update and discuss the latest business developments.",2021-08-20 13:40:00+00:00,https://www.globenewswire.com/news-release/2021/08/20/2284154/26135/en/Adial-Pharmaceuticals-to-Host-Conference-Call-Today-at-11AM-Eastern-to-Provide-Clinical-Update-and-Discuss-Positive-Business-Developments.html,GlobeNewswire Inc.,0.24242424242424243,0.6151515151515151,positive,0.24242424242424243,False,False,False,False,False,False,False,False,0.0,571,"['ADIL', 'ADILW']",ADIL,2021-08-20
Adial Pharmaceuticals Reaches Full Enrollment Target for ONWARD™ Phase 3 Trial of AD04 for the Treatment of Patients With Alcohol Use Disorder,On track for trial completion in the first quarter of 2022,2021-08-20 14:45:00+00:00,https://www.globenewswire.com/news-release/2021/08/20/2284187/26135/en/Adial-Pharmaceuticals-Reaches-Full-Enrollment-Target-for-ONWARD-Phase-3-Trial-of-AD04-for-the-Treatment-of-Patients-With-Alcohol-Use-Disorder.html,GlobeNewswire Inc.,0.3,0.44166666666666665,positive,0.3,False,False,False,False,False,False,False,False,0.0,202,"['ADIL', 'ADILW']",ADIL,2021-08-20
Adial Pharmaceuticals Exceeds Enrollment Target in ONWARD™ Phase 3 Trial of AD04 for the Treatment of Patients with Alcohol Use Disorder,ONWARD trial enrollment closed; trial completion expected in Q1 2022 ONWARD trial enrollment closed; trial completion expected in Q1 2022,2021-08-31 13:30:00+00:00,https://www.globenewswire.com/news-release/2021/08/31/2289315/26135/en/Adial-Pharmaceuticals-Exceeds-Enrollment-Target-in-ONWARD-Phase-3-Trial-of-AD04-for-the-Treatment-of-Patients-with-Alcohol-Use-Disorder.html,GlobeNewswire Inc.,-0.1,0.25,neutral,0.1,False,False,False,False,False,False,False,False,0.0,275,"['ADIL', 'ADILW']",ADIL,2021-08-31
Adial Pharmaceuticals to Present at the H.C. Wainwright 23rd Annual Global Investment Conference,"CHARLOTTESVILLE, Va., Sept.  07, 2021  (GLOBE NEWSWIRE) -- Adial Pharmaceuticals, Inc. (NASDAQ: ADIL; ADILW) (“Adial” or the “Company”), a clinical-stage biopharmaceutical company focused on developing therapies for the treatment and prevention of addiction and related disorders, today announced that William Stilley, Chief Executive Officer of Adial Pharmaceuticals, will be presenting at the H.C. Wainwright 23rd Annual Global Investment Conference being held virtually between September 13-15, 2021.",2021-09-07 13:00:00+00:00,https://www.globenewswire.com/news-release/2021/09/07/2292553/26135/en/Adial-Pharmaceuticals-to-Present-at-the-H-C-Wainwright-23rd-Annual-Global-Investment-Conference.html,GlobeNewswire Inc.,0.0,0.1,neutral,0.0,False,False,False,False,False,False,False,False,0.0,601,"['ADIL', 'ADILW']",ADIL,2021-09-07
