date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-29,0.2431,0.1253,9,0.2431,0.0,4,1,5,0,0,0,0,0,1222.3333,ADVM
2021-04-30,0.1562,,1,0.1562,0.0,1,1,0,0,0,0,0,0,3130.0,ADVM
2021-05-01,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,194.0,ADVM
2021-05-03,0.3988,,1,0.3988,0.0,0,0,0,0,0,0,0,0,1304.0,ADVM
2021-05-06,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,275.0,ADVM
2021-05-12,0.0821,,1,0.0821,0.2,0,1,0,0,0,0,0,0,978.0,ADVM
2021-05-17,-0.0833,0.1179,2,0.0833,0.0,1,0,0,0,0,0,0,0,183.0,ADVM
2021-05-18,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,182.0,ADVM
2021-05-19,0.0526,,1,0.0526,0.0,0,0,0,0,0,0,0,0,955.0,ADVM
2021-05-24,0.0938,,1,0.0938,0.0,0,0,0,0,0,0,0,0,635.0,ADVM
2021-06-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,135.0,ADVM
2021-06-28,-0.3167,,1,0.3167,0.0,1,1,0,0,0,0,0,0,233.0,ADVM
2021-07-08,0.0703,,1,0.0703,0.0,0,0,0,0,1,0,0,0,2764.0,ADVM
2021-07-15,-0.0136,,1,0.0136,0.0,0,1,1,0,1,0,0,0,3463.0,ADVM
2021-07-16,0.0025,,1,0.0025,0.0,0,0,0,0,0,0,0,0,2693.0,ADVM
2021-07-20,0.0378,,1,0.0378,0.0,0,0,1,0,0,0,0,0,3723.0,ADVM
2021-07-22,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,363.0,ADVM
2021-07-23,0.1229,,1,0.1229,0.0,0,0,1,0,1,0,0,0,3014.0,ADVM
2021-07-29,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,182.0,ADVM
2021-08-03,0.0627,0.0546,3,0.0627,0.0,3,1,3,1,0,0,0,0,1192.0,ADVM
2021-08-05,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,208.0,ADVM
2021-08-06,0.2273,,1,0.2273,0.0,1,0,0,0,0,0,0,0,226.0,ADVM
2021-08-17,0.0844,,1,0.0844,0.0,0,0,1,0,1,0,0,0,4322.0,ADVM
2021-08-18,0.1206,,1,0.1206,0.0,0,0,1,0,1,0,0,0,3635.0,ADVM
2021-08-20,0.0574,,1,0.0574,0.0,0,0,0,0,0,0,1,0,3343.0,ADVM
2021-10-01,0.0354,0.0609,2,0.0431,0.0,0,0,1,0,0,0,0,0,1406.0,ADVM
2021-10-03,0.0212,0.0477,2,0.0337,0.0,0,2,1,0,0,1,0,0,1307.0,ADVM
2021-10-07,-0.0028,,1,0.0028,0.0,0,0,0,0,0,0,1,0,4011.0,ADVM
2021-10-08,0.0433,,1,0.0433,0.0,1,1,1,0,0,1,0,0,4155.0,ADVM
2021-10-09,-0.04,,1,0.04,0.0,0,0,0,0,0,0,0,0,300.0,ADVM
