date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-06,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,238.0,AEYE
2021-05-12,0.5333,,1,0.5333,0.0,1,0,0,0,0,0,0,0,218.0,AEYE
2021-05-13,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,242.0,AEYE
2021-05-14,0.0286,0.0404,2,0.0286,0.0,2,0,0,0,0,0,0,0,660.5,AEYE
2021-05-17,0.251,,1,0.251,0.0,1,0,0,0,1,0,0,0,2613.0,AEYE
2021-06-01,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,140.0,AEYE
2021-06-07,0.0332,,1,0.0332,0.0,0,1,1,0,0,0,0,0,3814.0,AEYE
2021-06-10,-0.125,,1,0.125,0.2,0,0,0,0,0,0,0,0,199.0,AEYE
2021-08-05,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,238.0,AEYE
2021-08-11,0.0875,0.1237,2,0.0875,0.0,2,0,0,0,0,0,0,0,487.5,AEYE
2021-08-12,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,110.0,AEYE
2021-11-04,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,260.0,AEYE
2022-02-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,245.0,AEYE
2022-03-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,244.0,AEYE
2022-04-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,224.0,AEYE
2022-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,242.0,AEYE
2022-06-20,0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,283.0,AEYE
2022-06-27,0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,293.0,AEYE
2022-08-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,241.0,AEYE
2022-08-18,-0.0125,,1,0.0125,0.0,0,0,1,0,0,0,0,0,191.0,AEYE
2022-08-19,0.26,,1,0.26,0.0,0,1,0,0,0,0,0,0,173.0,AEYE
2022-08-29,-0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,205.0,AEYE
2022-09-01,0.0,0.0,2,0.0,0.0,2,0,2,0,0,0,0,0,189.0,AEYE
2022-09-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,220.0,AEYE
2022-10-21,-0.2875,,1,0.2875,0.0,1,1,0,0,0,0,0,0,210.0,AEYE
2022-11-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,AEYE
2022-11-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,245.0,AEYE
2023-03-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,244.0,AEYE
2023-03-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,247.0,AEYE
2023-03-14,0.0438,0.0795,2,0.0562,0.0,0,0,1,1,1,0,0,0,182.0,AEYE
