date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-08-19,0.0909,,1,0.0909,0.0,0,0,0,0,0,0,1,0,883.0,AGRI
2021-09-07,0.0833,,1,0.0833,0.0,0,0,0,0,0,0,0,0,592.0,AGRI
2021-09-09,0.142,,1,0.142,0.0,0,0,0,0,1,0,0,0,1050.0,AGRI
2021-09-10,0.0394,,1,0.0394,0.0,0,0,0,0,0,0,1,0,905.0,AGRI
2021-09-15,0.085,,1,0.085,0.0,0,1,0,0,1,0,0,0,356.0,AGRI
2021-10-11,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,1,0,488.0,AGRI
2021-10-27,-0.0333,,1,0.0333,0.0,1,1,1,0,1,0,0,0,771.0,AGRI
2021-11-10,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,1,0,587.0,AGRI
2021-11-16,0.2814,,1,0.2814,0.0,0,1,0,0,0,0,0,0,256.0,AGRI
2021-11-24,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,1,0,493.0,AGRI
2021-12-02,-0.005,,1,0.005,0.0,0,0,0,0,1,0,0,0,389.0,AGRI
2022-02-10,0.125,,1,0.125,0.0,0,0,0,0,1,0,0,0,259.0,AGRI
2022-02-15,0.0766,0.1844,3,0.1433,0.0,2,3,0,0,1,0,1,0,543.0,AGRI
2022-02-17,0.1071,,1,0.1071,0.0,0,1,0,0,0,0,0,0,258.0,AGRI
2022-02-22,0.126,,1,0.126,0.0,0,0,1,0,0,0,0,0,372.0,AGRI
2022-02-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,550.0,AGRI
2022-03-08,0.0095,,1,0.0095,0.0,0,1,0,0,0,1,0,0,1265.0,AGRI
2022-03-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,497.0,AGRI
2022-03-10,0.1031,0.1087,3,0.1031,0.0,0,3,0,0,0,1,1,0,611.6667,AGRI
2022-03-14,0.3625,0.0766,2,0.3625,0.0,0,2,0,0,0,0,0,0,282.5,AGRI
2022-03-15,0.4167,,1,0.4167,0.0,0,1,0,0,0,0,0,0,287.0,AGRI
2022-03-22,0.6339,,1,0.6339,0.0,0,1,0,0,0,0,0,0,282.0,AGRI
2022-03-24,0.2031,,1,0.2031,0.0,0,1,0,0,0,0,0,0,262.0,AGRI
2022-03-28,0.0788,,1,0.0788,0.0,0,0,0,0,0,0,0,0,575.0,AGRI
