date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-08-29,0.1597,,1,0.1597,0.0,1,1,0,0,1,0,1,0,2448.0,AIMD
2022-09-07,0.1833,,1,0.1833,0.0,1,1,1,0,0,0,0,0,3341.0,AIMD
2022-09-16,0.15,,1,0.15,0.0,0,1,0,0,1,0,0,0,1746.0,AIMD
2022-09-19,0.1709,,1,0.1709,0.0,1,1,0,0,0,0,0,0,2789.0,AIMD
2022-09-30,0.2216,0.0646,3,0.2216,0.0,1,1,3,0,0,1,0,0,1661.3333,AIMD
2022-10-01,0.1742,,1,0.1742,0.0,0,1,0,0,0,0,0,0,246.0,AIMD
2022-10-03,0.2679,,1,0.2679,0.0,0,1,0,0,0,0,0,0,250.0,AIMD
2022-11-29,0.2987,,1,0.2987,0.0,1,1,0,0,0,1,1,0,1757.0,AIMD
2022-12-01,0.1404,,1,0.1404,0.0,1,1,1,0,0,0,0,0,2349.0,AIMD
2023-01-24,0.2871,,1,0.2871,0.0,0,1,1,0,1,0,0,0,1511.0,AIMD
2023-03-14,0.1626,0.1317,4,0.1729,0.0,1,2,3,1,0,0,1,0,1149.0,AIMD
2023-03-15,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,242.0,AIMD
2023-07-14,0.1696,0.0621,3,0.1696,0.0,3,3,3,0,1,0,0,0,1858.0,AIMD
2023-07-16,0.3839,,1,0.3839,0.0,0,1,0,0,0,0,0,0,251.0,AIMD
2023-07-17,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,263.0,AIMD
2023-09-21,0.0068,,1,0.0068,0.0,0,1,0,0,0,0,0,0,1665.0,AIMD
2023-12-18,0.1488,0.0742,2,0.1488,0.0,1,1,2,0,0,0,1,0,1594.0,AIMD
2024-01-05,0.2328,0.0948,3,0.2328,0.0,0,3,2,0,2,0,0,0,1551.6667,AIMD
2024-01-08,0.1398,,1,0.1398,0.0,0,1,1,0,0,0,0,0,1106.0,AIMD
2024-01-09,0.2225,,1,0.2225,0.0,1,1,1,0,0,0,1,0,1626.0,AIMD
2024-01-10,0.1384,0.015,2,0.1384,0.0,2,1,2,0,0,0,1,0,1473.5,AIMD
2024-03-04,0.1712,0.071,2,0.1712,0.1,0,2,2,0,0,0,1,1,1879.5,AIMD
2024-03-05,0.1257,0.0815,2,0.1257,0.0,2,0,0,0,0,0,1,1,2001.0,AIMD
2024-03-08,0.1615,0.1436,3,0.1642,0.0,2,1,2,1,0,2,0,0,1746.3333,AIMD
2024-03-09,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,212.0,AIMD
2024-03-11,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,261.0,AIMD
2024-07-19,-0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,383.0,AIMD
