date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,118.0,AIQ
2021-07-30,0.2667,,1,0.2667,0.0,0,0,0,0,0,0,0,0,94.0,AIQ
2021-07-31,0.2667,,1,0.2667,0.0,0,0,0,0,0,0,0,0,93.0,AIQ
2021-10-11,-0.0125,,1,0.0125,0.0,0,0,0,0,0,0,0,0,208.0,AIQ
2021-11-18,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,203.0,AIQ
2022-01-10,0.4375,,1,0.4375,0.0,0,0,1,0,0,0,0,0,139.0,AIQ
2022-02-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,64.0,AIQ
2022-03-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,80.0,AIQ
2023-04-05,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,213.0,AIQ
2023-05-04,0.1384,,1,0.1384,0.0,0,0,0,0,0,0,0,0,188.0,AIQ
2023-05-27,-0.325,,1,0.325,0.0,0,0,0,0,0,0,0,0,139.0,AIQ
2023-05-30,0.2088,,1,0.2088,0.0,0,0,0,0,0,0,0,0,158.0,AIQ
2023-06-01,0.1244,,1,0.1244,0.0,0,0,0,0,0,0,0,0,270.0,AIQ
2023-06-15,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,176.0,AIQ
2023-06-16,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,164.0,AIQ
2023-06-26,-0.0712,,1,0.0712,0.0,0,0,0,0,0,0,0,0,203.0,AIQ
2023-06-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,129.0,AIQ
2023-06-30,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,178.0,AIQ
2023-07-08,-0.101,,1,0.101,0.0,0,0,1,0,0,0,0,0,328.0,AIQ
2023-07-11,-0.2167,,1,0.2167,0.0,0,0,1,0,0,0,0,0,282.0,AIQ
2023-07-12,0.0293,,1,0.0293,0.0,0,1,1,0,1,0,0,0,1595.0,AIQ
2023-07-18,0.2088,,1,0.2088,0.0,0,0,0,0,0,0,0,0,158.0,AIQ
2023-07-22,-0.095,,1,0.095,0.0,1,0,0,0,0,0,0,0,204.0,AIQ
2023-07-28,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,179.0,AIQ
2023-08-24,-0.2125,0.1237,2,0.2125,0.0,1,0,2,0,0,0,0,0,157.5,AIQ
2023-08-25,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,140.0,AIQ
2023-09-11,-0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,139.0,AIQ
2023-09-18,0.0997,,1,0.0997,0.0,0,0,1,0,1,0,0,0,1103.0,AIQ
2023-09-20,-0.3833,,1,0.3833,0.0,0,0,0,0,0,0,0,0,133.0,AIQ
2023-09-21,0.1542,,1,0.1542,0.0,0,0,0,0,0,0,0,0,179.0,AIQ
2023-10-02,0.0654,,1,0.0654,0.0,0,0,0,0,0,0,0,0,753.0,AIQ
2023-10-11,-0.0117,,1,0.0117,0.0,1,0,1,0,0,0,0,0,1794.0,AIQ
2023-10-12,-0.0417,,1,0.0417,0.0,0,1,1,0,0,0,0,0,210.0,AIQ
2023-10-13,0.0389,,1,0.0389,0.0,0,0,0,0,0,0,0,0,194.0,AIQ
2023-10-19,0.1691,,1,0.1691,0.2,1,1,0,0,0,0,0,0,2431.0,AIQ
2023-11-08,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,193.0,AIQ
2023-11-12,-0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,217.0,AIQ
2023-11-15,0.0828,,1,0.0828,0.4,0,0,0,1,0,0,0,0,1437.0,AIQ
2023-11-24,0.1413,,1,0.1413,0.0,0,0,0,0,0,0,0,0,121.0,AIQ
2023-12-15,-0.0332,,1,0.0332,0.0,0,0,1,0,0,0,1,0,1163.0,AIQ
2023-12-21,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,230.0,AIQ
2023-12-26,-0.08,,1,0.08,0.0,0,0,0,0,0,0,0,0,228.0,AIQ
2023-12-28,0.1496,0.0976,2,0.1496,0.0,0,0,1,0,0,0,0,0,564.5,AIQ
2024-01-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,126.0,AIQ
2024-01-09,0.1814,,1,0.1814,0.0,1,0,1,0,0,0,0,0,1256.0,AIQ
2024-01-23,-0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,226.0,AIQ
2024-01-31,0.3417,,1,0.3417,0.0,0,0,0,0,0,0,0,0,147.0,AIQ
2024-02-10,0.1867,,1,0.1867,0.0,0,0,0,0,0,0,0,0,212.0,AIQ
2024-02-22,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,246.0,AIQ
2024-02-24,0.033,0.471,2,0.333,0.0,1,1,0,0,0,0,0,0,264.5,AIQ
2024-02-27,0.0813,,1,0.0813,0.0,0,0,0,0,0,0,0,0,119.0,AIQ
2024-02-29,0.2271,0.1031,2,0.2271,0.0,0,0,1,1,0,0,0,1,869.0,AIQ
2024-03-05,0.1135,,1,0.1135,0.0,0,0,1,1,0,0,1,0,1459.0,AIQ
2024-03-06,0.2083,,1,0.2083,0.0,1,0,1,0,0,0,0,0,239.0,AIQ
2024-03-15,0.0627,,1,0.0627,0.0,1,0,1,0,0,0,0,0,1060.0,AIQ
2024-03-19,1.0,,1,1.0,0.0,0,1,0,0,0,0,0,0,135.0,AIQ
2024-03-20,0.131,0.1852,2,0.131,0.0,0,0,0,0,0,0,0,0,180.0,AIQ
2024-04-01,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,221.0,AIQ
2024-04-02,0.2185,,1,0.2185,0.0,0,0,0,0,0,0,0,0,136.0,AIQ
2024-04-04,0.0961,0.0276,2,0.0961,0.0,1,0,2,0,2,0,0,0,1165.5,AIQ
2024-04-12,-0.2556,,1,0.2556,0.0,0,1,0,0,0,0,0,0,158.0,AIQ
2024-04-13,0.165,,1,0.165,0.0,0,0,0,0,0,0,0,0,197.0,AIQ
2024-04-24,-0.1625,,1,0.1625,0.0,0,0,0,0,0,0,0,0,213.0,AIQ
2024-04-26,0.0768,,1,0.0768,0.0,1,0,0,0,0,0,0,0,813.0,AIQ
2024-05-02,0.0894,,1,0.0894,0.0,0,0,1,0,0,0,0,0,970.0,AIQ
2024-05-17,0.2185,,1,0.2185,0.0,0,0,0,0,0,0,0,0,136.0,AIQ
2024-05-21,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,193.0,AIQ
2024-05-23,-0.1167,,1,0.1167,0.0,1,0,0,0,0,0,0,0,186.0,AIQ
2024-05-25,0.1625,,1,0.1625,0.0,0,0,0,0,0,0,0,0,162.0,AIQ
2024-05-29,-0.1448,,1,0.1448,0.0,0,0,0,0,0,0,1,0,881.0,AIQ
2024-06-01,0.0464,,1,0.0464,0.0,0,1,0,0,0,0,0,0,154.0,AIQ
2024-06-15,0.4333,,1,0.4333,0.0,0,0,1,0,0,0,0,0,146.0,AIQ
2024-06-21,-0.45,,1,0.45,0.0,1,0,1,0,0,0,0,0,318.0,AIQ
2024-07-01,0.0283,,1,0.0283,0.0,0,0,0,0,0,0,0,0,219.0,AIQ
2024-09-24,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,323.0,AIQ
2024-10-17,-0.0667,,1,0.0667,0.0,0,1,0,0,0,0,0,0,418.0,AIQ
