date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-28,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,225.0,ALCO
2021-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,226.0,ALCO
2021-07-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,219.0,ALCO
2021-07-29,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,237.0,ALCO
2021-08-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,360.0,ALCO
2021-09-14,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,450.0,ALCO
2021-09-29,0.1867,,1,0.1867,0.0,0,0,0,0,1,0,0,0,303.0,ALCO
2021-09-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,226.0,ALCO
2021-10-12,0.1067,,1,0.1067,0.0,0,0,0,0,0,0,0,0,218.0,ALCO
2021-11-23,0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,235.0,ALCO
2021-11-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,435.0,ALCO
2021-12-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,405.0,ALCO
2021-12-08,0.0333,,1,0.0333,0.0,0,0,0,0,1,0,0,0,404.0,ALCO
2021-12-16,0.0167,,1,0.0167,0.0,0,0,0,0,0,0,0,0,430.0,ALCO
2021-12-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,473.0,ALCO
2022-01-08,0.1329,,1,0.1329,0.0,1,0,0,0,0,0,0,0,207.0,ALCO
2022-01-26,0.1097,,1,0.1097,0.0,1,0,0,0,0,0,0,0,241.0,ALCO
2022-01-27,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,254.0,ALCO
2022-02-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,239.0,ALCO
2022-02-03,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,277.0,ALCO
2022-02-11,0.29,,1,0.29,0.0,0,0,0,0,1,0,0,0,330.0,ALCO
2022-02-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,266.0,ALCO
2022-02-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,451.0,ALCO
2022-03-07,0.0833,,1,0.0833,0.0,0,0,0,0,0,0,0,0,635.0,ALCO
2022-03-10,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,446.0,ALCO
2022-03-24,0.225,,1,0.225,0.0,1,0,0,0,0,0,0,0,269.0,ALCO
2022-04-07,0.55,,1,0.55,0.0,0,1,0,0,0,1,0,0,176.0,ALCO
2022-04-13,0.2271,,1,0.2271,0.0,0,0,0,0,0,0,0,0,456.0,ALCO
2022-04-15,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,122.0,ALCO
2022-04-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,249.0,ALCO
2022-04-27,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,254.0,ALCO
2022-05-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,431.0,ALCO
2022-05-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,226.0,ALCO
2022-05-10,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,137.0,ALCO
2022-05-18,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,129.0,ALCO
2022-06-06,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,351.0,ALCO
2022-07-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,220.0,ALCO
2022-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,235.0,ALCO
2022-08-16,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,134.0,ALCO
2022-08-22,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,135.0,ALCO
2022-08-26,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,135.0,ALCO
2022-08-30,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,135.0,ALCO
2022-09-02,0.2,,1,0.2,0.0,0,0,0,0,0,1,0,0,207.0,ALCO
2022-09-06,0.1254,0.1055,2,0.1254,0.0,0,0,0,0,0,0,1,0,250.5,ALCO
2022-09-14,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,143.0,ALCO
2022-09-30,0.1664,,1,0.1664,0.2,0,0,0,0,0,0,1,0,808.0,ALCO
2022-10-07,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,135.0,ALCO
2022-10-26,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,94.0,ALCO
2022-11-29,0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,217.0,ALCO
2022-12-06,-0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,440.0,ALCO
2022-12-07,0.0444,,1,0.0444,0.0,0,0,0,0,0,0,0,0,539.0,ALCO
2022-12-13,0.0,0.0,2,0.0,0.0,0,0,1,0,0,0,0,0,312.0,ALCO
2023-01-09,-0.004,,1,0.004,0.0,0,0,0,0,1,0,0,0,301.0,ALCO
2023-01-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,196.0,ALCO
2023-01-23,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,201.0,ALCO
2023-01-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,ALCO
2023-02-06,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,279.5,ALCO
2023-02-22,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,137.0,ALCO
2023-03-09,0.1675,0.2369,2,0.1675,0.0,0,0,0,0,0,0,0,0,136.5,ALCO
2023-03-15,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,133.0,ALCO
2023-03-22,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,132.0,ALCO
2023-03-24,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,132.0,ALCO
2023-04-20,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,199.0,ALCO
2023-04-25,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,248.0,ALCO
2023-05-04,0.0,0.0,2,0.0,0.0,1,0,1,0,0,0,0,0,303.5,ALCO
2023-05-25,0.0625,0.0884,2,0.0625,0.0,1,0,0,0,0,0,0,0,147.0,ALCO
2023-07-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,201.0,ALCO
2023-08-03,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,302.5,ALCO
2023-08-16,0.3,,1,0.3,0.0,0,0,0,0,0,0,1,0,451.0,ALCO
2023-08-25,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,136.0,ALCO
2023-09-01,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,138.0,ALCO
2023-09-07,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,137.0,ALCO
2023-09-13,0.0406,,1,0.0406,0.0,0,0,0,0,0,0,0,0,141.0,ALCO
2023-09-15,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,141.0,ALCO
2023-10-04,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,136.0,ALCO
2023-12-01,0.2083,0.1296,2,0.2083,0.0,0,0,0,0,0,0,0,0,407.5,ALCO
2023-12-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,351.0,ALCO
2023-12-25,0.4,,1,0.4,0.0,1,0,0,0,0,0,0,0,240.0,ALCO
2024-01-03,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,186.0,ALCO
2024-01-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,355.0,ALCO
2024-01-12,0.0873,0.1102,3,0.0873,0.0,0,2,0,0,0,0,0,0,235.0,ALCO
2024-01-22,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,205.0,ALCO
2024-02-05,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,266.0,ALCO
2024-02-07,0.0625,0.0884,2,0.0625,0.0,1,0,0,0,0,0,0,0,282.0,ALCO
2024-02-16,0.125,,1,0.125,0.0,1,0,0,0,1,0,0,0,315.0,ALCO
2024-02-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,138.0,ALCO
2024-03-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,392.0,ALCO
2024-04-22,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,247.0,ALCO
2024-05-03,0.0574,,1,0.0574,0.0,1,0,0,0,0,0,0,0,271.0,ALCO
2024-05-06,0.0,0.0,2,0.0,0.0,1,0,1,0,0,0,0,0,304.0,ALCO
2024-05-10,0.0417,,1,0.0417,0.0,0,0,0,0,1,0,0,0,321.0,ALCO
2024-05-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,196.0,ALCO
2024-05-28,0.2841,,1,0.2841,0.0,0,0,0,0,0,0,0,0,307.0,ALCO
2024-06-10,0.1765,,1,0.1765,0.0,0,0,0,0,0,0,0,0,369.0,ALCO
2024-08-06,-0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,302.0,ALCO
2024-09-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,321.0,ALCO
2024-10-17,0.06,,1,0.06,0.0,0,0,0,0,0,0,0,0,342.0,ALCO
2024-11-29,0.1167,,1,0.1167,0.0,0,0,0,0,1,0,0,0,288.0,ALCO
