title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Wall Street Breakfast: The Week Ahead,"Our weekend preview of earnings reports, conference presentations, investor days, IPOs, FDA decisions, Barron's mentions and other key events that could impact stocks.",2021-05-09 11:25:46+00:00,https://seekingalpha.com/article/4426388-wall-street-breakfast-week-ahead?source=feed,Seeking Alpha,-0.0625,0.6875,neutral,0.0625,True,False,True,False,False,False,False,False,0.0,206,"['HBI', 'NLOK', 'SWK', 'TSLA', 'TSN', 'JCOM', 'DUK', 'WKHS', 'MAR', 'BNTX', 'OXY', 'IMOS', 'EA', 'U', 'KGC', 'WEN', 'DOX', 'BABA', 'YETI', 'DIS', 'GOOS', 'DASH', 'XPEV', 'FLGC', 'SMWB', 'INVO', 'APP', 'TSP', 'ALKT', 'KRT', 'EBET', 'WNC', 'STAR', 'ASH', 'NOC', 'RE', 'TLND', 'HRTX', 'APLS', 'BC', 'CRM', 'ABT', 'FB', 'MA', 'JWN', 'MAT', 'UBER', 'LYFT', 'STX', 'AEO', 'NKE', 'RVLV', 'TJX', 'FCX', 'SCCO', 'COPX', 'CPER']",ALKT,2021-05-09
"Earnings Scheduled For May 11, 2021","Companies Reporting Before The Bell
• Oxford Lane Capital (NASDAQ:OXLC) is estimated to report earnings for its fourth quarter.
• ReWalk Robotics (NASDAQ:RWLK) is estimated to report earnings for its first quarter.
• Welltower (NYSE:WELL) is expected to report quarterly loss at $0.02 per share on revenue of $24.30 million.
• Guild Holdings (NYSE:GHLD) is projected to report earnings for its first quarter.
• Jumia Technologies (NYSE:JMIA) is estimated to report quarterly loss at $0.45 per share on revenue of $43.33 million.
• InspireMD (AMEX:NSPR) is expected to report earnings for its first quarter.
• OFS Capital (NASDAQ:OFS) is expected to report quarterly earnings at $0.19 per share on revenue of $10.78 million.
• Perrigo (NYSE:PRGO) is expected to report quarterly earnings at $0.57 per share on revenue of $1.02 billion.
• Centerra Gold (NYSE:CGAU) is projected to report earnings for its first quarter.
• Direxion Daily CSI China Internet Index Bull 2X Shares (NYSE:CWEB) is likely to report earnings for its first quarter.
• Air Industries (AMEX:AIRI) is likely to report earnings for its first quarter.
• Delcath Systems (NASDAQ:DCTH) is projected to report quarterly loss at $0.98 per share on revenue of $400.00 thousand.
• Nano X Imaging (NASDAQ:NNOX) is projected to report earnings for its first quarter.
• Harmony Biosciences (NASDAQ:HRMY) is likely to report quarterly loss at $0.03 per share on revenue of $57.07 million.
• Vital Farms (NASDAQ:VITL) is projected to report quarterly loss at $0.01 per share on revenue of $56.36 million.
• Berkeley Lights (NASDAQ:BLI) is expected to report quarterly loss at $0.24 per share on revenue of $16.61 million.
• Royalty Pharma (NASDAQ:RPRX) is expected to report quarterly earnings at $0.65 per share on revenue of $509.70 million.
• Palantir Technologies (NYSE:PLTR) is estimated to report quarterly earnings at $0.04 per share on revenue of $332.23 million.
• Taysha Gene Therapies (NASDAQ:TSHA) is estimated to report earnings for its first quarter.
• Bentley Systems (NASDAQ:BSY) is expected to report quarterly earnings at $0.15 per share on revenue of $214.67 million.
• Playtika Holding (NASDAQ:PLTK) is likely to report quarterly earnings at $0.15 per share on revenue of $580.07 million.
• Paysafe (NYSE:PSFE) is estimated to report quarterly loss at $0.02 per share on revenue of $366.40 million.
• Kornit Digital (NASDAQ:KRNT) is projected to report quarterly earnings at $0.13 per share on revenue of $62.82 million.
• Gamida Cell (NASDAQ:GMDA) is likely to report earnings for its first quarter.
• Biofrontera (NASDAQ:BFRA) is projected to report quarterly loss at $0.25 per share on revenue of $6.65 million.
• Rada Electronics Industri (NASDAQ:RADA) is likely to report quarterly earnings at $0.06 per share on revenue of $24.50 million.
• Myovant Sciences (NYSE:MYOV) is estimated to report quarterly loss at $0.99 per share on revenue of $24.63 million.
• Vascular Biogenics (NASDAQ:VBLT) is likely to report quarterly loss at $0.13 per share on revenue of $200.00 thousand.
• Schrodinger (NASDAQ:SDGR) is projected to report quarterly loss at $0.16 per share on revenue of $29.23 million.
• Great Ajax (NYSE:AJX) is estimated to report quarterly loss at $0.01 per share on revenue of $13.34 million.
• Radcom (NASDAQ:RDCM) is estimated to report quarterly loss at $0.08 per share on revenue of $9.21 million.
• Novanta (NASDAQ:NOVT) is estimated to report quarterly earnings at $0.39 per share on revenue of $156.28 million.
• Endeavor Group Holdings (NYSE:EDR) is expected to report quarterly earnings at $0.03 per share on revenue of $41.27 million.
• Mimecast (NASDAQ:MIME) is projected to report quarterly earnings at $0.23 per share on revenue of $131.17 million.
• Imara (NASDAQ:IMRA) is likely to report earnings for its first quarter.
• Xtant Medical Holdings (AMEX:XTNT) is estimated to report earnings for its first quarter.
• Vishay Precision Group (NYSE:VPG) is estimated to report quarterly earnings at $0.28 per share on revenue of $65.50 million.
• Carlyle Group (NASDAQ:CG) is estimated to report quarterly earnings at $0.24 per share on revenue of $317.98 million.
• Endeavour Silver (NYSE:EXK) is estimated to report quarterly earnings at $0.04 per share on revenue of $38.33 million.
• Intl Game Tech (NYSE:IGT) is likely to report quarterly earnings at $0.09 per share on revenue of $876.19 million.
• Allot (NASDAQ:ALLT) is projected to report quarterly loss at $0.12 per share on revenue of $31.92 ...Full story available on Benzinga.com",2021-05-11 08:13:50+00:00,https://www.benzinga.com/news/earnings/21/05/21052174/earnings-scheduled-for-may-11-2021,Benzinga,0.07916666666666666,0.4949074074074074,neutral,0.07916666666666666,True,False,False,False,False,False,False,False,0.0,4583,"['LTBR', 'BFRA', 'NEWT', 'VNRX', 'NARI', 'EDR', 'OR', 'CNR', 'PSFE', 'OXLC', 'RDVT', 'OPEN', 'SDGR', 'SLQT', 'EFL', 'AJX', 'EXK', 'SGFY', 'AFCG', 'CG', 'REPX', 'OPNT', 'OFS', 'LPRO', 'HBI', 'KRNT', 'OLO', 'PZA', 'TLIS', 'VPG', 'GMDA', 'PANL', 'PRTA', 'LMND', 'IGT', 'STKS', 'ALLT', 'ASXC', 'JAMF', 'SONM', 'PRGO', 'ARMK', 'BLI', 'ITP', 'CNFR', 'ARRY', 'SEMR', 'HLI', 'HROW', 'PSTL', 'KIN', 'VITL', 'K', 'CXDO', 'COKE', 'ALKT', 'EGAN', 'JMIA', 'RADA', 'SNDX', 'BIGC', 'KEY', 'VZIO', 'CSPI', 'CGAU', 'NAVB', 'PAYS', 'RDCM', 'RWLK', 'HRMY', 'KGC', 'MIME', 'NOVT', 'DCTH', 'NUWE', 'GSY', 'SNDL', 'RPRX', 'OTIC', 'NNOX', 'MAC', 'MYOV', 'EDAP', 'U', 'XGN', 'SSTI', 'GO', 'PLTR', 'SD', 'CLPT', 'EA', 'NSPR', 'IPHA', 'XTNT', 'XENE', 'TSHA', 'TDG', 'YTEN', 'GAIN', 'SMID', 'UGRO', 'ABT', 'SIEN', 'HYLN', 'TGH', 'CWEB', 'GIFI', 'AIRI', 'OCFT', 'BGS', 'VBLT', 'CURI', 'X', 'CPIX', 'QS', 'HCKT', 'PLTK', 'IMRA', 'BSY', 'LEU', 'GHLD', 'HBM', 'TURN', 'IMOS', 'UPST', 'LYRA', 'CHK', 'VEC', 'BDSX', 'ELMD', 'RMED', 'IRIX', 'WELL', 'FUBO', 'DAR', 'FAT', 'ABST']",ALKT,2021-05-11
12 Information Technology Stocks Moving In Thursday's Intraday Session,"Gainers

Intrusion (NASDAQ:INTZ) stock rose 13.32% to $14.73 during Thursday's regular session. As of 12:30 EST, Intrusion's stock is trading at a volume of 154.5K, which is 33.96% of its average full-day volume over the last 100 days. The company's market cap stands at $259.5 million.
MoSys (NASDAQ:MOSY) stock moved upwards by 11.35% to $6.08. Trading volume for this security as of 12:30 EST is 22.4 million, which is 607.36% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $37.2 million.
TSR (NASDAQ:TSRI) shares moved upwards by 9.75% to $9.11. As of 12:30 EST, TSR's stock is trading at a volume of 759, which is 7.35% of its average full-day volume over the last 100 days. The company's market cap stands at $17.8 million.
Taitron Components (NASDAQ:TAIT) shares rose 9.06% to $5.73. As of 12:30 EST, Taitron Components's stock is trading at a volume of 696.4K, which is 486.46% of its average full-day ...Full story available on Benzinga.com",2021-05-20 16:35:52+00:00,https://www.benzinga.com/intraday-update/21/05/21221621/12-information-technology-stocks-moving-in-thursdays-intraday-session,Benzinga,0.125,0.42099358974358975,positive,0.125,False,False,True,False,False,False,False,False,0.0,1080,"['HIMX', 'LPTH', 'MOSY', 'SMIT', 'TAIT', 'TSRI', 'VNET', 'INTZ', 'GDS', 'PAYS', 'IDBA', 'ALKT']",ALKT,2021-05-20
Here's Why Alkami Shares Fell 30% Last Month,The recent fintech is trading far below April's IPO price today.,2021-06-07 18:46:00+00:00,https://www.fool.com/investing/2021/06/07/heres-why-alkami-shares-fell-30-last-month/,The Motley Fool,0.03333333333333333,0.4388888888888889,neutral,0.03333333333333333,False,False,False,False,False,False,False,False,0.0,110,['ALKT'],ALKT,2021-06-07
Alkami to Participate in Upcoming KeyBanc Capital Markets and Needham & Company Investor Conferences,"PLANO, Texas, Aug.  03, 2021  (GLOBE NEWSWIRE) -- Alkami Technology, Inc. (Nasdaq: ALKT) (“Alkami”), a leading cloud-based digital banking solutions provider for U.S.-based financial institutions, announced today that company leadership will participate at the following upcoming investor conferences:",2021-08-03 21:20:00+00:00,https://www.globenewswire.com/news-release/2021/08/03/2274200/0/en/Alkami-to-Participate-in-Upcoming-KeyBanc-Capital-Markets-and-Needham-Company-Investor-Conferences.html,GlobeNewswire Inc.,0.0,0.03333333333333333,neutral,0.0,False,False,False,False,False,False,False,False,0.0,403,['ALKT'],ALKT,2021-08-03
"Alkami Technology, Inc. (ALKT) Q2 2021 Earnings Call Transcript","ALKT earnings call for the period ending June 30, 2021.",2021-08-05 04:31:20+00:00,https://www.fool.com/earnings/call-transcripts/2021/08/05/alkami-technology-inc-alkt-q2-2021-earnings-call-t/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,120,['ALKT'],ALKT,2021-08-05
"Alkami Technology, Inc. (ALKT) Q2 2021 Earnings Call Transcript","ALKT earnings call for the period ending June 30, 2021.",2021-08-05 05:30:58+00:00,https://www.fool.com/earnings/call-transcripts/2021/08/05/alkami-technology-inc-alkt-q2-2021-earnings-call-t/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,120,['ALKT'],ALKT,2021-08-05
"Alkami Technology, Inc. (ALKT) Q3 2021 Earnings Call Transcript","ALKT earnings call for the period ending September 30, 2021.",2021-11-05 03:03:04+00:00,https://www.fool.com/earnings/call-transcripts/2021/11/04/alkami-technology-inc-alkt-q3-2021-earnings-call-t/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,125,['ALKT'],ALKT,2021-11-05
"Alkami Technology, Inc. (ALKT) Q3 2021 Earnings Call Transcript","ALKT earnings call for the period ending September 30, 2021.",2021-11-05 16:01:39+00:00,https://www.fool.com/earnings/call-transcripts/2021/11/05/alkami-technology-inc-alkt-q3-2021-earnings-call-t/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,125,['ALKT'],ALKT,2021-11-05
Alkami to Announce Fourth Quarter 2021 Financial Results,"PLANO, Texas, Feb.  14, 2022  (GLOBE NEWSWIRE) -- Alkami Technology, Inc. (Nasdaq: ALKT) (“Alkami”), a leading cloud-based digital banking solutions provider for U.S. banks and credit unions, today announced that it plans to report financial results for its fourth quarter ended December 31, 2021 on Wednesday, February 23, 2022, after the market close.",2022-02-14 23:03:00+00:00,https://www.globenewswire.com/news-release/2022/02/14/2384787/0/en/Alkami-to-Announce-Fourth-Quarter-2021-Financial-Results.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,411,['ALKT'],ALKT,2022-02-14
