date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-01-03,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,147.0,ALLR
2022-02-18,0.1364,,1,0.1364,0.0,0,0,1,0,1,0,0,0,715.0,ALLR
2022-03-15,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,81.0,ALLR
2022-04-22,-0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,794.0,ALLR
2022-05-16,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,498.0,ALLR
2022-05-18,0.0955,,1,0.0955,0.0,0,0,1,0,1,1,0,0,672.0,ALLR
2022-05-27,0.1845,0.1773,3,0.1845,0.0,0,2,1,0,0,0,0,0,1389.3333,ALLR
2022-06-15,0.08,,1,0.08,0.0,0,0,0,0,0,0,0,0,677.0,ALLR
2022-06-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,192.0,ALLR
2022-08-19,0.1385,,1,0.1385,0.0,1,0,1,0,1,0,0,1,2774.0,ALLR
2022-08-23,0.1133,0.1411,2,0.1133,0.0,1,2,1,0,0,0,0,0,2276.0,ALLR
2022-08-24,0.0942,,1,0.0942,0.0,1,1,1,0,0,0,1,0,3192.0,ALLR
2022-08-25,0.2609,0.1109,2,0.2609,0.0,2,2,1,1,2,0,0,1,1990.5,ALLR
2022-08-26,0.085,0.1202,2,0.085,0.0,1,1,1,1,2,0,0,1,1520.5,ALLR
2022-09-09,0.2168,,1,0.2168,0.0,1,1,1,0,1,1,1,0,3393.0,ALLR
2022-09-12,0.1364,,1,0.1364,0.0,0,0,0,0,1,0,0,0,73.0,ALLR
2022-09-16,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,91.0,ALLR
2022-09-26,0.25,,1,0.25,0.0,0,0,0,0,1,0,1,0,117.0,ALLR
2022-10-11,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,507.0,ALLR
2022-10-14,0.222,0.0749,2,0.222,0.0,1,2,1,0,0,0,2,0,2255.5,ALLR
2022-10-17,0.2574,,1,0.2574,0.0,0,1,1,0,1,0,0,0,2552.0,ALLR
2022-11-03,0.1632,,1,0.1632,0.0,1,1,0,0,0,0,0,0,3692.0,ALLR
2022-11-07,0.0535,0.0757,2,0.0535,0.0,1,1,0,0,2,1,0,0,2304.0,ALLR
2022-11-15,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,81.0,ALLR
2022-12-01,0.1364,,1,0.1364,0.0,0,0,0,0,1,0,0,0,106.0,ALLR
2022-12-16,0.1731,,1,0.1731,0.0,1,1,0,0,0,0,0,0,2420.0,ALLR
2022-12-18,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,246.0,ALLR
2022-12-19,0.1742,,1,0.1742,0.0,0,1,0,0,0,0,0,0,277.0,ALLR
2022-12-20,0.1008,,1,0.1008,0.0,0,1,1,0,0,0,0,0,2567.0,ALLR
2022-12-30,0.0538,,1,0.0538,0.0,0,1,1,0,0,0,0,0,1964.0,ALLR
2023-01-20,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,97.0,ALLR
2023-01-23,0.1678,0.1641,2,0.1678,0.0,0,0,1,0,0,0,2,2,1718.0,ALLR
2023-01-24,0.2871,,1,0.2871,0.0,0,1,1,0,1,0,0,0,1511.0,ALLR
2023-03-20,0.3628,0.2744,4,0.3628,0.0,1,2,2,0,0,0,0,0,842.0,ALLR
