date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2023-01-13,0.2,,1,0.2,0.0,0,1,0,0,0,0,0,0,759.0,ALTI
2023-01-25,0.266,,1,0.266,0.0,1,0,1,0,0,1,0,0,1474.0,ALTI
2023-01-26,0.007,0.0356,2,0.0252,0.0,1,0,1,0,0,0,0,0,882.0,ALTI
2023-01-27,0.0232,0.0437,2,0.0309,0.0,1,1,1,1,0,1,1,1,1345.5,ALTI
2023-01-31,0.2205,,1,0.2205,0.0,1,1,1,0,1,1,0,0,1997.0,ALTI
2023-02-07,0.075,,1,0.075,0.0,0,1,0,0,0,0,0,0,934.0,ALTI
2023-04-26,0.1551,,1,0.1551,0.0,1,1,1,0,1,0,0,0,2651.0,ALTI
2023-05-02,0.027,,1,0.027,0.0,0,1,1,0,0,0,1,0,4772.0,ALTI
2023-05-05,0.1914,0.1332,2,0.1914,0.0,1,0,1,0,0,0,0,0,2005.5,ALTI
2023-06-06,0.1594,,1,0.1594,0.0,1,1,1,0,0,0,0,0,1430.0,ALTI
2023-07-12,0.0286,,1,0.0286,0.0,0,1,1,0,0,0,0,0,7053.0,ALTI
2023-11-16,0.4,,1,0.4,0.0,1,0,0,0,0,0,0,0,240.0,ALTI
2024-01-25,0.0944,0.0734,3,0.0944,0.0,2,1,2,0,0,0,0,0,1301.3333,ALTI
2024-02-22,0.217,,1,0.217,0.0,1,0,0,0,0,0,0,1,1471.0,ALTI
2024-02-23,0.0962,,1,0.0962,0.0,1,0,0,0,1,0,0,0,2200.0,ALTI
2024-03-18,0.1261,0.1587,3,0.1488,0.0,2,1,1,0,0,1,1,0,837.6667,ALTI
2024-04-11,0.0898,,1,0.0898,0.0,1,0,0,0,0,0,0,0,770.0,ALTI
2024-04-15,0.0875,,1,0.0875,0.0,1,0,0,0,0,0,0,0,280.0,ALTI
2024-05-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,237.0,ALTI
2024-05-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,272.0,ALTI
2024-05-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,262.0,ALTI
