date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-04-08,0.0889,,1,0.0889,0.0,1,0,0,0,0,0,0,0,114.0,ALT
2020-05-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,102.0,ALT
2020-05-27,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,110.0,ALT
2020-06-09,0.1936,,1,0.1936,0.0,0,0,0,0,0,0,0,0,100.0,ALT
2020-06-10,0.0988,,1,0.0988,0.0,0,0,0,0,0,0,0,0,102.0,ALT
2021-05-05,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,250.0,ALT
2021-05-17,0.0267,0.0462,3,0.0267,0.0,3,0,0,0,1,0,0,0,1118.0,ALT
2021-05-25,-0.0143,0.2789,3,0.1857,0.0667,0,1,1,0,0,1,0,0,925.3333,ALT
2021-06-02,0.0374,0.0432,2,0.0374,0.0,1,1,1,0,1,0,0,0,2527.5,ALT
2021-06-16,0.1061,0.0749,2,0.1061,0.0,1,0,1,0,0,0,0,0,1449.0,ALT
2021-06-17,0.1407,,1,0.1407,0.0,1,0,0,0,0,0,0,0,292.0,ALT
2021-06-27,0.0778,,1,0.0778,0.0,0,0,1,0,0,0,0,0,2081.0,ALT
2021-06-30,-0.0091,0.1408,6,0.1032,0.0,0,1,1,0,1,0,0,0,777.1667,ALT
2021-07-03,0.1095,0.128,2,0.1095,0.0,0,0,1,0,1,0,0,0,615.0,ALT
2021-08-03,-0.0029,,1,0.0029,0.0,1,0,0,0,0,0,0,0,255.0,ALT
2021-08-08,0.0519,,1,0.0519,0.0,1,0,1,0,1,0,0,0,3899.0,ALT
2021-08-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,256.0,ALT
2021-08-11,0.0728,,1,0.0728,0.0,0,0,1,0,0,0,0,0,2895.0,ALT
2021-08-12,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,108.0,ALT
2021-08-27,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,184.0,ALT
2021-09-27,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,432.0,ALT
2021-09-28,0.1534,0.0518,4,0.1534,0.0,2,2,1,0,0,0,0,0,972.0,ALT
2021-09-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,509.0,ALT
2021-09-30,0.0009,,1,0.0009,0.0,0,1,0,0,0,0,0,0,3535.0,ALT
2021-10-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,356.0,ALT
2021-11-01,-0.0029,,1,0.0029,0.0,1,0,0,0,1,0,0,0,265.0,ALT
2021-11-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,261.0,ALT
2021-11-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,113.0,ALT
2021-11-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,320.0,ALT
2021-12-13,0.2675,0.046,2,0.2675,0.0,0,0,0,0,0,0,1,0,517.5,ALT
2022-01-03,0.075,,1,0.075,0.0,0,0,0,0,0,0,0,0,761.0,ALT
2022-02-08,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,182.5,ALT
2022-02-17,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,272.0,ALT
2022-03-08,0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,341.0,ALT
2022-03-15,0.0334,0.0324,3,0.0334,0.0,2,0,1,0,0,0,1,0,715.0,ALT
