date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-07-22,0.0265,,1,0.0265,0.0,1,1,0,0,0,0,0,0,257.0,AMAL
2021-07-29,0.0097,0.0138,2,0.0097,0.0,1,0,1,0,0,0,0,0,299.5,AMAL
2021-08-05,0.0455,,1,0.0455,0.0,0,0,0,0,0,0,1,0,297.0,AMAL
2021-08-16,0.0873,,1,0.0873,0.0,0,0,0,0,1,0,0,0,328.0,AMAL
2021-09-22,0.08,,1,0.08,0.0,0,1,0,0,0,0,0,0,202.0,AMAL
2021-10-18,0.0152,,1,0.0152,0.0,1,0,0,0,1,0,0,0,450.0,AMAL
2021-10-21,0.0476,,1,0.0476,0.0,1,0,0,0,0,0,0,0,286.0,AMAL
2021-10-22,0.2455,,1,0.2455,0.0,0,0,0,0,0,0,0,0,400.0,AMAL
2021-10-28,0.0097,0.0138,2,0.0097,0.0,1,0,0,0,0,0,0,0,302.5,AMAL
2021-11-04,-0.0202,0.0299,2,0.0211,0.0,0,0,1,0,0,1,1,0,843.5,AMAL
2021-12-03,-0.0062,,1,0.0062,0.0,0,0,1,0,0,0,0,0,203.0,AMAL
2022-01-13,0.076,,1,0.076,0.0,1,0,0,0,1,0,0,0,480.0,AMAL
2022-01-20,0.0265,,1,0.0265,0.0,1,0,0,0,0,0,0,0,264.0,AMAL
2022-01-26,-0.0413,,1,0.0413,0.0,0,0,0,0,0,1,1,0,525.0,AMAL
2022-01-27,0.0722,0.0746,2,0.0722,0.0,1,0,0,0,0,0,0,0,303.0,AMAL
2022-02-14,0.0508,,1,0.0508,0.0,0,1,0,0,0,0,0,0,145.0,AMAL
2022-02-15,-0.0062,,1,0.0062,0.0,0,0,1,0,0,0,0,0,205.0,AMAL
2022-02-18,0.157,,1,0.157,0.0,0,0,0,0,0,0,0,0,273.0,AMAL
2022-02-25,0.35,,1,0.35,0.0,0,1,0,0,0,0,0,0,113.0,AMAL
2022-04-14,0.0707,,1,0.0707,0.0,1,0,0,0,1,0,0,0,449.0,AMAL
2022-04-27,-0.0413,,1,0.0413,0.0,0,0,0,0,0,1,1,0,520.0,AMAL
2022-04-28,0.0455,0.0643,2,0.0455,0.0,1,0,0,0,0,0,0,0,301.0,AMAL
2022-05-05,0.07,,1,0.07,0.0,1,0,0,0,0,0,0,0,233.0,AMAL
2022-05-09,0.125,,1,0.125,0.0,0,1,0,0,0,0,0,0,198.0,AMAL
2022-05-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,244.0,AMAL
2022-05-23,-0.0062,,1,0.0062,0.0,0,0,1,0,0,0,0,0,194.0,AMAL
2022-06-08,-0.0062,,1,0.0062,0.0,0,0,1,0,0,0,0,0,207.0,AMAL
2022-06-23,0.024,,1,0.024,0.0,0,0,0,0,0,0,0,0,241.0,AMAL
2022-06-24,0.0167,0.0236,2,0.0167,0.0,0,0,1,0,1,0,0,0,228.0,AMAL
2022-07-01,0.0508,,1,0.0508,0.0,0,1,0,0,0,0,0,0,137.0,AMAL
2022-07-14,0.0152,,1,0.0152,0.0,1,0,1,0,1,0,0,0,449.0,AMAL
2022-07-25,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,284.0,AMAL
2022-07-27,-0.0621,,1,0.0621,0.0,0,0,0,0,0,1,1,0,604.0,AMAL
2022-07-28,0.0097,0.0138,2,0.0097,0.0,1,0,1,0,0,0,0,0,307.5,AMAL
2022-08-11,0.1068,,1,0.1068,0.0,0,0,0,0,0,0,0,0,935.0,AMAL
2022-08-18,0.0625,0.0354,2,0.0625,0.0,1,0,1,1,0,0,0,0,231.5,AMAL
2022-08-19,0.1333,,1,0.1333,0.0,1,0,0,0,0,0,0,0,278.0,AMAL
2022-09-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,230.0,AMAL
2022-09-05,-0.0062,,1,0.0062,0.0,0,0,1,0,0,0,0,0,203.0,AMAL
