date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-08-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,104.0,AMBA
2020-10-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,96.0,AMBA
2021-05-14,0.3111,,1,0.3111,0.0,0,0,0,0,0,0,0,0,90.0,AMBA
2021-05-25,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,245.0,AMBA
2021-05-30,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,AMBA
2021-06-01,0.3,0.2828,2,0.3,0.0,2,0,0,0,0,0,0,0,453.5,AMBA
2021-06-02,0.2532,0.2093,4,0.2532,0.0,2,0,1,0,0,0,0,0,437.0,AMBA
2021-06-08,0.2958,0.053,2,0.2958,0.0,1,0,0,0,0,0,0,0,199.5,AMBA
2021-06-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,256.0,AMBA
2021-06-21,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,112.0,AMBA
2021-06-30,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,85.0,AMBA
2021-07-01,0.125,0.1768,2,0.125,0.0,1,0,0,0,0,0,0,0,185.0,AMBA
2021-07-06,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,166.0,AMBA
2021-07-14,0.3333,,1,0.3333,0.0,1,0,0,0,0,0,0,0,240.0,AMBA
2021-07-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,200.0,AMBA
2021-07-29,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,209.0,AMBA
2021-08-06,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,444.0,AMBA
