date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-05,0.1458,,1,0.1458,0.0,1,0,1,0,1,0,0,0,1192.0,AMST
2021-05-17,0.1038,,1,0.1038,0.0,1,0,0,0,0,0,0,0,1123.0,AMST
2022-05-12,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,183.0,AMST
2022-06-22,-0.3,,1,0.3,0.0,1,0,0,0,1,0,0,0,552.0,AMST
2022-06-28,0.0995,,1,0.0995,0.0,1,1,0,0,1,0,0,1,2994.0,AMST
2022-08-02,0.2966,0.0659,2,0.2966,0.0,0,1,0,0,1,0,0,0,1096.0,AMST
2022-08-04,0.1331,,1,0.1331,0.0,1,1,1,1,1,0,0,0,3592.0,AMST
2022-08-05,0.1136,,1,0.1136,0.0,1,1,1,1,1,0,0,0,4200.0,AMST
2022-08-23,0.0665,0.2072,2,0.1465,0.0,2,1,0,1,0,0,0,0,1512.0,AMST
2022-08-24,0.0942,,1,0.0942,0.0,1,1,1,0,0,0,1,0,3192.0,AMST
2022-08-25,0.0272,0.2835,3,0.2272,0.0,3,2,2,0,3,0,1,1,2189.6667,AMST
2022-08-26,0.0455,,1,0.0455,0.2,1,0,0,0,0,0,1,0,532.0,AMST
2022-08-29,-0.0526,,1,0.0526,0.0,1,0,0,0,0,0,0,0,577.0,AMST
2022-08-30,0.0696,0.1524,5,0.1492,0.0,4,3,4,0,1,0,0,0,1191.6,AMST
2022-08-31,0.1012,,1,0.1012,0.0,1,1,0,0,0,0,0,1,2729.0,AMST
2022-09-01,-0.1629,,1,0.1629,0.0,1,0,0,0,0,0,0,0,908.0,AMST
2022-09-06,0.43,,1,0.43,0.0,1,0,1,0,1,0,0,0,1394.0,AMST
2022-09-09,-0.1,,1,0.1,0.0,1,0,0,0,0,0,1,0,521.0,AMST
2022-09-15,0.0098,,1,0.0098,0.0,1,0,0,0,0,0,0,0,466.0,AMST
2022-10-12,0.68,,1,0.68,0.0,1,0,0,0,0,0,0,0,559.0,AMST
2022-10-17,0.3534,0.1816,2,0.3534,0.0,1,0,0,0,1,0,0,0,880.5,AMST
2022-11-21,0.5667,,1,0.5667,0.0,1,0,1,0,0,0,0,0,574.0,AMST
2022-12-13,0.4281,,1,0.4281,0.0,1,1,1,0,0,0,0,0,1826.0,AMST
2022-12-14,0.0922,0.4132,2,0.2922,0.0,2,1,0,0,1,0,0,1,1084.0,AMST
2023-01-17,-0.2,,1,0.2,0.0,1,0,0,0,0,0,1,0,488.0,AMST
2023-01-19,0.0627,,1,0.0627,0.0,1,1,0,1,0,1,0,1,2168.0,AMST
2023-01-20,0.1358,0.1362,2,0.1358,0.0,2,0,0,0,0,1,0,2,1593.5,AMST
2023-01-23,0.0518,,1,0.0518,0.0,0,0,1,0,0,0,1,1,2164.0,AMST
2023-01-25,0.2286,,1,0.2286,0.0,1,0,0,0,1,0,0,0,526.0,AMST
2023-01-27,0.0541,,1,0.0541,0.0,0,0,1,1,0,0,1,1,1834.0,AMST
2023-01-31,0.3231,,1,0.3231,0.0,0,0,0,0,0,1,0,0,1236.0,AMST
2023-02-10,0.1869,,1,0.1869,0.0,1,0,0,0,0,0,0,0,2280.0,AMST
2023-02-14,0.1789,0.1142,4,0.1789,0.0,1,1,3,0,0,0,0,0,1379.0,AMST
2023-02-15,0.1623,0.1563,3,0.1623,0.0,2,3,1,0,0,1,0,0,1275.3333,AMST
2023-02-16,0.1574,0.131,2,0.1574,0.0,2,1,0,0,1,0,0,0,796.5,AMST
2023-02-21,0.1432,0.0931,3,0.1432,0.0,2,0,0,0,1,2,1,0,604.0,AMST
2023-02-22,0.272,0.1221,4,0.272,0.0,4,1,3,0,1,0,0,1,1399.0,AMST
2023-02-24,0.3214,,1,0.3214,0.0,0,0,0,0,1,0,0,0,1286.0,AMST
2023-02-27,-0.2375,0.5127,2,0.3625,0.0,1,1,0,0,0,0,0,0,630.0,AMST
2023-03-09,-0.3625,,1,0.3625,0.0,1,0,0,0,0,0,0,0,704.0,AMST
2023-03-13,-0.2,,1,0.2,0.0,1,0,0,0,0,0,0,0,458.0,AMST
2023-03-15,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,171.0,AMST
2023-03-30,-0.0912,,1,0.0912,0.0,1,0,0,0,0,0,0,0,637.0,AMST
2023-04-04,-0.0382,,1,0.0382,0.0,1,1,1,0,1,0,0,0,2143.0,AMST
2023-04-13,0.1015,0.2849,2,0.2015,0.0,1,1,1,0,0,0,1,0,1199.5,AMST
2023-04-14,0.0417,,1,0.0417,0.0,1,0,0,0,0,0,1,0,709.0,AMST
2023-04-18,-0.11,,1,0.11,0.0,1,0,0,0,1,0,0,0,739.0,AMST
2023-04-27,-0.75,,1,0.75,0.0,1,0,0,1,0,0,0,0,480.0,AMST
2023-05-09,-0.2,,1,0.2,0.0,1,0,0,0,0,0,1,0,474.0,AMST
2023-05-18,-0.3,,1,0.3,0.0,1,0,0,1,0,0,1,0,465.0,AMST
2023-05-31,0.75,,1,0.75,0.0,1,0,0,0,0,0,0,0,266.0,AMST
2023-06-02,-0.0193,,1,0.0193,0.0,1,0,0,0,0,0,1,0,521.0,AMST
2023-06-06,-0.2,,1,0.2,0.0,1,0,1,0,0,0,1,0,503.0,AMST
2023-06-15,-0.08,,1,0.08,0.0,1,0,0,1,1,0,0,0,587.0,AMST
2023-06-21,-0.1,,1,0.1,0.0,1,0,0,0,0,0,1,0,416.0,AMST
2023-06-26,0.4667,,1,0.4667,0.0,1,0,1,0,0,0,0,0,439.0,AMST
2023-06-28,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,423.0,AMST
