date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-08-29,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,112.0,AMWD
2021-03-06,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,70.0,AMWD
2021-05-04,0.4333,,1,0.4333,0.0,1,0,0,0,0,1,0,0,233.0,AMWD
2021-05-20,0.0232,,1,0.0232,0.0,1,0,0,0,1,0,0,0,275.0,AMWD
2021-05-27,0.1238,0.1719,5,0.1238,0.0,4,0,0,0,1,0,0,0,777.0,AMWD
2021-05-28,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,72.0,AMWD
2021-06-22,0.0133,,1,0.0133,0.0,0,1,1,0,0,0,0,0,4325.0,AMWD
2021-08-03,0.4333,,1,0.4333,0.0,1,0,1,0,0,0,0,0,194.0,AMWD
2021-08-17,0.0265,,1,0.0265,0.0,1,1,0,0,0,0,0,0,249.0,AMWD
2021-08-31,0.0044,0.0347,4,0.021,0.0,3,0,0,0,0,0,0,0,157.75,AMWD
2021-09-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,103.0,AMWD
2021-10-15,0.0533,,1,0.0533,0.0,0,1,0,0,0,1,0,0,261.0,AMWD
2021-11-02,0.375,,1,0.375,0.0,1,0,0,0,0,0,0,0,150.0,AMWD
2021-11-16,0.0476,,1,0.0476,0.0,1,0,0,0,0,0,0,0,278.0,AMWD
2021-11-23,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,195.5,AMWD
2021-12-04,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,241.0,AMWD
2022-01-04,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,157.5,AMWD
2022-02-01,0.2386,,1,0.2386,0.0,0,0,0,0,1,0,0,0,262.0,AMWD
2022-02-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,242.0,AMWD
2022-02-17,0.0476,,1,0.0476,0.0,1,0,0,0,0,0,0,0,278.0,AMWD
2022-02-24,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,263.0,AMWD
2022-02-25,-0.0179,0.0253,2,0.0179,0.0,0,0,0,0,0,0,0,0,148.0,AMWD
2022-03-23,-0.0095,,1,0.0095,0.0,0,1,1,0,0,0,0,0,3054.0,AMWD
2022-05-26,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,258.0,AMWD
2022-08-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,235.0,AMWD
2022-08-18,-0.0127,,1,0.0127,0.0,0,1,1,0,1,0,0,0,6986.0,AMWD
2022-08-23,0.0265,,1,0.0265,0.0,1,1,0,0,0,0,0,0,249.0,AMWD
2022-08-25,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,133.0,AMWD
2022-08-26,0.1481,,1,0.1481,0.0,0,0,0,0,0,0,0,0,204.0,AMWD
2022-08-30,0.1118,0.0764,4,0.1118,0.0,4,3,2,0,0,0,0,0,1200.0,AMWD
2022-08-31,0.0828,0.026,2,0.0828,0.0,1,2,0,0,0,0,0,1,1615.5,AMWD
2022-09-15,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,195.0,AMWD
2022-11-11,0.0875,,1,0.0875,0.0,1,0,0,0,0,0,0,0,294.0,AMWD
2022-11-22,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,262.0,AMWD
2023-01-24,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,195.0,AMWD
2023-02-08,0.1463,,1,0.1463,0.0,0,1,0,0,0,0,0,0,271.0,AMWD
2023-02-09,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,262.5,AMWD
2023-02-10,0.2032,,1,0.2032,0.0,1,0,0,0,0,0,0,0,327.0,AMWD
2023-02-21,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,245.0,AMWD
2023-02-22,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,254.0,AMWD
2023-02-23,0.1542,0.1237,2,0.1542,0.0,1,1,0,0,0,0,0,0,302.5,AMWD
2023-02-24,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,216.0,AMWD
2023-02-27,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,161.0,AMWD
2023-02-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,264.0,AMWD
2023-03-01,0.1867,,1,0.1867,0.0,1,1,0,0,0,0,0,0,323.0,AMWD
2023-04-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,242.0,AMWD
2023-05-18,0.0265,,1,0.0265,0.0,1,0,0,0,0,0,0,0,256.0,AMWD
2023-05-25,0.1947,0.0655,3,0.1947,0.0,1,1,0,0,1,0,0,0,1209.6667,AMWD
