title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
3 Top Stocks Under $20,These prices won't last forever.,2021-04-28 13:45:00+00:00,https://www.fool.com/investing/2021/04/28/3-top-stocks-under-20/?source=iedfolrf0000001,The Motley Fool,0.25,0.2833333333333333,positive,0.25,False,False,False,False,False,False,False,False,0.0,56,"['APPH', 'PRTS', 'ANGI']",ANGI,2021-04-28
Why IAC/InterActiveCorp Stock Rose 17% Last Month,Shares of the Vimeo parent gained on a strong report for March.,2021-05-03 22:58:38+00:00,https://www.fool.com/investing/2021/05/03/why-iacinteractivecorp-stock-rose-17-last-month/?source=iedfolrf0000001,The Motley Fool,0.3444444444444444,0.5833333333333334,positive,0.3444444444444444,False,False,False,False,False,False,False,False,0.0,114,"['IAC', 'MTCH', 'ANGI']",ANGI,2021-05-03
Angi (ANGI) Reports Break-Even Earnings for Q1,"Angi (ANGI) delivered earnings and revenue surprises of 100.00% and 1.76%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-06 22:05:08+00:00,http://www.zacks.com/stock/news/1512214/angi-angi-reports-break-even-earnings-for-q1?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1512214,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,230,['ANGI'],ANGI,2021-05-06
Earnings Results: Vimeo drives IAC to an earnings beat ahead of planned spinoff,"IAC/InterActiveCorp. topped quarterly earnings expectations Thursday, with its Vimeo business posting accelerating revenue growth amid continued demand for video software during the pandemic.",2021-05-06 23:32:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3F81706E5E5%7D&siteid=rss&rss=1,MarketWatch,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,272,"['IAC', 'ANGI']",ANGI,2021-05-06
ANGI Homeservices Inc (ANGI) Q1 2021 Earnings Call Transcript,"ANGI earnings call for the period ending March 31, 2021.",2021-05-07 20:30:42+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/07/angi-homeservices-inc-angi-q1-2021-earnings-call-t/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,119,['ANGI'],ANGI,2021-05-07
A $500 Billion Addressable Market Awaits This Growth Stock,Can it capitalize on the opportunity?,2021-05-11 10:30:00+00:00,https://www.fool.com/investing/2021/05/11/a-500-billion-addressable-market-awaits-this-growt/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,97,"['ANGI', 'EXPE', 'MTCH', 'IAC', 'AFRM']",ANGI,2021-05-11
3 Top Stocks That Aren't On Wall Street's Radar,Get to know these hot stocks before the experts do.,2021-05-27 10:12:00+00:00,https://www.fool.com/investing/2021/05/27/3-top-stocks-that-arent-on-wall-streets-radar/?source=iedfolrf0000001,The Motley Fool,0.375,0.675,positive,0.375,False,False,False,False,False,False,False,False,0.0,100,"['IAC', 'EXPE', 'PLCE', 'MGM', 'LYV', 'MTCH', 'PRTS', 'IAC', 'ANGI']",ANGI,2021-05-27
"Benzinga's Top Ratings Upgrades, Downgrades For May 27, 2021","Upgrades

Craig-Hallum upgraded the previous rating for NVIDIA Corp (NASDAQ:NVDA) from Hold to Buy. In the first quarter, NVIDIA showed an EPS of $3.66, compared to $1.80 from the year-ago quarter. The stock has a 52-week-high of $648.57 and a 52-week-low of $319.87. At the end of the last trading period, NVIDIA closed at $628.00.
Stephens & Co. upgraded the previous rating for Chipotle Mexican Grill Inc (NYSE:CMG) from Equal-Weight to Overweight. For the fourth quarter, Chipotle Mexican Grill had an EPS of $0.05, compared to year-ago quarter EPS of $0.09. At the moment, the stock has a 52-week-high of $1579.52 and a 52-week-low of $964.50. Chipotle Mexican Grill closed at $1345.81 at the end of the last trading period.
Stifel upgraded the previous rating for Target Hospitality Corp (NASDAQ:TH) from Hold to Buy. In the first quarter, Target Hospitality showed an EPS of $0.14, compared to $0.05 from the year-ago quarter. At the moment, the stock has a 52-week-high of $4.29 and a 52-week-low of $0.82. Target Hospitality closed at $3.24 at the end of the last trading period.
RBC Capital upgraded the previous rating for Ford Motor Co (NYSE:F) from Sector Perform to Outperform. In the first quarter, Ford Motor showed an EPS of $0.89, compared to $0.23 from the year-ago quarter. The stock has a 52-week-high of $13.95 and a 52-week-low of $5.57. At the end of the last trading period, Ford Motor closed at $13.90.
According to Exane BNP Paribas, the prior rating for Intuit Inc (NASDAQ:INTU) was changed from Underperform to Neutral. Intuit earned $6.07 in the third quarter, compared to $4.49 in the year-ago quarter. The current stock performance of Intuit shows a 52-week-high of $445.65 and a 52-week-low of $271.54. Moreover, at the end of the last trading period, the closing price was at $442.81.
According to Goldman Sachs, the prior rating for Occidental Petroleum Corp (NYSE:OXY) was changed from Neutral to Buy. For the first quarter, Occidental Petroleum had an EPS of $0.15, compared to year-ago quarter EPS of $0.52. The current stock performance of Occidental Petroleum shows a 52-week-high of $32.52 and a 52-week-low of $8.52. Moreover, at the end of the last trading period, the closing price was at $25.29.

See all analyst ratings upgrades.
 
Downgrades

For Terreno Realty Corp (NYSE:TRNO), Berenberg downgraded the previous rating of Buy to Hold. In the first quarter, Terreno Realty showed an EPS of $0.40, compared to $0.35 from the year-ago quarter. The current stock performance of Terreno Realty shows a 52-week-high of $64.87 and a 52-week-low of $49.12. Moreover, at the end of the last trading period, the closing price was at $63.94.
According to Berenberg, the prior rating for Monmouth Real Estate Investment Corp (NYSE:MNR) was changed from Buy to Hold. For the second quarter, Monmouth Real Estate had an EPS of $0.20, compared to year-ago quarter EPS of $0.20. At the moment, the stock has a 52-week-high of $19.50 and a 52-week-low of $12.75. Monmouth Real Estate closed at $19.21 at the end of the last trading period.
For IAC/InterActiveCorp (NASDAQ:IAC), BTIG downgraded the previous rating of Buy to Neutral. For the first quarter, IAC/InterActiveCorp had an EPS of $3.46, compared to year-ago quarter EPS of $0.01. The stock has a 52-week-high of $324.74 and a 52-week-low of $100.22. At the end of the last trading period, IAC/InterActiveCorp closed at $163.80.

See all analyst ratings downgrades.
 
Initiations

With a Buy rating, UBS initiated coverage on Five9 Inc (NASDAQ:FIVN). The price target seems to have been set at $200.00 for Five9. For the first quarter, Five9 had an EPS of $0.23, compared to year-ago quarter EPS of $0.17. The current stock performance of Five9 shows a 52-week-high of $201.75 and a 52-week-low of $92.50. Moreover, at the end of the last trading period, the closing price was at $175.30.
Jefferies initiated coverage on Solid Biosciences Inc (NASDAQ:SLDB) with a Buy rating. The price target for Solid Biosciences is set to $7.00. In the second quarter, Solid Biosciences showed an EPS of $0.19, compared to $0.39 from the year-ago quarter. At the moment, the stock has a 52-week-high of $11.58 ...Full story available on Benzinga.com",2021-05-27 14:02:07+00:00,https://www.benzinga.com/analyst-ratings/upgrades/21/05/21319860/benzingas-top-ratings-upgrades-downgrades-for-may-27-2021,Benzinga,0.032352941176470584,0.16274509803921566,neutral,0.032352941176470584,False,True,True,False,False,False,False,False,0.0,4288,"['RNG', 'TUFN', 'CHKP', 'VRNS', 'ZM', 'FOLD', 'SC', 'CRWD', 'FUNC', 'FIVN', 'FVRR', 'INTU', 'ALLY', 'NET', 'NVDA', 'IAC', 'ARQT', 'CMG', 'CRVS', 'SOAC', 'F', 'TWLO', 'OXY', 'CVNA', 'VNT', 'SXT', 'RZLT', 'GATO', 'TRNO', 'SLDB', 'ABNB', 'FTNT', 'ELOX', 'SBTX', 'MNR', 'ZS', 'UWMC', 'TH', 'MGY', 'ANGI', 'CCEP', 'PANW', 'SLGG', 'TMUS']",ANGI,2021-05-27
9 Communication Services Stocks Moving In Tuesday's Pre-Market Session,"Gainers

AMC Entertainment (NYSE:AMC) stock rose 14.66% to $29.95 during Tuesday's pre-market session. The company's market cap stands at $13.4 billion.
Lizhi (NASDAQ:LIZI) shares moved upwards by 5.84% to $7.06. The market value of their outstanding shares is at $353.6 million. As per the news, the Q1 earnings report came out today.
Bilibili (NASDAQ:BILI) stock moved ...Full story available on Benzinga.com",2021-06-01 12:13:11+00:00,https://www.benzinga.com/pre-market-outlook/21/06/21365648/9-communication-services-stocks-moving-in-tuesdays-pre-market-session,Benzinga,0.5,0.7416666666666667,positive,0.5,True,False,False,False,False,False,False,False,0.0,482,"['SIFY', 'TEF', 'ANGI', 'GOGO', 'AMC', 'BILI', 'QTT', 'LIZI', 'KUKE']",ANGI,2021-06-01
3 Great Conglomerate Stocks for Your IRA,"The mix of companies these stocks control can provide steady, long-term growth to power your retirement portfolio.",2021-07-14 11:30:00+00:00,https://www.fool.com/investing/2021/07/14/3-great-stocks-for-your-ira-csu-iac-bomn/,The Motley Fool,0.48333333333333334,0.625,positive,0.48333333333333334,False,False,False,False,False,False,False,False,0.0,156,"['BOMN', 'MGM', 'EXPE', 'CSU', 'IAC', 'ANGI', 'MTCH', 'DFH', 'VMEO']",ANGI,2021-07-14
