date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-06,0.1192,,1,0.1192,0.0,1,0,1,0,0,0,0,0,1153.0,APWC
2021-05-07,0.2149,,1,0.2149,0.0,1,1,1,0,0,0,0,0,2920.0,APWC
2021-05-27,0.1337,,1,0.1337,0.0,1,1,1,0,1,0,0,0,2681.0,APWC
2021-11-16,-0.0179,,1,0.0179,0.0,0,0,1,0,1,0,0,0,595.0,APWC
2021-12-14,-0.031,,1,0.031,0.0,0,0,1,0,1,0,0,0,674.0,APWC
2021-12-28,-0.0571,,1,0.0571,0.0,0,0,0,0,1,0,0,0,459.0,APWC
2022-01-14,-0.0714,,1,0.0714,0.0,0,0,0,0,1,0,0,0,428.0,APWC
2022-02-02,0.3571,,1,0.3571,0.0,0,0,0,0,1,0,0,0,582.0,APWC
2022-07-08,-0.0107,,1,0.0107,0.0,0,0,1,0,1,0,0,0,633.0,APWC
2022-08-04,0.0888,,1,0.0888,0.0,1,1,1,0,1,0,0,0,4426.0,APWC
2022-08-17,0.261,,1,0.261,0.0,0,1,0,0,0,0,0,0,1242.0,APWC
2022-08-26,0.1625,,1,0.1625,0.0,1,1,0,0,1,0,1,0,1806.0,APWC
2022-08-29,0.086,,1,0.086,0.0,1,1,1,0,1,0,1,0,3564.0,APWC
2022-09-07,-0.0286,,1,0.0286,0.0,0,0,1,0,1,0,0,0,609.0,APWC
2023-09-27,-0.0238,,1,0.0238,0.0,0,0,1,0,0,0,0,0,185.0,APWC
