date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-11-11,0.1665,0.2018,2,0.1665,0.0,1,1,0,1,0,2,0,0,1957.5,ASPI
2023-03-22,0.0774,,1,0.0774,0.0,1,1,1,0,0,0,0,0,2130.0,ASPI
2023-03-31,0.0549,,1,0.0549,0.0,1,1,1,0,0,1,0,0,2075.0,ASPI
2023-04-03,0.2284,,1,0.2284,0.0,0,1,1,0,0,0,0,0,702.0,ASPI
2023-04-06,0.0029,,1,0.0029,0.0,1,1,1,0,0,0,1,0,1982.0,ASPI
2023-05-03,-0.0127,,1,0.0127,0.0,0,0,1,0,0,0,0,0,1100.0,ASPI
2023-05-16,0.1673,0.0307,2,0.1673,0.0,1,0,1,0,1,1,0,0,1851.0,ASPI
2023-05-17,0.05,,1,0.05,0.0,1,0,1,0,0,0,0,0,1917.0,ASPI
2023-05-31,0.2738,,1,0.2738,0.0,0,0,0,0,0,0,0,0,1156.0,ASPI
2023-06-27,-0.2133,,1,0.2133,0.0,0,0,1,0,0,0,0,0,297.0,ASPI
2023-10-09,-0.1,,1,0.1,0.2,0,0,0,0,0,0,0,0,439.0,ASPI
2023-10-19,0.2,,1,0.2,0.0,0,0,0,0,0,0,1,0,523.0,ASPI
2023-10-27,-0.0469,,1,0.0469,0.0,0,0,0,0,0,0,1,0,626.0,ASPI
2023-10-29,0.1,,1,0.1,0.0,0,0,0,0,1,0,0,0,530.0,ASPI
2024-01-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,185.0,ASPI
2024-01-25,0.14,,1,0.14,0.0,0,0,1,0,0,0,0,0,700.0,ASPI
2024-02-07,0.14,,1,0.14,0.0,0,0,1,0,0,0,0,0,672.0,ASPI
2024-02-16,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,267.0,ASPI
2024-02-19,0.0271,,1,0.0271,0.0,0,0,0,0,1,0,0,0,638.0,ASPI
2024-02-22,0.0778,,1,0.0778,0.0,0,0,0,0,1,0,0,0,535.0,ASPI
2024-04-08,0.0375,,1,0.0375,0.0,0,0,0,0,1,0,0,0,625.0,ASPI
2024-04-09,-0.0917,,1,0.0917,0.0,0,0,0,0,0,0,0,0,612.0,ASPI
2024-06-13,0.1682,,1,0.1682,0.0,0,0,0,0,1,0,1,0,854.0,ASPI
2024-07-10,-0.0563,,1,0.0563,0.0,0,1,1,0,1,0,1,0,426.0,ASPI
2024-07-11,0.0508,0.1491,2,0.1054,0.0,0,0,0,0,1,0,0,0,339.5,ASPI
2024-07-12,0.0015,0.1314,3,0.1015,0.0,1,0,1,0,0,0,0,0,297.3333,ASPI
2024-07-15,0.075,,1,0.075,0.0,0,0,0,0,0,0,0,0,284.0,ASPI
2024-07-17,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,263.0,ASPI
2024-09-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,297.0,ASPI
2024-11-26,-0.3333,,1,0.3333,0.0,0,0,0,0,1,0,0,0,302.0,ASPI
2024-11-27,-0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,379.0,ASPI
2024-12-02,-0.23,0.099,2,0.23,0.0,0,0,1,0,2,0,0,0,371.0,ASPI
2024-12-05,-0.0959,0.1392,3,0.1374,0.0667,0,0,3,0,0,0,0,3,500.3333,ASPI
2024-12-06,-0.0667,0.0,2,0.0667,0.1,1,0,0,0,0,0,0,2,387.0,ASPI
2024-12-08,0.095,,1,0.095,0.2,0,0,1,0,0,0,0,1,605.0,ASPI
2024-12-11,-0.0063,0.0657,3,0.0437,0.1333,1,0,2,0,0,0,0,3,453.0,ASPI
2024-12-12,-0.2,,1,0.2,0.0,0,0,1,0,0,0,0,1,434.0,ASPI
2024-12-13,-0.0417,,1,0.0417,0.2,0,0,0,0,0,0,0,1,406.0,ASPI
2024-12-15,0.0844,,1,0.0844,0.2,0,0,1,0,0,0,0,1,589.0,ASPI
2024-12-17,-0.0189,0.0793,2,0.0561,0.1,1,1,1,0,0,0,0,2,448.5,ASPI
2024-12-18,0.0157,0.0788,2,0.0557,0.1,0,0,2,0,0,0,0,1,440.5,ASPI
2024-12-20,0.0429,,1,0.0429,0.2,0,0,1,0,0,0,0,1,514.0,ASPI
2024-12-23,-0.175,,1,0.175,0.0,0,0,1,0,0,0,0,1,327.0,ASPI
2024-12-26,-0.0389,0.0625,3,0.0556,0.1333,0,0,1,0,0,0,0,3,396.3333,ASPI
2024-12-27,0.007,0.0601,3,0.047,0.1333,0,0,2,0,0,0,0,3,416.0,ASPI
2024-12-30,0.0429,,1,0.0429,0.2,0,0,1,0,0,0,0,1,417.0,ASPI
2024-12-31,-0.0667,,1,0.0667,0.2,0,0,1,0,0,0,0,1,415.0,ASPI
