title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
24 Stocks Moving in Tuesday's Pre-Market Session,"Gainers

RiceBran Technologies (NASDAQ: RIBT) shares rose 29.1% to $1.20 in pre-market trading. RiceBran Technologies is scheduled to host a conference call on April 28th to discuss its Q1 financial results.
First Choice Bancorp (NASDAQ: FCBP) rose 20.4% to $29.25 in pre-market trading after the company reported a rise in Q1 earnings.
Teligent, Inc. (NASDAQ: TLGT) rose 17% to $0.7032 in pre-market trading. Teligent recently announced hiring of Ernest R. De Paolantonio as Chief Financial Officer.
Tian Ruixiang Holdings Ltd  (NASDAQ: TIRX) rose 16.6% to $14.01 in pre-market trading after reporting fiscal year 2020 financial results.
Zomedica Corp. (NYSE: ZOM) rose 11.5% to $1.26 in pre-market trading after climbing around 20% on Monday.
Atossa Therapeutics, Inc.  (NASDAQ: ATOS) shares rose 9.7% to $2.15 in pre-market trading after surging over 10% on Monday. The company recently filed for shelf of up to 13 million shares of common stock by selling stockholders.
MicroVision, Inc. (NASDAQ: MVIS) rose 9.4% to $28.93 in pre-market trading after surging 47% on Monday. The technology company has cemented its position as a “meme stock” and is spiking for the second straight session based on social media momentum.
Luokung Technology Corp. (NASDAQ: LKCO) rose 9% to $1.45 in pre-market trading after surging more than 18% on Monday. The company recently regained compliance with ...Full story available on Benzinga.com",2021-04-27 11:05:21+00:00,https://www.benzinga.com/news/21/04/20808356/24-stocks-moving-in-tuesdays-pre-market-session,Benzinga,0.28015873015873016,0.5023809523809524,positive,0.28015873015873016,True,False,True,False,False,False,False,False,0.0,1477,"['ASTC', 'FRSX', 'HSII', 'FCBP', 'MVIS', 'LKCO', 'CTRM', 'RMTI', 'HYFM', 'RNWK', 'ARVL', 'LLY', 'TIRX', 'TBI', 'UPS', 'TSLA', 'NSPR', 'ATOS', 'ALDX', 'RIBT', 'TLGT', 'ZOM', 'FTFT']",ASTC,2021-04-27
11 Industrials Stocks Moving In Tuesday's Intraday Session,"Gainers

Ultralife (NASDAQ:ULBI) shares moved upwards by 26.02% to $10.72 during Tuesday's regular session. As of 12:30 EST, this security is trading at a volume of 18.8 million shares, making up 18204.49% of its average full-day volume over the last 100 days. The company's market cap stands at $171.5 million.
Orbital Energy Group (NASDAQ:OEG) shares rose 20.53% to $3.58. As of 12:30 EST, Orbital Energy Group's stock is trading at a volume of 1.4 million, which is 61.54% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $166.7 million. The company's, Q1 earnings came out yesterday.
Quest Resource Holding (NASDAQ:QRHC) shares moved upwards by 16.9% to $4.08. As of 12:30 EST, this security is trading at a volume of 211.2K shares, making up 254.53% of its average full-day volume over the last 100 days. The company's market cap stands at $75.1 million. As per the news, the Q1 earnings report came out ...Full story available on Benzinga.com",2021-05-18 16:46:58+00:00,https://www.benzinga.com/intraday-update/21/05/21181187/11-industrials-stocks-moving-in-tuesdays-intraday-session,Benzinga,0.10499999999999998,0.3701923076923077,positive,0.10499999999999998,True,False,True,False,False,False,False,False,0.0,1065,"['ASTC', 'BEST', 'NNBR', 'ULBI', 'QUAD', 'TOMZ', 'BCC', 'OEG', 'QRHC', 'EH', 'AXON']",ASTC,2021-05-18
12 Industrials Stocks Moving In Friday's Pre-Market Session,"Gainers

Virgin Galactic Hldgs (NYSE:SPCE) stock increased by 4.29% to $20.66 during Friday's pre-market session. The market value of their outstanding shares is at $4.9 billion.
KAR Auction Services (NYSE:KAR) stock moved upwards by 4.22% to $18.51. The market value of their outstanding shares is at $2.3 billion.
TPI Composites (NASDAQ:TPIC) stock increased by 4.12% to $48.5. The market value of their outstanding shares is at $1.7 billion.
Beam Global (NASDAQ:BEEM) shares rose 3.68% to $26.45. The ...Full story available on Benzinga.com",2021-05-21 12:14:13+00:00,https://www.benzinga.com/pre-market-outlook/21/05/21233780/12-industrials-stocks-moving-in-fridays-pre-market-session,Benzinga,0.4166666666666667,0.6625,positive,0.4166666666666667,False,False,False,False,False,False,False,False,0.0,604,"['ASTC', 'CLWT', 'EFOI', 'OPTT', 'DNB', 'KAR', 'RTX', 'SGBX', 'TPIC', 'VRT', 'SPCE', 'BEEM']",ASTC,2021-05-21
Is It Good To Invest In Penny Stocks? Insiders Say Yes With Over $3M,"Penny stocks to buy according to these insiders.
The post Is It Good To Invest In Penny Stocks? Insiders Say Yes With Over $3M appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",2022-08-25 19:11:03+00:00,https://pennystocks.com/featured/2022/08/25/is-it-good-to-invest-in-penny-stocks-insiders-say-yes-with-over-3m/,PennyStocks,0.5499999999999999,0.5111111111111112,positive,0.5499999999999999,False,True,False,False,False,False,False,False,0.0,282,"['ASTC', 'FXLV', 'PRCH', 'XXII']",ASTC,2022-08-25
Paltalk And 3 Other Stocks Under $3 Insiders Are Aggressively Buying,"The Dow Jones tumbled by over 500 points on Friday. Investors, meanwhile, focused on some notable insider trades.
When insiders purchase or sell shares, it indicates their confidence or concern around the company's prospects. Investors and traders interested in penny stocks can consider this a factor in their overall investment or trading decision.
Below is a look at a few recent notable insider transactions for penny stocks. For more, check out  Benzinga's insider transactions  platform.3
Aeglea BioTherapeutics 

The Trade:  Aeglea BioTherapeutics, Inc.  (NASDAQ: AGLE) Director Marcio Souza  bought a total of 90,000 shares  at an average price of $0.56. To acquire these shares, it cost around $50.47 thousand.
What’s Happening: Aeglea BioTherapeutics recently announced a leadership transition and corporate restructuring to focus resources on AGLE-177 ...",2022-08-26 16:03:51+00:00,https://www.benzinga.com/trading-ideas/long-ideas/22/08/28652190/paltalk-and-3-other-stocks-under-3-insiders-are-aggressively-buying,Benzinga,0.10625000000000001,0.34375,positive,0.10625000000000001,False,True,False,False,False,False,True,False,0.0,936,"['ASTC', 'AGLE', 'PALT', 'OPFI']",ASTC,2022-08-26
Astrotech And 2 Other Penny Stocks Are Aggressively Buying,"The Dow Jones jumped by more than 300 points on Tuesday. Investors, meanwhile, focused on some notable insider trades.
When insiders purchase or sell shares, it indicates their confidence or concern around the company's prospects. Investors and traders interested in penny stocks can consider this a factor in their overall investment or trading decision.
Below is a look at a few recent notable insider transactions for penny stocks. For more, check out  Benzinga's insider transactions  platform.3
Axcella Health 

The Trade:  IDW Media Holdings, Inc.  (NYSE: IDW) CEO Allan Grafman  bought a total of 5,000 shares  at ...",2022-10-19 13:09:55+00:00,https://www.benzinga.com/trading-ideas/long-ideas/22/10/29323608/astrotech-and-2-other-penny-stocks-are-aggressively-buying,Benzinga,0.1925,0.3975,positive,0.1925,False,True,False,False,False,False,True,False,0.0,684,"['ASTC', 'IDW']",ASTC,2022-10-19
ASTROTECH CORPORATION Announces Advancement in Detection of Lung Infections ,The BreathTest-1000 TM The BreathTest-1000 TM,2022-11-22 17:00:00+00:00,https://www.globenewswire.com/news-release/2022/11/22/2561109/0/en/ASTROTECH-CORPORATION-Announces-Advancement-in-Detection-of-Lung-Infections.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,123,['ASTC'],ASTC,2022-11-22
"Beachbody, Spectrum Pharmaceuticals And This Industrial Stock Under $1 Insiders Are Aggressively Buying","The Dow Jones closed higher by around 35 points on Friday. Investors, meanwhile, focused on some notable insider trades.
When insiders purchase or sell shares, it indicates their confidence or concern around the company's prospects. Investors and traders interested in penny stocks can consider this a factor in their overall investment or trading decision.
Below is a look at a few recent notable insider transactions for penny stocks. For more, check out  Benzinga's insider transactions  platform.
Spectrum Pharmaceuticals 

The Trade:  Spectrum Pharmaceuticals, Inc. (NASDAQ: SPPI) Director Jeffrey L. Vacirca  bought a total of 50,000 shares  at an average ...",2022-12-05 14:39:36+00:00,https://www.benzinga.com/trading-ideas/long-ideas/22/12/29958366/beachbody-spectrum-pharmaceuticals-and-this-industrial-stock-under-1-insiders-are-aggres,Benzinga,0.1409090909090909,0.3727272727272728,positive,0.1409090909090909,False,True,False,False,False,False,True,False,0.0,770,"['ASTC', 'SPPI', 'BODY']",ASTC,2022-12-05
ASTROTECH REGAINS COMPLIANCE WITH NASDAQ LISTING REQUIREMENTS,"AUSTIN, Texas, Dec.  21, 2022  (GLOBE NEWSWIRE) -- Astrotech Corporation (Nasdaq: ASTC) (the “Company” or “Astrotech”), a mass spectrometry company that launches, manages, and commercializes scalable companies based on its innovative core technology, today announced that it has received written notice from The Nasdaq Stock Market LLC (“Nasdaq”) informing the Company that it has regained compliance with Nasdaq’s minimum bid price listing requirement. The Company has satisfied the terms for continued listing on the Nasdaq Capital Market by complying with the minimum bid price requirement of $1.00 per share under Nasdaq Listing Rule 5550(a)(2). Accordingly, Nasdaq has advised that the matter is now closed.",2022-12-21 17:00:00+00:00,https://www.globenewswire.com/news-release/2022/12/21/2578085/0/en/ASTROTECH-REGAINS-COMPLIANCE-WITH-NASDAQ-LISTING-REQUIREMENTS.html,GlobeNewswire Inc.,0.3,0.7000000000000001,positive,0.3,False,False,False,False,True,False,False,False,0.0,775,['ASTC'],ASTC,2022-12-21
ASTROTECH ADOPTS LIMITED-DURATION STOCKHOLDER RIGHTS PLAN,Designed to ensure fair and equal treatment of all investors Designed to ensure fair and equal treatment of all investors,2022-12-21 21:30:00+00:00,https://www.globenewswire.com/news-release/2022/12/21/2578255/0/en/ASTROTECH-ADOPTS-LIMITED-DURATION-STOCKHOLDER-RIGHTS-PLAN.html,GlobeNewswire Inc.,0.35,0.575,positive,0.35,False,False,False,False,False,False,False,False,0.0,180,['ASTC'],ASTC,2022-12-21
Astrotech Reports Second Quarter of Fiscal Year 2023 Financial Results,"AUSTIN, Texas, Feb.  13, 2023  (GLOBE NEWSWIRE) -- Astrotech Corporation (Nasdaq: ASTC) (the “Company” or “Astrotech”) reported its financial results for its second quarter of fiscal year 2023, which ended December 31, 2022.",2023-02-13 13:00:00+00:00,https://www.globenewswire.com/news-release/2023/02/13/2606595/0/en/Astrotech-Reports-Second-Quarter-of-Fiscal-Year-2023-Financial-Results.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,True,False,False,False,False,False,0.0,296,['ASTC'],ASTC,2023-02-13
Astrotech Reports Third Quarter of Fiscal Year 2023 Financial Results,"AUSTIN, Texas, May  11, 2023  (GLOBE NEWSWIRE) -- Astrotech Corporation (Nasdaq: ASTC) (the “Company” or “Astrotech”) reported its financial results for its third quarter of fiscal year 2023, which ended March 31, 2023.",2023-05-11 12:00:00+00:00,https://www.globenewswire.com/news-release/2023/05/11/2666701/0/en/Astrotech-Reports-Third-Quarter-of-Fiscal-Year-2023-Financial-Results.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,290,['ASTC'],ASTC,2023-05-11
Why American Equity Are Trading Higher By Around 9%; Here Are 20 Stocks Moving Premarket,"Gainers

Surgalign Holdings, Inc. (NASDAQ: SRGA) shares surged 49.8% to $0.3401 in pre-market trading after dropping around 19% on Monday. Surgalign Holdings recently entered into an asset purchase agreement to sell its U.S. hardware and biomaterials assets and the equity interests in non-Debtor entities related to the Debtors' hardware business outside of the U.S. to Xtant Medical Holdings for $5 million.
BIOLASE, Inc. (NASDAQ: BIOL) shares gained 23.4% to $0.0969 in pre-market trading. Biolase was recently notified by Nasdaq that the company did not meet the minimum closing bid price requirement of $1.00 for continued listing.
InnSuites Hospitality Trust (NYSE: IHT) shares rose 17.2% to $3.06 in pre-market trading after gaining 13% on Monday.
Avalo Therapeutics, Inc. (NASDAQ: AVTX) shares rose 17% to $0.5842 in pre-market trading. Avalo Therapeutics shares dipped around 89% on Monday after the company released topline results from the Phase 2 PEAK trial evaluating AVTX-002 (anti-LIGHT mAb) in patients with poorly controlled non-eosinophilic asthma (NEA).
View, Inc. (NASDAQ: VIEW) shares climbed 15% to $0.1381 in pre-market trading after declining around 10% on Monday. View recently filed a new patent application ...",2023-06-27 12:19:37+00:00,https://www.benzinga.com/news/23/06/33021667/why-american-equity-are-trading-higher-by-around-9-here-are-20-stocks-moving-premarket,Benzinga,0.09886363636363633,0.38787878787878777,neutral,0.09886363636363633,False,False,False,False,True,True,False,False,0.0,1327,"['DMS', 'SRGA', 'RIDE', 'IHT', 'DSGN', 'LOV', 'IRNT', 'ACET', 'ASTC', 'BRSH', 'AEL', 'VIEW', 'BIOL', 'IMBI', 'MEDS', 'VQS', 'ZYNE', 'EVLO', 'AVTX', 'OCFT']",ASTC,2023-06-27
"CIRCOR International, Enovix, Edgewise Therapeutics And Other Big Stocks Moving Higher On Tuesday","U.S. stocks traded higher, with the Dow Joned gaining around 100 points on Tuesday. Here are some big stocks recording gains in today’s session.

American Equity Investment Life Holding Company  (NYSE: AEL) shares rose 17.6% to $53.02 after the company announced it has received a $55 per share acquisition proposal from Brookfield Reinsurance.
Astrotech Corporation (NASDAQ: ASTC) climbed 13.5% to $12.95. Astrotech 13D filing showed BML Investment Partners, L.P. increased stake in the company to 13%.
Enovix Corporation (NASDAQ: ENVX) rose 12.1% to $14.71 after the company announced it received a purchase order to produce battery cells for the U.S. Army.
WeWork Inc. (NYSE: WE) jumped 11.1% to $0.2601.
Global Blue Group Holding AG (NYSE: ...",2023-06-27 14:31:33+00:00,https://www.benzinga.com/news/23/06/33026043/circor-international-enovix-edgewise-therapeutics-and-other-big-stocks-moving-higher-on-tuesday,Benzinga,0.1431818181818182,0.32500000000000007,positive,0.1431818181818182,False,True,False,False,False,False,False,False,0.0,846,"['AUR', 'ISPR', 'ASTC', 'HA', 'SSYS', 'AEL', 'CIR', 'GB', 'U', 'ORGN', 'MARA', 'HUT', 'WE', 'NIO', 'EWTX', 'ENVX']",ASTC,2023-06-27
