date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-07,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,180.5,ATEC
2021-07-15,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,140.0,ATEC
2021-07-26,0.2429,,1,0.2429,0.0,0,0,0,0,0,0,1,0,751.0,ATEC
2021-07-27,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,238.0,ATEC
2021-07-28,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,424.0,ATEC
2021-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,243.0,ATEC
2021-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,117.0,ATEC
2021-08-13,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,143.0,ATEC
2021-10-20,0.0406,,1,0.0406,0.0,0,0,0,0,0,0,0,0,146.0,ATEC
2021-11-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,247.0,ATEC
2021-11-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,123.0,ATEC
2021-11-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,122.0,ATEC
2022-01-11,0.1188,,1,0.1188,0.0,1,0,0,0,0,0,0,0,277.0,ATEC
2022-02-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,235.0,ATEC
2022-02-24,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,243.0,ATEC
2022-02-25,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,245.0,ATEC
2022-03-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,246.0,ATEC
2022-03-21,0.1571,,1,0.1571,0.0,1,0,0,0,0,0,0,0,263.0,ATEC
2022-04-04,0.1689,,1,0.1689,0.0,1,0,0,0,0,0,0,0,282.0,ATEC
2022-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,272.0,ATEC
2022-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,243.0,ATEC
2022-07-28,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,260.0,ATEC
2022-08-01,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,258.0,ATEC
2022-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,241.0,ATEC
2022-09-12,-0.0216,,1,0.0216,0.0,0,1,1,0,0,0,0,0,5192.0,ATEC
2022-09-29,0.1407,,1,0.1407,0.0,1,0,0,0,0,0,0,0,277.0,ATEC
2022-10-05,0.2202,,1,0.2202,0.0,1,0,0,0,0,0,0,0,355.0,ATEC
2022-10-10,0.1042,,1,0.1042,0.0,0,0,0,0,0,0,0,0,450.0,ATEC
2022-10-12,0.0714,0.0879,3,0.089,0.0,0,1,1,0,0,0,0,0,3005.3333,ATEC
2022-10-27,-0.0024,,1,0.0024,0.0,1,0,0,0,0,0,0,0,250.0,ATEC
2022-11-04,0.006,,1,0.006,0.0,0,0,0,0,0,0,0,0,738.0,ATEC
2023-02-10,0.0875,,1,0.0875,0.0,1,0,0,0,0,0,0,0,281.0,ATEC
2023-03-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,243.0,ATEC
2023-03-15,-0.0722,,1,0.0722,0.0,0,0,0,0,0,0,0,0,80.0,ATEC
2023-04-27,-0.0024,,1,0.0024,0.0,1,0,0,0,0,0,0,0,250.0,ATEC
2023-05-02,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,234.0,ATEC
2023-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,240.0,ATEC
2023-05-05,0.1067,,1,0.1067,0.0,0,0,0,0,0,0,0,0,735.0,ATEC
2023-05-26,0.1116,,1,0.1116,0.0,0,0,0,0,0,0,0,0,680.0,ATEC
2023-06-06,0.4111,,1,0.4111,0.0,1,1,0,0,0,0,0,0,134.0,ATEC
2023-06-26,0.1,,1,0.1,0.0,0,1,0,0,1,0,0,0,747.0,ATEC
2023-06-27,0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,285.0,ATEC
2023-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,242.0,ATEC
2023-08-04,0.0231,,1,0.0231,0.0,0,0,0,0,0,0,0,0,692.0,ATEC
2023-10-20,0.0409,0.0999,2,0.0707,0.0,0,1,1,0,0,0,0,0,3273.5,ATEC
2023-10-25,0.0002,0.1287,4,0.1056,0.05,2,1,0,0,0,0,0,0,1156.75,ATEC
2023-11-07,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,986.0,ATEC
2023-11-14,0.0456,,1,0.0456,0.0,0,0,0,0,0,0,0,0,579.0,ATEC
2024-02-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,246.0,ATEC
2024-03-13,0.0094,0.0123,2,0.0094,0.1,0,2,0,0,0,0,0,0,1730.5,ATEC
2024-05-06,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,256.0,ATEC
2024-05-08,0.0008,,1,0.0008,0.0,0,1,0,0,0,0,0,0,1830.0,ATEC
