title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Atlantic Tele-Network (ATNI) Tops Q1 Earnings and Revenue Estimates,"Atlantic Tele-Network (ATNI) delivered earnings and revenue surprises of 1600.00% and 3.13%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-27 22:25:09+00:00,http://www.zacks.com/stock/news/1463748/atlantic-tele-network-atni-tops-q1-earnings-and-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1463748,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,269,['ATNI'],ATNI,2021-04-27
"ATN International, Inc. (ATNI) Q1 2021 Earnings Call Transcript","ATNI earnings call for the period ending March 31, 2021.",2021-04-28 22:30:58+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/28/atn-international-inc-atni-q1-2021-earnings-call-t/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,121,['ATNI'],ATNI,2021-04-28
"U.S. Cellular (USM) Hits 52-Week High, Can the Run Continue?","U.S. Cellular (USM) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",2021-05-17 13:15:10+00:00,http://www.zacks.com/stock/news/1565251/us-cellular-usm-hits-52-week-high-can-the-run-continue?cid=CS-ZC-FT-52_week_high-1565251,Zacks Investment Research,0.20500000000000002,0.42624999999999996,positive,0.20500000000000002,False,False,False,False,False,False,False,False,0.0,212,"['USM', 'SKM', 'SATS', 'ATNI']",ATNI,2021-05-17
"AT&T (T) Offers Business Update, to Retain Core Focus Post Spin Off","With the business update, AT&T (T) apprises investors of the fact that the separation of the media assets would offer an opportunity to better align its communications business and reduce debt burden.",2021-05-25 10:56:00+00:00,http://www.zacks.com/stock/news/1602967/att-t-offers-business-update-to-retain-core-focus-post-spin-off?cid=CS-ZC-FT-analyst_blog|company_news_tech_sector-1602967,Zacks Investment Research,0.3,0.25,positive,0.3,False,False,False,False,False,True,False,False,0.0,269,"['T', 'DISCA', 'ATNI', 'CCOI']",ATNI,2021-05-25
Verizon (VZ) Extends DOOH Ad Suite for One-Stop Solution,"The integrated platform from Verizon (VZ) will aid digital advertisers in campaign planning, execution and measurement activities to effectively execute and measure promotional campaigns as well as drive operational efficiencies in media investments.",2021-05-26 13:15:00+00:00,http://www.zacks.com/stock/news/1608628/verizon-vz-extends-dooh-ad-suite-for-one-stop-solution?cid=CS-ZC-FT-analyst_blog|company_news_tech_sector-1608628,Zacks Investment Research,0.3,0.4,positive,0.3,False,False,False,False,False,False,False,False,0.0,308,"['VZ', 'USM', 'ATNI', 'CCOI']",ATNI,2021-05-26
AT&T (T) Boosts Hybrid Workforce Communication With Cisco Tie-Up,"Per the deal, Cisco's Webex Calling will be made available to AT&T's (T) enterprise clients in order to optimize business operations and facilitate the seamless transition to the digital realm.",2021-06-07 12:01:00+00:00,https://www.zacks.com/stock/news/1669500/att-t-boosts-hybrid-workforce-communication-with-cisco-tie-up,Zacks Investment Research,0.16666666666666666,0.16666666666666666,positive,0.16666666666666666,False,False,False,False,False,False,False,False,0.0,259,"['T', 'CSCO', 'USM', 'ATNI']",ATNI,2021-06-07
Verizon (VZ) Enables Seamless Transition of Fleet Customers to 4G,"With Verizon Connect solution from Verizon (VZ), fleet operators will be able to migrate their vehicle tracking units to a faster 4G network that boasts extended wireless network coverage, higher bandwidth and lower latency.",2021-06-09 13:02:00+00:00,https://www.zacks.com/stock/news/1680105/verizon-vz-enables-seamless-transition-of-fleet-customers-to-4g,Zacks Investment Research,0.2833333333333333,0.4083333333333334,positive,0.2833333333333333,False,False,False,False,False,False,False,False,0.0,291,"['VZ', 'USM', 'ATNI', 'CCOI']",ATNI,2021-06-09
"Verizon (VZ) Launches On Site 5G, Opens Commercial 5G Floodgates","Verizon (VZ) solution enables firms that were facing coverage gaps, lost connectivity, fractured security, data congestion & inconsistent service quality to have a dedicated capacity with adequate bandwidth.",2021-06-11 12:05:00+00:00,https://www.zacks.com/stock/news/1690557/verizon-vz-launches-on-site-5g-opens-commercial-5g-floodgates,Zacks Investment Research,0.16666666666666666,0.16666666666666666,positive,0.16666666666666666,False,False,True,False,True,False,False,False,0.0,273,"['USM', 'VZ', 'ATNI', 'CCOI']",ATNI,2021-06-11
Sony (SONY) to Launch Airpeak S1 Commercial Drone in Fall 2021,Sony (SONY) is concentrating on the premium segment of the branded products market to maximize growth and the Airpeak S1 launch is likely to help it gain a bigger pie in the drone segment.,2021-06-14 12:48:00+00:00,https://www.zacks.com/stock/news/1705374/sony-sony-to-launch-airpeak-s1-commercial-drone-in-fall-2021,Zacks Investment Research,0.0,0.5,neutral,0.0,False,False,False,False,True,False,False,False,0.0,252,"['USM', 'ATNI', 'CCOI', 'SONY']",ATNI,2021-06-14
ATN International (ATNI) Sees Hammer Chart Pattern: Time to Buy?,"ATN International (ATNI) has been struggling lately, but the selling pressure may be coming to an end soon.",2021-06-18 10:11:00+00:00,https://www.zacks.com/stock/news/1726599/atn-international-atni-sees-hammer-chart-pattern-time-to-buy,Zacks Investment Research,-0.09999999999999999,0.19999999999999998,neutral,0.09999999999999999,False,True,False,False,False,False,False,False,0.0,173,['ATNI'],ATNI,2021-06-18
What Makes Altice (ATUS) a Promising Pick for Investors Now?,"Altice (ATUS) is likely to benefit from greater scale, operating efficiency and additional investments, which are at the core of its business strategy.",2021-06-21 11:49:00+00:00,https://www.zacks.com/stock/news/1741806/what-makes-altice-atus-a-promising-pick-for-investors-now,Zacks Investment Research,0.2333333333333333,0.6666666666666666,positive,0.2333333333333333,False,False,False,False,False,False,False,False,0.0,213,"['ATNI', 'SEAC', 'OOMA', 'ATUS']",ATNI,2021-06-21
Verizon (VZ) Augments Location Accuracy With Senion Buyout,The buyout is likely to enable Verizon (VZ) to scale up location awareness in IoT devices and harness its power to build customizable solutions with end-to-end development.,2021-06-22 12:29:00+00:00,https://www.zacks.com/stock/news/1747221/verizon-vz-augments-location-accuracy-with-senion-buyout,Zacks Investment Research,0.0,1.0,neutral,0.0,False,True,False,False,False,False,False,False,0.0,232,"['USM', 'VZ', 'ATNI', 'CMBM']",ATNI,2021-06-22
