title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"The Daily Biotech Pulse: Valneva Inks COVID-19 Vaccine Supply Contract In Europe, I-Mab Spikes On China Deal, DermTech Sinks On Guidance","Here's a roundup of top developments in the biotech space over the last 24 hours.
Stocks In Focus
MorphoSys COO To Leave To Pursue Other Opportunities
MorphoSys AG (NASDAQ: MOR) announced that Roland Wandeler has decided to step down from his position as chief operating officer and member of the board, effective Dec. 31, to pursue other opportunities. Following Wandeler's departure, the commercial organization led by Joe Horvat, U.S. General Manager, will report directly to the chief executive officer, Jean-Paul Kress.
The stock was down 2.35% at $11.20 in premarket trading.
GeoVax In-licenses Phase 2 COVID-19 Vaccine Candidate
GeoVax Labs Inc. (NASDAQ: GOVX)  announced it has entered into an exclusive license agreement with cancer research and treatment organization City of Hope.
The agreement grants GeoVax exclusive rights to further develop and commercialize a multi-antigenic SARS-CoV-2 investigational vaccine, developed at City of Hope for immunocompromised patients, which is currently being studied in an ongoing Phase 2 clinical trial and shows a strong potential to be used in the general population as a primary and/or general booster vaccine against COVID-19 worldwide.
The stock was advancing 3.82% to $4.35 in premarket trading.
Click  here  to access Benzinga's FDA Calendar
CodexDNA to Buy Synthetic Biology Product Company Eton Bioscience
Codex DNA, Inc. (NASDAQ: DNAY) announced it has agreed to acquire Eton Bioscience, a privately held provider of synthetic biology products and services. Under the terms of the deal, Codex DNA will pay approximately $13 million in cash for the acquisition.
""Together with the Eton team, we will be able to accelerate our BioXp system growth strategy within the synthetic biology market,"" said Todd Nelson, CEO of Codex DNA.
Separately, the company reported below-consensus results for the third quarter.
In premarket trading, Codex DNA was up 7.21% to $9.96.
I-Mab Announces Distribution Agreement For Pediatric Growth Hormone Deficiency Hormone Drug Candidate In China
I-Mab (NASDAQ: IMAB) announced it has entered into a strategic collaboration agreement with Jumpcan Pharmaceutical Group, a Chinese pharmaceutical company, for the development, manufacturing and commercialization of I-Mab's highly differentiated long-acting recombinant human growth hormone, eftansomatropin alfa in mainland China.
According to the terms of the collaboration agreement, Jumpcan will make an upfront payment of 224 million yuan ($35.05 million) to I-Mab and, upon achievement of development, registration and sales milestones, certain milestone payments of up to 1.792 billion yuan, making the non-royalty payments a total of up to 2.016 billion yuan. In addition, I-Mab and Jumpcan will share profits generated from commercialization of the product in mainland China on a 50/50 basis, pursuant to which I-Mab will be entitled to receive tiered low double-digit royalties on net sales.
The stock was gaining 8.08% to $62.10 in after-hours trading.
Nanobiotix Announces Positive Pre-clinical Data For Radiotherapy-activated NBTXR3
Nanobiotix (NASDAQ: NBTX) said preclinical data to be ...",2021-11-10 13:19:29+00:00,https://www.benzinga.com/general/biotech/21/11/24008674/the-daily-biotech-pulse-valneva-inks-covid-19-vaccine-supply-contract-in-europe-i-mab-spikes-on-c,Benzinga,0.07041759587214132,0.37983820892911796,neutral,0.07041759587214132,True,True,True,False,True,False,True,False,0.0,3278,"['GMAB', 'MOR', 'LMDX', 'DMTK', 'INBX', 'HOOK', 'AFMD', 'BNTX', 'IBB', 'ADMA', 'GRTX', 'LIFE', 'BCDA', 'IMAB', 'NKTR', 'CRVS', 'ANPC', 'ME', 'CLSD', 'ZNTL', 'MRK', 'ACIU', 'NARI', 'AMPE', 'KALV', 'MRVI', 'GOVX', 'ATXI', 'NBTX', 'NAVB', 'DARE', 'IMCR', 'CERE', 'FENC', 'IKNA', 'BIOL', 'BIOX', 'VALN', 'SHC', 'BTAI', 'DNAY', 'NUVL', 'TCRX', 'VERV', 'IMMP', 'PDSB', 'ATXS', 'MRTX', 'TMDX']",ATXS,2021-11-10
"How Much Upside is Left in Astria Therapeutics, Inc. (ATXS)? Wall Street Analysts Think 229%","The consensus price target hints at a 229.5% upside potential for Astria Therapeutics, Inc. (ATXS). While empirical research shows that this sought-after metric is hardly effective, an upward trend in earnings estimate revisions could mean that the stock will witness an upside in the near term.",2021-11-17 15:15:00+00:00,https://www.zacks.com/stock/news/1828910/how-much-upside-is-left-in-astria-therapeutics-inc-atxs-wall-street-analysts-think-229,Zacks Investment Research,0.09821428571428571,0.45535714285714285,neutral,0.09821428571428571,True,False,False,False,False,False,False,False,0.0,389,['ATXS'],ATXS,2021-11-17
"Does Astria Therapeutics, Inc. (ATXS) Have the Potential to Rally 234% as Wall Street Analysts Expect?","The mean of analysts' price targets for Astria Therapeutics, Inc. (ATXS) points to a 234.4% upside in the stock. While this highly sought-after metric has not proven reasonably effective, strong agreement among analysts in raising earnings estimates does indicate an upside in the stock.",2022-08-15 13:55:23+00:00,https://www.zacks.com/stock/news/1968189/does-astria-therapeutics-inc-atxs-have-the-potential-to-rally-234-as-wall-street-analysts-expect,Zacks Investment Research,0.17616666666666667,0.7521666666666667,positive,0.17616666666666667,True,False,False,False,False,False,False,False,0.0,391,['ATXS'],ATXS,2022-08-15
"RCI Hospitality, AbCellera Biologics And Some Other Big Stocks Moving Higher On Thursday","U.S. stocks traded lower, with the Dow Jones dropping over 600 points on Thursday. Here are some big stocks recording gains in today’s session.

Icosavax, Inc. (NASDAQ: ICVX) shares jumped 42.9% to $12.75. Icosavax shares jumped 112% on Wednesday after the company provided a six-month immunogenicity update from its Phase 1/1b trial of IVX-121 against respiratory syncytial virus
Astria Therapeutics, Inc. (NASDAQ: ATXS) gained 15.8% to $12.76. Astria Therapeutics announced preliminary results from ...",2022-12-15 15:41:53+00:00,https://www.benzinga.com/news/22/12/30094576/rci-hospitality-abcellera-biologics-and-some-other-big-stocks-moving-higher-on-thursday,Benzinga,0.03125,0.26875,neutral,0.03125,False,False,False,False,False,False,False,False,0.0,594,"['AGYS', 'RICK', 'NSTG', 'CVNA', 'ABCL', 'ICVX', 'RLYB', 'ATXS']",ATXS,2022-12-15
Why Third Harmonic Bio Shares Are Trading Lower By Over 78%? Here Are 40 Stocks Moving In Thursday's Mid-Day Session,"Gainers

Crown ElectroKinetics Corp. (NASDAQ: CRKN) jumped 69.6% to $0.2604 after gaining 17% on Wednesday. Crown ElectroKinetics, last month, posted a Q3 loss of $0.18 per share.
Core Scientific, Inc. (NASDAQ: CORZ) rose 65% to $0.4125. B. Riley Financial issued an open letter to Core Scientific shareholders and lenders.
Scopus BioPharma Inc. (NASDAQ: SCPS) shares jumped 58.1% to $0.3711 after declining 4% on Wednesday.
Icosavax, Inc. (NASDAQ: ICVX) shares climbed 42.9% to $12.75. Icosavax shares jumped 112% on Wednesday after the company provided a six-month immunogenicity update from its Phase 1/1b trial of IVX-121 against respiratory syncytial virus
IMV Inc.  (NASDAQ: IMV) surged 34.4% to $2.89 after the company announced initial data from the ongoing Phase 2B VITALIZE trial in patients with r/r DLBCL.
Clearmind Medicine Inc.  (NASDAQ: CMND) shares jumped 22.3% to $3.8898. Clearmind Medicine’s CEO, Dr. Adi Zuloff-Shani, issued a letter to shareholders.
Kintara Therapeutics, Inc. (NASDAQ: KTRA) rose 18.8% to $9.52. Kintara Therapeutics received orphan drug designation for VAL-083 for treatment of diffuse intrinsic pontine glioma.
Lanvin Group Holdings Ltd. (NYSE: LANV) gained 18% to $11.75.
Iterum Therapeutics plc (NASDAQ: ITRM) surged 18% to $1.34 after the company announced issuance of allowance for a U.S. patent covering oral sulopenem.
Troika Media Group, Inc. (NASDAQ: TRKA) gained 17% to $0.12.
Astria Therapeutics, Inc. (NASDAQ: ATXS) rose 15.8% to $12.76. Astria Therapeutics announced preliminary results from the Phase 1a trial of STAR-0215 in healthy subjects.
Steakholder Foods Ltd. (NASDAQ: STKH) rose 15% to $0.89.
Rallybio Corporation (NASDAQ: RLYB) surged 14.1% to $7.20. Rallybio announced publication of data highlighting the ability of HPA-1a-specific antibodies ...",2022-12-15 18:28:11+00:00,https://www.benzinga.com/news/22/12/30097865/why-third-harmonic-bio-shares-are-trading-lower-by-over-78-here-are-40-stocks-moving-in-thursdays-mi,Benzinga,0.29,0.4866666666666667,positive,0.29,True,False,False,False,False,False,True,False,0.0,1928,"['ICVX', 'HUYA', 'RLYB', 'ITRM', 'INDP', 'AGYS', 'ALIT', 'SRZN', 'NVAX', 'AXLA', 'ATXS', 'RICK', 'CRKN', 'CORZ', 'SHBI', 'KTRA', 'STKH', 'THRD', 'ELYS', 'MLGO', 'IMV', 'SIOX', 'RBLX', 'GLYC', 'PBLA', 'BIMI', 'WNW', 'DS', 'SCPS', 'NH', 'VLON', 'CKPT', 'TRKA', 'CVNA', 'VERV', 'APRN', 'MIRO', 'CMND']",ATXS,2022-12-15
Dow Dips Over 800 Points; S&P 500 Down 2.8%,"U.S. stocks traded lower toward the end of trading, with the Dow Jones dropping more than 800 points.
The Dow traded down 2.62% to 33,077.91 while the NASDAQ fell 3.45% to 10,785.29. The S&P 500 also fell, dropping, 2.80% to 3,883.40.
Also check this: DSS And 3 Other Stocks Under $1 Insiders Are Aggressively Buying 

Leading and Lagging Sectors

Real estate shares fell by just 1.1% on Thursday. Meanwhile, top gainers in the sector included  Creative Media & Community Trust (NASDAQ: CMCT), up 1%, and  Crown Castle Inc. (NYSE: CCI), up 1%.

In trading on Thursday, communication services shares tumbled by 3.7%.

Top Headline
 
The ECB increased interest rates by 50 bps during its latest meeting, announcing a fourth rate hike. The Bank of England also increased interest rates by 50 basis points to 3.5% during its December meeting.
 
Equities Trading UP
 

Kintara Therapeutics, Inc.  (NASDAQ: KTRA) shares shot up 30% to $10.39. Kintara Therapeutics received orphan drug designation for VAL-083 for THE treatment of diffuse intrinsic pontine glioma.
Shares of  IMV Inc.  (NASDAQ: IMV) got a boost, shooting 15% to $2.47 after the company announced initial data from the ongoing Phase 2B VITALIZE trial in patients with r/r DLBCL.
Astria Therapeutics, Inc. (NASDAQ: ATXS) shares were also up, gaining 15% to $12.64 after the company announced preliminary results from the Phase 1a trial of STAR-0215 in healthy subjects. Concurrently, Astria ...",2022-12-15 19:26:42+00:00,https://www.benzinga.com/news/earnings/22/12/30098651/dow-dips-over-800-points-s-p-500-down-2-8,Benzinga,0.23032407407407407,0.4293981481481482,positive,0.23032407407407407,False,True,True,False,False,False,False,False,0.0,1497,"['NVAX', 'CCI', 'IMV', 'CMCT', 'MIRO', 'ATXS']",ATXS,2022-12-15
Moderna To Rally Over 42%? Here Are 10 Other Price Target Changes For Monday,"Morgan Stanley cut  VTEX  (NYSE: VTEX) price  target from $7 to $5.  Morgan Stanley analyst Cesar Medina downgraded the stock from Overweight to Equal-Weight. VTEX shares fell 4.9% to close at $3.52 on Friday.
Keybanc cut  Progyny, Inc.  (NASDAQ: PGNY) price target from $55 to $45. Keybanc analyst Scott Schoenhaus maintained an Overweight rating on the stock. Progyny gained 4.1% to close at $31.83 on Friday.
SVB Leerink raised the price target on  Roivant Sciences Ltd.  (NASDAQ: ROIV) from $8 to $10. SVB Leerink analyst David Risinger maintained an Outperform rating on the stock. Roivant Sciences shares gained 1.1% to close at $7.32 on Friday.
Raymond James boosted  W. P. Carey Inc.  (NYSE: WPC) price target from $80 to ...Full story available on Benzinga.com",2022-12-19 13:29:48+00:00,https://www.benzinga.com/news/22/12/30127063/moderna-to-rally-over-42-here-are-10-other-price-target-changes-for-monday,Benzinga,0.1375,0.3875,positive,0.1375,False,False,False,False,False,False,False,False,0.0,847,"['ATRC', 'COP', 'WPC', 'XYL', 'GKOS', 'LHX', 'MRNA', 'PGNY', 'VTEX', 'ATXS', 'ROIV']",ATXS,2022-12-19
$10 Million Bet On This Healthcare Stock? Check Out These 3 Stocks Insiders Are Buying,"Although US stocks closed sharply higher on Wednesday, there were a few notable insider trades.
When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision.
Below is a look at a few recent notable insider purchases. For more, check out  Benzinga's insider transactions  platform.
Dave & Buster's Entertainment 

The Trade:  Dave & Buster's Entertainment, Inc. (NASDAQ: PLAY) 10% owner Scott Ross  ...",2022-12-22 13:35:27+00:00,https://www.benzinga.com/trading-ideas/long-ideas/22/12/30173404/10-million-bet-on-this-healthcare-stock-check-out-these-3-stocks-insiders-are-buying,Benzinga,0.2,0.38636363636363635,positive,0.2,False,True,False,False,False,False,False,False,0.0,782,"['PLAY', 'DUOL', 'ATXS']",ATXS,2022-12-22
"MillerKnoll, Cleveland-Cliffs And Some Other Big Stocks Moving Higher On Thursday","U.S. stocks traded lower, with the Dow Jones dropping over 400 points on Thursday. Here are some big stocks recording gains in today’s session.

AMC Entertainment Holdings, Inc. (NYSE: APE) jumped 77% to $1.21. AMC Entertainment Holdings Inc (NYSE: AMC) announced an equity capital raise and a debt for equity exchange. The company also proposed a vote to convert AMC Preferred Equity Units into common shares and enact a ...",2022-12-22 15:57:06+00:00,https://www.benzinga.com/news/22/12/30175977/millerknoll-cleveland-cliffs-and-some-other-big-stocks-moving-higher-on-thursday,Benzinga,-0.034999999999999996,0.315,neutral,0.034999999999999996,False,False,False,False,False,True,False,False,0.0,508,"['GGR', 'CLF', 'AMC', 'APE', 'DAO', 'DSGN', 'ICVX', 'ATXS', 'MLKN', 'ALVO']",ATXS,2022-12-22
"What Makes Astria Therapeutics, Inc. (ATXS) a Good Fit for 'Trend Investing'","If you are looking for stocks that are well positioned to maintain their recent uptrend, Astria Therapeutics, Inc. (ATXS) could be a great choice. It is one of the several stocks that passed through our ""Recent Price Strength"" screen.",2022-12-27 13:50:04+00:00,https://www.zacks.com/stock/news/2032485/what-makes-astria-therapeutics-inc-atxs-a-good-fit-for-trend-investing,Zacks Investment Research,0.3166666666666667,0.375,positive,0.3166666666666667,False,False,False,False,False,False,False,False,0.0,312,['ATXS'],ATXS,2022-12-27
