title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
U.S. IPO Weekly Recap: UFC Owner Endeavor Group Leads A 7 IPO Week,"The IPO market stayed active this past week with seven IPOs raising $1.9 billion. SPAC activity picked up slightly, with three blank check IPOs raising $560 million",2021-05-02 04:44:42+00:00,https://seekingalpha.com/article/4423439-us-ipo-weekly-recap-ufc-owner-endeavor-group-leads-7-ipo-week?source=feed,Seeking Alpha,-0.13749999999999998,0.25416666666666665,negative,0.13749999999999998,False,False,False,False,False,False,False,False,0.0,232,"['EDR', 'AVAH', 'PRVA', 'FTCI', 'HOWL', 'VACC', 'RCAT', 'BSKYU', 'IACC']",AVAH,2021-05-02
Aveanna Healthcare - Home Care Play,"Aveanna Healthcare has seen soft IPO pricing process. At this lower price, relative valuations are in line with peers, yet the entire home care sector trades at big multiples.",2021-05-02 05:47:12+00:00,https://seekingalpha.com/article/4423446-aveanna-healthcare-home-care-play?source=feed,Seeking Alpha,0.025,0.26875,neutral,0.025,False,False,True,False,False,False,False,False,0.0,212,"['AMED', 'EHC', 'AVAH']",AVAH,2021-05-02
Wall Street Breakfast: The Week Ahead,"Our weekend preview of earnings reports, conference presentations, investor days, IPOs, FDA decisions, Barron's mentions and other key events that could impact stocks.",2021-05-23 11:22:14+00:00,https://seekingalpha.com/article/4430700-wall-street-breakfast-week-ahead?source=feed,Seeking Alpha,-0.0625,0.6875,neutral,0.0625,True,False,True,False,False,False,False,False,0.0,206,"['DKS', 'NVDA', 'F', 'YUM', 'COIN', 'MSTR', 'RIDE', 'NDSN', 'AZO', 'ZS', 'TOL', 'JWN', 'CPRI', 'OKTA', 'SNOW', 'ANF', 'WDAY', 'RY', 'BBY', 'DG', 'BOX', 'DLTR', 'COST', 'ADSK', 'VMW', 'DELL', 'GPS', 'BIG', 'FRO', 'ZIP', 'FTCI', 'EDR', 'AVAH', 'VACC', 'HOWL', 'OZON', 'VMAR', 'AEI', 'BCTX', 'LOW', 'FLO', 'LYB', 'MMC', 'UVV', 'MTB', 'STND', 'T', 'DISCA', 'BMY', 'LNTH', 'ETON', 'GIS', 'FLDM', 'HY', 'VSTO', 'AVLR', 'CRL', 'XOM', 'SHOP', 'MARK', 'NAPA']",AVAH,2021-05-23
"Earnings Scheduled For May 25, 2021","Companies Reporting Before The Bell
• Elbit Systems (NASDAQ:ESLT) is likely to report quarterly earnings at $1.40 per share on revenue of $1.10 billion.
• Burning Rock Biotech (NASDAQ:BNR) is likely to report quarterly loss at $0.23 per share on revenue of $19.56 million.
• Trinity Biotech (NASDAQ:TRIB) is expected to report quarterly earnings at $0.07 per share on revenue of $24.00 million.
• Teligent (NASDAQ:TLGT) is expected to report quarterly loss at $2.11 per share on revenue of $9.94 million.
• MakeMyTrip (NASDAQ:MMYT) is likely to report quarterly loss at $0.12 per share on revenue of $76.86 million.
• Citi Trends (NASDAQ:CTRN) is estimated to report quarterly earnings at $2.90 per share on revenue of $277.00 million.
• Dycom Industries (NYSE:DY) is expected to report quarterly earnings at $0.06 per share on revenue of $752.10 million.
• Cracker Barrel Old (NASDAQ:CBRL) is expected to report quarterly earnings at $0.26 per share on revenue of $665.85 million.
• Viasat (NASDAQ:VSAT) is likely to report quarterly earnings at $0.01 per share on revenue of $608.10 million.
• AutoZone (NYSE:AZO) is projected to report quarterly earnings at $20.14 per share on revenue of ...Full story available on Benzinga.com",2021-05-25 08:09:31+00:00,https://www.benzinga.com/news/earnings/21/05/21271116/earnings-scheduled-for-may-25-2021,Benzinga,0.009999999999999998,0.6200000000000001,neutral,0.009999999999999998,True,False,False,False,False,False,False,False,0.0,1268,"['HEI', 'FINV', 'CBRL', 'JWN', 'AVAH', 'CSWC', 'NAT', 'TMCI', 'CTRN', 'SKY', 'ESEA', 'SOL', 'ESLT', 'TOL', 'INTU', 'HTHT', 'ITRN', 'MMYT', 'RRGB', 'VNET', 'TIGR', 'RAMP', 'TRIB', 'IMBI', 'URBN', 'VSAT', 'BNR', 'A', 'TEDU', 'AZO', 'TLGT', 'DV', 'STG', 'DY', 'ZS']",AVAH,2021-05-25
Aveanna Healthcare Holdings Announces Second-Quarter 2021 Financial Results,Revenue Increased 24.0% to $436.1 Million,2021-08-11 20:15:00+00:00,https://www.globenewswire.com/news-release/2021/08/11/2279238/0/en/Aveanna-Healthcare-Holdings-Announces-Second-Quarter-2021-Financial-Results.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,True,False,True,False,False,False,False,False,0.0,118,['AVAH'],AVAH,2021-08-11
Aveanna Healthcare Holdings Inc. (AVAH) Q2 2021 Earnings Call Transcript,"AVAH earnings call for the period ending June 30, 2021.",2021-08-13 02:30:50+00:00,https://www.fool.com/earnings/call-transcripts/2021/08/12/aveanna-healthcare-holdings-inc-avah-q2-2021-earni/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,129,['AVAH'],AVAH,2021-08-13
Aveanna Healthcare Holdings Announces Third-Quarter 2021 Financial Results,Third Quarter 2021 Highlights,2021-11-15 21:05:00+00:00,https://www.globenewswire.com/news-release/2021/11/15/2334711/0/en/Aveanna-Healthcare-Holdings-Announces-Third-Quarter-2021-Financial-Results.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,105,['AVAH'],AVAH,2021-11-15
Aveanna Healthcare Holdings Inc. (AVAH) Q3 2021 Earnings Call Transcript,"AVAH earnings call for the period ending September 30, 2021.",2021-11-17 05:00:28+00:00,https://www.fool.com/earnings/call-transcripts/2021/11/17/aveanna-healthcare-holdings-inc-avah-q3-2021-earni/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,134,['AVAH'],AVAH,2021-11-17
How Much Upside is Left in Aveanna (AVAH)? Wall Street Analysts Think 86%,"The consensus price target hints at an 85.6% upside potential for Aveanna (AVAH). While empirical research shows that this sought-after metric is hardly effective, an upward trend in earnings estimate revisions could mean that the stock will witness an upside in the near term.",2021-11-17 15:11:00+00:00,https://www.zacks.com/stock/news/1828901/how-much-upside-is-left-in-aveanna-avah-wall-street-analysts-think-86,Zacks Investment Research,0.09821428571428571,0.45535714285714285,neutral,0.09821428571428571,True,False,False,False,False,False,False,False,0.0,352,['AVAH'],AVAH,2021-11-17
Aveanna to Participate at Upcoming Investor Conferences,"ATLANTA, Nov.  19, 2021  (GLOBE NEWSWIRE) -- Aveanna Healthcare Holdings Inc. (“Aveanna”) (NASDAQ: AVAH) today announced that its management team will virtually attend the following investor conferences:",2021-11-19 13:00:00+00:00,https://www.globenewswire.com/news-release/2021/11/19/2338196/0/en/Aveanna-to-Participate-at-Upcoming-Investor-Conferences.html,GlobeNewswire Inc.,0.0,0.1,neutral,0.0,False,False,False,False,False,False,True,False,0.0,260,['AVAH'],AVAH,2021-11-19
