date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-07-27,0.05,,1,0.05,0.0,0,0,1,0,0,0,0,0,322.0,AWRE
2021-08-02,0.3417,,1,0.3417,0.0,0,0,0,0,1,0,0,0,290.0,AWRE
2021-10-12,0.0625,,1,0.0625,0.0,0,0,0,0,1,0,0,0,493.0,AWRE
2021-11-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,296.0,AWRE
2021-12-22,0.2738,,1,0.2738,0.0,0,1,1,0,0,0,1,0,330.0,AWRE
2022-01-12,0.31,,1,0.31,0.0,0,0,0,0,1,0,0,0,281.0,AWRE
2022-02-01,0.12,,1,0.12,0.0,0,0,0,0,1,0,0,0,516.0,AWRE
2022-02-09,0.2841,,1,0.2841,0.0,0,0,1,0,0,0,0,0,322.0,AWRE
2022-02-22,0.35,,1,0.35,0.0,0,0,1,1,0,0,1,0,350.0,AWRE
2022-02-28,-0.0417,,1,0.0417,0.0,0,0,1,0,0,0,0,0,462.0,AWRE
2022-03-15,0.25,,1,0.25,0.0,0,0,0,1,1,0,0,0,394.0,AWRE
2022-03-30,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,423.0,AWRE
2022-04-12,0.1,,1,0.1,0.0,0,0,0,0,1,0,0,0,534.0,AWRE
2022-05-06,0.1222,,1,0.1222,0.0,0,1,0,0,0,0,0,0,568.0,AWRE
2022-05-23,0.165,,1,0.165,0.0,0,1,0,0,0,0,1,0,734.0,AWRE
2022-06-15,0.3625,,1,0.3625,0.0,0,0,1,0,0,0,0,0,403.0,AWRE
2022-07-06,0.0619,,1,0.0619,0.0,0,0,0,0,0,0,0,0,569.0,AWRE
2022-07-13,0.0375,,1,0.0375,0.0,0,0,1,0,1,0,0,0,532.0,AWRE
2022-08-01,0.1875,,1,0.1875,0.0,0,0,0,0,1,0,0,0,432.0,AWRE
