date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-05-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,80.0,AXTI
2021-04-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,232.0,AXTI
2021-04-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,101.0,AXTI
2021-05-18,0.11,0.5798,2,0.41,0.0,0,1,0,0,0,0,0,0,378.5,AXTI
2021-05-20,1.0,,1,1.0,0.0,0,0,0,0,0,0,0,0,46.0,AXTI
2021-07-20,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,233.0,AXTI
2021-07-27,0.0833,0.1179,2,0.0833,0.0,1,1,0,0,0,0,0,0,497.5,AXTI
2021-07-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,100.0,AXTI
2021-08-12,0.2,,1,0.2,0.0,0,0,0,0,0,0,1,0,533.0,AXTI
2021-08-25,-0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,145.0,AXTI
2021-09-22,-0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,94.0,AXTI
2021-10-06,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,114.0,AXTI
2021-10-13,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,364.0,AXTI
2021-10-20,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,221.0,AXTI
2021-10-25,-0.1154,,1,0.1154,0.0,1,0,0,0,0,0,0,0,243.0,AXTI
2021-10-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,229.0,AXTI
2021-10-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,105.0,AXTI
2022-01-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,178.0,AXTI
2022-01-11,0.12,,1,0.12,0.0,0,0,0,0,0,0,0,0,668.0,AXTI
2022-01-14,0.1762,,1,0.1762,0.0,1,0,0,0,0,0,0,0,345.0,AXTI
2022-01-21,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,227.0,AXTI
2022-02-09,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,215.0,AXTI
2022-02-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,246.0,AXTI
2022-02-16,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,192.5,AXTI
2022-02-17,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,104.0,AXTI
2022-04-28,0.0625,0.0884,2,0.0625,0.0,2,0,0,0,0,0,0,0,178.0,AXTI
2022-04-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,101.0,AXTI
2022-07-05,-0.0071,,1,0.0071,0.0,0,0,0,0,1,0,0,0,745.0,AXTI
2022-07-06,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,360.0,AXTI
2022-07-12,-0.0458,,1,0.0458,0.0,0,0,1,0,1,0,0,0,714.0,AXTI
2022-07-28,0.0,0.0,2,0.0,0.0,2,0,1,0,0,0,0,0,171.0,AXTI
2022-07-29,0.1721,0.1586,6,0.1738,0.0333,3,0,4,0,5,0,0,0,1275.0,AXTI
2022-08-01,0.1069,0.0088,2,0.1069,0.1,0,2,1,0,1,0,0,0,2577.0,AXTI
2022-08-02,0.0975,,1,0.0975,0.0,1,0,0,0,0,0,0,0,359.0,AXTI
2022-08-04,0.0521,0.0913,2,0.0646,0.0,1,0,1,0,0,0,0,0,183.0,AXTI
2022-08-08,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,228.0,AXTI
2022-08-09,0.4111,,1,0.4111,0.0,0,0,0,0,0,0,0,0,214.0,AXTI
2022-08-17,0.65,,1,0.65,0.0,0,1,0,0,0,0,0,0,153.0,AXTI
2022-08-18,0.1762,,1,0.1762,0.0,1,0,0,0,0,0,0,0,345.0,AXTI
2022-08-23,0.1049,0.166,2,0.1174,0.0,0,0,1,0,0,0,0,0,182.0,AXTI
2022-10-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,209.0,AXTI
2022-10-04,0.2029,0.0852,3,0.2029,0.0,2,2,2,1,0,0,0,0,1380.0,AXTI
2022-10-05,-0.1571,,1,0.1571,0.0,0,0,0,0,0,0,0,0,1017.0,AXTI
2022-10-06,0.0208,,1,0.0208,0.0,0,0,0,0,0,0,0,0,706.0,AXTI
2022-10-07,-0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,81.0,AXTI
2022-10-19,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,228.0,AXTI
2022-10-24,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,263.0,AXTI
2022-10-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,224.0,AXTI
2022-10-28,0.0854,,1,0.0854,0.0,0,0,0,0,0,0,0,0,793.0,AXTI
2022-12-28,0.1073,,1,0.1073,0.0,0,0,0,0,0,0,0,0,514.0,AXTI
2023-01-10,0.225,,1,0.225,0.0,1,0,0,0,0,0,0,0,309.0,AXTI
2023-01-20,0.1459,,1,0.1459,0.0,1,0,1,0,0,0,1,0,1098.0,AXTI
2023-01-25,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,405.0,AXTI
2023-02-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,248.0,AXTI
2023-02-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,224.0,AXTI
2023-02-16,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,268.0,AXTI
2023-02-17,0.1352,0.1371,3,0.1506,0.0,2,1,3,1,0,1,0,0,3287.3333,AXTI
2023-03-10,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,167.0,AXTI
2023-04-10,0.125,,1,0.125,0.0,1,0,0,0,1,0,0,0,356.0,AXTI
2023-04-27,0.0625,0.0884,2,0.0625,0.0,1,0,0,0,0,0,0,0,256.5,AXTI
2023-05-25,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,542.0,AXTI
2023-06-16,0.0479,0.0384,2,0.0479,0.0,1,1,1,0,0,0,0,0,659.0,AXTI
2023-07-04,0.0455,,1,0.0455,0.0,1,0,1,0,1,0,0,0,191.0,AXTI
2023-07-05,0.0996,0.0669,5,0.0996,0.0,0,1,5,0,0,0,0,0,1467.0,AXTI
2023-07-11,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,362.0,AXTI
2023-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,229.0,AXTI
2023-08-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,332.0,AXTI
2023-09-20,0.069,,1,0.069,0.0,0,0,0,0,0,0,0,1,565.0,AXTI
2023-10-16,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,364.0,AXTI
2023-11-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,287.0,AXTI
2024-01-19,0.1689,,1,0.1689,0.0,1,0,0,0,0,0,0,0,274.0,AXTI
2024-01-23,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,364.0,AXTI
2024-02-22,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,275.0,AXTI
2024-02-23,0.1762,0.0807,6,0.1762,0.0333,5,1,3,0,1,0,1,0,1182.0,AXTI
2024-02-29,0.13,,1,0.13,0.0,0,0,0,0,0,0,0,0,147.0,AXTI
2024-03-01,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,164.0,AXTI
2024-03-19,-0.0143,,1,0.0143,0.0,0,0,1,0,0,0,0,0,188.0,AXTI
2024-04-04,0.0404,0.0748,2,0.0529,0.0,1,1,2,0,0,0,0,0,1197.5,AXTI
2024-04-08,0.0558,0.0671,2,0.0558,0.0,2,1,0,0,1,1,0,0,1385.5,AXTI
