date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-02-10,0.1375,,1,0.1375,0.0,0,0,0,0,0,0,1,0,189.0,BAFN
2022-04-29,-0.0571,,1,0.0571,0.0,0,0,1,0,0,1,1,0,598.0,BAFN
2022-09-19,0.1709,,1,0.1709,0.0,1,1,0,0,0,0,0,0,2789.0,BAFN
2022-09-21,-0.0274,,1,0.0274,0.0,0,0,1,0,1,0,1,0,704.0,BAFN
2022-10-28,0.0679,,1,0.0679,0.0,1,0,1,0,1,0,0,0,1231.0,BAFN
2022-11-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,282.0,BAFN
2023-01-09,0.0227,,1,0.0227,0.0,0,0,0,0,0,0,1,0,532.0,BAFN
2023-01-26,0.0426,,1,0.0426,0.0,1,0,0,0,1,0,0,0,933.0,BAFN
2023-02-06,0.1976,,1,0.1976,0.0,0,0,0,0,0,0,1,0,936.0,BAFN
2023-02-21,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,206.0,BAFN
2023-02-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,377.0,BAFN
2023-02-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,379.0,BAFN
2023-03-06,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,1,0,271.0,BAFN
2023-03-31,0.1591,,1,0.1591,0.0,0,0,0,0,0,0,1,0,526.0,BAFN
2023-04-27,0.1637,,1,0.1637,0.0,1,0,0,0,0,0,0,0,978.0,BAFN
2023-06-30,0.0341,,1,0.0341,0.0,0,0,1,0,0,0,1,0,525.0,BAFN
2023-07-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,425.0,BAFN
2023-07-27,-0.0071,,1,0.0071,0.0,0,0,1,0,0,0,0,0,750.0,BAFN
2023-09-29,0.0341,,1,0.0341,0.0,0,0,0,0,0,0,1,0,530.0,BAFN
2023-10-26,-0.0429,,1,0.0429,0.0,1,0,1,0,0,0,0,0,776.0,BAFN
2023-12-29,0.0273,,1,0.0273,0.0,0,0,0,0,0,0,1,0,546.0,BAFN
2024-01-02,0.2067,,1,0.2067,0.0,0,0,0,0,0,0,1,0,670.0,BAFN
2024-01-25,-0.0111,,1,0.0111,0.0,0,0,0,0,0,0,0,0,753.0,BAFN
2024-03-28,0.1273,,1,0.1273,0.0,0,0,0,0,0,0,1,0,541.0,BAFN
2024-04-25,0.0387,,1,0.0387,0.0,1,0,0,0,1,0,0,0,818.0,BAFN
2024-06-28,0.0341,,1,0.0341,0.0,0,0,1,0,0,0,1,0,524.0,BAFN
