title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
BayFirst Financial Corp. Appoints Sheryl WuDunn to Board of Directors,First Pulitzer-Prize Winning Asian-American Reporter andCo-Founder of Tech Investment Firm Adds Strength in Technology,2022-02-10 21:00:00+00:00,https://www.globenewswire.com/news-release/2022/02/10/2383233/0/en/BayFirst-Financial-Corp-Appoints-Sheryl-WuDunn-to-Board-of-Directors.html,GlobeNewswire Inc.,0.1375,0.37083333333333335,positive,0.1375,False,False,False,False,False,False,True,False,0.0,189,['BAFN'],BAFN,2022-02-10
BayFirst Financial Corp. Declares Quarterly Cash Dividend of $0.08 Per Common Share,"ST. PETERSBURG, Fla., April  29, 2022  (GLOBE NEWSWIRE) -- BayFirst Financial Corp. (f/k/a First Home Bancorp, Inc.) (NASDAQ: BAFN) (“BayFirst” or the “Company”), parent company of First Home Bank, today announced its Board of Directors declared a quarterly cash dividend of $0.08 per common share. The dividend will be payable June 15, 2022 to common shareholders of record as of June 1, 2022. This dividend marks the 24th consecutive quarterly cash dividend paid since BayFirst initiated cash dividends in 2016.",2022-04-29 20:00:00+00:00,https://www.globenewswire.com/news-release/2022/04/29/2432921/0/en/BayFirst-Financial-Corp-Declares-Quarterly-Cash-Dividend-of-0-08-Per-Common-Share.html,GlobeNewswire Inc.,-0.05714285714285714,0.3095238095238095,neutral,0.05714285714285714,False,False,True,False,False,True,True,False,0.0,598,['BAFN'],BAFN,2022-04-29
Why Aditxt Shares Dipped Over 58%; Here Are 82 Biggest Movers From Friday,"Gainers

Panbela Therapeutics, Inc. (NASDAQ: PBLA) shares jumped 53% to close at $0.58 on Friday.
Applied Optoelectronics, Inc.  (NASDAQ: AAOI) shares climbed 50.4% to settle at $3.76 on Friday after the company announced the sale of its Chinese manufacturing facilities to Yuhan Optoelectronic Technology for $150 million.
iBio, Inc. (NYSE: IBIO) gained 49.8% to close at $0.46.
Armata Pharmaceuticals, Inc. (NYSE: ARMP) surged 31.2% to close at $4.21. Armata Pharmaceuticals, last month, posted a Q2 loss of $0.26 per share.
Axcella Health Inc. (NASDAQ: AXLA) jumped 29.6% to close at $2.41. Axcella Health, last month, posted a Q2 loss of $0.40 per share.
Anixa Biosciences, Inc. (NASDAQ: ANIX) gained 27.5% to close at $5.71.
Lannett Company, Inc. (NYSE: LCI) gained 25.1% to close at $0.5756. Lannett Company, last month, reported Q4 FY22 sales of $74.2 million, down from $106 million a year ago
Integrated Media Technology Limited (NASDAQ: IMTE) climbed 21.5% to close at $1.75.
Decisionpoint Systems, Inc. (NASDAQ: DPSI) rose 20.8% to close at $5.93.
TMC the metals company Inc. (NASDAQ: TMC) gained 20.2% to close at $1.25.
Dawson Geophysical Company (NASDAQ: DWSN) surged 19.1% to close at $2.00.
Nano Labs Ltd (NASDAQ: NA) jumped 18.8% to close at $5.56.
Alaunos Therapeutics, Inc. (NASDAQ: TCRT) climbed 18.5% to close at $2.50 after dropping 38% on Thursday.
Palatin Technologies, Inc. (NYSE: PTN) rose 18.3% to close at $7.96.
Palatin Technologies recently announced the initiation of patient recruitment for its Phase 2 study evaluating oral PL8177 in ulcerative colitis.
Enzo Biochem, Inc. (NYSE: ENZ) gained 18.1% to settle at $2.67.
BayFirst Financial Corp. (NASDAQ: BAFN) surged 18% to close at $21.65.
Bright Minds Biosciences Inc. (NASDAQ: DRUG) gained 17.2% to close at $1.50.
Studio City International Holdings Limited (NYSE: MSC) rose 16.9% to close at $1.80.
Forian Inc. (NASDAQ: FORA) gained 16.5% to close at $4.10.
Digital Ally, Inc. (NASDAQ: DGLY) jumped 15.5% to settle at $0.62.
SoundHound AI, Inc. (NASDAQ: SOUN) rose 15.1% to close at $3.74.
Intrusion Inc. (NASDAQ: INTZ) gained 14.4% to close at $5.01.
Emclaire Financial Corp (NASDAQ: EMCF) rose 13.6% to close at $36.50.
Velocity Financial, Inc. (NYSE: VEL) gained 10.7% to close at $13.00.
Azure Power Global Limited (NYSE: AZRE) rose 10.2% to settle at $5.97.
Alpha Tau Medical Ltd. (NASDAQ: DRTS) jumped 9.1% to close at $6.09.
Gogo Inc. (NASDAQ: GOGO) jumped 8.9% to close at $13.32.
Harmonic Inc. (NASDAQ: HLIT) gained 6.1% to close at $11.88. Needham maintained Harmonic with a Buy and raised the price target from $15 to $17.
JanOne Inc. (NASDAQ: JAN) shares gained 4.6% to close at $2.49. The company executed a term ...",2022-09-19 05:53:09+00:00,https://www.benzinga.com/news/22/09/28909319/why-aditxt-shares-dipped-over-58-here-are-82-biggest-movers-from-friday,Benzinga,0.17087646652864044,0.333367839889579,positive,0.17087646652864044,True,True,False,False,False,False,False,False,0.0,2789,"['LCI', 'MSC', 'UPS', 'AIMD', 'ATRA', 'AMPX', 'PTN', 'AXLA', 'DRUG', 'VERV', 'WRK', 'FOXO', 'ACET', 'ARMP', 'IBIO', 'HOOD', 'NBRV', 'AMZN', 'JAN', 'NA', 'CRBU', 'AZRE', 'ATHX', 'NTCO', 'DPSI', 'BAFN', 'HKD', 'BEAT', 'ADTX', 'EMCF', 'GETY', 'VEL', 'DGLY', 'PXMD', 'SJ', 'TCRT', 'GMBL', 'DWSN', 'FHTX', 'VIPS', 'DRTS', 'EFSH', 'ATXG', 'HLIT', 'RBLX', 'CCCC', 'SOUN', 'AVDL', 'CAR', 'NCPL', 'INTZ', 'LSTA', 'CVNA', 'ENZ', 'PBLA', 'NRBO', 'PEPG', 'URGN', 'FDX', 'OG', 'TMC', 'CMRA', 'RMED', 'IP', 'VTAQ', 'GOGO', 'PGY', 'BRQS', 'MTP', 'FORA', 'AAOI', 'APGN', 'IMTE', 'NCR', 'ALHC', 'SNTI', 'QBTS', 'RUBY', 'PKG', 'RXRX', 'ANIX', 'SHPH']",BAFN,2022-09-19
BayFirst Financial Corp. To Discontinue Nationwide Network of Residential Mortgage LPOs,"ST. PETERSBURG, Fla., Sept.  21, 2022  (GLOBE NEWSWIRE) -- BayFirst Financial Corp. (NASDAQ: BAFN) (the “Company”), parent company of BayFirst National Bank (the ""Bank""), today announced that due to the precipitous decline in mortgage volumes and the uncertain outlook for mortgage lending over the coming quarters, its Board of Directors has initiated the process of discontinuing the Bank’s nationwide network of residential mortgage loan production offices. The Bank will continue to originate mortgage loans in its local Florida market areas. The Board’s action is subject to any necessary regulatory approvals.",2022-09-21 21:00:00+00:00,https://www.globenewswire.com/news-release/2022/09/21/2520631/0/en/BayFirst-Financial-Corp-To-Discontinue-Nationwide-Network-of-Residential-Mortgage-LPOs.html,GlobeNewswire Inc.,-0.027380952380952377,0.25833333333333336,neutral,0.027380952380952377,False,False,True,False,True,False,True,False,0.0,704,['BAFN'],BAFN,2022-09-21
BayFirst Financial Corp. Reports Third Quarter 2022 Results; Highlighted by Strong SBA 7(a) and Conventional Loan Production and Net Interest Margin Expansion,"ST. PETERSBURG, Fla., Oct.  28, 2022  (GLOBE NEWSWIRE) -- BayFirst Financial Corp. (NASDAQ: BAFN) (“BayFirst” or the “Company”), parent company of BayFirst National Bank (the “Bank”) today reported net income from continuing operations of $3.1 million for the third quarter of 2022 compared to $391 thousand in the second quarter of 2022. Following the strategic decision to discontinue the Bank’s nationwide residential mortgage operations, BayFirst recognized a one-time charge of $3.7 million in the third quarter of 2022. Net loss inclusive of discontinued operations was $1.4 million, or $0.35 per diluted share, for the third quarter of 2022, compared to a net loss of $282 thousand, or $0.10 per diluted share, in the second quarter of 2022. In the third quarter of 2021, net income inclusive of discontinued operations was $1.3 million, or $0.26 per diluted share. Quarterly financial results were highlighted by robust loan production in community banking, up 172% year over year, as well as the best quarter of SBA 7(a) loan production in the Company’s history.",2022-10-28 12:30:00+00:00,https://www.globenewswire.com/news-release/2022/10/28/2543844/0/en/BayFirst-Financial-Corp-Reports-Third-Quarter-2022-Results-Highlighted-by-Strong-SBA-7-a-and-Conventional-Loan-Production-and-Net-Interest-Margin-Expansion.html,GlobeNewswire Inc.,0.06791979949874687,0.07844611528822056,neutral,0.06791979949874687,True,False,True,False,True,False,False,False,0.0,1231,['BAFN'],BAFN,2022-10-28
St. Petersburg-Based BayFirst National Bank Welcomes NJ-Based Fintech Leader as Director of Digital Bank Strategy,Michael Yang to Enhance Bank’s Digital Strategy and Spearhead Fintech Collaboration Michael Yang to Enhance Bank’s Digital Strategy and Spearhead Fintech Collaboration,2022-11-15 21:00:00+00:00,https://www.globenewswire.com/news-release/2022/11/15/2556654/0/en/St-Petersburg-Based-BayFirst-National-Bank-Welcomes-NJ-Based-Fintech-Leader-as-Director-of-Digital-Bank-Strategy.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,False,True,False,0.0,282,['BAFN'],BAFN,2022-11-15
BayFirst Financial Corp. Announces Fourth Quarter 2022 Conference Call and Webcast,"ST. PETERSBURG, Fla., Jan.  09, 2023  (GLOBE NEWSWIRE) -- BayFirst Financial Corp. (NASDAQ: BAFN) (“BayFirst” or the “Company”), parent company of BayFirst National Bank (the “Bank”) today announced that it will report its fourth quarter results before the market opens on Friday, January 27, 2023. That same day, management will host a conference call at 9:00 a.m. EST to discuss the results. The call will also be broadcast live via the internet.",2023-01-09 14:00:00+00:00,https://www.globenewswire.com/news-release/2023/01/09/2585310/0/en/BayFirst-Financial-Corp-Announces-Fourth-Quarter-2022-Conference-Call-and-Webcast.html,GlobeNewswire Inc.,0.022727272727272724,0.10416666666666667,neutral,0.022727272727272724,False,False,False,False,False,False,True,False,0.0,532,['BAFN'],BAFN,2023-01-09
BayFirst Financial Corp. Reports Fourth Quarter 2022 Results; Highlighted by Strong Conventional Loan Production,"ST. PETERSBURG, Fla., Jan.  26, 2023  (GLOBE NEWSWIRE) -- BayFirst Financial Corp. (NASDAQ: BAFN) (“BayFirst” or the “Company”), parent company of BayFirst National Bank (the “Bank”) today reported net income of $1.3 million, or $0.27 per diluted share, for the fourth quarter of 2022 compared to a net loss of $1.4 million, or $0.35 per diluted share, in the third quarter of 2022. In the fourth quarter of 2021, net income was $2.8 million, or $0.61 per diluted share. Net income from continuing operations was $2.1 million for the fourth quarter of 2022 compared to $3.1 million in the third quarter of 2022 and $856 thousand in the fourth quarter of 2021. Quarterly financial results were highlighted by robust loan production in community banking, up 98% year over year, as well as strong SBA 7(a) loan production.",2023-01-26 21:00:00+00:00,https://www.globenewswire.com/news-release/2023/01/26/2596454/0/en/BayFirst-Financial-Corp-Reports-Fourth-Quarter-2022-Results-Highlighted-by-Strong-Conventional-Loan-Production.html,GlobeNewswire Inc.,0.042577030812324924,0.10728291316526609,neutral,0.042577030812324924,True,False,False,False,True,False,False,False,0.0,933,['BAFN'],BAFN,2023-01-26
"BayFirst Announces Retirement of Anthony N. Leo as CEO at Year-end 2023, and Appointment of Thomas G. Zernick as a Director and Successor CEO","ST. PETERSBURG, Fla., Feb.  06, 2023  (GLOBE NEWSWIRE) -- BayFirst Financial Corp. (the ""Company"") (NASDAQ: BAFN) announced today that Anthony N. Leo will retire as Chief Executive Officer at the end of 2023. Leo will remain a Director of the Company and will also serve as Special Counsel for strategic matters. The Board of Directors has appointed Thomas G. Zernick to succeed Leo as Chief Executive Officer on January 1, 2024. He was also appointed to serve as a Director of the Company, and is joining the Company’s Board effective immediately. Zernick has served as President of the Company since February 2022, and previously served as President of its CreditBench Division, which provides government guaranteed lending to businesses throughout the nation. He joined the Company in 2016.",2023-02-06 14:00:00+00:00,https://www.globenewswire.com/news-release/2023/02/06/2602136/0/en/BayFirst-Announces-Retirement-of-Anthony-N-Leo-as-CEO-at-Year-end-2023-and-Appointment-of-Thomas-G-Zernick-as-a-Director-and-Successor-CEO.html,GlobeNewswire Inc.,0.1976190476190476,0.38452380952380955,positive,0.1976190476190476,False,False,False,False,False,False,True,False,0.0,936,['BAFN'],BAFN,2023-02-06
"BayFirst Welcomes USDA Business & Industry Lending Officer, Expands Efforts to Fund Rural Development",Top 10 US SBA Lender Welcomes Charles Conoley as VP Top 10 US SBA Lender Welcomes Charles Conoley as VP,2023-02-21 21:00:00+00:00,https://www.globenewswire.com/news-release/2023/02/21/2612692/0/en/BayFirst-Welcomes-USDA-Business-Industry-Lending-Officer-Expands-Efforts-to-Fund-Rural-Development.html,GlobeNewswire Inc.,0.3333333333333333,0.3333333333333333,positive,0.3333333333333333,False,False,False,False,False,False,False,False,0.0,206,['BAFN'],BAFN,2023-02-21
