title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
New Strong Sell Stocks for May 19th,"ALBO, BFIN, GOOS, DKNG, and LLY have been added to the Zacks Rank #5 (Strong Sell) List on May 19, 2021",2021-05-19 13:14:00+00:00,http://www.zacks.com/stock/news/1575746/new-strong-sell-stocks-for-may-19th?cid=CS-ZC-FT-tale_of_the_tape|new_zacks_5_rank_stocks-1575746,Zacks Investment Research,0.05075757575757571,0.7053030303030303,neutral,0.05075757575757571,False,False,False,False,False,False,False,False,0.0,140,"['LLY', 'BFIN', 'GOOS', 'ALBO', 'DKNG']",BFIN,2021-05-19
BankFinancial (BFIN) Up 5.4% as it Expands Buyback Authorization,"BankFinancial (BFIN) announces an increase in its share repurchase authorization by 900,000 shares.",2021-06-28 13:28:00+00:00,https://www.zacks.com/stock/news/1755003/bankfinancial-bfin-up-54-as-it-expands-buyback-authorization,Zacks Investment Research,0.0,0.0,neutral,0.0,False,True,False,False,False,True,False,False,0.0,165,"['UMBF', 'MBWM', 'BFIN', 'CIVB']",BFIN,2021-06-28
Analysts Estimate BankFinancial (BFIN) to Report a Decline in Earnings: What to Look Out for,BankFinancial (BFIN) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-07-28 19:03:51+00:00,https://www.zacks.com/stock/news/1769771/analysts-estimate-bankfinancial-bfin-to-report-a-decline-in-earnings-what-to-look-out-for,Zacks Investment Research,0.07142857142857142,0.8839285714285714,neutral,0.07142857142857142,True,False,False,False,False,False,False,False,0.0,270,['BFIN'],BFIN,2021-07-28
"BankFinancial Corporation Reports Financial Results for the Second Quarter 2021 and Will Host Conference Call and Webcast on Monday, August 2, 2021","BURR RIDGE, Ill., July  30, 2021  (GLOBE NEWSWIRE) -- BankFinancial Corporation (Nasdaq – BFIN) (the “BankFinancial”) filed its Quarterly Report on Form 10-Q for the quarter ended June 30, 2021, and a Quarterly Financial and Statistical Supplement in Form 8-K with the U.S. Securities and Exchange Commission (the “SEC”) today.",2021-07-30 20:24:00+00:00,https://www.globenewswire.com/news-release/2021/07/30/2272432/9157/en/BankFinancial-Corporation-Reports-Financial-Results-for-the-Second-Quarter-2021-and-Will-Host-Conference-Call-and-Webcast-on-Monday-August-2-2021.html,GlobeNewswire Inc.,-0.025,0.15,neutral,0.025,False,False,True,False,False,False,False,False,0.0,476,['BFIN'],BFIN,2021-07-30
BankFinancial Corporation Declares Cash Dividend,"BURR RIDGE, Ill., July  30, 2021  (GLOBE NEWSWIRE) -- BankFinancial Corporation (Nasdaq – BFIN) (“BankFinancial”) announced that its Board of Directors declared a cash dividend of $0.10 per common share. The dividend will be payable on August 27, 2021, to stockholders of record on August 11, 2021.",2021-07-30 20:38:00+00:00,https://www.globenewswire.com/news-release/2021/07/30/2272440/9157/en/BankFinancial-Corporation-Declares-Cash-Dividend.html,GlobeNewswire Inc.,-0.3,0.5,negative,0.3,False,False,False,False,False,True,True,False,0.0,348,['BFIN'],BFIN,2021-07-30
BankFinancial (BFIN) Surpasses Q2 Earnings Estimates,"BankFinancial (BFIN) delivered earnings and revenue surprises of 8.33% and -0.81%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-07-30 21:35:02+00:00,https://www.zacks.com/stock/news/1772027/bankfinancial-bfin-surpasses-q2-earnings-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,243,['BFIN'],BFIN,2021-07-30
BankFinancial (BFIN) Q3 Earnings Preview: What's in the Cards?,BankFinancial (BFIN) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-10-20 19:02:29+00:00,https://www.zacks.com/stock/news/1813579/bankfinancial-bfin-q3-earnings-preview-whats-in-the-cards,Zacks Investment Research,0.07142857142857142,0.8839285714285714,neutral,0.07142857142857142,True,False,False,False,False,False,False,False,0.0,240,['BFIN'],BFIN,2021-10-20
BankFinancial Corporation Extends and Expands Share Repurchase Program,"BURR RIDGE, Ill., Oct.  29, 2021  (GLOBE NEWSWIRE) -- The Board of Directors of BankFinancial Corporation (the ""Company"") extended the expiration date of the Company's share repurchase authorization from November 15, 2021 to May 15, 2022, and increased the total number of shares currently authorized for repurchase under the Share Repurchase Program by 200,000 shares.  As of  October 28, 2021, a total of 92,222 shares remained authorized for purchase pursuant to the previous share repurchase authorization.  Therefore, as of October 28, 2021, the total number of shares authorized for repurchase is 292,222.  The share repurchase authorization remains in effect through May 15, 2022.",2021-10-29 15:59:00+00:00,https://www.globenewswire.com/news-release/2021/10/29/2323841/9157/en/BankFinancial-Corporation-Extends-and-Expands-Share-Repurchase-Program.html,GlobeNewswire Inc.,-0.03333333333333333,0.5633333333333332,neutral,0.03333333333333333,False,False,False,False,False,False,True,False,0.0,759,['BFIN'],BFIN,2021-10-29
BankFinancial Corporation Declares Cash Dividend,"BURR RIDGE, Ill., Oct.  29, 2021  (GLOBE NEWSWIRE) -- BankFinancial Corporation (Nasdaq – BFIN) (“BankFinancial”) announced that its Board of Directors declared a cash dividend of $0.10 per common share. The dividend will be payable on November 26, 2021 to stockholders of record on November 12, 2021.",2021-10-29 16:15:00+00:00,https://www.globenewswire.com/news-release/2021/10/29/2323860/9157/en/BankFinancial-Corporation-Declares-Cash-Dividend.html,GlobeNewswire Inc.,-0.3,0.5,negative,0.3,False,False,False,False,False,True,True,False,0.0,351,['BFIN'],BFIN,2021-10-29
"BankFinancial Corporation Reports Financial Results for the Third Quarter 2021 and Will Host Conference Call and Webcast on Monday, November 1, 2021","BURR RIDGE, Ill., Oct.  29, 2021  (GLOBE NEWSWIRE) -- BankFinancial Corporation (Nasdaq – BFIN) (the “BankFinancial”) filed its Quarterly Report on Form 10-Q for the quarter ended September 30, 2021 and a Quarterly Financial and Statistical Supplement in Form 8-K with the U.S. Securities and Exchange Commission (the “SEC”) today.",2021-10-29 20:33:00+00:00,https://www.globenewswire.com/news-release/2021/10/29/2323952/9157/en/BankFinancial-Corporation-Reports-Financial-Results-for-the-Third-Quarter-2021-and-Will-Host-Conference-Call-and-Webcast-on-Monday-November-1-2021.html,GlobeNewswire Inc.,-0.025,0.15,neutral,0.025,False,False,True,False,False,False,False,False,0.0,481,['BFIN'],BFIN,2021-10-29
