date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-11-21,0.1331,,1,0.1331,0.0,1,0,1,0,0,0,0,0,1420.0,BFRI
2021-11-24,0.2071,0.0985,2,0.2071,0.0,0,2,0,0,0,0,0,0,368.5,BFRI
2021-11-27,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,194.0,BFRI
2021-11-29,0.3125,,1,0.3125,0.0,0,1,0,0,0,0,0,0,271.0,BFRI
2021-12-04,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,194.0,BFRI
2021-12-07,0.0625,,1,0.0625,0.0,0,1,0,0,0,0,0,0,286.0,BFRI
2021-12-08,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,292.0,BFRI
2021-12-10,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,256.0,BFRI
2021-12-14,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,223.0,BFRI
2021-12-21,0.2194,,1,0.2194,0.0,0,1,0,0,0,0,0,0,303.0,BFRI
2021-12-24,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,186.0,BFRI
2021-12-27,0.0805,,1,0.0805,0.0,1,1,0,0,0,0,0,0,1104.0,BFRI
2022-02-01,0.3839,,1,0.3839,0.0,0,1,0,0,0,0,0,0,244.0,BFRI
2022-02-04,0.1776,,1,0.1776,0.0,0,1,0,0,0,0,0,0,275.0,BFRI
2022-02-07,0.1103,,1,0.1103,0.0,1,1,0,0,0,0,0,0,887.0,BFRI
2022-04-08,0.1055,0.1295,3,0.1055,0.0,2,1,1,0,1,0,0,0,572.0,BFRI
2022-07-24,0.2839,,1,0.2839,0.0,0,1,0,0,0,0,0,0,240.0,BFRI
2022-08-26,0.5625,,1,0.5625,0.0,0,1,0,0,0,0,0,0,291.0,BFRI
2022-11-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,242.0,BFRI
2022-11-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,263.0,BFRI
2022-11-14,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,262.0,BFRI
2022-11-22,0.389,,1,0.389,0.0,1,0,1,0,0,0,0,0,1095.0,BFRI
2023-03-17,0.45,,1,0.45,0.0,0,0,1,0,0,0,0,0,984.0,BFRI
2023-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,279.0,BFRI
2023-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,248.0,BFRI
2023-05-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,270.0,BFRI
2023-05-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,274.0,BFRI
2023-05-12,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,256.0,BFRI
2023-06-20,0.1803,0.0502,2,0.1803,0.0,0,1,0,0,0,0,0,0,1526.0,BFRI
2023-06-21,0.2227,0.1217,2,0.2227,0.0,0,0,0,0,0,1,2,0,1311.5,BFRI
2023-06-23,0.2198,0.0684,2,0.2198,0.0,0,2,2,0,2,2,0,0,1491.0,BFRI
2023-07-05,0.1778,,1,0.1778,0.0,0,0,1,0,0,0,0,0,1944.0,BFRI
2023-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,256.0,BFRI
2023-08-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,257.0,BFRI
2023-08-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,265.0,BFRI
2023-08-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,258.0,BFRI
2023-09-18,-0.15,,1,0.15,0.0,1,1,0,0,0,0,0,0,261.0,BFRI
2023-11-09,-0.15,,1,0.15,0.0,1,1,0,0,0,0,0,0,257.0,BFRI
2023-11-22,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,355.0,BFRI
2024-02-20,0.1456,0.0389,2,0.1456,0.0,1,0,2,0,0,1,0,0,1613.0,BFRI
2024-02-21,0.1602,0.0482,2,0.1602,0.0,2,0,0,0,2,2,1,0,1545.5,BFRI
2024-03-15,0.1258,,1,0.1258,0.0,1,1,1,0,1,0,0,0,2197.0,BFRI
2024-05-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,239.0,BFRI
2024-05-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,276.0,BFRI
2024-05-13,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,267.0,BFRI
2024-11-13,0.1193,,1,0.1193,0.0,1,0,1,0,1,0,0,0,397.0,BFRI
