date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-01-23,0.175,,1,0.175,0.0,0,0,0,0,0,0,0,0,173.0,BIDU
2020-07-07,0.33,,1,0.33,0.0,0,0,0,0,0,0,0,0,100.0,BIDU
2020-11-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,68.0,BIDU
2020-12-16,0.3182,,1,0.3182,0.0,0,0,0,0,0,0,0,0,96.0,BIDU
2021-01-09,0.2732,,1,0.2732,0.0,0,0,0,0,0,0,0,0,118.0,BIDU
2021-02-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,114.0,BIDU
2021-02-25,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,82.0,BIDU
2021-03-27,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,100.0,BIDU
2021-03-31,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,108.0,BIDU
2021-04-23,0.05,,1,0.05,0.0,0,1,0,0,0,0,0,0,97.0,BIDU
2021-04-25,0.1339,,1,0.1339,0.0,1,1,0,0,0,0,0,0,246.0,BIDU
2021-04-26,0.1476,0.1302,2,0.1476,0.0,0,1,0,0,0,0,0,0,383.5,BIDU
2021-04-29,0.1485,,1,0.1485,0.0,1,0,0,0,0,0,0,0,680.0,BIDU
2021-05-02,0.1571,,1,0.1571,0.0,0,0,0,0,0,0,0,0,234.0,BIDU
2021-05-03,0.1398,0.0945,3,0.1398,0.0,1,0,0,0,0,0,0,0,208.0,BIDU
2021-05-04,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,184.0,BIDU
2021-05-05,0.0243,0.1628,3,0.1077,0.0,1,0,0,0,0,0,0,0,163.3333,BIDU
2021-05-06,0.0589,,1,0.0589,0.0,0,0,0,0,0,0,0,0,139.0,BIDU
2021-05-09,0.0157,,1,0.0157,0.0,0,0,0,0,1,0,0,0,247.0,BIDU
2021-05-11,0.0516,,1,0.0516,0.0,0,1,0,0,1,0,1,0,1082.0,BIDU
2021-05-12,0.05,0.1414,2,0.1,0.0,1,0,0,0,0,0,0,0,171.5,BIDU
2021-05-13,0.137,0.2991,5,0.157,0.0,1,2,0,0,0,0,0,0,220.8,BIDU
2021-05-14,0.1847,,1,0.1847,0.0,0,1,0,0,0,0,0,0,194.0,BIDU
2021-05-15,0.2667,,1,0.2667,0.0,1,0,0,0,0,0,0,0,172.0,BIDU
2021-05-16,0.0667,0.1252,3,0.1083,0.0,1,2,1,0,0,0,1,0,348.0,BIDU
2021-05-18,0.0925,0.1767,5,0.1059,0.0,3,1,0,0,1,0,1,0,613.0,BIDU
2021-05-19,0.0168,0.0146,4,0.0168,0.0,3,0,0,0,0,1,0,0,417.75,BIDU
2021-05-21,-0.0258,0.0365,2,0.0258,0.0,0,1,0,0,0,0,0,0,155.0,BIDU
2021-05-23,0.0155,,1,0.0155,0.0,1,0,0,0,0,0,0,0,239.0,BIDU
2021-05-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,186.0,BIDU
