title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Undervalued Stocks for 2020,"A rising tide lifts nearly all boats, but this bull market has left some tickers behind. These companies may provide the best returns this year.",2020-01-23 19:08:00+00:00,https://www.fool.com/investing/stock-market/types-of-stocks/value-stocks/undervalued-stocks/,The Motley Fool,0.175,0.35000000000000003,positive,0.175,False,False,False,False,False,False,False,False,0.0,173,"['CSCO', 'XOM', 'BIDU', 'DOW', 'BABA']",BIDU,2020-01-23
NASDAQ Rises More Than 2% for Another Record High,NASDAQ Rises More Than 2% for Another Record High,2020-07-07 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25891,Zacks Investment Research,0.33,0.52,positive,0.33,False,False,False,False,False,False,False,False,0.0,100,"['IHAK', 'HACK', 'LEVI', 'WBA', 'PSTG', 'BIDU', 'DBX', 'BJ', 'SPWH', 'SFM', 'PSX', 'DIN', 'WSM', 'AER', 'LNG', 'DHI', 'LAKE', 'LOW', 'PDCO', 'PFG', 'WSC', 'BLKB', 'AMZN', 'NFLX', 'MSFT']",BIDU,2020-07-07
Market Takes a Well-Deserved Rest,Market Takes a Well-Deserved Rest,2020-11-18 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27373,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,68,"['CCRN', 'CENTA', 'ENR', 'MAXR', 'PRPL', 'NTLA', 'MRNA', 'HBI', 'FIZZ', 'CWH', 'BIDU', 'SYY', 'MAR', 'ALC', 'SQM', 'AYX', 'CDAY', 'GDS', 'HXL', 'LVS', 'NFLX', 'AMZN', 'TSLA', 'PFE']",BIDU,2020-11-18
Stocks Rally More Than 1% on New Stimulus Talks,Stocks Rally More Than 1% on New Stimulus Talks,2020-12-16 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27678,Zacks Investment Research,0.3181818181818181,0.4772727272727273,positive,0.3181818181818181,False,False,False,False,False,False,False,False,0.0,96,"['MRNA', 'AVXL', 'FLDM', 'ISEE', 'ETON', 'BIDU', 'LVS', 'HXL', 'ARCT', 'INTU']",BIDU,2020-12-16
Strong Start to 2021 as Stocks End First Week at New Highs,Strong Start to 2021 as Stocks End First Week at New Highs,2021-01-09 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27904,Zacks Investment Research,0.2732323232323232,0.5070707070707071,positive,0.2732323232323232,False,False,False,False,False,False,False,False,0.0,118,"['EXPI', 'BB', 'SJR', 'AYI', 'BIDU', 'INSG']",BIDU,2021-01-09
Stocks Rise Over 1% This Week and Finish at Record Highs,Stocks Rise Over 1% This Week and Finish at Record Highs,2021-02-13 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28318,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,114,"['WKEY', 'ITI', 'COWN', 'DAC', 'ICHR', 'AEIS', 'ROAD', 'AHCO', 'CNR', 'HLIT', 'TX', 'SON', 'CVS', 'SHOP', 'BIDU', 'WMT', 'DE']",BIDU,2021-02-13
Dow Reaches New Record as Stocks Jump 1%,Dow Reaches New Record as Stocks Jump 1%,2021-02-25 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28451,Zacks Investment Research,0.13636363636363635,0.45454545454545453,positive,0.13636363636363635,False,False,False,False,False,False,False,False,0.0,82,"['ZG', 'OSTK', 'BIDU', 'SQ', 'BIGC', 'UCTT', 'HI', 'JNJ', 'NVDA']",BIDU,2021-02-25
"S&P, Dow Close at New Highs After Soaring Over 1%","S&P, Dow Close at New Highs After Soaring Over 1%",2021-03-27 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28830,Zacks Investment Research,0.13636363636363635,0.45454545454545453,positive,0.13636363636363635,False,False,False,False,False,False,False,False,0.0,100,"['VRTV', 'BIDU', 'QDEL', 'NVTA', 'GRWG']",BIDU,2021-03-27
"Dow Takes a Break as We Prepare to End Month, Quarter","Dow Takes a Break as We Prepare to End Month, Quarter",2021-03-31 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28864,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,108,"['WRK', 'LPX', 'MCK', 'REKR', 'SNX', 'EVR', 'ICAD', 'SQ', 'AYI', 'EOLS', 'ILMN', 'ADSK', 'BIDU', 'DISCA', 'VIAC']",BIDU,2021-03-31
"Near a 3-Year Low, Is iQiyi Stock a Buy?","The ""Netflix of China"" has dropped below its IPO price.",2021-04-23 15:01:58+00:00,https://www.fool.com/investing/2021/04/23/near-a-3-year-low-is-iqiyi-stock-a-buy/?source=iedfolrf0000001,The Motley Fool,0.05,0.35,neutral,0.05,False,True,False,False,False,False,False,False,0.0,97,"['IQ', 'BIDU']",BIDU,2021-04-23
