date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-11-04,0.35,,1,0.35,0.0,0,0,0,0,0,0,0,0,109.0,BIRD
2021-11-05,0.0479,,1,0.0479,0.0,0,0,0,0,1,0,0,0,962.0,BIRD
2021-11-12,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,141.0,BIRD
2021-11-16,0.1375,,1,0.1375,0.0,1,0,0,0,1,0,0,0,525.0,BIRD
2021-11-22,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,92.0,BIRD
2021-11-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,96.0,BIRD
2021-11-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,217.0,BIRD
2021-11-29,0.1512,0.1308,2,0.1512,0.0,1,1,1,0,2,0,0,0,925.5,BIRD
2021-11-30,0.035,0.0495,2,0.035,0.0,1,0,0,0,0,0,0,0,199.5,BIRD
2021-12-01,0.1397,0.1367,3,0.1397,0.0,3,0,0,0,1,0,0,0,166.0,BIRD
2021-12-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,95.0,BIRD
2021-12-11,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,98.0,BIRD
2021-12-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,249.0,BIRD
2022-01-05,0.0223,0.1612,2,0.114,0.0,1,0,1,0,0,0,0,0,132.5,BIRD
2022-01-06,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,177.0,BIRD
2022-02-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,115.0,BIRD
2022-02-09,0.18,,1,0.18,0.0,1,0,0,0,1,0,0,0,557.0,BIRD
2022-02-18,0.06,,1,0.06,0.0,0,0,0,0,0,0,0,0,621.0,BIRD
2022-02-23,0.1,,1,0.1,0.2,1,0,0,0,0,0,0,0,188.0,BIRD
2022-02-24,0.1,0.1414,2,0.1,0.0,2,1,0,0,0,0,0,0,230.0,BIRD
2022-03-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,93.0,BIRD
2022-03-07,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,135.0,BIRD
2022-03-09,0.0875,,1,0.0875,0.0,0,1,0,0,0,0,0,0,139.0,BIRD
2022-03-11,-0.0585,0.1372,2,0.097,0.0,0,0,0,0,0,0,0,0,370.0,BIRD
2022-03-18,0.0516,0.0848,2,0.06,0.0,0,1,1,0,0,0,0,0,1969.5,BIRD
2022-04-03,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,141.0,BIRD
2022-04-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,111.0,BIRD
2022-04-26,0.2,,1,0.2,0.0,1,0,0,0,1,0,0,0,521.0,BIRD
2022-04-29,0.0113,0.0076,2,0.0113,0.0,0,1,1,0,0,0,0,0,2746.0,BIRD
2022-04-30,-0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,197.0,BIRD
2022-05-10,0.1417,,1,0.1417,0.0,1,0,1,0,0,0,0,0,176.0,BIRD
2022-05-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,112.0,BIRD
2022-05-12,-0.0417,,1,0.0417,0.0,1,0,0,0,0,0,0,0,235.0,BIRD
2022-05-21,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,205.0,BIRD
2022-06-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,186.0,BIRD
2022-06-04,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,103.0,BIRD
2022-06-24,0.34,,1,0.34,0.0,0,0,0,0,1,0,0,0,519.0,BIRD
2022-07-20,0.2,,1,0.2,0.2,0,0,0,0,0,0,0,0,190.0,BIRD
2022-07-21,0.0354,0.0347,2,0.0354,0.0,0,1,1,0,0,0,0,0,3296.0,BIRD
2022-07-25,0.1375,,1,0.1375,0.0,1,0,1,0,1,0,0,0,523.0,BIRD
2022-08-08,0.281,0.3098,2,0.281,0.0,1,0,1,0,0,0,0,0,206.5,BIRD
2022-08-09,0.0107,0.2501,5,0.1707,0.0,4,1,2,1,1,0,1,1,1274.4,BIRD
2022-08-10,0.0968,0.1277,5,0.0994,0.0,1,2,2,1,1,0,1,1,2036.2,BIRD
2022-08-13,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,166.0,BIRD
