title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"There Isn't A Bitcoin ETF Yet, But This New Crypto Mining ETF Offers An Alternative","Investors are still waiting on a Bitcoin (CYRPTO: BTC) ETF, but may have an alternative with a new actively managed clean energy crypto mining ETF launched this week.
About The ETF: The Viridi Cleaner Energy Crypto-Mining & Semiconductor ETF (NYSE: RIGZ) is a new launch that gives investors exposure to companies mining cryptocurrency and the mining infrastructure industry.
Over 50% of North American mining is done using renewable energy sources, according to Viridi, which is the theme of the fund.
“A growing number of investors are keen to gain exposure to the cryptocurrency sector through regulated investment vehicles, but also want to see active leadership and commitment ...",2021-07-22 21:10:42+00:00,https://www.benzinga.com/markets/cryptocurrency/21/07/22111987/there-isnt-a-bitcoin-etf-yet-but-this-new-crypto-mining-etf-offers-an-alternative,Benzinga,0.07613636363636364,0.40795454545454546,neutral,0.07613636363636364,False,False,True,False,True,False,False,False,0.0,770,"['NVDA', 'AMD', 'TSM', 'MARA', 'CLSK', 'RIOT', 'HUT', 'BITF', 'HVBT']",BITF,2021-07-22
Why Shares of These Crypto-Mining Stocks Are Up Today,"Shares of crypto-mining companies tend to move with the price of Bitcoin and other cryptocurrencies, so their prices jumped over the weekend.",2021-07-26 17:17:30+00:00,https://www.fool.com/investing/2021/07/26/why-shares-of-these-crypto-mining-stocks-are-up-to/,The Motley Fool,-0.125,0.375,negative,0.125,False,False,False,False,False,False,False,False,0.0,196,"['MARA', 'CAN', 'EBON', 'BTBT', 'HUT', 'BITF']",BITF,2021-07-26
Why Crypto Stocks Plunged Today,News from Amazon has cratered Bitcoin today.,2021-07-27 18:30:00+00:00,https://www.fool.com/investing/2021/07/27/why-crypto-stocks-plunged-today/,The Motley Fool,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,77,"['AMZN', 'TSLA', 'SQ', 'CAN', 'SOS', 'COIN', 'BITF']",BITF,2021-07-27
3 Tech Penny Stocks To Watch In August 2021,"Tech penny stocks continue to attract attention; here's 3 for your watchlist
The post 3 Tech Penny Stocks To Watch In August 2021 appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",2021-08-04 16:35:00+00:00,https://pennystocks.com/featured/2021/08/04/3-tech-penny-stocks-to-watch-august-2021/,PennyStocks,0.25,0.3333333333333333,positive,0.25,False,True,False,False,False,False,False,False,0.0,260,"['X', 'BITF', 'SONM']",BITF,2021-08-04
"Blockchain Penny Stocks Are Heating Up, 3 Names to Know","Recent news sparks major rally with blockchain penny stocks, here's 3 you need to know about
The post Blockchain Penny Stocks Are Heating Up, 3 Names to Know appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",2021-08-05 16:09:04+00:00,https://pennystocks.com/featured/2021/08/05/blockchain-penny-stocks-heating-3-know/,PennyStocks,0.10416666666666667,0.3611111111111111,positive,0.10416666666666667,False,True,False,False,False,False,False,False,0.0,300,"['BITF', 'BTBT', 'HUT']",BITF,2021-08-05
"Why Shares of Coinbase Global, Bit Digital, and Bitfarms All Rose Today","Promising news around a Bitcoin ETF has boosted cryptocurrencies, which in turn has helped other stocks in the crypto space.",2021-08-05 20:35:46+00:00,https://www.fool.com/investing/2021/08/05/why-shares-of-coinbase-global-bit-digital-and-bitf/,The Motley Fool,0.135,0.365,positive,0.135,False,False,False,False,False,False,False,False,0.0,197,"['COIN', 'IVZ', 'BTBT', 'BITF']",BITF,2021-08-05
Blockchain Penny Stocks Rise As Bitcoin and DogeCoin Spike,"Are these the best blockchain penny stocks to watch with Bitcoin and DogeCoin spiking today?
The post Blockchain Penny Stocks Rise As Bitcoin and DogeCoin Spike appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",2021-08-09 16:45:00+00:00,https://pennystocks.com/featured/2021/08/09/blockchain-penny-stocks-rise-bitcoin-dogecoin-spike/,PennyStocks,0.625,0.31666666666666665,positive,0.625,False,True,False,False,False,False,False,False,0.0,306,"['BITF', 'EBON', 'FTFT', 'SOS']",BITF,2021-08-09
Why Bitcoin Mining Stocks Were Soaring on Monday,"Today's news, however, is insignificant compared to what's coming in a couple weeks.",2021-08-09 18:08:06+00:00,https://www.fool.com/investing/2021/08/09/why-bitcoin-mining-stocks-were-soaring-on-monday/,The Motley Fool,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,134,"['RIOT', 'BTCM', 'SQ', 'CLSK', 'COIN', 'BITF']",BITF,2021-08-09
1 Promising Nasdaq Stock for Cryptocurrency Believers,"Bitfarms, an ambitious Canadian Bitcoin miner, will benefit from China's slow exit from the business.",2021-08-10 13:15:00+00:00,https://www.fool.com/investing/2021/08/10/1-promising-nasdaq-stock-for-cryptocurrency-believ/,The Motley Fool,0.04999999999999999,0.5499999999999999,neutral,0.04999999999999999,False,False,False,False,False,False,False,False,0.0,156,"['BITF', 'MARA', 'RIOT']",BITF,2021-08-10
Why Crypto Stocks Plunged Today,Bitcoin and Ethereum are down and dragging crypto stocks with them.,2021-08-12 18:22:55+00:00,https://www.fool.com/investing/2021/08/12/why-crypto-stocks-plunged-today/,The Motley Fool,-0.15555555555555559,0.2888888888888889,negative,0.15555555555555559,False,False,False,False,False,False,False,False,0.0,100,"['BTCM', 'ETH', 'COIN', 'BITF']",BITF,2021-08-12
Hut 8 Mining: Running A Bitcoin Hail Mary Play,Hut 8 Mining is a Canadian Bitcoin miner that is likely to have leveraged performance to Bitcoin. It also trades at a discount to domestic mining peers. Read more here.,2021-08-15 07:28:42+00:00,https://seekingalpha.com/article/4449516-hut-8-mining-running-a-bitcoin-hail-mary-play,Seeking Alpha,0.16666666666666666,0.5333333333333333,positive,0.16666666666666666,False,False,False,False,False,False,False,False,0.0,216,"['BITF', 'MARA', 'RIOT', 'HUT']",BITF,2021-08-15
Best Penny Stocks to Watch in the Second Half of August,"Are these penny stocks on your August watchlist?
The post Best Penny Stocks to Watch in the Second Half of August appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",2021-08-15 22:30:00+00:00,https://pennystocks.com/featured/2021/08/15/best-penny-stocks-watch-august/,PennyStocks,0.27380952380952384,0.18095238095238095,positive,0.27380952380952384,False,True,True,False,False,False,False,False,0.0,256,"['BITF', 'IAG', 'RLX']",BITF,2021-08-15
Bitfarms Reports Q2 2021 Financial Results and Establishes At-The-Market Equity Program,"TORONTO, Ontario and BROSSARD, Québec, Aug.  16, 2021  (GLOBE NEWSWIRE) -- Bitfarms Ltd. (“Bitfarms”, or the “Company”) (Nasdaq:BITF/TSXV:BITF) today announces its financial results for the second quarter ended June 30, 2021 (“Q2 2021”). All financial references are denominated in US dollars, unless otherwise noted.",2021-08-16 21:00:00+00:00,https://www.globenewswire.com/news-release/2021/08/16/2281590/0/en/Bitfarms-Reports-Q2-2021-Financial-Results-and-Establishes-At-The-Market-Equity-Program.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,True,False,False,False,False,False,0.0,406,"['BITF', 'BITF']",BITF,2021-08-16
Here's Why Bitfarms Stock Was Down Big Today,"Despite the recent pullback, the cryptocurrency miner is still up roughly 186% year to date.",2021-08-17 21:26:59+00:00,https://www.fool.com/investing/2021/08/17/heres-why-bitfarms-stock-was-down-big-today/,The Motley Fool,-0.0638888888888889,0.25972222222222224,neutral,0.0638888888888889,False,False,False,False,False,False,False,False,0.0,138,['BITF'],BITF,2021-08-17
7 Penny Stocks Benefiting Big From Bitcoin & Dogecoin Right Now,"Bitcoin & Blockchain Penny Stocks Get A Boost Today
The post 7 Penny Stocks Benefiting Big From Bitcoin & Dogecoin Right Now appeared first on Penny Stocks to Buy, Picks, News and Information | PennyStocks.com.",2021-08-20 15:55:57+00:00,https://pennystocks.com/featured/2021/08/20/7-penny-stocks-benefiting-big-from-bitcoin-dogecoin-right-now/,PennyStocks,0.16428571428571428,0.32095238095238093,positive,0.16428571428571428,False,True,False,False,False,False,False,False,0.0,275,"['ANY', 'BITF', 'BTBT', 'CAN', 'COIN', 'DATS', 'HUT', 'SOS']",BITF,2021-08-20
Bitfarms Ltd. to Present at the Benzinga Crypto Festival and Participate in Panel Discussion,"TORONTO, Ontario and BROSSARD, Québec, Aug.  27, 2021  (GLOBE NEWSWIRE) -- Bitfarms Ltd. (Nasdaq: BITF // TSXV: BITF), a publicly traded Bitcoin mining company, currently powering approximately 1.1% of the Bitcoin network with greater than 99% green hydroelectricity, announces today that its Chief Mining Officer, Ben Gagnon, will present at the Benzinga Crypto Festival, which is being held virtually on August 31 – September 1, 2021.",2021-08-27 18:14:00+00:00,https://www.globenewswire.com/news-release/2021/08/27/2287857/0/en/Bitfarms-Ltd-to-Present-at-the-Benzinga-Crypto-Festival-and-Participate-in-Panel-Discussion.html,GlobeNewswire Inc.,-0.01428571428571429,0.26666666666666666,neutral,0.01428571428571429,False,False,False,False,False,False,False,False,0.0,530,"['BITF', 'BITF']",BITF,2021-08-27
