date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-12-14,0.0604,,1,0.0604,0.0,1,0,0,0,0,0,0,0,523.0,BLBX
2022-01-10,-0.0361,,1,0.0361,0.0,0,0,0,0,0,0,1,0,568.0,BLBX
2022-04-01,0.0597,,1,0.0597,0.0,0,1,0,0,0,0,0,0,269.0,BLBX
2022-06-17,0.256,,1,0.256,0.0,0,1,0,0,0,0,0,0,218.0,BLBX
2022-09-02,0.0281,,1,0.0281,0.0,1,1,0,0,1,1,1,0,3119.0,BLBX
2022-10-20,0.176,,1,0.176,0.0,1,1,0,0,0,0,1,1,3094.0,BLBX
2022-11-15,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,271.0,BLBX
2023-01-31,0.2718,0.0726,2,0.2718,0.0,1,1,1,0,1,2,0,0,1616.5,BLBX
2023-02-27,0.3006,0.1004,3,0.3006,0.0,1,1,3,0,0,2,3,0,1566.3333,BLBX
2023-04-17,0.2034,0.0829,4,0.2034,0.0,2,4,3,0,2,1,4,0,1386.25,BLBX
2023-04-18,0.1324,0.0365,3,0.1324,0.0,1,3,2,2,0,0,0,0,1552.0,BLBX
2023-07-17,0.1234,,1,0.1234,0.0,0,1,0,0,0,0,1,0,2493.0,BLBX
2023-12-13,0.164,0.0756,4,0.164,0.0,1,4,4,0,2,0,0,0,1372.75,BLBX
2024-02-01,0.0432,,1,0.0432,0.0,0,1,0,0,0,0,0,0,260.0,BLBX
2024-02-20,0.1364,,1,0.1364,0.0,0,1,0,0,0,0,0,0,182.0,BLBX
2024-04-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,198.0,BLBX
