date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-18,0.1308,0.1932,4,0.1308,0.0,2,1,1,1,1,0,1,0,1096.75,BLDE
2021-05-19,-0.0101,,1,0.0101,0.0,1,0,1,0,0,0,1,0,2400.0,BLDE
2021-06-03,0.0562,,1,0.0562,0.0,1,0,1,0,0,0,0,0,928.0,BLDE
2021-06-04,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,470.0,BLDE
2021-06-17,0.0167,,1,0.0167,0.0,0,0,0,0,0,0,1,0,473.0,BLDE
2021-06-18,0.1563,,1,0.1563,0.0,0,1,0,0,0,0,1,0,577.0,BLDE
2021-06-19,0.092,,1,0.092,0.0,0,1,0,0,1,0,1,0,773.0,BLDE
2021-09-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,112.0,BLDE
2021-09-22,0.1462,,1,0.1462,0.0,0,1,0,0,0,0,0,0,661.0,BLDE
2021-10-04,0.3,,1,0.3,0.2,0,0,0,0,0,0,0,0,212.0,BLDE
2021-10-19,0.2,,1,0.2,0.0,0,0,0,0,0,0,1,0,196.0,BLDE
2021-11-01,0.075,,1,0.075,0.0,0,0,0,0,0,0,0,0,491.0,BLDE
2021-11-06,0.0865,0.1223,2,0.0865,0.0,0,0,0,0,0,1,0,0,657.5,BLDE
2021-11-07,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,BLDE
2021-11-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,106.0,BLDE
2021-11-15,-0.0037,,1,0.0037,0.0,0,0,0,0,0,0,0,0,934.0,BLDE
2021-11-19,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,97.0,BLDE
2021-11-22,0.1237,,1,0.1237,0.0,0,0,0,0,0,0,0,0,376.0,BLDE
2021-12-08,0.1125,,1,0.1125,0.0,0,1,0,0,0,0,1,0,643.0,BLDE
2021-12-30,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,95.0,BLDE
2022-04-12,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,131.0,BLDE
2022-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,228.0,BLDE
2022-06-14,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,208.0,BLDE
2022-07-12,0.4208,,1,0.4208,0.0,1,0,0,0,0,1,0,0,1402.0,BLDE
2022-08-02,-0.0012,0.0017,2,0.0012,0.0,2,0,0,0,0,0,0,0,264.0,BLDE
2022-08-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,274.0,BLDE
2022-10-19,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,190.0,BLDE
2022-11-22,0.0455,,1,0.0455,0.0,0,0,0,0,0,0,1,0,328.0,BLDE
2022-12-01,0.1561,,1,0.1561,0.0,0,0,1,0,0,0,0,0,634.0,BLDE
2023-01-05,0.1338,,1,0.1338,0.0,0,0,1,0,0,0,0,0,626.0,BLDE
2023-01-18,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,223.0,BLDE
2023-01-27,-0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,240.0,BLDE
2023-02-08,0.0341,,1,0.0341,0.0,0,0,0,0,0,0,0,0,334.0,BLDE
