date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-06,0.0265,,1,0.0265,0.0,1,0,0,0,0,0,0,0,270.0,BLIN
2021-05-17,0.08,,1,0.08,0.0,1,0,0,0,1,0,0,0,2988.0,BLIN
2021-06-11,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,140.0,BLIN
2021-07-03,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,180.0,BLIN
2021-07-28,0.077,,1,0.077,0.2,0,1,1,0,0,0,0,0,963.0,BLIN
2021-08-05,-0.002,,1,0.002,0.0,1,0,0,0,1,0,0,0,285.0,BLIN
2021-08-10,0.0612,,1,0.0612,0.0,0,0,0,0,1,0,0,0,640.0,BLIN
2021-08-16,0.0639,0.0904,2,0.0639,0.0,2,0,0,0,0,0,0,0,245.5,BLIN
2021-08-17,0.2839,,1,0.2839,0.0,0,1,0,0,0,0,0,0,284.0,BLIN
2021-08-19,0.125,,1,0.125,0.0,0,0,0,0,1,0,0,0,420.0,BLIN
2021-08-27,0.275,,1,0.275,0.0,0,1,0,0,0,0,0,0,270.0,BLIN
2021-08-31,0.5625,,1,0.5625,0.0,0,1,0,0,0,0,0,0,290.0,BLIN
2021-09-10,0.0341,,1,0.0341,0.0,0,0,0,0,0,0,1,0,403.0,BLIN
2021-09-22,0.75,,1,0.75,0.0,0,1,0,0,0,0,0,0,244.0,BLIN
2021-09-23,0.2007,,1,0.2007,0.0,0,1,0,0,0,0,0,0,288.0,BLIN
2021-09-30,0.125,,1,0.125,0.0,0,0,0,0,1,0,0,0,347.0,BLIN
2021-10-27,0.0682,,1,0.0682,0.0,0,0,0,0,0,0,0,0,372.0,BLIN
