date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-05-03,0.0317,0.0678,3,0.0627,0.0,0,0,2,0,0,0,0,0,1095.0,BLTE
2022-05-12,-0.053,,1,0.053,0.0,0,0,0,0,0,0,0,0,690.0,BLTE
2022-07-05,0.1941,,1,0.1941,0.0,0,1,0,0,0,0,1,0,2523.0,BLTE
2022-07-19,0.1909,,1,0.1909,0.0,1,0,1,0,0,0,0,0,719.0,BLTE
2022-07-20,0.0698,,1,0.0698,0.0,1,1,0,0,1,0,0,0,2481.0,BLTE
2022-07-21,0.1358,,1,0.1358,0.0,1,1,1,0,1,0,0,0,3071.0,BLTE
2022-07-22,0.073,,1,0.073,0.0,0,1,0,1,0,0,0,0,2606.0,BLTE
2022-07-25,0.275,,1,0.275,0.0,0,1,0,0,0,0,0,0,609.0,BLTE
2022-08-01,0.0495,0.0439,3,0.0495,0.0,0,2,1,0,1,0,0,0,2102.0,BLTE
2022-08-11,0.0639,,1,0.0639,0.0,0,0,0,0,0,0,0,0,394.0,BLTE
2022-08-22,0.051,0.1114,3,0.1003,0.0,3,1,2,0,1,0,2,0,2420.6667,BLTE
2022-08-23,0.0892,0.0579,2,0.0892,0.0,0,1,1,0,0,0,1,0,1857.0,BLTE
2022-09-01,0.166,0.0215,2,0.166,0.0,1,2,0,0,0,1,0,0,1439.5,BLTE
2022-09-02,0.0281,,1,0.0281,0.0,1,1,0,0,1,1,1,0,3119.0,BLTE
2022-09-06,0.1108,,1,0.1108,0.0,1,1,1,0,0,0,0,0,2358.0,BLTE
2022-09-07,0.1833,,1,0.1833,0.0,1,1,1,0,0,0,0,0,3341.0,BLTE
2022-09-16,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,449.0,BLTE
2022-10-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,620.0,BLTE
2022-10-03,0.3006,,1,0.3006,0.0,1,1,0,0,0,0,0,0,1904.0,BLTE
2022-10-04,0.0744,0.0772,2,0.0744,0.0,2,1,1,1,0,0,0,0,1748.5,BLTE
