date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-27,0.2833,,1,0.2833,0.0,0,0,0,0,0,0,0,0,105.0,BMEA
2021-06-26,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,194.0,BMEA
2021-07-16,0.0025,,1,0.0025,0.0,0,0,0,0,0,0,0,0,2693.0,BMEA
2021-07-20,0.0378,,1,0.0378,0.0,0,0,1,0,0,0,0,0,3723.0,BMEA
2021-07-23,0.1229,,1,0.1229,0.0,0,0,1,0,1,0,0,0,3014.0,BMEA
2021-07-27,0.0841,,1,0.0841,0.0,1,0,1,0,0,0,1,0,3793.0,BMEA
2021-07-28,0.0966,,1,0.0966,0.0,1,0,1,0,0,0,0,1,3220.0,BMEA
2021-08-11,0.0114,0.0868,2,0.0614,0.0,0,0,2,0,0,0,0,0,1657.0,BMEA
2021-08-13,0.0407,,1,0.0407,0.0,0,0,1,0,0,0,0,0,3102.0,BMEA
2021-08-17,0.0844,,1,0.0844,0.0,0,0,1,0,1,0,0,0,4322.0,BMEA
2021-08-18,0.1206,,1,0.1206,0.0,0,0,1,0,1,0,0,0,3635.0,BMEA
2021-08-19,0.0861,,1,0.0861,0.0,0,1,1,0,0,0,0,0,1879.0,BMEA
2021-08-20,0.0574,,1,0.0574,0.0,0,0,0,0,0,0,1,0,3343.0,BMEA
2021-08-21,0.1321,,1,0.1321,0.0,1,1,0,0,0,0,0,0,1386.0,BMEA
2021-09-16,0.1445,,1,0.1445,0.0,0,0,1,0,0,0,0,0,717.0,BMEA
2021-09-22,0.0889,,1,0.0889,0.0,0,0,1,0,0,0,1,0,2899.0,BMEA
2021-11-04,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,525.0,BMEA
2021-11-10,-0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,513.0,BMEA
2021-12-14,0.0875,,1,0.0875,0.0,0,0,0,0,0,0,0,0,536.0,BMEA
2022-01-04,0.0076,,1,0.0076,0.0,0,0,0,0,0,0,0,0,465.0,BMEA
2022-01-10,-0.0043,,1,0.0043,0.0,0,0,1,0,0,0,0,0,918.0,BMEA
2022-01-11,-0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,588.0,BMEA
2022-02-01,0.1783,0.0692,2,0.1783,0.0,1,1,0,0,0,0,0,0,743.5,BMEA
2022-03-08,0.0709,,1,0.0709,0.0,0,0,0,0,0,0,0,0,1168.0,BMEA
2022-03-14,-0.0534,,1,0.0534,0.0,0,0,0,0,0,0,0,0,704.0,BMEA
2022-03-15,-0.125,,1,0.125,0.0,0,0,0,0,0,0,1,0,691.0,BMEA
2022-04-06,-0.1356,,1,0.1356,0.2,0,0,0,0,0,0,0,0,732.0,BMEA
2022-05-09,-0.0568,,1,0.0568,0.0,0,0,1,0,0,0,0,0,658.0,BMEA
2022-05-20,-0.0833,,1,0.0833,0.0,0,0,0,0,0,0,0,0,541.0,BMEA
2022-05-26,0.057,,1,0.057,0.0,0,0,0,0,1,0,0,0,928.0,BMEA
2022-06-02,-0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,644.0,BMEA
2022-06-04,0.0533,,1,0.0533,0.0,0,0,0,0,0,0,0,0,879.0,BMEA
2022-07-01,0.1062,,1,0.1062,0.0,0,0,0,0,0,0,0,0,987.0,BMEA
2022-08-18,0.1609,,1,0.1609,0.0,1,1,0,0,0,0,1,0,3375.0,BMEA
2022-08-26,-0.0071,,1,0.0071,0.0,0,0,0,0,0,0,0,0,817.0,BMEA
2022-09-20,0.0852,,1,0.0852,0.0,0,0,0,0,0,0,0,0,719.0,BMEA
2022-09-22,0.017,,1,0.017,0.0,0,0,0,0,0,0,0,0,729.0,BMEA
2022-10-14,0.05,,1,0.05,0.0,0,0,1,0,0,0,0,0,623.0,BMEA
