date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-07-12,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,253.0,BMRC
2021-07-19,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,251.0,BMRC
2021-07-25,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,221.0,BMRC
2021-09-10,0.1233,,1,0.1233,0.0,1,0,0,0,0,0,0,0,208.0,BMRC
2021-10-18,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,270.0,BMRC
2021-10-21,0.5208,,1,0.5208,0.0,0,0,0,0,0,1,0,0,245.0,BMRC
2022-01-17,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,248.0,BMRC
2022-01-24,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,254.0,BMRC
2022-01-27,0.1069,0.1473,2,0.1069,0.0,1,2,0,0,0,0,0,0,203.5,BMRC
2022-01-30,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,251.0,BMRC
2022-02-02,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,236.0,BMRC
2022-02-09,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,143.0,BMRC
2022-02-18,0.4738,,1,0.4738,0.0,0,1,0,0,0,1,0,0,249.0,BMRC
2022-03-07,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,272.0,BMRC
2022-03-23,0.4738,,1,0.4738,0.0,0,1,0,0,0,1,0,0,249.0,BMRC
2022-04-08,0.4738,,1,0.4738,0.0,0,1,0,0,0,1,0,0,249.0,BMRC
2022-04-13,0.0972,,1,0.0972,0.0,1,0,0,0,0,0,0,0,389.0,BMRC
