date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-04,0.2271,,1,0.2271,0.0,1,1,1,0,1,1,0,0,2268.0,BOOM
2021-05-05,0.1742,,1,0.1742,0.0,1,1,1,0,1,1,0,0,2977.0,BOOM
2021-05-06,0.1206,,1,0.1206,0.0,1,0,0,0,0,0,0,0,285.0,BOOM
2021-06-15,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,112.0,BOOM
2021-07-15,0.0408,,1,0.0408,0.0,1,0,0,0,0,0,0,0,247.0,BOOM
2021-07-22,0.0821,0.1162,2,0.0821,0.0,1,0,0,0,0,0,0,0,478.0,BOOM
2021-07-23,0.0254,0.0359,2,0.0254,0.0,1,0,0,0,0,0,0,0,126.5,BOOM
2021-08-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,79.0,BOOM
2021-10-07,0.0,,1,0.0,0.0,1,0,0,0,1,0,1,0,382.0,BOOM
2021-10-14,0.0265,,1,0.0265,0.0,1,1,0,0,0,0,0,0,235.0,BOOM
2021-10-21,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,234.5,BOOM
2021-10-22,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,116.0,BOOM
2021-10-26,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,148.0,BOOM
2021-10-27,0.0722,0.1021,2,0.0722,0.0,1,0,0,0,0,0,0,0,146.0,BOOM
2021-12-17,0.1875,,1,0.1875,0.0,0,1,0,0,1,0,0,0,177.0,BOOM
2021-12-23,0.0,,1,0.0,0.0,0,1,0,0,1,0,0,0,637.0,BOOM
2021-12-27,0.0375,,1,0.0375,0.0,1,1,0,0,1,0,0,0,249.0,BOOM
2022-02-10,0.0265,,1,0.0265,0.0,1,1,0,0,0,0,0,0,235.0,BOOM
2022-02-15,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,264.0,BOOM
2022-02-24,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,248.0,BOOM
2022-02-25,0.0381,,1,0.0381,0.0,1,0,0,0,1,0,0,0,735.0,BOOM
2022-03-09,0.0492,,1,0.0492,0.0,1,0,0,0,0,0,0,0,277.0,BOOM
2022-03-18,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,219.0,BOOM
2022-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,246.0,BOOM
2022-06-01,0.0696,,1,0.0696,0.0,1,0,0,0,0,0,0,0,373.0,BOOM
2022-06-27,0.1688,,1,0.1688,0.0,1,0,0,0,0,0,0,0,279.0,BOOM
2022-07-14,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,79.0,BOOM
2022-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,251.0,BOOM
2022-08-04,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,246.0,BOOM
2022-08-10,-0.0328,,1,0.0328,0.0,1,0,0,0,0,0,0,0,375.0,BOOM
2022-08-17,0.027,0.0631,2,0.0446,0.0,2,0,2,0,1,0,1,0,1290.5,BOOM
2022-08-18,0.137,,1,0.137,0.0,0,0,0,0,0,0,1,0,724.0,BOOM
2022-09-15,0.1156,0.0751,2,0.1156,0.0,1,0,0,0,1,0,0,0,284.0,BOOM
2022-09-20,0.0637,,1,0.0637,0.0,0,1,1,0,1,0,0,0,1331.0,BOOM
2022-10-12,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,310.0,BOOM
2022-10-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,190.0,BOOM
2022-10-20,0.0667,0.0943,2,0.0667,0.0,2,0,0,0,0,0,0,0,274.0,BOOM
2022-11-04,0.157,0.0074,2,0.157,0.0,2,1,2,0,0,1,0,0,2432.5,BOOM
2022-11-07,0.107,,1,0.107,0.0,1,1,0,0,1,1,0,0,4511.0,BOOM
2022-12-13,0.152,,1,0.152,0.0,0,0,1,0,0,0,0,0,1362.0,BOOM
2022-12-27,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,181.0,BOOM
2023-01-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,1,432.0,BOOM
2023-01-20,0.0833,,1,0.0833,0.0,0,0,0,0,0,0,1,0,491.0,BOOM
2023-01-31,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,232.0,BOOM
2023-02-07,0.0327,,1,0.0327,0.0,1,0,0,0,0,0,0,0,252.0,BOOM
2023-02-13,0.0333,0.0471,2,0.0333,0.0,2,0,0,0,0,0,0,0,258.5,BOOM
2023-02-14,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,240.0,BOOM
2023-02-15,0.0694,,1,0.0694,0.0,1,0,0,0,0,0,0,0,227.0,BOOM
2023-02-16,0.0265,,1,0.0265,0.0,1,1,0,0,0,0,0,0,229.0,BOOM
2023-02-17,-0.0417,,1,0.0417,0.0,1,0,0,0,0,0,0,0,260.0,BOOM
2023-02-22,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,256.0,BOOM
2023-02-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,239.0,BOOM
2023-03-28,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,1,0,338.0,BOOM
2023-03-31,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,187.0,BOOM
2023-04-04,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,253.0,BOOM
2023-04-05,0.2167,,1,0.2167,0.0,0,0,0,0,1,0,0,1,623.0,BOOM
2023-04-21,0.0833,,1,0.0833,0.0,1,0,0,0,1,0,1,0,377.0,BOOM
2023-05-03,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,255.0,BOOM
2023-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,245.0,BOOM
2023-05-05,0.1898,,1,0.1898,0.0,1,0,1,0,0,0,0,0,1405.0,BOOM
2023-05-19,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,181.0,BOOM
2023-06-05,0.0521,0.1797,2,0.1271,0.0,1,1,2,0,0,0,0,1,1476.0,BOOM
2023-06-07,0.2121,,1,0.2121,0.0,0,0,0,0,0,0,0,0,269.0,BOOM
2023-06-26,0.1222,,1,0.1222,0.0,1,0,0,0,0,0,0,0,262.0,BOOM
2023-07-06,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,187.0,BOOM
2023-07-27,0.0,,1,0.0,0.0,1,0,1,0,1,0,1,0,380.0,BOOM
2023-08-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,241.0,BOOM
2023-08-07,0.04,0.0566,2,0.04,0.0,0,0,0,0,0,0,2,0,263.5,BOOM
2023-08-08,0.1278,0.0048,3,0.1278,0.0,3,0,1,0,0,0,0,0,242.0,BOOM
2023-08-09,0.1213,0.0378,2,0.1213,0.0,2,2,2,0,0,0,2,0,2581.0,BOOM
2023-08-10,0.0544,,1,0.0544,0.0,0,0,1,0,0,0,1,0,693.0,BOOM
2023-08-14,0.0946,0.1019,3,0.0946,0.0,0,3,0,0,0,0,0,0,358.3333,BOOM
2023-08-17,0.2733,,1,0.2733,0.0,1,0,0,0,0,0,0,0,201.0,BOOM
2023-08-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,145.0,BOOM
2023-08-24,0.05,,1,0.05,0.0,0,0,1,0,1,0,0,0,177.0,BOOM
2023-08-25,0.2389,,1,0.2389,0.0,0,0,0,0,0,0,0,0,300.0,BOOM
2023-09-01,0.16,,1,0.16,0.0,1,0,0,0,0,0,0,0,161.0,BOOM
2023-09-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,284.0,BOOM
2023-09-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,275.0,BOOM
2023-09-11,-0.0042,0.0059,2,0.0042,0.0,0,0,1,0,1,0,0,0,196.5,BOOM
2023-09-13,0.032,,1,0.032,0.0,0,0,0,0,0,0,1,0,384.0,BOOM
2023-09-19,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,192.0,BOOM
2023-09-21,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,204.0,BOOM
2023-09-28,0.0333,,1,0.0333,0.0,0,0,1,0,1,0,0,0,200.0,BOOM
2023-10-03,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,181.0,BOOM
2023-10-04,0.28,,1,0.28,0.0,1,0,1,0,0,0,0,0,153.0,BOOM
2023-10-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,224.0,BOOM
2023-10-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,333.0,BOOM
2023-11-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,260.0,BOOM
2023-11-02,0.0667,0.0943,2,0.0667,0.0,1,0,0,0,0,0,0,0,275.0,BOOM
2023-11-03,0.0793,,1,0.0793,0.0,1,0,1,0,1,0,0,0,2167.0,BOOM
2023-11-15,0.194,,1,0.194,0.0,0,1,1,0,0,0,0,0,668.0,BOOM
2023-11-20,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,181.0,BOOM
2023-11-29,0.1826,,1,0.1826,0.0,1,1,1,0,0,0,0,0,977.0,BOOM
2023-12-08,0.1375,,1,0.1375,0.0,0,1,0,0,1,0,1,0,911.0,BOOM
2024-02-07,-0.025,,1,0.025,0.0,0,0,1,0,0,0,0,0,421.0,BOOM
2024-02-19,0.0857,,1,0.0857,0.0,1,0,0,0,0,0,0,0,322.0,BOOM
2024-02-22,0.0444,0.077,3,0.0444,0.0,2,0,0,0,0,0,0,0,258.3333,BOOM
2024-03-15,0.0341,,1,0.0341,0.0,0,0,1,0,1,0,1,0,558.0,BOOM
2024-04-17,0.0833,,1,0.0833,0.0,1,0,0,0,1,0,1,0,377.0,BOOM
2024-05-02,0.1292,0.0059,2,0.1292,0.0,2,0,0,0,0,0,0,0,280.0,BOOM
2024-06-05,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,181.0,BOOM
2024-06-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,335.0,BOOM
2024-06-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,252.0,BOOM
2024-08-06,0.012,,1,0.012,0.0,0,0,1,0,0,0,0,0,440.0,BOOM
2024-11-05,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,341.0,BOOM
2024-12-02,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,341.0,BOOM
2024-12-06,-0.0286,,1,0.0286,0.0,0,0,1,0,0,0,0,1,476.0,BOOM
2024-12-09,0.0679,,1,0.0679,0.0,0,0,1,0,0,0,0,1,291.0,BOOM
2024-12-10,-0.0382,0.047,2,0.0382,0.1,2,0,0,0,0,0,0,0,350.0,BOOM
2024-12-12,0.0444,,1,0.0444,0.2,0,0,1,0,0,0,0,1,435.0,BOOM
2024-12-13,-0.0286,,1,0.0286,0.0,0,0,1,0,0,0,0,1,476.0,BOOM
2024-12-14,0.0444,,1,0.0444,0.2,0,0,1,0,0,0,0,1,460.0,BOOM
2024-12-18,-0.015,0.0636,2,0.045,0.1,0,0,2,0,0,0,0,2,394.0,BOOM
2024-12-20,-0.0266,0.0552,2,0.0391,0.0,0,0,0,0,0,1,0,1,456.5,BOOM
2024-12-21,0.05,,1,0.05,0.2,0,0,1,0,0,0,0,1,448.0,BOOM
2024-12-23,-0.0333,,1,0.0333,0.2,1,0,0,0,0,0,0,1,376.0,BOOM
2024-12-26,-0.0148,0.0788,3,0.0519,0.1333,1,0,2,0,0,0,0,2,414.0,BOOM
2024-12-27,0.0107,,1,0.0107,0.0,0,0,0,0,0,0,0,1,460.0,BOOM
2024-12-29,0.03,,1,0.03,0.2,0,0,1,0,0,0,0,1,432.0,BOOM
2024-12-30,-0.0286,0.0,2,0.0286,0.0,0,0,2,0,0,0,0,2,514.0,BOOM
