title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Mike Tyson's Cannabis Co. Forms Hefty Board, Taps Fyllo's CEO Chad Bronstein As Chairman","Tyson 2.0 cannabis company launched with the legendary boxer Mike Tyson, announced Tuesday the composition of its new board of directors, which includes cannabis industry executives Chad Bronstein, Sammy Dorf, Adam Wilks and financial leaders such as Andrew DeFrancesco.
Chad Bronstein, current CEO and founder of Fyllo, will serve as board chairman.
“Thrilled to partner with the Champ to bring premium cannabis products that Tyson believes in, to consumers nationwide. With Columbia Care as our national cultivation, manufacturing and distribution partner, Mike’s mission and vision for Tyson 2.0 will be realized,"" Bronstein told Benzinga. ""Through Columbia Care’s dispensary network, consumers will soon be able to experience products at a variety of price points tested and approved by Mike.” 
In 2021 alone, Bronstein managed to raise nearly ...",2021-11-09 18:05:30+00:00,https://www.benzinga.com/markets/cannabis/21/11/23986701/mike-tysons-cannabis-co-forms-hefty-board-taps-fyllos-ceo-chad-bronstein-as-chairman,Benzinga,0.29204545454545455,0.5099431818181819,positive,0.29204545454545455,False,False,False,False,True,False,True,False,0.0,941,['BRAG'],BRAG,2021-11-09
"Cannabis Movers & Shakers: Tyson 2.0, Akanda, Shryne Group, MedMen","Akanda Taps Dr. Aslihan Akkar-Schenkl As President
Akanda Corp., which recently spun off from Halo Collective Inc. (NEO: HALO) and now operates as an international medical cannabis company, announced Wednesday that Dr. Aslihan Akkar-Schenkl has joined its management team as president. Akkar-Schenkl is an experienced executive in the cannabis industry, a registered pharmacist and a European patent attorney,
In her new role, Akkar-Schenkl will be responsible for company-wide pharmaceutical strategy and operations, quality assurance, as well as legal and regulatory affairs.
In addition, she will work closely with Akanda's EU GMP processing and distribution partner Cantourage GmbH, based in Germany.
""With accomplished industry pioneers like Dr. Akkar-Schenkl on our team, we believe no company is better positioned to seize this emerging opportunity than ours,"" Tej Virk, CEO and director of Akanda said. ""Together, we intend to build the world's leading supplier of medical cannabis and wellness products, with lasting benefits to all of our stakeholders – patients, employees, shareholders, and our communities.""
Shryne Group Names New CLO
Cannabis holding company Shryne Group, Inc. disclosed Tuesday that it has named Cary Berger its new chief legal officer.
Berger will lead the legal function and advise the board and management on all legal, business, and policy matters as Shryne solidifies its position as one of America's leading cannabis companies, the Los Angeles-based company said.
With a wealth of experience across industries, Berger joins Shryne after serving as general counsel and chief administrative officer for Houseplant, a cannabis brand founded by Seth Rogen and Evan Goldberg.
""Cary is ...",2021-11-12 20:45:21+00:00,https://www.benzinga.com/markets/cannabis/21/11/24068801/cannabis-movers-shakers-tyson-2-0-akanda-shryne-group-medmen,Benzinga,0.1643939393939394,0.297979797979798,positive,0.1643939393939394,False,False,True,False,True,False,True,True,0.0,1789,"['CRON', 'BRAG']",BRAG,2021-11-12
"Benzinga's Top Ratings Upgrades, Downgrades For September 21, 2022","Upgrades
For Berkshire Hathaway Inc (NYSE:BRK), Edward Jones upgraded the previous rating of Hold to Buy. Berkshire Hathaway earned $6312.49 in the second quarter, compared to $4399.91 in the year-ago quarter.  
For Aurora Cannabis Inc (NASDAQ:ACB), Canaccord Genuity upgraded the previous rating of Sell to Hold. For the fourth quarter, Aurora Cannabis had an EPS of $0.00, compared to year-ago quarter EPS of $0.55. At the moment, the stock has a 52-week-high of $6.05 and a 52-week-low of $1.21. Aurora Cannabis closed at $1.40 at the end of the last trading period.   
According to Exane BNP Paribas, the prior rating for TechnipFMC PLC (NYSE:FTI) was changed from Neutral to Outperform. In the second quarter, TechnipFMC showed an EPS of $0.02, compared to $0.06 from the year-ago quarter. The stock has a 52-week-high of $9.39 and a 52-week-low of $5.47. At the end of the last trading period, TechnipFMC closed at $9.16.   
Citigroup upgraded the previous rating for Oxford Industries Inc (NYSE:OXM) from Sell to Neutral. In the second quarter, Oxford Industries showed an EPS of $3.61, compared to $3.24 from the year-ago quarter. The current stock performance of Oxford Industries shows a 52-week-high of $119.50 and a 52-week-low of $76.21. Moreover, at the end of the last trading period, the closing price was at $95.32.   
According to Barclays, the prior rating for Arista Networks Inc (NYSE:ANET) was changed from Equal-Weight to Overweight. For the second quarter, Arista Networks had an EPS of $1.08, compared to year-ago quarter EPS of $0.68. At the moment, the stock has a 52-week-high of $144.50 and a 52-week-low of $89.11. Arista Networks closed at $114.07 at the end of the last trading period.   
According to JP Morgan, the prior rating for PBF Energy Inc (NYSE:PBF) was changed from Neutral to Overweight. In the second quarter, PBF Energy showed an EPS of $10.58, compared to $1.26 from the year-ago quarter. The stock has a 52-week-high of $44.12 and a 52-week-low of $13.10. At the end of the last trading period, PBF Energy closed at $29.69.   
According to Goldman Sachs, the prior rating for The Estee Lauder Companies Inc (NYSE:EL) was changed from Neutral to Buy. In the fourth quarter, Estee Lauder Cos showed an EPS of $0.42, compared to $0.78 from the year-ago quarter. The current stock performance of Estee Lauder Cos shows a 52-week-high of $374.20 and a 52-week-low of $225.39. Moreover, at the end of the last trading period, the closing price was at $239.50.   
See all analyst ratings upgrades.
Downgrades
For Pulse Biosciences Inc (NASDAQ:PLSE), Maxim Group downgraded the previous rating of Buy to Hold. In the second quarter, Pulse Biosciences showed an EPS of $0.38, compared to $0.58 from the year-ago quarter. The stock has a 52-week-high of $15.38 and a 52-week-low of $1.18. At the end of the last trading period, Pulse Biosciences closed at $1.39.   
For Stitch Fix Inc (NASDAQ:SFIX), Canaccord Genuity downgraded the previous rating of Buy to Hold. For the fourth quarter, Stitch Fix had an EPS of $0.65, compared to year-ago quarter EPS of $0.19. The stock has a 52-week-high of $20.17 and a 52-week-low of $4.61. At the end of the last trading period, Stitch Fix closed at $4.72.   
For Cisco Systems Inc (NASDAQ:CSCO), Barclays downgraded the previous rating of Overweight to Equal-Weight. In the fourth quarter, Cisco Systems showed an EPS of $0.83, compared to $0.84 from the year-ago quarter. The stock has a 52-week-high of $63.35 and a 52-week-low of $40.82. At the end of the last trading period, Cisco Systems closed at $42.58.   
Wells Fargo downgraded the previous rating for HF Sinclair Corp (NYSE:DINO) from Overweight to Equal-Weight. For the second quarter, HF Sinclair had an EPS of $5.59, compared to year-ago quarter EPS of $0.87. The current stock performance of ...Full story available on Benzinga.com",2022-09-21 14:04:09+00:00,https://www.benzinga.com/analyst-ratings/upgrades/22/09/28949086/benzingas-top-ratings-upgrades-downgrades-for-september-21-2022,Benzinga,-0.02248062015503876,0.10620155038759693,neutral,0.02248062015503876,False,True,True,False,False,False,False,False,0.0,3944,"['AMEH', 'FIP', 'HRT', 'PBF', 'ACET', 'ANET', 'ADCT', 'TRUP', 'CROX', 'XNCR', 'CSCO', 'ACB', 'JACK', 'NTLA', 'SHOO', 'PLSE', 'AJG', 'DINO', 'EL', 'RMBL', 'FTI', 'SFIX', 'MU', 'GOSS', 'OXM', 'RCOR', 'WDC', 'ONON', 'BRAG', 'FA', 'STER', 'SHC']",BRAG,2022-09-21
"Benzinga's Top Ratings Upgrades, Downgrades For January 5, 2023","Upgrades
For Algonquin Power & Utilities Corp (NYSE:AQN), Wells Fargo upgraded the previous rating of Equal-Weight to Overweight. In the third quarter, Algonquin Power showed an EPS of $0.11, compared to $0.15 from the year-ago quarter. The current stock performance of Algonquin Power shows a 52-week-high of $16.01 and a 52-week-low of $6.41. Moreover, at the end of the last trading period, the closing price was at $6.86.   
For FirstCash Holdings Inc (NASDAQ:FCFS), Stephens & Co. upgraded the previous rating of Equal-Weight to Overweight. FirstCash Hldgs earned $1.30 in the third quarter, compared to $0.84 in the year-ago quarter. The stock has a 52-week-high of $100.00 and a 52-week-low of $58.30. At the end of the last trading period, FirstCash Hldgs closed at $86.70.   
Truist Securities upgraded the previous rating for Charter Communications Inc (NASDAQ:CHTR) from Hold to Buy. Charter Communications earned $7.38 in the third quarter, compared to $6.50 in the year-ago quarter. The stock has a 52-week-high of $653.09 and a 52-week-low of $297.66. At the end of the last trading period, Charter Communications closed at $354.00.   
Jefferies upgraded the previous rating for Check Point Software Technologies Ltd (NASDAQ:CHKP) from Hold to Buy. Check Point Software earned $1.77 in the third quarter, compared to $1.65 in the year-ago quarter. The current stock performance of Check Point Software shows a 52-week-high of $149.62 and a 52-week-low of $107.54. Moreover, at the end of the last trading period, the closing price was at $127.20.   
For DocuSign Inc (NASDAQ:DOCU), Jefferies upgraded the previous rating of Hold to Buy. DocuSign earned $0.57 in the third quarter, compared to $0.58 in the year-ago quarter. The current stock performance of DocuSign shows a 52-week-high of $156.41 and a 52-week-low of $39.57. Moreover, at the end of the last trading period, the closing price was at $56.27.   
According to Jefferies, the prior rating for Atlassian Corp (NASDAQ:TEAM) was changed from Hold to Buy. Atlassian earned $0.36 in the first quarter, compared to $0.46 in the year-ago quarter. The stock has a 52-week-high of $352.92 and a 52-week-low of $113.86. At the end of the last trading period, Atlassian closed at $126.40.   
For Oracle Corp (NYSE:ORCL), Jefferies upgraded the previous rating of Hold to Buy. For the second quarter, Oracle had an EPS of $1.21, compared to year-ago quarter EPS of $1.21. The current stock performance of Oracle shows a 52-week-high of $89.58 and a 52-week-low of $60.78. Moreover, at the end of the last trading period, the closing price was at $84.48.   
According to Argus Research, the prior rating for Delta Air Lines Inc (NYSE:DAL) was changed from Hold to Buy. Delta Air Lines earned $1.51 in the third quarter, compared to $0.30 in the year-ago quarter. The current stock performance of Delta Air Lines shows a 52-week-high of $46.27 and a 52-week-low of $27.20. Moreover, at the end of the last trading period, the closing price was at $34.39.   
For Olin Corp (NYSE:OLN), Barclays upgraded the previous rating of Equal-Weight to Overweight. In the third quarter, Olin showed an EPS of $2.18, compared to $2.38 from the year-ago quarter. The stock has a 52-week-high of $67.25 and a 52-week-low of $41.33. At the end of the last trading period, Olin closed at $53.29.   
Raymond James upgraded the previous rating for Zimmer Biomet Holdings Inc (NYSE:ZBH) from Market Perform to Outperform. In the third quarter, Zimmer Biomet Holdings showed an EPS of $1.58, compared to $1.81 from the year-ago quarter. At the moment, the stock has a 52-week-high of $135.05 and a 52-week-low of $100.39. Zimmer Biomet Holdings closed at $128.46 at the end of the last trading period.   
Truist Securities upgraded the previous rating for Silgan Holdings Inc (NYSE:SLGN) from Hold to Buy. In the third quarter, Silgan Hldgs showed an EPS of $1.27, compared to $1.02 from the year-ago quarter. The stock has a 52-week-high of $54.59 and a 52-week-low of $38.59. At the end of the last trading period, Silgan Hldgs closed at $51.58.   
Truist Securities upgraded the previous rating for Comcast Corp (NASDAQ:CMCSA) from Hold to Buy. Comcast earned $0.96 in the third quarter, compared to $0.87 in the year-ago quarter. At the moment, the stock has a 52-week-high of $52.10 and a 52-week-low of $28.39. Comcast closed at $36.59 at the end of the last trading period.   
Stephens & Co. upgraded the previous rating for Bread Financial Holdings Inc (NYSE:BFH) from Equal-Weight to Overweight. In the third quarter, Bread Financial Holdings showed an EPS of $2.69, compared to $4.47 from the year-ago quarter. At the moment, the stock has a 52-week-high of $60.79 and a 52-week-low of $28.85. Bread Financial Holdings closed at $40.11 at the end of the last trading period.   
Barclays upgraded the previous rating for US Foods Holding Corp (NYSE:USFD) from Equal-Weight to Overweight. For the third quarter, US Foods Hldg had an EPS of $0.60, compared to year-ago quarter EPS of $0.48. The stock has a 52-week-high of $39.73 and a 52-week-low of $25.49. At the end of the last trading period, US Foods Hldg closed at $34.78.   
Goldman Sachs upgraded the previous rating for First Republic Bank (NYSE:FRC) from Neutral to Buy. For the third quarter, First Republic Bank had an EPS of $2.21, compared to year-ago quarter EPS of $1.91. The current stock performance of First Republic Bank shows a 52-week-high of $209.30 and a 52-week-low of $106.86. Moreover, at the end of the last trading period, the closing price was at $123.79.   
B of A Securities upgraded the previous rating for Cullen/Frost Bankers Inc (NYSE:CFR) from Neutral to Buy. Cullen/Frost Bankers earned $2.59 in the third quarter, compared to $1.65 in the year-ago quarter. At the moment, the stock has a 52-week-high of $160.60 and a 52-week-low of $112.67. Cullen/Frost Bankers closed at $131.03 at the end of the last trading period.   
According to B of A Securities, the prior rating for FibroGen Inc (NASDAQ:FGEN) was changed from Neutral to Buy. FibroGen earned $0.98 in the third quarter, compared to $0.54 in the year-ago quarter. At the moment, the stock has a 52-week-high of $18.31 and a 52-week-low of $7.81. FibroGen closed at $16.10 at the end of the last trading period.   
For Reinsurance Group of America Inc (NYSE:RGA), Evercore ISI Group upgraded the previous rating of In-Line to Outperform. For the third quarter, Reinsurance Group had an EPS of $5.20, compared to year-ago quarter EPS of $1.11. The current stock performance of Reinsurance Group shows a 52-week-high of $148.75 and a 52-week-low of $97.61. Moreover, at the end of the last trading period, the closing price was at $142.03.   
According to B of A Securities, the prior rating for The Interpublic Group of Companies Inc (NYSE:IPG) was changed from Underperform to Neutral. For the third quarter, Interpublic Gr of Cos had an EPS of $0.63, compared to year-ago quarter EPS of $0.60. At the moment, the stock has a 52-week-high of $39.98 and a 52-week-low of $25.14. Interpublic Gr of Cos closed at $34.70 at the end of the last trading period.   
Credit Suisse upgraded the previous rating for CME Group Inc (NASDAQ:CME) from Neutral to Outperform. CME Group earned $1.98 in the third quarter, compared to $1.60 in the year-ago quarter. The stock has a 52-week-high of $256.94 and a 52-week-low of $166.54. At the end of the last trading period, CME Group closed at $170.08.   
For Cboe Global Markets Inc (BATS:CBOE), Credit Suisse upgraded the previous rating of Neutral to Outperform. For the third quarter, Cboe Global Markets had an EPS of $1.74, compared to year-ago quarter EPS of $1.45. At the moment, the stock has a 52-week-high of $130.54 and a 52-week-low of $103.82. Cboe Global Markets closed at $124.47 at the end of the last trading period.   
See all analyst ratings upgrades.
Downgrades
Seaport Global downgraded the previous rating for American States Water Co (NYSE:AWR) from Buy to Neutral. American States Water earned $0.69 in the third quarter, compared to $0.76 in the year-ago quarter. The stock has a 52-week-high of $102.89 and a 52-week-low of $71.22. At the end of the last trading period, American States Water closed at $96.25.   
For SJW Group (NYSE:SJW), Seaport Global downgraded the previous rating of Buy to Neutral. In the third quarter, SJW Gr showed an EPS of $0.82, compared to $0.64 from the year-ago quarter. The current stock performance of SJW Gr shows a 52-week-high of $83.88 and a 52-week-low of $55.73. Moreover, at the end of the last trading period, the closing price was at $83.35.   
Jefferies downgraded the previous rating for Palantir Technologies Inc (NYSE:PLTR) from Buy to Hold. For the third quarter, Palantir Technologies had an EPS of $0.01, compared to year-ago quarter EPS of $0.04. The stock has a 52-week-high of $18.84 and a 52-week-low of $5.92. At the end of the last trading period, Palantir Technologies closed at $6.58.   
According to Loop Capital, the prior rating for Armstrong World Industries Inc (NYSE:AWI) was changed from Buy to Hold. In the third quarter, Armstrong World Indus showed an EPS of $1.36, compared to $1.17 from the year-ago quarter. The current stock performance of Armstrong World Indus shows a 52-week-high of $117.64 and a 52-week-low of $66.86. Moreover, at the end of the last trading period, the closing price was at $70.40.   
For Dropbox Inc (NASDAQ:DBX), Jefferies downgraded the previous rating of Buy to Hold. For the third quarter, Dropbox had an EPS of $0.43, compared to year-ago quarter EPS of $0.37. The current stock performance of Dropbox shows a 52-week-high of $25.80 and a 52-week-low of $19.07. Moreover, at the end of the last trading period, the closing price was at $22.81.   
Jefferies downgraded the previous rating for Vertex Inc (NASDAQ:VERX) from Buy to Hold. In the third quarter, Vertex showed an EPS of $0.08, compared to $0.08 from the year-ago quarter. At the moment, the stock has a 52-week-high of $19.30 and a 52-week-low of $9.44. Vertex closed at $14.76 at the end of the last trading period.   
For Verint Systems Inc (NASDAQ:VRNT), Jefferies downgraded the previous rating of Buy to Hold. Verint Systems earned $0.69 in the third quarter, compared to $0.69 in the year-ago quarter. The stock has a 52-week-high of $56.39 and a 52-week-low of $31.63. At the end of the last trading period, Verint Systems closed at $37.08.   
Jefferies downgraded the previous rating for Varonis Systems Inc (NASDAQ:VRNS) from Buy to Hold. For the third quarter, Varonis Systems had an EPS of $0.05, compared to year-ago quarter EPS of $0.05. At the moment, the stock has a 52-week-high of $51.60 and a 52-week-low of $15.61. Varonis Systems closed at $24.45 at the end of the last trading period.   
According to Jefferies, the prior rating for Five9 Inc (NASDAQ:FIVN) was changed from Buy to Hold. Five9 earned $0.39 in the third quarter, compared to $0.28 in the year-ago quarter. The current stock performance of Five9 shows a 52-week-high of $144.24 and a 52-week-low of $46.61. Moreover, at the end of the last trading period, the closing price was at $69.24.   
For CrowdStrike Holdings Inc (NASDAQ:CRWD), Jefferies downgraded the previous rating of Buy to Hold. CrowdStrike Holdings earned $0.40 in the third quarter, compared to $0.17 in the year-ago quarter. The current stock performance of CrowdStrike Holdings shows a 52-week-high of $242.00 and a 52-week-low of $98.70. Moreover, at the end of the last trading period, the closing price was at $104.36.   
For Shopify Inc (NYSE:SHOP), Jefferies downgraded the previous rating of Buy to Hold. For the third quarter, Shopify had an EPS of $0.02, compared to year-ago quarter EPS of $0.08. At the moment, the stock has a 52-week-high of $1370.00 and a 52-week-low of $23.63. Shopify closed at $37.54 at the end of the last trading period.   
UBS downgraded the previous rating for Gap Inc (NYSE:GPS) from Neutral to Sell. In the third quarter, Gap showed an EPS of $0.71, compared to $0.27 from the year-ago quarter. The stock has a 52-week-high of $19.06 and a 52-week-low of $7.79. At the end of the last trading period, Gap closed at $11.78.   
For Ally Financial Inc (NYSE:ALLY), B of A Securities downgraded the previous rating of Buy to Underperform. For the third quarter, Ally Financial had an EPS of $1.12, compared to year-ago quarter EPS of $2.16. The current stock performance of Ally Financial shows a 52-week-high of $53.83 and a 52-week-low of $22.34. Moreover, at the end of the last trading period, the closing price was at $25.24.   
According to Argus Research, the prior rating for CarMax Inc (NYSE:Full story available on Benzinga.com",2023-01-05 15:01:20+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/01/30295134/benzingas-top-ratings-upgrades-downgrades-for-january-5-2023,Benzinga,-0.031196581196581193,0.10555555555555546,neutral,0.031196581196581193,False,True,True,False,False,False,False,False,0.0,12810,"['KRTX', 'SLGN', 'GH', 'BRAG', 'OLN', 'GTHX', 'REPL', 'BCEL', 'TEAM', 'FGEN', 'BIRD', 'PNC', 'GTBP', 'QLYS', 'QLYS', 'CSTL', 'AWI', 'CFB', 'BFH', 'RGA', 'AMLX', 'APP', 'BERY', 'IAA', 'AWR', 'ETSY', 'TMPO', 'SEE', 'IPSC', 'SVA', 'BERY', 'PGNY', 'AXP', 'RAIN', 'APGN', 'SJW', 'DBX', 'ADPT', 'ESNT', 'AMTI', 'AZN', 'ADAP', 'WEN', 'DOCU', 'CGEN', 'VCYT', 'AZEK', 'BAX', 'SHOP', 'WWW', 'BFST', 'CHKP', 'FATE', 'VERX', 'CFR', 'ZBH', 'VRNT', 'BNGO', 'CHRW', 'CMCSA', 'FATE', 'PLTR', 'COF', 'AXSM', 'CBOE', 'YMAB', 'CME', 'VRNS', 'FHTX', 'DAL', 'MRUS', 'PACB', 'ALLO', 'COIN', 'FIVN', 'MRVI', 'DHR', 'NOMD', 'CHTR', 'RVLV', 'CTSH', 'LPG', 'BCAB', 'DK', 'USFD', 'FRC', 'TWST', 'ARAV', 'FCFS', 'ALLY', 'OLK', 'GPS', 'AQN', 'GNTA', 'TCRR', 'ILMN', 'ADPT', 'SQSP', 'IPG', 'RAIN', 'EPAM', 'BCYC', 'MSFT', 'ATRA', 'RSVR', 'JWN', 'CRSP', 'ALLY', 'CRWD', 'ORCL', 'VBTX', 'VSCO', 'KMX', 'RCM', 'CANO']",BRAG,2023-01-05
Golden Entertainment (GDEN) Misses Q4 Earnings and Revenue Estimates,"Golden Entertainment (GDEN) delivered earnings and revenue surprises of -41.67% and 0.28%, respectively, for the quarter ended December 2022. Do the numbers hold clues to what lies ahead for the stock?",2023-03-01 22:55:06+00:00,https://www.zacks.com/stock/news/2060669/golden-entertainment-gden-misses-q4-earnings-and-revenue-estimates,Zacks Investment Research,0.19999999999999998,0.3666666666666667,positive,0.19999999999999998,True,False,False,False,False,False,False,False,0.0,271,"['GDEN', 'BRAG']",BRAG,2023-03-01
"My Portfolio February Update: 4 Buys, 1 Sale","February couldn't continue the streak that was started in January. In February, I had five transactions. Check out the companies I will look into next month.",2023-03-09 08:28:50+00:00,https://seekingalpha.com/article/4585892-my-portfolio-february-update-4-buys-1-sale,Seeking Alpha,0.0,0.0,neutral,0.0,False,True,False,False,False,False,False,False,0.0,203,"['ABBV', 'AHH', 'AJRD', 'ATVI', 'AVGO', 'BAM', 'BN', 'BRAG', 'CBOE', 'CVS', 'DGRO', 'ENB', 'ENBA', 'FSTX', 'IBKR', 'ICE', 'INTC', 'LHX', 'LMT', 'MS', 'MSFT', 'NDAQ', 'NGMS', 'NTST', 'PFH', 'PRH', 'PRS', 'PRU', 'RELY', 'STNE', 'TJX', 'UDMY', 'V', 'VICI']",BRAG,2023-03-09
"Bragg Gaming Group Inc. (BRAG) Reports Q4 Loss, Tops Revenue Estimates","Bragg Gaming Group Inc. (BRAG) delivered earnings and revenue surprises of 20% and 25.42%, respectively, for the quarter ended December 2022. Do the numbers hold clues to what lies ahead for the stock?",2023-03-21 12:15:03+00:00,https://www.zacks.com/stock/news/2068383/bragg-gaming-group-inc-brag-reports-q4-loss-tops-revenue-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,273,"['BRAG', 'MCRI']",BRAG,2023-03-21
"Bragg's Continued Push Into US & European iGaming Markets Will Diversify Revenue And Drive Growth, Analyst Says","Benchmark analyst Mike Hickey reiterates Bragg Gaming Group Inc (NASDAQ: BRAG) with a Speculative Buy and an $8 price target.
BRAG delivered Q4 financial results that exceeded the consensus view on profitability and updated FY23 guidance.
The quarterly performance was led mainly by new PAM & turnkey launches in the Dutch and Czech markets, along with better-than-expected exclusive and proprietary content performance. 
BRAG has guided for positive FY23 operating cash flow and will ...Full story available on Benzinga.com",2023-03-22 19:20:48+00:00,https://www.benzinga.com/analyst-ratings/analyst-color/23/03/31461022/braggs-continued-push-into-us-european-igaming-markets-will-diversify-revenue-and-d,Benzinga,0.15272727272727274,0.27999999999999997,positive,0.15272727272727274,True,True,False,False,True,False,False,False,0.0,637,['BRAG'],BRAG,2023-03-22
Consumer Discretionary Stocks Are In Play: 5 Picks,March CPI data shows the smallest increase since May 2021. We see this as a thumbs up to Consumer Discretionary spending.,2023-04-12 16:56:00+00:00,https://www.zacks.com/stock/news/2077755/consumer-discretionary-stocks-are-in-play-5-picks,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,173,"['PVH', 'AGS', 'SKLZ', 'BRAG', 'ONON']",BRAG,2023-04-12
"The Zacks Analyst Blog Highlights PVH, On Holding, PlayAGS, Skillz and Bragg Gaming Group","PVH, On Holding, PlayAGS, Skillz and Bragg Gaming Group are part of the Zacks top Analyst Blog.",2023-04-13 12:23:00+00:00,https://www.zacks.com/stock/news/2078123/the-zacks-analyst-blog-highlights-pvh-on-holding-playags-skillz-and-bragg-gaming-group,Zacks Investment Research,0.5,0.5,positive,0.5,False,False,False,False,False,False,False,False,0.0,186,"['PVH', 'AGS', 'SKLZ', 'BRAG', 'ONON']",BRAG,2023-04-13
