title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Moving Average Crossover Alert: Brooge Energy (BROG),"Brooge Energy (BROG) could be a stock to avoid from a technical perspective, as the firm is seeing unfavorable trends on the moving average crossover front.",2021-06-10 11:30:00+00:00,https://www.zacks.com/stock/news/1684765/moving-average-crossover-alert-brooge-energy-brog,Zacks Investment Research,-0.125,0.325,negative,0.125,False,False,False,False,False,False,False,False,0.2,210,['BROG'],BROG,2021-06-10
Brooge Energy Ltd. Achieves Major Milestone with Launch of Phase II Storage Facility; Receives First Cargo,Phase II facility will contribute to the Company’s revenues in the second half of 2021.,2021-09-09 20:15:00+00:00,https://www.globenewswire.com/news-release/2021/09/09/2294799/0/en/Brooge-Energy-Ltd-Achieves-Major-Milestone-with-Launch-of-Phase-II-Storage-Facility-Receives-First-Cargo.html,GlobeNewswire Inc.,0.036458333333333336,0.24999999999999997,neutral,0.036458333333333336,True,False,True,False,True,False,False,False,0.0,195,['BROG'],BROG,2021-09-09
Brooge Energy Announces Dates for First Half 2021 Results and Conference Call,"NEW YORK, Sept.  10, 2021  (GLOBE NEWSWIRE) -- Brooge Energy Ltd. (“Brooge Energy” or the “Company”) (NASDAQ: BROG), a midstream oil storage and service provider strategically located outside the Strait of Hormuz, in the Port of Fujairah in the United Arab Emirates (the “UAE”), today announced that it will release its financial results for the six months ended June 30, 2021 on Monday, September 13, 2021. The Company will host a conference call to discuss these results on Wednesday, September 15, 2021. Following management’s prepared remarks there will be a question-and-answer session to address any queries investors have regarding the Company’s reported results.",2021-09-10 12:30:00+00:00,https://www.globenewswire.com/news-release/2021/09/10/2295139/0/en/Brooge-Energy-Announces-Dates-for-First-Half-2021-Results-and-Conference-Call.html,GlobeNewswire Inc.,0.036616161616161616,0.1840909090909091,neutral,0.036616161616161616,False,False,False,False,True,False,True,False,0.0,749,['BROG'],BROG,2021-09-10
"Brooge Energy Reports Revenue of $23.3 Million for the Six Months Ended June 30, 2021",Global demand for oil storage drives higher fixed storage rates,2021-09-13 14:21:00+00:00,https://www.globenewswire.com/news-release/2021/09/13/2295929/0/en/Brooge-Energy-Reports-Revenue-of-23-3-Million-for-the-Six-Months-Ended-June-30-2021.html,GlobeNewswire Inc.,0.11666666666666665,0.2333333333333333,positive,0.11666666666666665,True,False,False,False,False,False,False,False,0.0,150,['BROG'],BROG,2021-09-13
Brooge Energy Ltd. Officially Opens Phase II Storage Facility,Facility is currently fully contracted out and generating revenue,2021-10-06 20:30:00+00:00,https://www.globenewswire.com/news-release/2021/10/06/2309904/0/en/Brooge-Energy-Ltd-Officially-Opens-Phase-II-Storage-Facility.html,GlobeNewswire Inc.,0.0,0.4,neutral,0.0,True,False,False,False,False,False,False,False,0.0,128,['BROG'],BROG,2021-10-06
Brooge Energy Ltd. Appoints Lina Saheb as Deputy Chief Executive Officer,"NEW YORK, Nov.  01, 2021  (GLOBE NEWSWIRE) -- Brooge Energy Ltd. (“Brooge Energy” or the “Company”) (NASDAQ: BROG), a midstream oil storage and service provider strategically located outside the Strait of Hormuz, in the Port of Fujairah in the United Arab Emirates (the “UAE”), is pleased to announce that its Board of Directors has appointed Lina Saheb as Deputy Chief Executive Officer effective 28th October 2021.  Prior to this appointment Ms. Saheb served as the Company’s Chief Strategy Officer.",2021-11-01 20:15:00+00:00,https://www.globenewswire.com/news-release/2021/11/01/2324848/0/en/Brooge-Energy-Ltd-Appoints-Lina-Saheb-as-Deputy-Chief-Executive-Officer.html,GlobeNewswire Inc.,0.24727272727272726,0.46090909090909093,positive,0.24727272727272726,False,False,False,False,False,False,True,False,0.0,575,['BROG'],BROG,2021-11-01
Brooge Energy Ltd. Announces Receipt of Nasdaq Non-Compliance Letter,"NEW YORK, Dec.  30, 2021  (GLOBE NEWSWIRE) -- Brooge Energy Ltd. (“Brooge Energy” or the “Company”) (NASDAQ: BROG), a midstream oil storage and service provider strategically located outside the Strait of Hormuz, announced today that it has received a letter from The Nasdaq Stock Market dated December 27, 2021 (the “Notice”), following a notification delivered to Nasdaq by the Company, confirming that the Company is not in compliance with Listing Rule 5605 with respect to Nasdaq’s independent director requirement.  The non‑compliance was triggered due to two directors nominated for re-election failing to be elected to serve on the board of directors at the annual meeting of shareholders of the Company held on December 16, 2021. As a result, Brooge Energy is no longer in compliance with Nasdaq Listing Rule 5605(b)(1), which requires the Company's board of directors to be comprised of a majority of independent directors. Brooge Energy’s board of directors presently has six members, including three independent directors.",2021-12-30 21:10:00+00:00,https://www.globenewswire.com/news-release/2021/12/30/2359414/0/en/Brooge-Energy-Ltd-Announces-Receipt-of-Nasdaq-Non-Compliance-Letter.html,GlobeNewswire Inc.,0.0014204545454545442,0.1693181818181818,neutral,0.0014204545454545442,False,False,False,False,False,False,True,False,0.0,1103,['BROG'],BROG,2021-12-30
Brooge Energy Ltd. Awarded Best Enterprise by Europe Business Assembly,"NEW YORK, Jan.  14, 2022  (GLOBE NEWSWIRE) -- Brooge Energy Ltd. (“Brooge Energy” or the “Company”) (NASDAQ: BROG), a midstream oil storage and service provider strategically located outside the Strait of Hormuz, announced today that the Company has been the recipient of the Europe Business Assembly’s Best Enterprise award in the oil and gas sector in the United Arab Emirates.  The Europe Business Assembly assesses the business performance of companies and the management teams across various industries and its peer group on an annual basis.",2022-01-14 13:30:00+00:00,https://www.globenewswire.com/news-release/2022/01/14/2367190/0/en/Brooge-Energy-Ltd-Awarded-Best-Enterprise-by-Europe-Business-Assembly.html,GlobeNewswire Inc.,0.42727272727272725,0.3209090909090909,positive,0.42727272727272725,False,False,True,False,False,False,True,False,0.0,618,['BROG'],BROG,2022-01-14
Brooge Energy Ltd. Announces Receipt of Nasdaq Non-Compliance Letter,"NEW YORK, May  27, 2022  (GLOBE NEWSWIRE) -- Brooge Energy Ltd, (“Brooge Energy” or the “Company”), is a Cayman Islands-based infrastructure provider which is engaged in Clean Petroleum Products and Biofuels and Crude Oil storage and related services. The Company conducts the business and operations through its subsidiary Brooge Petroleum and Gas Investment Company FZE (BPGIC). BPGIC is strategically located outside the Strait of Hormuz at the Port of Fujairah in the Emirate of Fujairah in the UAE. The Company announced today that it has received a letter from The Nasdaq Stock Market dated May 23, 2022 (the “Notice”), stating that the Company is not in compliance with Listing Rule 5250(c)(1) The Company is not in compliance as it has not yet filed its Form 20-F for the period ended December 31, 2021 (the “Filing”). The Company has not been able to file the 2021 Form 20-F due to an ongoing non-public examination being conducted by the SEC regarding the financial statements of the Company. The Company is cooperating with the SEC fully.",2022-05-27 19:29:00+00:00,https://www.globenewswire.com/news-release/2022/05/27/2452130/0/en/Brooge-Energy-Ltd-Announces-Receipt-of-Nasdaq-Non-Compliance-Letter.html,GlobeNewswire Inc.,-0.0021969696969696916,0.48045454545454536,neutral,0.0021969696969696916,False,False,True,False,True,False,False,False,0.0,1119,['BROG'],BROG,2022-05-27
"Brooge Energy Ltd forms wholly owned subsidiary, “Brooge Renewable Energy Ltd”, to expand its infrastructure and services into Green Energy ","New Subsidiary has signed a preliminary land lease agreement for its planned Green Hydrogen and Ammonia plant in UAE to produce up to 300,000 MT of Green Ammonia per annum once fully completed",2022-06-28 20:15:00+00:00,https://www.globenewswire.com/news-release/2022/06/28/2470822/0/en/Brooge-Energy-Ltd-forms-wholly-owned-subsidiary-Brooge-Renewable-Energy-Ltd-to-expand-its-infrastructure-and-services-into-Green-Energy.html,GlobeNewswire Inc.,-0.11590909090909092,0.3386363636363636,negative,0.11590909090909092,False,False,False,False,False,False,False,False,0.0,334,['BROG'],BROG,2022-06-28
