date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-06-03,0.5333,,1,0.5333,0.0,0,0,0,0,0,0,0,0,593.0,BSGM
2021-07-02,0.0934,0.043,3,0.0934,0.0667,0,0,1,0,1,0,1,0,1208.3333,BSGM
2021-08-19,-0.025,,1,0.025,0.0,0,0,0,0,0,0,0,0,356.0,BSGM
2021-08-20,0.0574,,1,0.0574,0.0,0,0,0,0,0,0,1,0,3343.0,BSGM
2021-08-31,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,373.0,BSGM
2021-09-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,402.0,BSGM
2021-09-28,-0.15,,1,0.15,0.0,0,0,0,0,1,0,0,0,311.0,BSGM
2021-10-04,0.2134,,1,0.2134,0.0,0,1,0,0,0,0,0,0,331.0,BSGM
2021-10-05,0.0373,,1,0.0373,0.0,0,0,0,0,0,0,1,0,3290.0,BSGM
2021-10-06,0.0267,,1,0.0267,0.0,0,0,0,0,0,0,0,0,2937.0,BSGM
2021-10-07,-0.0028,,1,0.0028,0.0,0,0,0,0,0,0,1,0,4011.0,BSGM
2021-10-08,0.0433,,1,0.0433,0.0,1,1,1,0,0,1,0,0,4155.0,BSGM
2021-10-12,0.0933,0.0334,2,0.0933,0.0,0,1,1,1,0,0,0,0,1857.0,BSGM
2021-11-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,277.0,BSGM
2021-11-04,-0.1455,,1,0.1455,0.0,0,0,0,0,0,0,0,0,194.0,BSGM
2021-11-08,0.2937,,1,0.2937,0.0,0,0,0,0,0,0,0,0,289.0,BSGM
2021-11-10,0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,287.0,BSGM
2021-11-11,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,298.0,BSGM
2021-11-16,-0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,386.0,BSGM
2021-11-17,0.2833,,1,0.2833,0.0,0,0,0,0,0,0,0,0,548.0,BSGM
2021-12-01,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,380.0,BSGM
2021-12-06,0.2833,,1,0.2833,0.0,0,0,0,0,0,0,0,0,572.0,BSGM
2021-12-13,0.2833,,1,0.2833,0.0,0,0,0,0,0,0,0,0,451.0,BSGM
2021-12-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,347.0,BSGM
2021-12-21,-0.4,,1,0.4,0.0,0,0,0,0,0,0,1,0,441.0,BSGM
2022-01-06,0.2857,,1,0.2857,0.0,0,0,0,0,0,0,0,0,253.0,BSGM
2022-01-07,0.1071,,1,0.1071,0.0,0,0,0,0,0,0,0,0,348.0,BSGM
2022-01-26,0.1827,,1,0.1827,0.0,0,0,0,0,0,0,0,0,728.0,BSGM
2022-03-29,0.0857,,1,0.0857,0.0,0,0,0,0,0,0,0,0,377.0,BSGM
2022-04-19,0.1403,,1,0.1403,0.0,0,0,0,0,1,0,0,0,368.0,BSGM
2022-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,235.0,BSGM
2022-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,274.0,BSGM
2022-05-12,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,245.0,BSGM
2022-05-25,0.2306,,1,0.2306,0.0,0,0,0,0,0,0,0,0,360.0,BSGM
2022-05-26,0.1,,1,0.1,0.0,0,0,0,0,1,0,0,0,452.0,BSGM
2022-05-31,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,248.0,BSGM
2022-06-23,0.0871,,1,0.0871,0.0,0,0,0,0,0,0,0,0,679.0,BSGM
2022-06-24,0.1879,0.1184,6,0.1879,0.0,1,4,3,0,0,1,0,1,1442.5,BSGM
2022-06-29,0.1476,,1,0.1476,0.0,0,0,0,0,0,0,0,0,459.0,BSGM
2022-07-07,0.0735,,1,0.0735,0.0,0,1,0,0,0,0,0,0,588.0,BSGM
2022-07-21,0.2143,,1,0.2143,0.0,0,1,0,0,0,0,0,0,388.0,BSGM
2022-08-16,0.2338,,1,0.2338,0.0,0,0,0,0,0,0,0,0,538.0,BSGM
2022-08-17,0.0709,0.0642,2,0.0709,0.0,1,0,1,0,0,0,0,0,2259.5,BSGM
2022-08-24,0.0729,,1,0.0729,0.0,0,0,1,0,0,0,0,0,672.0,BSGM
2022-08-30,0.1429,,1,0.1429,0.0,0,0,0,0,0,0,0,0,545.0,BSGM
2022-09-01,0.0868,,1,0.0868,0.0,1,1,0,0,0,0,1,0,920.0,BSGM
2022-09-06,0.1636,,1,0.1636,0.0,0,1,0,0,0,0,1,0,676.0,BSGM
2022-09-08,0.1149,0.1024,3,0.1149,0.0,1,1,1,0,1,0,2,0,1168.3333,BSGM
2022-09-09,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,178.0,BSGM
2022-10-06,0.125,,1,0.125,0.0,0,1,0,0,0,0,0,0,256.0,BSGM
2022-10-07,0.0995,0.2139,3,0.1948,0.0,1,2,1,0,2,0,1,0,1861.6667,BSGM
2022-10-10,0.1958,,1,0.1958,0.0,1,1,1,0,1,1,0,0,3290.0,BSGM
2022-10-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,189.0,BSGM
2022-11-04,0.1076,,1,0.1076,0.0,1,1,1,0,1,1,0,0,3886.0,BSGM
2022-12-06,0.3342,0.192,2,0.3342,0.0,1,1,0,1,0,0,0,0,1603.5,BSGM
2022-12-14,0.1738,,1,0.1738,0.0,0,0,0,0,0,0,0,0,356.0,BSGM
