title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Bank7 (BSVN) Tops Q1 Earnings and Revenue Estimates,"Bank7 (BSVN) delivered earnings and revenue surprises of 9.80% and 4.55%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-29 14:15:05+00:00,http://www.zacks.com/stock/news/1473185/bank7-bsvn-tops-q1-earnings-and-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1473185,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,234,['BSVN'],BSVN,2021-04-29
Bank7 (BSVN) Soars 11.9%: Is Further Upside Left in the Stock?,Bank7 (BSVN) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock suggests that there could be more strength down the road.,2021-05-26 09:07:00+00:00,http://www.zacks.com/stock/news/1607648/bank7-bsvn-soars-119-is-further-upside-left-in-the-stock?cid=CS-ZC-FT-tale_of_the_tape|daily_price_change_5%-1607648,Zacks Investment Research,0.14074074074074075,0.37592592592592594,positive,0.14074074074074075,True,False,False,False,False,False,False,False,0.0,274,['BSVN'],BSVN,2021-05-26
Bank7 (BSVN) Reports Next Week: Wall Street Expects Earnings Growth,Bank7 (BSVN) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-07-22 19:03:46+00:00,https://www.zacks.com/stock/news/1766304/bank7-bsvn-reports-next-week-wall-street-expects-earnings-growth,Zacks Investment Research,0.05714285714285714,0.7071428571428571,neutral,0.05714285714285714,True,False,False,False,False,False,False,False,0.0,237,['BSVN'],BSVN,2021-07-22
Bank7 (BSVN) Surpasses Q2 Earnings and Revenue Estimates,"Bank7 (BSVN) delivered earnings and revenue surprises of 17.54% and 16.75%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-07-29 14:25:06+00:00,https://www.zacks.com/stock/news/1770483/bank7-bsvn-surpasses-q2-earnings-and-revenue-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,240,['BSVN'],BSVN,2021-07-29
Can Bank7 (BSVN) Run Higher on Rising Earnings Estimates?,"Bank7 (BSVN) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",2021-08-04 16:20:06+00:00,https://www.zacks.com/stock/news/1774487/can-bank7-bsvn-run-higher-on-rising-earnings-estimates,Zacks Investment Research,0.15,0.375,positive,0.15,True,False,False,False,False,False,False,False,0.0,201,['BSVN'],BSVN,2021-08-04
Trustmark (TRMK) Inks Alliance With Commonwealth National,"Trustmark (TRMK) fraternizes with Commonwealth National, as part of Project REACh Initiative, in a bid to expand economic capabilities in minority and underserved communities.",2021-08-24 13:22:00+00:00,https://www.zacks.com/stock/news/1785926/trustmark-trmk-inks-alliance-with-commonwealth-national,Zacks Investment Research,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,234,"['TRMK', 'FVCB', 'ABTX', 'BSVN']",BSVN,2021-08-24
Why Bank7 (BSVN) Stock Might be a Great Pick,"Bank7 (BSVN) has seen solid earnings estimate revision activity over the past month, and belongs to a strong industry as well.",2021-09-01 12:37:00+00:00,https://www.zacks.com/stock/news/1789566/why-bank7-bsvn-stock-might-be-a-great-pick,Zacks Investment Research,0.24583333333333335,0.45833333333333337,positive,0.24583333333333335,True,False,False,False,False,False,False,False,0.0,172,['BSVN'],BSVN,2021-09-01
Bank7 (BSVN) Upgraded to Strong Buy: Here's What You Should Know,"Bank7 (BSVN) has been upgraded to a Zacks Rank #1 (Strong Buy), reflecting growing optimism about the company's earnings prospects. This might drive the stock higher in the near term.",2021-09-21 16:00:05+00:00,https://www.zacks.com/stock/news/1799103/bank7-bsvn-upgraded-to-strong-buy-heres-what-you-should-know,Zacks Investment Research,0.0833333333333333,0.6533333333333333,neutral,0.0833333333333333,True,True,False,False,False,False,False,False,0.0,249,['BSVN'],BSVN,2021-09-21
Bank7 (BSVN) Reports Next Week: Wall Street Expects Earnings Growth,Bank7 (BSVN) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-10-14 19:01:05+00:00,https://www.zacks.com/stock/news/1810726/bank7-bsvn-reports-next-week-wall-street-expects-earnings-growth,Zacks Investment Research,0.05714285714285714,0.7071428571428571,neutral,0.05714285714285714,True,False,False,False,False,False,False,False,0.0,237,['BSVN'],BSVN,2021-10-14
Best Momentum Stocks to Buy for October 29th,"BSVN, HLI, HAFC, and GOOGL made it to the Zacks Rank #1 (Strong Buy) momentum stocks list on October 29, 2021.",2021-10-29 15:20:00+00:00,https://www.zacks.com/commentary/1819957/best-momentum-stocks-to-buy-for-october-29th,Zacks Investment Research,0.2111111111111111,0.6444444444444444,positive,0.2111111111111111,False,True,False,False,False,False,False,False,0.0,156,"['HAFC', 'GOOGL', 'HLI', 'BSVN']",BSVN,2021-10-29
