date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2023-07-20,-0.1062,,1,0.1062,0.0,0,1,0,0,0,0,1,0,678.0,BTM
2023-07-21,0.0997,0.0932,4,0.0997,0.0,4,3,4,0,1,0,1,3,1187.0,BTM
2023-07-25,0.0227,,1,0.0227,0.0,0,0,1,0,1,0,0,0,544.0,BTM
2023-08-14,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,116.0,BTM
2023-08-16,0.2,,1,0.2,0.0,0,0,1,0,0,0,0,0,257.0,BTM
2023-08-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,441.0,BTM
2023-08-31,0.3788,,1,0.3788,0.0,0,0,0,1,0,0,0,0,289.0,BTM
2023-09-07,-0.0035,,1,0.0035,0.0,0,1,1,0,0,0,0,0,7483.0,BTM
2023-09-19,-0.0163,,1,0.0163,0.0,0,1,1,0,0,0,0,0,4279.0,BTM
2023-09-22,0.1,,1,0.1,0.0,0,0,0,0,0,0,1,0,499.0,BTM
2023-10-30,0.017,,1,0.017,0.0,0,0,0,0,1,0,0,0,552.0,BTM
2023-11-06,0.2736,,1,0.2736,0.0,1,1,0,0,0,0,0,0,638.0,BTM
2023-11-10,0.2273,,1,0.2273,0.0,1,1,0,0,0,0,0,0,198.0,BTM
2023-11-13,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,107.0,BTM
2023-11-14,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,263.0,BTM
2023-12-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,283.0,BTM
2023-12-05,0.0312,,1,0.0312,0.0,0,0,0,1,1,0,0,0,349.0,BTM
2024-01-11,0.0671,0.0621,3,0.0671,0.0,2,1,1,0,0,0,1,0,1174.6667,BTM
2024-01-12,0.1916,,1,0.1916,0.0,1,0,1,0,1,1,0,0,1743.0,BTM
2024-01-17,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,392.0,BTM
2024-01-22,0.2677,,1,0.2677,0.0,0,1,0,0,0,0,0,0,290.0,BTM
2024-02-13,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,266.0,BTM
2024-03-11,0.0227,,1,0.0227,0.0,0,0,0,0,1,0,0,0,547.0,BTM
2024-03-12,0.2677,,1,0.2677,0.0,0,0,0,0,0,0,0,0,306.0,BTM
2024-03-25,0.1353,0.0263,2,0.1353,0.0,1,1,1,0,0,0,1,1,1154.0,BTM
2024-04-12,0.1932,,1,0.1932,0.0,1,0,0,0,0,0,0,0,406.0,BTM
2024-04-25,-0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,517.0,BTM
2024-05-06,0.1061,,1,0.1061,0.0,0,0,0,0,1,0,0,0,533.0,BTM
2024-05-14,0.1591,,1,0.1591,0.0,0,0,0,0,0,0,0,0,154.0,BTM
2024-05-23,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,213.0,BTM
2024-06-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,298.0,BTM
2024-07-05,0.0511,,1,0.0511,0.0,0,0,0,0,0,0,0,0,335.0,BTM
2024-07-12,-0.117,,1,0.117,0.0,0,0,0,0,0,0,0,0,361.0,BTM
2024-08-16,0.02,,1,0.02,0.0,0,0,0,0,0,0,0,0,340.0,BTM
2024-10-09,0.2389,,1,0.2389,0.0,0,0,0,0,0,0,0,0,377.0,BTM
2024-12-04,0.0895,0.1914,3,0.177,0.0,0,0,1,0,0,0,0,0,372.6667,BTM
2024-12-05,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,310.0,BTM
2024-12-06,0.1221,0.1349,3,0.1221,0.0667,0,1,1,0,0,0,0,0,376.0,BTM
2024-12-07,-0.1375,,1,0.1375,0.0,0,0,0,0,0,0,0,0,376.0,BTM
2024-12-08,0.2233,0.0769,3,0.2233,0.0,0,3,1,0,0,0,0,0,429.3333,BTM
2024-12-09,0.2799,0.2641,2,0.2799,0.0,0,0,0,0,0,0,1,0,405.0,BTM
2024-12-10,0.1,,1,0.1,0.0,0,0,0,0,0,0,1,0,348.0,BTM
2024-12-11,0.1028,0.1758,2,0.1243,0.0,0,1,0,0,0,0,0,0,395.5,BTM
2024-12-13,0.2,,1,0.2,0.0,0,1,1,0,0,0,0,0,375.0,BTM
2024-12-14,0.1,,1,0.1,0.0,0,0,0,0,1,0,0,0,342.0,BTM
2024-12-17,0.0088,,1,0.0088,0.0,0,1,0,0,0,0,0,0,304.0,BTM
2024-12-18,-0.025,,1,0.025,0.0,0,0,0,0,0,0,0,0,387.0,BTM
2024-12-19,0.0979,,1,0.0979,0.0,1,0,0,0,0,0,0,0,295.0,BTM
2024-12-22,-0.0125,,1,0.0125,0.0,0,0,0,0,0,0,0,0,372.0,BTM
2024-12-23,0.0703,0.0344,3,0.0703,0.0,0,1,2,0,1,0,0,0,382.0,BTM
