title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Bridgewater (BWB) Q1 Earnings and Revenues Top Estimates,"Bridgewater (BWB) delivered earnings and revenue surprises of 12.12% and 2.56%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-29 12:35:11+00:00,http://www.zacks.com/stock/news/1472642/bridgewater-bwb-q1-earnings-and-revenues-top-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1472642,Zacks Investment Research,0.25,0.3,positive,0.25,True,False,False,False,False,False,False,False,0.0,245,['BWB'],BWB,2021-04-29
Strength Seen in Bridgewater (BWB): Can Its 8.4% Jump Turn into More Strength?,Bridgewater (BWB) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might help the stock continue moving higher in the near term.,2021-05-07 11:58:00+00:00,http://www.zacks.com/stock/news/1515462/strength-seen-in-bridgewater-bwb-can-its-84-jump-turn-into-more-strength?cid=CS-ZC-FT-tale_of_the_tape|daily_price_change_5%-1515462,Zacks Investment Research,0.225,0.41111111111111104,positive,0.225,True,False,False,False,False,False,False,False,0.0,275,['BWB'],BWB,2021-05-07
"Bridgewater Bancshares' (BWB) Shares March Higher, Can It Continue?","As of late, it has definitely been a great time to be an investor in Bridgewater Bancshares, Inc. (BWB).",2021-05-07 13:05:00+00:00,http://www.zacks.com/stock/news/1515810/bridgewater-bancshares-bwb-shares-march-higher-can-it-continue?cid=CS-ZC-FT-tale_of_the_tape|20_day_moving_average-1515810,Zacks Investment Research,0.1875,0.5875,positive,0.1875,False,False,False,False,False,False,False,False,0.0,173,['BWB'],BWB,2021-05-07
Earnings Estimates Moving Higher for Bridgewater (BWB): Time to Buy?,"Bridgewater (BWB) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",2021-05-19 16:20:05+00:00,http://www.zacks.com/stock/news/1576676/earnings-estimates-moving-higher-for-bridgewater-bwb-time-to-buy?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_8-1576676,Zacks Investment Research,0.15,0.375,positive,0.15,True,True,False,False,False,False,False,False,0.0,217,['BWB'],BWB,2021-05-19
"What Makes Bridgewater (BWB) a Good Fit for ""Trend Investing""","If you are looking for stocks that are well positioned to maintain their recent uptrend, Bridgewater (BWB) could be a great choice. It is one of the several stocks that passed through our ""Recent Price Strength"" screen.",2021-05-21 15:55:00+00:00,http://www.zacks.com/stock/news/1584333/what-makes-bridgewater-bwb-a-good-fit-for-trend-investing?cid=CS-ZC-FT-tale_of_the_tape|recent_price_strength_screen-1584333,Zacks Investment Research,0.3166666666666667,0.375,positive,0.3166666666666667,False,False,False,False,False,False,False,False,0.0,282,['BWB'],BWB,2021-05-21
Bridgewater (BWB) Earnings Expected to Grow: Should You Buy?,Bridgewater (BWB) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-07-22 19:03:46+00:00,https://www.zacks.com/stock/news/1766306/bridgewater-bwb-earnings-expected-to-grow-should-you-buy,Zacks Investment Research,0.03714285714285714,0.7871428571428571,neutral,0.03714285714285714,True,True,False,False,False,False,False,False,0.0,235,['BWB'],BWB,2021-07-22
Bridgewater (BWB) Q2 Earnings and Revenues Beat Estimates,"Bridgewater (BWB) delivered earnings and revenue surprises of 2.70% and 3.16%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-07-29 14:35:06+00:00,https://www.zacks.com/stock/news/1770495/bridgewater-bwb-q2-earnings-and-revenues-beat-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,244,['BWB'],BWB,2021-07-29
New Strong Sell Stocks for October 4th,"SSL, BWB, FTAI, SPB, and TCBI have been added to the Zacks Rank #5 (Strong Sell) List on October 4, 2021.",2021-10-04 15:29:00+00:00,https://www.zacks.com/stock/news/1804546/new-strong-sell-stocks-for-october-4th,Zacks Investment Research,0.05075757575757571,0.7053030303030303,neutral,0.05075757575757571,False,False,False,False,False,False,False,False,0.0,145,"['TCBI', 'SSL', 'SPB', 'FTAI', 'BWB']",BWB,2021-10-04
New Strong Sell Stocks for October 15th,"BWB, CDE, ONEM, RCUS, and TMHC have been added to the Zacks Rank #5 (Strong Sell) List on October 15, 2021",2021-10-15 15:00:00+00:00,https://www.zacks.com/stock/news/1811024/new-strong-sell-stocks-for-october-15th,Zacks Investment Research,0.05075757575757571,0.7053030303030303,neutral,0.05075757575757571,False,False,False,False,False,False,False,False,0.0,147,"['CDE', 'TMHC', 'RCUS', 'BWB', 'ONEM']",BWB,2021-10-15
Bridgewater (BWB) Q3 Earnings and Revenues Surpass Estimates,"Bridgewater (BWB) delivered earnings and revenue surprises of 7.89% and 4.83%, respectively, for the quarter ended September 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-10-28 13:45:08+00:00,https://www.zacks.com/stock/news/1818591/bridgewater-bwb-q3-earnings-and-revenues-surpass-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,252,['BWB'],BWB,2021-10-28
Why Bridgewater Bancshares (BWB) Stock Might be a Great Pick,"Bridgewater Bancshares (BWB) has seen solid earnings estimate revision activity over the past two months, and belongs to a strong industry as well.",2022-01-14 13:35:00+00:00,https://www.zacks.com/stock/news/1852047/why-bridgewater-bancshares-bwb-stock-might-be-a-great-pick,Zacks Investment Research,0.24583333333333335,0.45833333333333337,positive,0.24583333333333335,True,False,False,False,False,False,False,False,0.0,209,['BWB'],BWB,2022-01-14
Bridgewater (BWB) Earnings Expected to Grow: What to Know Ahead of Q4 Release,Bridgewater (BWB) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2022-01-20 20:01:54+00:00,https://www.zacks.com/stock/news/1854979/bridgewater-bwb-earnings-expected-to-grow-what-to-know-ahead-of-q4-release,Zacks Investment Research,0.03714285714285714,0.7871428571428571,neutral,0.03714285714285714,True,False,False,False,True,False,False,False,0.0,252,['BWB'],BWB,2022-01-20
Bridgewater (BWB) Meets Q4 Earnings Estimates,"Bridgewater (BWB) delivered earnings and revenue surprises of 0% and 0.94%, respectively, for the quarter ended December 2021. Do the numbers hold clues to what lies ahead for the stock?",2022-01-27 14:55:03+00:00,https://www.zacks.com/stock/news/1858232/bridgewater-bwb-meets-q4-earnings-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,233,"['BWB', 'FISI']",BWB,2022-01-27
Best Momentum Stocks to Buy for February 1st,"RHI, AMP, and BWB made it to the Zacks Rank #1 (Strong Buy) momentum stocks list on February 1, 2022",2022-02-01 15:00:00+00:00,https://www.zacks.com/commentary/1860346/best-momentum-stocks-to-buy-for-february-1st,Zacks Investment Research,0.2111111111111111,0.6444444444444444,positive,0.2111111111111111,False,True,False,False,False,False,False,False,0.0,146,"['AMP', 'RHI', 'BWB']",BWB,2022-02-01
Bridgewater Bancshares: Market Disruption Beneficiary,"Bridgewater is one of the few banks you’ll find with sustained 20%+ organic asset, loan, and earnings growth. I believe BWB should be treated like a growth stock.",2022-03-21 04:01:41+00:00,https://seekingalpha.com/article/4496708-bridgewater-bancshares-market-disruption-beneficiary,Seeking Alpha,-0.2,0.1,negative,0.2,True,False,False,False,False,False,False,False,0.0,217,['BWB'],BWB,2022-03-21
First United Corporation (FUNC) Q1 Earnings Top Estimates,"First United Corporation (FUNC) delivered earnings and revenue surprises of 8.86% and 0.14%, respectively, for the quarter ended March 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-04-21 23:35:03+00:00,https://www.zacks.com/stock/news/1904935/first-united-corporation-func-q1-earnings-top-estimates,Zacks Investment Research,0.25,0.31666666666666665,positive,0.25,True,False,False,False,False,False,False,False,0.0,259,"['FUNC', 'BWB']",BWB,2022-04-21
