title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Cheesecake Factory (CAKE) Tops Q1 Earnings and Revenue Estimates,"Cheesecake Factory (CAKE) delivered earnings and revenue surprises of 233.33% and 4.98%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-28 21:35:10+00:00,http://www.zacks.com/stock/news/1469378/cheesecake-factory-cake-tops-q1-earnings-and-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1469378,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,True,False,False,False,False,False,0.0,262,['CAKE'],CAKE,2021-04-28
Cheesecake Factory Inc (CAKE) Q1 2021 Earnings Call Transcript,"CAKE earnings call for the period ending March 31, 2021.",2021-04-29 06:30:56+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/29/cheesecake-factory-inc-cake-q1-2021-earnings-call/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,True,False,False,False,False,False,0.0,120,['CAKE'],CAKE,2021-04-29
28 Stocks Moving in Thursday's Pre-Market Session,"Gainers

Galera Therapeutics, Inc. (NASDAQ: GRTX) rose 39.6% to $9.23 in pre-market trading after the company disclosed updated data from its randomized, multicenter, placebo-controlled trial in patients with pancreatic cancer.
Willamette Valley Vineyards, Inc. (NASDAQ: WVVI) rose 20.1% to $12.30 in pre-market trading.
Uxin Limited (NASDAQ: UXIN) rose 17.6% to $3.47 in pre-market trading. Uxin shares jumped 45% on Wednesday after the company reported Q3 earnings results.
Nokia Corporation (NYSE: NOK) shares rose 15.5% to $4.85 in pre-market trading after reporting upbeat Q1 results.
Evolve Transition Infrastructure LP (NYSE: SNMP) rose 13.9% to $0.91 in pre-market trading. Evolve Transition, last month, reported FY20 sales of $57 million.
Hall of Fame Resort & Entertainment Company (NASDAQ: HOFV) rose 9.7% to $4.31 in pre-market trading.
JAKKS Pacific, Inc. (NASDAQ: JAKK) rose 9.1% to $8.00 in pre-market trading after the company reported better-than-expected Q1 results.
Akebia Therapeutics, Inc. (NASDAQ: AKBA) rose 8.4% to $3.47 in pre-market trading after the company highlighted New England Journal of Medicine published results of global Phase 3 program of Vadadustat for the treatment of anemia due to chronic kidney disease.
Cheesecake Factory Inc (NASDAQ: CAKE) rose 8.2% to $63.88 in pre-market trading after reporting higher quarterly earnings.
Galectin Therapeutics Inc. (NASDAQ: GALT) shares rose 7.7% to $5.49 in pre-market trading after jumping over 22% on Wednesday. The company recently announced ...Full story available on Benzinga.com",2021-04-29 11:11:48+00:00,https://www.benzinga.com/news/21/04/20859000/28-stocks-moving-in-thursdays-pre-market-session,Benzinga,0.3661075036075036,0.6493927368927369,positive,0.3661075036075036,True,False,True,False,False,False,False,False,0.0,1618,"['NOW', 'AKBA', 'AAPL', 'TDOC', 'ALGN', 'ADVM', 'CAKE', 'SNMP', 'EBAY', 'NVOS', 'HOLX', 'FAMI', 'JAKK', 'UXIN', 'QCOM', 'OSMT', 'WVVI', 'SLGG', 'AHT', 'GRTX', 'F', 'HOFV', 'NOK', 'VYNT', 'TS', 'FB', 'GALT', 'THCB']",CAKE,2021-04-29
12 Consumer Discretionary Stocks Moving In Thursday's Pre-Market Session,"Gainers

Jakks Pacific (NASDAQ:JAKK) stock moved upwards by 8.38% to $7.95 during Thursday's pre-market session. The company's market cap stands at $48.3 million. As per the news, the Q1 earnings report came out yesterday.
1-800-Flowers.com (NASDAQ:FLWS) stock increased by 7.01% to $26.55. The company's market cap stands at $1.7 billion. As per the news, the Q3 earnings report came out today.
Overstock.com (NASDAQ:OSTK) shares moved upwards by 6.62% to $75.5. The company's market cap stands at $3.2 billion. As per the news, the Q1 earnings report came out today.
Hall Of Fame Resort ...Full story available on Benzinga.com",2021-04-29 12:09:15+00:00,https://www.benzinga.com/pre-market-outlook/21/04/20860612/12-consumer-discretionary-stocks-moving-in-thursdays-pre-market-session,Benzinga,0.4,0.4,positive,0.4,True,False,False,False,False,False,False,False,0.0,702,"['CAKE', 'EBAY', 'FLWS', 'JAKK', 'OSTK', 'SYPR', 'ALV', 'F', 'MOXC', 'HOFV', 'PLBY', 'BBIG']",CAKE,2021-04-29
"Cheesecake Factory (CAKE) Q1 Earnings Top Estimates, Rise Y/Y",Cheesecake Factory's (CAKE) first-quarter fiscal 2020 results benefit from the easing of COVID-19 dining restrictions and improving consumer spending trends.,2021-04-29 13:09:00+00:00,http://www.zacks.com/stock/news/1472819/cheesecake-factory-cake-q1-earnings-top-estimates-rise-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1472819,Zacks Investment Research,0.5,0.5,positive,0.5,True,False,True,False,False,False,False,False,0.0,220,"['CAKE', 'DRI', 'CHUY', 'FAT']",CAKE,2021-04-29
54 Stocks Moving In Thursday's Mid-Day Session,"Gainers

Willamette Valley Vineyards, Inc. (NASDAQ: WVVI) climbed 40.5% to $14.39.
Dolphin Entertainment, Inc. (NASDAQ: DLPN) shares gained 23.1% to $14.14. Dolphin Entertainment recently reported better-than-expected Q4 sales results.
ShiftPixy, Inc. (NASDAQ: PIXY) surged 22.5% to $3.075 as the company said it has been named as sponsor related to 4 SPACs.
JAKKS Pacific, Inc. (NASDAQ: JAKK) jumped 20% to $8.80 after the company reported better-than-expected Q1 results.
Galera Therapeutics, Inc. (NASDAQ: GRTX) gained 20% to $7.93 after the company announced updated results from its Phase 1/2 pilot trial of GC4419, versus placebo, in patients with locally advanced pancreatic cancer who are undergoing stereotactic body radiation therapy.
1-800-FLOWERS.COM, Inc. (NASDAQ: FLWS) rose 18.1% to $29.31 after the company reported better-than-expected Q3 results.
VEREIT, Inc. (NYSE: VER) gained 17% to $48.29 after the company announced an all-stock merger agreement with Realty Income.
MEDIROM Healthcare Technologies Inc. (NASDAQ: MRM) gained 16.5% to $10.43.
Ocular Therapeutix, Inc. (NASDAQ: OCUL) surged 15.3% to $18.00. Ocular Therapeutix, reported multiple scientific presentations at the Association for Research in Vision and Ophthalmology Annual Meeting.
Atossa Therapeutics, Inc. (NASDAQ: ATOS) jumped 15% to $2.53.
Communications Systems, Inc. (NASDAQ: JCS) gained 14.6% to $6.74 as the company agreed to sell its Transition Networks and Net2Edge businesses to Lantronix.
Realogy Holdings Corp. (NYSE: RLGY) surged 14% to $17.39 following upbeat quarterly results.
Vaxart, Inc. (NASDAQ: VXRT) gained 13% to $9.52 as the company said its founder and chief scientific officer, Sean Tucker, Ph.D., will present at the World Vaccine Congress Washington that will be held virtually from May 4-6, 2021.
AtriCure, Inc. (NASDAQ: ATRC) surged 12.5% to $78.56 after the company reported that its EPi-Sense System was approved by the FDA for treatment of long-standing persistent afib patients.
Capricor Therapeutics, Inc. (NASDAQ: CAPR) shares climbed 11.9% to $4.42 after the company signed exclusive worldwide license agreement with Johns Hopkins University to include engineered exosomes for vaccines and therapeutics as part of the company's exosome technology portfolio.
Extreme Networks, Inc. (NASDAQ: EXTR) surged 10.5% to $11.81. The company recently reported better-than-expected Q3 results.
Alliance Data Systems Corporation (NYSE: ADS) gained 10.4% to $119.07 following upbeat Q1 results.
Nokia ...Full story available on Benzinga.com",2021-04-29 16:30:30+00:00,https://www.benzinga.com/news/21/04/20869419/54-stocks-moving-in-thursdays-mid-day-session,Benzinga,0.1159090909090909,0.3681818181818182,positive,0.1159090909090909,False,True,True,False,False,False,False,False,0.0,2597,"['PI', 'AMS', 'DLPN', 'QCOM', 'RLGY', 'MRM', 'VXRT', 'WVVI', 'ATOS', 'NOW', 'FAMI', 'ADS', 'CARA', 'ATRC', 'GRTX', 'AHT', 'TIPT', 'CAKE', 'PALI', 'BTU', 'OCUL', 'COHU', 'VYNT', 'F', 'CAPR', 'CREE', 'NOK', 'TDOC', 'CTXS', 'TS', 'VER', 'EBAY', 'BTX', 'LYFT', 'EXTR', 'BCOV', 'ADVM', 'FLWS', 'FB', 'SELB', 'FORM', 'GALT', 'NMRD', 'HOLX', 'MRC', 'ATOM', 'JAKK', 'RFP', 'BLMN', 'PIXY', 'JCS', 'XXII', 'RBBN', 'MVIS']",CAKE,2021-04-29
"Domino's (DPZ) Q1 Earnings Top, Down Y/Y on Low Net Income","Domino's (DPZ) first-quarter fiscal 2021 revenues are supported by same-store sales growth. However, lower net income ails the bottom line.",2021-04-29 16:34:00+00:00,http://www.zacks.com/stock/news/1473890/dominos-dpz-q1-earnings-top-down-y-y-on-low-net-income?cid=CS-ZC-FT-analyst_blog|earnings_article-1473890,Zacks Investment Research,0.06888888888888889,0.2177777777777778,neutral,0.06888888888888889,True,False,False,False,False,False,False,False,0.0,199,"['DPZ', 'CAKE', 'EAT', 'YUM']",CAKE,2021-04-29
65 Biggest Movers From Yesterday,"Gainers

ShiftPixy, Inc. (NASDAQ: PIXY) jumped 33.1% to settle at $3.34 on Thursday as the company said it has been named as sponsor related to 4 SPACs.
Takung Art Co., Ltd. (NASDAQ: TKAT) surged 24.2% to close at $39.11
JAKKS Pacific, Inc. (NASDAQ: JAKK) gained 23.4% to close at $9.05 after the company reported better-than-expected Q1 results.
Galera Therapeutics, Inc. (NASDAQ: GRTX) climbed 22.8% to settle at $8.12 after the company announced updated results from its Phase 1/2 pilot trial of GC4419, versus placebo, in patients with locally advanced pancreatic cancer who are undergoing stereotactic body radiation therapy.
Ocular Therapeutix, Inc. (NASDAQ: OCUL) gained 22.7% to close at $19.16. Ocular Therapeutix, reported multiple scientific presentations at the Association for Research in Vision and Ophthalmology Annual Meeting.
1-800-FLOWERS.COM, Inc. (NASDAQ: FLWS) jumped 20.5% to close at $29.89 after the company reported better-than-expected Q3 results.
Willamette Valley Vineyards, Inc. (NASDAQ: WVVI) gained 19.6% to close at $12.25 on Thursday.
SkyWater Technology, Inc. (NASDAQ: SKYT) rose 16.9% to close at $21.77. The company, last week, priced its IPO at $14 per share.
VEREIT, Inc. (NYSE: VER) jumped 16% to close at $47.88 after the company announced an all-stock merger agreement with Realty Income.
MEDIROM Healthcare Technologies Inc. (NASDAQ: MRM) gained 15.2% to close at $10.31.
Sharps Compliance Corp. (NASDAQ: SMED) surged 15% to close at $18.41 on continued upward momentum after the company reported better-than-expected Q3 EPS and sales results. Following earnings, HC Wainwright & Co maintained a Buy and raised its price target from $18 to $25.
Capricor Therapeutics, Inc. (NASDAQ: CAPR) shares jumped 14.9% to close at $4.54 after the company signed exclusive worldwide license agreement with Johns Hopkins University to include engineered exosomes for vaccines and therapeutics as part of the company's exosome technology portfolio.
Communications Systems, Inc. (NASDAQ: JCS) gained 14.5% to close at $6.73 as the company agreed to sell its Transition Networks and Net2Edge businesses to Lantronix.
Enlivex Therapeutics Ltd. (NASDAQ: ENLV) surged 14.2% to settle at $12.10.
Dolphin Entertainment, Inc. (NASDAQ: DLPN) shares rose 13.2% to close at $12.99. Dolphin Entertainment recently reported better-than-expected Q4 sales results.
Century Communities, Inc. (NYSE: CCS) gained 13.1% to settle at $74.94 after the company reported better-than-expected Q1 EPS and sales results. The company also raised its FY21 sales guidance.
GreenBox POS (NASDAQ: GBOX) surged 13.1% to close at $11.35.
North American Construction Group Ltd. (NYSE: NOA) gained 12.5% to close at $13.28 after the company reported Q1 earnings results.
Extreme Networks, Inc. (NASDAQ: EXTR) climbed 12.4% to close at $12.01. The company recently reported better-than-expected Q3 results.
Summer Infant, Inc. (NASDAQ: SUMR) gained 12% to settle at $18.91.
Nokia Corporation (NYSE: NOK) shares jumped 11.2% to close at $4.67 after reporting upbeat ...Full story available on Benzinga.com",2021-04-30 09:22:27+00:00,https://www.benzinga.com/news/21/04/20883692/65-biggest-movers-from-yesterday,Benzinga,0.15625,0.4138888888888889,positive,0.15625,True,True,False,False,False,False,False,False,0.0,3130,"['TKAT', 'QCOM', 'VYNT', 'FB', 'AMS', 'ADVM', 'SMED', 'GALT', 'MRM', 'SELB', 'SUMR', 'MRC', 'NOW', 'ATRC', 'NMRD', 'WVVI', 'RFP', 'CAKE', 'JG', 'ADS', 'BLMN', 'COHU', 'ATOM', 'BTU', 'XXII', 'CREE', 'PIXY', 'CDE', 'PI', 'CTXS', 'RHE', 'F', 'RLGY', 'EBAY', 'RBBN', 'NOA', 'CARA', 'EXTR', 'DLPN', 'NOK', 'TIPT', 'FLWS', 'VXRT', 'TS', 'CCS', 'FORM', 'FAMI', 'EM', 'OCUL', 'HOLX', 'ENLV', 'AZPN', 'CAPR', 'TDOC', 'JAKK', 'GRTX', 'BTX', 'VER', 'JCS', 'PALI', 'BCOV', 'LYFT', 'MVIS', 'GBOX', 'SKYT']",CAKE,2021-04-30
Top Ranked Momentum Stocks to Buy for May 3rd,Top Ranked Momentum Stocks to Buy for May 3rd,2021-05-03 13:16:00+00:00,http://www.zacks.com/commentary/1493218/top-ranked-momentum-stocks-to-buy-for-may-3rd?cid=CS-ZC-FT-zacks_1_rank_additions-1493218,Zacks Investment Research,0.25,0.25,positive,0.25,False,True,False,False,False,False,False,False,0.0,92,"['SIGI', 'PAG', 'CAKE', 'BKU']",CAKE,2021-05-03
"Restaurant Brands (QSR) Banks on Unit Growth, Traffic Dismal","Restaurant Brands (QSR) increased focus on digital platform bode well. However, dismal comps at Tim Hortons are a concern.",2021-05-14 12:38:00+00:00,http://www.zacks.com/stock/news/1550716/restaurant-brands-qsr-banks-on-unit-growth-traffic-dismal?cid=CS-ZC-FT-analyst_blog|rank_focused-1550716,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,184,"['CAKE', 'MCD', 'QSR', 'YUMC']",CAKE,2021-05-14
