date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-12,0.0995,,1,0.0995,0.0,0,0,0,0,1,0,0,0,1297.0,CASS
2021-05-31,0.175,,1,0.175,0.0,0,0,0,0,0,0,0,0,167.0,CASS
2021-08-21,-0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,222.0,CASS
2021-08-29,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,223.0,CASS
2021-11-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,225.0,CASS
2022-03-13,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,249.0,CASS
2022-08-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,234.0,CASS
2022-12-06,-0.0047,,1,0.0047,0.0,0,1,1,0,0,0,0,0,7370.0,CASS
2022-12-11,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,236.0,CASS
2023-02-26,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,226.0,CASS
2023-04-06,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,258.0,CASS
2023-04-17,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,255.0,CASS
2023-04-21,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,176.0,CASS
2023-05-12,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,128.0,CASS
2023-05-26,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,209.0,CASS
2023-07-20,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,CASS
2023-09-13,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,237.0,CASS
2023-10-05,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,272.0,CASS
2023-10-19,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,245.0,CASS
2023-10-25,0.1833,,1,0.1833,0.0,0,1,0,0,0,0,1,0,905.0,CASS
2023-10-27,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,135.0,CASS
2023-11-09,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,135.0,CASS
2023-11-24,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,139.0,CASS
2023-11-27,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,226.0,CASS
2023-12-22,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,138.0,CASS
2024-01-25,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,256.0,CASS
2024-02-13,0.34,,1,0.34,0.0,0,0,0,0,0,0,0,0,303.0,CASS
2024-02-29,0.18,,1,0.18,0.0,0,0,0,0,0,0,0,0,300.0,CASS
2024-03-01,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,217.0,CASS
2024-03-22,0.2333,,1,0.2333,0.0,1,1,0,0,0,0,0,0,330.0,CASS
2024-04-01,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,284.0,CASS
2024-04-18,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,254.0,CASS
2024-05-29,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,127.0,CASS
