date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-17,0.2503,0.3531,2,0.2503,0.0,1,2,0,0,0,0,0,0,170.0,CBFV
2021-06-14,0.1333,,1,0.1333,0.0,0,1,0,0,0,1,0,0,214.0,CBFV
2021-06-15,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,211.0,CBFV
2022-02-03,0.1583,,1,0.1583,0.0,0,1,0,0,0,0,0,0,144.0,CBFV
2022-05-06,0.2884,,1,0.2884,0.0,1,0,0,0,0,0,0,0,327.0,CBFV
2022-05-25,0.2032,,1,0.2032,0.0,1,0,0,0,0,0,0,0,325.0,CBFV
2022-06-03,0.025,,1,0.025,0.0,0,0,0,0,0,0,0,0,221.0,CBFV
2022-06-14,0.2032,,1,0.2032,0.0,1,0,0,0,0,0,0,0,331.0,CBFV
2022-06-29,0.1577,0.0926,3,0.1577,0.0,0,3,0,0,0,0,0,0,138.6667,CBFV
2022-10-14,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,144.0,CBFV
2022-10-19,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,144.0,CBFV
2022-10-26,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,143.0,CBFV
2022-10-27,0.0104,,1,0.0104,0.0,1,0,0,0,0,0,0,0,405.0,CBFV
2022-10-28,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,144.0,CBFV
2023-02-15,0.3813,,1,0.3813,0.0,0,0,0,0,0,1,0,0,254.0,CBFV
2023-03-01,0.05,,1,0.05,0.0,0,0,1,0,0,0,0,0,201.0,CBFV
2023-03-02,0.1089,0.0699,2,0.1089,0.0,1,2,0,0,0,0,0,0,200.5,CBFV
2023-03-03,0.3958,,1,0.3958,0.0,0,0,0,0,0,1,0,0,235.0,CBFV
2023-03-13,0.1583,,1,0.1583,0.0,0,1,0,0,0,0,0,0,140.0,CBFV
2023-03-16,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,140.0,CBFV
2023-03-20,0.3972,,1,0.3972,0.0,0,0,0,0,0,1,0,0,238.0,CBFV
2023-03-22,0.1867,,1,0.1867,0.0,1,1,0,0,0,0,0,0,327.0,CBFV
2023-03-23,0.2111,0.0,2,0.2111,0.0,0,2,0,0,0,0,0,0,139.0,CBFV
2023-03-30,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,141.0,CBFV
2023-04-03,0.0312,,1,0.0312,0.0,1,1,0,0,0,0,0,0,232.0,CBFV
2023-04-05,0.1564,0.2698,2,0.1908,0.0,1,0,0,0,0,1,0,0,254.0,CBFV
2023-06-06,0.2922,0.1259,2,0.2922,0.0,1,0,0,0,0,1,0,0,292.5,CBFV
2023-06-22,0.2912,0.1479,2,0.2912,0.0,1,1,0,0,0,1,0,0,281.0,CBFV
2023-06-23,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,239.0,CBFV
2023-06-26,0.2167,0.3064,2,0.2167,0.0,0,0,0,0,0,0,0,0,174.0,CBFV
2023-07-10,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,129.0,CBFV
2023-07-26,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,131.0,CBFV
2023-08-16,-0.0109,,1,0.0109,0.0,0,1,1,0,0,0,0,0,4605.0,CBFV
2023-12-14,0.225,,1,0.225,0.0,1,0,0,0,0,0,0,0,311.0,CBFV
2024-01-03,0.1867,,1,0.1867,0.0,1,1,0,0,0,0,0,0,327.0,CBFV
2024-04-15,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,229.0,CBFV
2024-04-25,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,238.0,CBFV
2024-04-26,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,268.0,CBFV
