date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2023-02-21,0.25,,1,0.25,0.0,0,0,1,0,0,0,0,0,578.0,CCLDO
2023-03-02,0.0875,,1,0.0875,0.0,0,0,0,0,0,0,1,0,532.0,CCLDO
2023-03-03,0.0,,1,0.0,0.0,0,0,1,0,0,1,1,0,771.0,CCLDO
2023-03-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,420.0,CCLDO
2023-03-15,0.0367,,1,0.0367,0.0,0,0,0,0,0,1,0,0,555.0,CCLDO
2023-03-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,613.0,CCLDO
2023-03-22,0.3,,1,0.3,0.0,0,0,0,0,0,0,1,0,488.0,CCLDO
2023-05-05,0.0,,1,0.0,0.0,0,0,1,0,0,1,1,0,770.0,CCLDO
2023-05-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,237.0,CCLDO
2023-05-10,0.3833,,1,0.3833,0.0,0,0,0,0,0,0,0,0,421.0,CCLDO
2023-05-11,0.1621,,1,0.1621,0.0,0,0,0,0,0,0,1,0,682.0,CCLDO
2023-06-20,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,690.0,CCLDO
2023-06-29,-0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,557.0,CCLDO
2023-07-06,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,1,0,679.0,CCLDO
2023-07-11,-0.0043,,1,0.0043,0.0,0,0,0,0,0,0,1,0,498.0,CCLDO
2023-07-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,506.0,CCLDO
2023-07-20,0.0,,1,0.0,0.0,0,0,1,0,1,0,0,0,482.0,CCLDO
2023-08-03,0.0,,1,0.0,0.0,0,0,1,0,0,0,1,0,518.0,CCLDO
2023-08-04,0.0,,1,0.0,0.0,0,0,1,0,0,1,1,0,781.0,CCLDO
2023-08-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,662.0,CCLDO
2023-09-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,687.0,CCLDO
2023-09-21,0.0682,,1,0.0682,0.2,0,0,0,0,0,0,0,0,447.0,CCLDO
2023-10-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,552.0,CCLDO
2023-10-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,612.0,CCLDO
2023-10-26,0.175,,1,0.175,0.0,1,0,0,0,0,0,1,0,652.0,CCLDO
2023-11-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,522.0,CCLDO
2023-11-03,0.0,,1,0.0,0.0,0,0,1,0,0,1,1,0,791.0,CCLDO
2023-11-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,1,0,458.0,CCLDO
2023-12-04,0.1121,,1,0.1121,0.0,1,0,0,0,0,0,0,0,499.0,CCLDO
2023-12-11,-0.1333,,1,0.1333,0.0,0,0,0,0,0,1,1,0,1001.0,CCLDO
2023-12-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,523.0,CCLDO
2024-01-02,0.2,,1,0.2,0.0,0,0,0,1,0,0,1,0,692.0,CCLDO
2024-01-16,-0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,610.0,CCLDO
2024-01-24,0.1468,,1,0.1468,0.0,1,0,0,0,0,0,0,0,633.0,CCLDO
2024-02-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,437.0,CCLDO
2024-02-22,0.06,,1,0.06,0.0,1,0,0,0,1,0,1,0,868.0,CCLDO
2024-03-11,-0.0417,,1,0.0417,0.0,0,0,0,0,1,0,0,0,637.0,CCLDO
2024-03-21,0.0875,,1,0.0875,0.0,0,0,0,0,0,0,1,0,525.0,CCLDO
2024-04-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,490.0,CCLDO
2024-04-17,0.3333,,1,0.3333,0.0,1,0,0,0,0,0,1,0,638.0,CCLDO
2024-04-29,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,471.0,CCLDO
2024-06-20,0.25,,1,0.25,0.0,0,0,0,0,0,0,1,0,454.0,CCLDO
2024-07-23,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,336.0,CCLDO
2024-09-19,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,450.0,CCLDO
2024-09-30,0.25,,1,0.25,0.0,0,0,0,0,1,0,0,0,346.0,CCLDO
