date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-10-31,0.0921,,1,0.0921,0.0,1,0,1,0,0,0,0,0,4171.0,CGTX
2021-11-02,0.0952,,1,0.0952,0.0,0,0,0,0,0,0,0,0,70.0,CGTX
2021-11-30,0.0625,,1,0.0625,0.0,0,0,0,0,0,0,0,0,571.0,CGTX
2021-12-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,359.0,CGTX
2022-01-10,0.0625,,1,0.0625,0.0,0,0,0,0,0,0,0,0,583.0,CGTX
2022-02-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,429.0,CGTX
2022-03-10,0.0023,,1,0.0023,0.0,0,0,0,0,0,0,0,0,846.0,CGTX
2022-03-15,0.0646,,1,0.0646,0.0,1,0,1,0,0,0,1,0,1847.0,CGTX
2022-03-30,0.0515,,1,0.0515,0.0,0,0,0,0,0,0,0,0,361.0,CGTX
2022-04-22,-0.0019,,1,0.0019,0.0,0,1,0,0,1,0,0,0,6386.0,CGTX
2022-04-25,0.0,,1,0.0,0.0,0,0,1,0,0,0,1,0,548.0,CGTX
2022-05-04,0.0556,,1,0.0556,0.0,0,0,0,0,1,0,0,0,429.0,CGTX
2022-05-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,622.0,CGTX
2022-06-08,0.0682,,1,0.0682,0.0,0,0,1,0,0,0,1,0,638.0,CGTX
2022-06-23,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,275.0,CGTX
2022-06-30,0.1059,,1,0.1059,0.0,1,1,0,0,0,0,1,0,2989.0,CGTX
2022-07-05,0.1322,,1,0.1322,0.0,0,1,1,0,0,0,0,0,2139.0,CGTX
2022-07-06,0.1278,,1,0.1278,0.0,0,1,1,0,0,0,0,0,2956.0,CGTX
2022-08-05,0.3441,0.0804,2,0.3441,0.0,2,2,2,1,1,0,0,0,2728.5,CGTX
2022-08-08,0.1344,,1,0.1344,0.0,1,1,1,0,0,0,1,0,4692.0,CGTX
2022-09-06,0.0833,,1,0.0833,0.0,0,0,0,0,0,0,1,0,554.0,CGTX
2022-09-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,675.0,CGTX
2022-09-29,0.0777,0.0825,3,0.0827,0.0,0,2,2,0,1,0,2,0,2895.0,CGTX
2022-09-30,0.2631,,1,0.2631,0.0,1,1,1,1,0,0,1,0,3163.0,CGTX
2022-10-31,0.322,,1,0.322,0.0,0,0,0,0,1,0,0,0,1379.0,CGTX
2022-11-08,0.2027,,1,0.2027,0.0,1,1,0,0,0,0,0,0,3188.0,CGTX
2022-11-09,0.1031,,1,0.1031,0.0,1,0,0,0,0,0,0,0,4031.0,CGTX
2022-11-14,-0.0067,,1,0.0067,0.0,0,0,0,0,0,0,0,0,290.0,CGTX
2022-11-15,-0.1296,,1,0.1296,0.0,0,0,0,0,0,0,0,0,654.0,CGTX
2022-11-17,0.1556,,1,0.1556,0.0,0,1,0,0,0,0,0,0,886.0,CGTX
2022-11-28,0.0472,,1,0.0472,0.0,1,1,0,0,0,0,0,0,2001.0,CGTX
2022-12-01,0.1769,0.0516,2,0.1769,0.0,2,2,1,0,0,0,0,0,1936.0,CGTX
2022-12-15,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,311.0,CGTX
2022-12-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,562.0,CGTX
2022-12-22,0.0455,,1,0.0455,0.0,0,0,0,0,0,0,0,0,226.0,CGTX
2023-02-09,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,278.0,CGTX
2023-02-21,-0.0103,,1,0.0103,0.0,0,0,1,0,1,0,0,0,842.0,CGTX
2023-03-15,-0.0742,,1,0.0742,0.0,0,0,1,0,0,0,0,0,597.0,CGTX
