date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-24,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,206.0,CG
2021-04-26,-0.0719,0.1129,4,0.0719,0.0,4,0,0,0,0,0,0,0,176.5,CG
2021-04-27,0.075,0.15,4,0.075,0.0,4,0,0,0,0,0,0,0,175.0,CG
2021-04-29,0.05,0.0707,2,0.05,0.1,1,0,0,0,0,0,0,0,204.5,CG
2021-05-11,0.0792,,1,0.0792,0.0,1,0,0,0,0,0,0,0,4583.0,CG
2021-05-12,0.1875,,1,0.1875,0.0,0,0,0,0,0,0,0,0,161.0,CG
2021-05-15,-0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,140.0,CG
2021-05-25,0.75,,1,0.75,0.0,0,0,0,0,0,0,0,0,206.0,CG
2021-06-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,155.0,CG
2021-06-05,0.1667,,1,0.1667,0.0,0,1,0,0,0,0,0,0,290.0,CG
2021-06-07,0.0605,0.1371,2,0.097,0.0,2,0,0,0,1,0,0,0,725.0,CG
2021-06-16,0.31,,1,0.31,0.0,0,0,0,0,0,0,0,0,855.0,CG
2021-06-30,0.108,0.0241,2,0.108,0.0,0,0,0,1,0,0,0,0,211.0,CG
2021-07-21,0.05,,1,0.05,0.0,0,0,0,0,0,0,1,0,204.0,CG
2021-07-29,0.0,0.0,2,0.0,0.0,1,0,1,0,1,0,0,0,275.0,CG
2021-07-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,240.0,CG
2021-08-03,0.0333,,1,0.0333,0.0,0,1,0,0,0,0,0,0,154.0,CG
2021-08-06,0.65,,1,0.65,0.0,0,1,0,0,0,0,0,0,168.0,CG
2021-08-08,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,417.0,CG
2021-08-10,-0.1758,0.2228,2,0.1758,0.0,1,0,0,0,1,1,1,0,737.0,CG
2021-08-13,0.4117,0.5492,2,0.4117,0.0,0,0,0,0,0,0,0,0,128.5,CG
2021-09-15,-0.0295,,1,0.0295,0.0,0,0,0,0,1,0,0,0,274.0,CG
2021-09-27,-0.1,,1,0.1,0.2,0,0,0,0,0,0,0,0,361.0,CG
2021-10-06,0.1588,,1,0.1588,0.0,1,1,0,0,0,0,0,0,183.0,CG
2021-10-08,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,434.0,CG
2021-10-13,0.0,,1,0.0,0.2,0,0,0,0,0,0,0,0,268.0,CG
2021-10-19,-0.0389,0.055,2,0.0389,0.0,2,1,0,0,0,0,0,0,207.0,CG
2021-10-27,0.2958,,1,0.2958,0.0,0,0,0,0,0,0,0,0,99.0,CG
2021-10-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,118.0,CG
2021-10-29,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,260.0,CG
2021-11-02,0.0958,0.0884,2,0.0958,0.0,0,1,0,0,0,0,0,0,243.5,CG
2021-11-03,0.1091,,1,0.1091,0.0,0,0,0,0,0,0,0,0,299.0,CG
2021-11-04,0.65,,1,0.65,0.0,0,1,0,0,0,0,0,0,168.0,CG
2021-11-05,-0.1417,0.2711,2,0.1917,0.0,1,0,0,0,1,1,1,0,619.0,CG
2021-11-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,148.0,CG
2021-11-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,206.0,CG
2021-11-16,0.2111,,1,0.2111,0.0,0,1,0,0,0,0,0,0,156.0,CG
2021-11-18,0.0,,1,0.0,0.0,1,1,0,0,0,0,0,0,314.0,CG
2021-11-19,-0.0406,0.0575,2,0.0406,0.0,0,0,0,0,1,0,0,0,594.0,CG
2021-11-20,0.0262,,1,0.0262,0.0,1,0,1,0,1,0,0,0,1094.0,CG
2021-11-24,0.05,,1,0.05,0.0,0,0,1,0,0,0,0,0,188.0,CG
2021-11-26,0.0792,,1,0.0792,0.0,0,0,0,0,0,0,1,0,314.0,CG
2021-11-27,0.375,,1,0.375,0.0,0,1,0,0,0,0,0,0,209.0,CG
2021-12-08,0.1364,,1,0.1364,0.0,0,1,0,0,0,0,0,0,234.0,CG
2021-12-10,-0.0083,,1,0.0083,0.0,0,0,1,0,0,0,0,0,193.0,CG
2021-12-21,0.0781,0.1491,3,0.0885,0.0,0,0,1,0,1,0,0,0,288.6667,CG
2021-12-28,0.2958,,1,0.2958,0.0,0,0,0,0,0,0,0,0,99.0,CG
2022-01-03,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,412.0,CG
2022-01-06,0.0938,,1,0.0938,0.0,1,0,0,0,0,0,0,0,187.0,CG
2022-01-07,0.225,,1,0.225,0.0,0,0,0,0,0,0,0,0,181.0,CG
2022-01-13,0.0343,0.1051,2,0.0743,0.0,0,0,0,0,0,0,1,0,262.5,CG
2022-01-17,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,205.0,CG
2022-01-26,0.225,,1,0.225,0.0,0,0,0,0,0,0,0,0,181.0,CG
2022-01-31,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,194.0,CG
2022-02-04,0.1199,0.0956,2,0.1199,0.0,1,0,0,0,0,1,1,0,648.0,CG
2022-02-07,0.5083,,1,0.5083,0.0,0,1,0,0,0,0,0,0,148.0,CG
2022-02-15,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,463.0,CG
2022-02-16,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,196.0,CG
2022-02-19,0.2,,1,0.2,0.0,0,1,0,0,0,0,0,0,130.0,CG
2022-02-22,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,625.0,CG
2022-02-24,0.25,,1,0.25,0.0,0,0,1,0,0,0,0,0,94.0,CG
2022-02-25,-0.0556,0.2927,3,0.2222,0.0,0,0,1,0,1,1,1,0,364.0,CG
2022-02-28,0.1667,,1,0.1667,0.0,0,1,0,0,0,1,0,0,408.0,CG
2022-03-02,0.2958,,1,0.2958,0.0,0,0,0,0,0,0,0,0,99.0,CG
2022-03-07,0.175,,1,0.175,0.0,0,0,1,0,0,0,0,0,210.0,CG
2022-03-08,0.1456,0.1417,2,0.1456,0.1,1,1,0,0,0,0,0,0,222.0,CG
2022-03-10,-0.0042,,1,0.0042,0.0,0,1,0,0,0,0,0,0,254.0,CG
2022-03-14,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,185.0,CG
2022-03-16,0.405,,1,0.405,0.0,0,0,0,0,0,0,0,0,211.0,CG
2022-03-17,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,483.0,CG
2022-03-18,-0.125,,1,0.125,0.0,0,0,0,0,1,0,0,0,408.0,CG
2022-03-21,0.2,,1,0.2,0.0,0,0,1,0,0,0,1,0,477.0,CG
2022-03-23,-0.0347,0.3083,2,0.218,0.0,0,0,1,0,0,0,0,0,247.5,CG
2022-03-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,215.0,CG
2022-03-28,0.1939,0.1796,3,0.1939,0.0,0,0,0,0,0,0,1,0,231.3333,CG
2022-03-30,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,338.0,CG
2022-04-01,0.073,0.0068,2,0.073,0.0,1,0,0,0,0,0,1,0,191.0,CG
2022-04-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,204.0,CG
2022-04-05,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,202.0,CG
2022-04-14,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,206.0,CG
2022-04-26,0.1667,,1,0.1667,0.0,0,0,0,0,1,0,0,0,421.0,CG
2022-04-29,0.1081,0.0681,2,0.1081,0.0,1,0,0,0,0,0,1,0,438.5,CG
2022-05-01,0.2167,,1,0.2167,0.0,0,1,0,0,0,0,0,0,225.0,CG
2022-05-03,0.4571,,1,0.4571,0.0,0,1,0,0,0,0,0,0,181.0,CG
2022-05-04,-0.2017,0.1862,2,0.2017,0.0,1,0,0,0,0,1,1,0,329.5,CG
2022-05-10,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,197.0,CG
2022-05-16,0.0367,0.0838,3,0.0644,0.0,0,2,0,0,0,0,0,0,296.3333,CG
2022-05-17,0.2202,,1,0.2202,0.0,0,1,0,0,0,0,0,0,216.0,CG
2022-05-18,0.0,0.0,2,0.0,0.0,0,2,1,0,1,0,0,0,206.5,CG
2022-05-19,0.06,,1,0.06,0.0,0,0,0,0,0,0,0,0,640.0,CG
2022-06-07,0.2,,1,0.2,0.0,1,0,0,0,0,0,1,0,1065.0,CG
2022-06-08,0.0411,,1,0.0411,0.0,0,1,1,0,0,0,0,0,3997.0,CG
2022-06-13,0.2917,,1,0.2917,0.0,0,1,0,0,0,0,0,0,132.0,CG
2022-06-15,0.3571,,1,0.3571,0.0,0,0,0,0,0,0,0,0,342.0,CG
2022-06-21,0.0265,,1,0.0265,0.0,0,0,0,0,0,0,0,0,241.0,CG
2022-07-02,0.1,,1,0.1,0.0,0,0,1,0,0,1,0,0,294.0,CG
2022-07-18,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,178.0,CG
2022-07-19,0.1067,,1,0.1067,0.0,0,0,0,0,0,0,0,0,686.0,CG
2022-07-20,0.0,,1,0.0,0.0,0,0,1,0,1,0,0,0,447.0,CG
2022-07-25,0.1847,,1,0.1847,0.0,0,0,1,0,0,0,1,0,1146.0,CG
2022-07-27,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,53.0,CG
2022-07-29,-0.0284,0.0385,2,0.0284,0.0,0,1,1,0,0,0,0,0,2724.0,CG
2022-08-01,0.1562,,1,0.1562,0.0,1,0,0,0,0,0,1,0,229.0,CG
2022-08-08,0.0547,0.1769,2,0.1251,0.0,2,1,0,0,0,0,0,0,1939.0,CG
2022-08-09,0.061,0.1218,4,0.0684,0.0,1,3,2,0,0,0,1,0,2064.0,CG
2022-08-10,-0.095,0.2066,3,0.1272,0.0,0,0,1,0,1,1,2,0,667.3333,CG
2022-08-17,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,274.0,CG
2022-08-23,0.1667,,1,0.1667,0.0,0,1,0,0,0,0,1,0,212.0,CG
2022-09-06,-0.1151,0.1201,2,0.1151,0.0,0,1,1,0,0,0,1,0,3754.0,CG
2022-09-07,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,212.0,CG
2022-09-13,0.0273,,1,0.0273,0.0,0,0,0,0,0,0,0,0,299.0,CG
2022-09-22,0.0571,,1,0.0571,0.0,0,0,0,0,0,0,0,0,505.0,CG
2022-09-23,0.0284,,1,0.0284,0.0,0,0,0,0,0,0,1,0,756.0,CG
2022-09-27,0.2281,,1,0.2281,0.0,0,1,0,0,0,0,0,0,228.0,CG
2022-10-04,-0.0079,0.0148,2,0.0105,0.0,0,0,1,0,1,0,1,0,874.0,CG
2022-10-10,0.128,,1,0.128,0.0,0,0,0,1,0,0,1,0,1116.0,CG
2022-10-11,0.1437,0.1739,2,0.1437,0.0,0,0,0,0,0,0,0,0,518.5,CG
2022-10-19,-0.0052,0.0073,2,0.0052,0.0,0,1,1,0,1,0,0,0,6659.0,CG
2022-11-03,-0.21,,1,0.21,0.0,0,0,0,0,0,0,0,0,248.0,CG
2022-11-07,-0.1592,0.2463,2,0.1742,0.0,0,0,1,0,1,1,2,0,851.5,CG
2022-11-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,218.0,CG
2022-11-10,0.038,0.0311,2,0.038,0.0,0,0,0,0,0,0,0,0,631.0,CG
2022-11-18,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,190.0,CG
2022-12-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,181.0,CG
2022-12-10,0.75,,1,0.75,0.0,1,0,0,0,0,0,0,0,132.0,CG
2022-12-23,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,189.0,CG
2023-01-04,0.2358,,1,0.2358,0.0,1,0,1,0,0,0,0,0,972.0,CG
2023-01-13,0.0689,,1,0.0689,0.0,1,0,0,0,0,0,0,0,302.0,CG
2023-01-17,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,412.0,CG
2023-01-24,0.06,,1,0.06,0.0,0,0,0,0,0,0,0,0,620.0,CG
2023-01-27,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,304.0,CG
2023-02-05,0.1548,,1,0.1548,0.0,0,0,0,0,0,0,0,0,1094.0,CG
2023-02-06,0.0212,0.048,3,0.0296,0.0,0,0,1,0,0,0,2,0,431.6667,CG
2023-02-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,175.0,CG
2023-02-09,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,472.0,CG
