title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Churchill Downs Inc (CHDN) Q1 2021 Earnings Call Transcript,CHDN earnings call for the period ending .,2021-04-25 15:00:27+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/25/churchill-downs-inc-chdn-q1-2021-earnings-call-tra/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,103,['CHDN'],CHDN,2021-04-25
Place a bet on Las Vegas and the economic recovery with these gaming stock picks,"As COVID-19 vaccinations continue across the U.S. and all eyes turn to the reopening of sectors that have been battered by the pandemic, investors may want to place a bet on Las Vegas.",2021-05-29 21:19:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-7462-108F47CCEC42%7D&siteid=rss&rss=1,MarketWatch,0.2,0.2,positive,0.2,False,False,True,False,False,False,False,False,0.0,266,"['BALY', 'BYD', 'CHDN', 'CZR', 'MGM', 'PENN', 'RRR']",CHDN,2021-05-29
Wall Street Breakfast: AMC On Fire,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-06-03 11:23:33+00:00,https://seekingalpha.com/article/4432825-wall-street-breakfast-amc-on-fire?source=feed,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,173,"['XOM', 'FB', 'PFE', 'AAPL', 'TSLA', 'CHDN', 'TWTR', 'SNAP', 'GE', 'AMC', 'KODK', 'BB', 'KOSS', 'GME', 'WMT', 'V', 'WHR', 'VCSH', 'KMB', 'SMG', 'PG', 'COST', 'CMG']",CHDN,2021-06-03
"Benzinga's Top Ratings Upgrades, Downgrades For June 18, 2021","Upgrades

According to JP Morgan, the prior rating for Orion Engineered Carbons SA (NYSE:OEC) was changed from Neutral to Overweight. Orion Engineered Carbons earned $0.51 in the first quarter, compared to $0.44 in the year-ago quarter. The stock has a 52-week-high of $22.45 and a 52-week-low of $9.67. At the end of the last trading period, Orion Engineered Carbons closed at $18.54.
According to Macquarie, the prior rating for Turquoise Hill Resources Ltd (NYSE:TRQ) was changed from Neutral to Outperform. Turquoise Hill Resources earned $1.18 in the first quarter, compared to $0.22 in the year-ago quarter. The current stock performance of Turquoise Hill Resources shows a 52-week-high of $21.89 and a 52-week-low of $6.62. Moreover, at the end of the last trading period, the closing price was at $16.07.
According to DA Davidson, the prior rating for BancorpSouth Bank (NYSE:BXS) was changed from Neutral to Buy. For the first quarter, BancorpSouth Bank had an EPS of $0.77, compared to year-ago quarter EPS of $0.33. At the moment, the stock has a 52-week-high of $35.59 and a 52-week-low of $18.11. BancorpSouth Bank closed at $28.62 at the end of the last trading period.
For PPL Corp (NYSE:PPL), CIBC upgraded the previous rating of Neutral to Outperformer. For the first quarter, PPL had an EPS of $0.28, compared to year-ago quarter EPS of $0.67. At the moment, the stock has a 52-week-high of $30.80 and a 52-week-low of $24.20. PPL closed at $28.60 at the end of the last trading period.
According to B of A Securities, the prior rating for Prothena Corp PLC (NASDAQ:PRTA) was changed from Underperform to Neutral. For the first quarter, Prothena Corp had an EPS of $0.91, compared to year-ago quarter EPS of $0.59. The stock has a 52-week-high of $59.74 and a 52-week-low of $9.36. At the end of the last trading period, Prothena Corp closed at $57.65.
For Saia Inc (NASDAQ:SAIA), Wells Fargo upgraded the previous rating of Equal-Weight to Overweight. In the first quarter, Saia showed an EPS of $1.40, compared to $1.06 from the year-ago quarter. At the moment, the stock has a 52-week-high of $249.30 and a 52-week-low of $103.29. Saia closed at $201.89 at the end of the last trading period.
Wolfe Research upgraded the previous rating for Alaska Air Group Inc (NYSE:ALK) from Peer Perform to Outperform. In the first quarter, Alaska Air Gr showed an EPS of $3.51, compared to $0.82 from the year-ago quarter. The current stock performance of Alaska Air Gr shows a 52-week-high of $74.25 and a 52-week-low of $33.00. Moreover, at the end of the last trading period, the closing price was at $62.64.
For Delta Air Lines Inc (NYSE:DAL), Wolfe Research upgraded the previous rating of Underperform to Outperform. Delta Air Lines earned $3.55 in the first quarter, compared to $0.51 in the year-ago quarter. The current stock performance of Delta Air Lines shows a 52-week-high of $52.28 and a 52-week-low of $24.38. Moreover, at the end of the last trading period, the closing price was at $44.57.
Morgan Stanley upgraded the previous rating for Marathon Oil Corp (NYSE:MRO) from Underweight to Equal-Weight. In the first quarter, Marathon Oil showed an EPS of $0.21, compared to $0.16 from the year-ago quarter. The current stock performance of Marathon Oil shows a 52-week-high of $14.16 and a 52-week-low of $3.73. Moreover, at the end of the last trading period, the closing price was at $12.89.
For Occidental Petroleum Corp (NYSE:OXY), Morgan Stanley upgraded the previous rating of Equal-Weight to Overweight. Occidental Petroleum earned $0.15 in the first quarter, compared to $0.52 in the year-ago quarter. At the moment, the stock has a 52-week-high of $32.52 and a 52-week-low of $8.52. Occidental Petroleum closed at $28.22 at the end of the last trading period.
According to Piper Sandler, the prior rating for Biogen Inc (NASDAQ:BIIB) was changed from Neutral to Overweight. In the first quarter, Biogen showed an EPS of $5.34, compared to $9.14 from the year-ago quarter. The stock has a 52-week-high of $468.55 and a 52-week-low of $223.25. At the end of the last trading period, Biogen closed at $383.52.
According to BMO Capital, the prior rating for National Health Investors Inc (NYSE:NHI) was changed from Underperform to Market Perform. National Health Investors earned $1.24 in the first quarter, compared to $1.36 in the year-ago quarter. At the moment, the stock has a 52-week-high of $78.56 and a 52-week-low of $53.70. National Health Investors closed at $65.62 at the end of the last trading period.
For Lennar Corp (NYSE:LEN), JP Morgan upgraded the previous rating of Neutral to Overweight. Lennar earned $2.95 in the second quarter, compared to $1.65 in the year-ago quarter. The current stock performance of Lennar shows a 52-week-high of $110.61 and a 52-week-low of $57.12. Moreover, at the end of the last trading period, the closing price was at $94.65.
For Crinetics Pharmaceuticals Inc (NASDAQ:CRNX), JP Morgan upgraded the previous rating of Neutral ...Full story available on Benzinga.com",2021-06-18 16:47:25+00:00,https://www.benzinga.com/analyst-ratings/upgrades/21/06/21625730/benzingas-top-ratings-upgrades-downgrades-for-june-18-2021,Benzinga,0.032121212121212106,0.17999999999999997,neutral,0.032121212121212106,False,True,True,False,False,False,False,False,0.0,5110,"['IDN', 'MRO', 'ARGX', 'ABMD', 'NHI', 'CDLX', 'BIIB', 'OXY', 'CRNX', 'CHDN', 'PPL', 'ARCE', 'CRUS', 'RE', 'STRO', 'SAIA', 'TAL', 'FSK', 'ALK', 'XEC', 'SFTW', 'ASH', 'MTOR', 'XYL', 'CURI', 'BXS', 'CERE', 'PSFE', 'CMP', 'GSV', 'KPLT', 'CXW', 'TRQ', 'DAL', 'PRTA', 'DVN', 'OEC', 'EDU', 'RSSS', 'EQT', 'SACH', 'LEN']",CHDN,2021-06-18
"Analyst Cuts Price Targets For Wynn, Las Vegas Sands As Macau Gaming Recovery Lags","Gambling stocks have been a mixed bag for investors in 2021 given uneven trends in U.S. casino gambling, online sports betting and iGaming, as well as a sluggish recovery in the Macau, China market. On Thursday, one analyst cut price targets for two gaming leaders that are being dragged down by Macau.
The Analyst: Bank of America analyst Shaun Kelley reiterated his Buy rating for Wynn Resorts, Limited (NASDAQ: WYNN) but cut his price target from $145 to $130.
Kelley also reiterated his Neutral rating for Las Vegas Sands Corp. (NYSE: LVS) but cut his price target from $67 to $60.
Related Link: July 4 Weekend Room Rates In Las Vegas Now 50% Above Pre-Pandemic Levels 
The Thesis: Kelley said there are at least five bullish catalysts driving a better-than-expected recovery in U.S. gaming:

Strong consumer spending ...",2021-07-15 14:24:50+00:00,https://www.benzinga.com/analyst-ratings/analyst-color/21/07/21999378/analyst-cuts-price-targets-for-wynn-las-vegas-sands-as-macau-gaming-recovery-lags,Benzinga,-0.03670634920634922,0.31438492063492063,neutral,0.03670634920634922,False,True,False,False,False,False,False,False,0.0,909,"['CHDN', 'PENN', 'WYNN', 'BYD', 'LVS', 'GLPI', 'VICI']",CHDN,2021-07-15
Crocs (CROX) Queued for Q2 Earnings: Everything Worth Noting,"Crocs' (CROX) second-quarter 2021 results are likely to reflect strength in digital sales, given consumers' increased preference for online shopping.",2021-07-19 16:56:00+00:00,https://www.zacks.com/stock/news/1763697/crocs-crox-queued-for-q2-earnings-everything-worth-noting,Zacks Investment Research,0.09999999999999999,0.3666666666666667,neutral,0.09999999999999999,True,False,True,False,False,False,False,False,0.0,211,"['DECK', 'CROX', 'GIL', 'CHDN']",CHDN,2021-07-19
Churchill Downs (CHDN) Earnings Expected to Grow: Should You Buy?,Churchill Downs (CHDN) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-07-21 19:02:24+00:00,https://www.zacks.com/stock/news/1765315/churchill-downs-chdn-earnings-expected-to-grow-should-you-buy,Zacks Investment Research,0.03714285714285714,0.7871428571428571,neutral,0.03714285714285714,True,True,False,False,False,False,False,False,0.0,239,['CHDN'],CHDN,2021-07-21
Boyd Gaming (BYD) to Report Q2 Earnings: What's in the Cards?,"Boyd Gaming's (BYD) second-quarter 2021 performance is likely to have benefitted from expansions related to FanDuel, Stardust and B Connected Sports.",2021-07-22 14:36:00+00:00,https://www.zacks.com/stock/news/1765891/boyd-gaming-byd-to-report-q2-earnings-whats-in-the-cards,Zacks Investment Research,0.0,0.7,neutral,0.0,True,False,True,False,False,False,False,False,0.0,212,"['BYD', 'CHDN', 'CZR', 'GDEN']",CHDN,2021-07-22
Why I Bought This High-Growth Stock This Week,Revenue growth over 200%? Sign me up.,2021-07-23 13:00:00+00:00,https://www.fool.com/investing/2021/07/23/why-i-bought-this-high-growth-stock-this-week/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,84,"['GAN', 'WYNN', 'MGM', 'PENN', 'CHDN', 'DKNG']",CHDN,2021-07-23
Mattel (MAT) to Post Q2 Earnings: What's in the Offing?,"Soild performance of Power Brands Barbie, Fisher-Price and Thomas & Friends Brand and Hot Wheels are likely to get reflected in Mattel's (MAT) second-quarter results.",2021-07-23 14:47:00+00:00,https://www.zacks.com/stock/news/1766801/mattel-mat-to-post-q2-earnings-whats-in-the-offing,Zacks Investment Research,0.125,0.925,positive,0.125,True,False,True,False,False,False,False,False,0.0,223,"['MAT', 'CHDN', 'CZR', 'GDEN']",CHDN,2021-07-23
