date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-28,0.25,0.3536,2,0.25,0.0,2,0,0,0,0,0,0,0,153.5,CHEF
2021-04-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,75.0,CHEF
2021-07-15,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,152.0,CHEF
2021-07-21,-0.0024,,1,0.0024,0.0,1,0,0,0,1,0,0,0,278.0,CHEF
2021-07-28,0.3458,0.3343,4,0.3458,0.0,2,0,0,0,0,0,0,0,157.0,CHEF
2021-07-29,0.4333,,1,0.4333,0.0,1,0,0,0,0,0,0,0,103.0,CHEF
2021-08-12,0.2867,,1,0.2867,0.0,0,1,0,0,0,0,0,0,349.0,CHEF
2021-09-10,0.6625,,1,0.6625,0.0,0,0,0,0,1,0,1,0,672.0,CHEF
2021-10-05,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,177.0,CHEF
2021-10-06,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,462.0,CHEF
2021-10-11,0.2143,,1,0.2143,0.0,0,1,0,0,0,0,0,0,187.0,CHEF
2021-10-20,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,259.0,CHEF
2021-10-27,0.0,0.0,3,0.0,0.0,2,0,0,0,0,0,0,0,166.0,CHEF
2021-10-29,0.25,0.0,2,0.25,0.0,2,0,0,0,1,0,0,0,194.0,CHEF
2021-11-04,0.3736,0.002,2,0.3736,0.0,1,1,0,0,0,0,1,0,263.5,CHEF
2021-11-05,0.25,0.0,2,0.25,0.0,2,0,0,0,0,0,1,1,232.5,CHEF
2021-11-08,0.125,0.1768,2,0.125,0.0,1,0,0,0,1,0,0,0,271.0,CHEF
2021-11-09,0.0639,0.1435,3,0.1306,0.0,3,0,0,0,0,0,0,0,191.3333,CHEF
2021-11-10,-0.1556,,1,0.1556,0.0,1,0,0,0,0,0,0,0,247.0,CHEF
2021-11-24,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,510.0,CHEF
