date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-27,0.0,,1,0.0,0.0,0,1,1,0,0,0,0,0,130.0,CIBR
2021-05-12,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,205.0,CIBR
2021-05-19,-0.0667,,1,0.0667,0.0,0,0,1,0,0,0,0,0,181.0,CIBR
2021-05-20,0.5,,1,0.5,0.0,1,0,1,0,0,0,0,0,202.0,CIBR
2021-05-26,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,132.0,CIBR
2021-06-11,0.0333,,1,0.0333,0.0,0,0,1,0,0,0,0,0,565.0,CIBR
2021-07-07,-0.0784,0.3606,2,0.255,0.0,0,0,2,0,0,0,0,0,231.5,CIBR
2021-08-13,-0.5,,1,0.5,0.0,1,0,1,0,0,0,0,0,114.0,CIBR
2021-08-19,-0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,278.0,CIBR
2021-08-27,0.0208,,1,0.0208,0.0,0,0,1,0,0,0,0,0,181.0,CIBR
2021-09-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,44.0,CIBR
2021-09-09,0.0,,1,0.0,0.0,0,1,1,0,0,0,0,0,110.0,CIBR
2021-09-16,0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,209.0,CIBR
2021-10-11,-0.0125,,1,0.0125,0.0,0,0,0,0,0,0,0,0,208.0,CIBR
2021-10-16,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,128.0,CIBR
2021-11-18,-0.375,,1,0.375,0.0,1,0,0,0,0,0,0,0,172.0,CIBR
2021-12-10,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,150.0,CIBR
2021-12-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,78.0,CIBR
2022-01-06,-0.0409,,1,0.0409,0.0,1,0,0,0,1,0,0,0,221.0,CIBR
2022-01-11,0.1667,,1,0.1667,0.0,1,0,1,0,0,0,0,0,133.0,CIBR
2022-01-24,-0.2312,,1,0.2312,0.0,0,0,1,0,0,0,0,0,233.0,CIBR
2022-02-01,0.1667,,1,0.1667,0.0,0,0,1,0,0,0,1,0,266.0,CIBR
2022-02-04,0.0889,0.1699,2,0.1202,0.0,0,1,0,0,0,0,0,0,223.5,CIBR
2022-02-23,0.0667,,1,0.0667,0.0,0,0,1,0,0,0,0,0,725.0,CIBR
2022-02-24,-0.0312,0.0442,2,0.0312,0.0,0,0,2,0,0,0,0,0,144.5,CIBR
2022-02-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,207.0,CIBR
2022-02-28,0.25,,1,0.25,0.0,0,0,1,0,0,0,0,0,135.0,CIBR
2022-03-02,0.35,0.495,2,0.35,0.0,0,0,1,0,0,0,0,0,122.5,CIBR
2022-03-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,186.0,CIBR
2022-03-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,209.0,CIBR
2022-03-08,-0.21,,1,0.21,0.0,0,0,1,0,0,1,0,0,326.0,CIBR
2022-03-20,0.0341,,1,0.0341,0.0,0,0,1,0,0,0,0,0,235.0,CIBR
2022-03-29,0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,165.0,CIBR
2022-04-02,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,145.0,CIBR
2022-04-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,186.0,CIBR
2022-04-05,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,172.0,CIBR
2022-04-26,0.4333,,1,0.4333,0.0,0,1,0,0,0,0,0,0,170.0,CIBR
2022-05-19,0.2667,,1,0.2667,0.0,0,1,1,0,0,0,0,0,79.0,CIBR
2022-05-20,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,238.0,CIBR
2022-06-29,-0.0972,,1,0.0972,0.0,0,0,1,0,0,0,0,0,188.0,CIBR
2022-08-18,0.0,,1,0.0,0.0,1,1,0,0,0,0,0,0,203.0,CIBR
2022-10-18,0.3992,,1,0.3992,0.0,0,1,0,0,0,0,0,0,221.0,CIBR
2022-10-25,0.3111,,1,0.3111,0.0,0,0,1,0,0,0,0,0,159.0,CIBR
2022-11-03,-0.4,,1,0.4,0.0,0,0,1,0,0,0,0,0,290.0,CIBR
2022-11-05,-0.54,,1,0.54,0.0,0,0,0,0,0,0,0,0,350.0,CIBR
2022-11-08,-0.2159,0.4018,2,0.2841,0.0,0,0,0,0,0,0,0,0,113.5,CIBR
2022-11-17,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,242.0,CIBR
2022-12-03,0.125,,1,0.125,0.0,1,0,1,0,0,0,0,0,249.0,CIBR
2022-12-07,0.5,,1,0.5,0.0,1,1,1,0,0,0,0,0,185.0,CIBR
2022-12-16,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,211.0,CIBR
2023-01-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,127.0,CIBR
2023-01-14,0.1841,,1,0.1841,0.0,0,0,1,0,0,0,0,0,216.0,CIBR
2023-02-03,0.225,,1,0.225,0.0,0,0,0,0,0,0,0,0,86.0,CIBR
2023-02-16,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,229.0,CIBR
2023-02-22,0.1786,0.101,2,0.1786,0.0,0,0,2,0,0,0,0,0,248.5,CIBR
2023-02-24,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,68.0,CIBR
2023-03-01,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,185.0,CIBR
2023-03-08,-0.3889,,1,0.3889,0.0,0,0,1,0,0,0,0,0,165.0,CIBR
2023-04-05,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,213.0,CIBR
2023-04-15,-0.3,,1,0.3,0.0,0,0,1,0,0,0,0,0,229.0,CIBR
2023-04-25,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,218.0,CIBR
2023-05-04,0.1384,,1,0.1384,0.0,0,0,0,0,0,0,0,0,188.0,CIBR
2023-05-05,-0.0364,,1,0.0364,0.0,0,0,1,0,0,0,0,0,119.0,CIBR
2023-05-18,-0.0778,,1,0.0778,0.0,1,0,0,0,0,0,0,0,214.0,CIBR
2023-05-23,0.3,,1,0.3,0.0,0,0,1,0,0,0,1,0,251.0,CIBR
2023-06-21,-0.6,,1,0.6,0.0,0,0,1,0,0,0,0,0,290.0,CIBR
2023-06-26,0.1135,,1,0.1135,0.0,0,0,0,0,0,0,0,0,1142.0,CIBR
