date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-01-20,0.1571,0.1515,2,0.1571,0.0,0,2,1,0,0,0,0,0,254.5,CISO
2022-01-26,0.2333,,1,0.2333,0.0,0,0,1,0,0,0,0,0,236.0,CISO
2022-02-03,0.3,,1,0.3,0.0,0,0,1,0,0,0,0,0,181.0,CISO
2022-02-17,-0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,289.0,CISO
2022-02-23,0.0341,0.0482,2,0.0341,0.0,0,0,2,0,0,0,1,0,308.0,CISO
2022-02-25,0.1875,,1,0.1875,0.0,0,1,0,0,0,0,0,0,256.0,CISO
2022-02-28,0.1489,,1,0.1489,0.2,0,0,1,0,0,0,0,0,763.0,CISO
2022-03-08,0.125,,1,0.125,0.0,0,0,1,0,0,0,0,0,295.0,CISO
2022-03-14,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,323.0,CISO
2022-03-18,0.08,,1,0.08,0.0,0,0,1,0,0,0,1,0,402.0,CISO
2022-03-21,0.2673,,1,0.2673,0.0,0,0,1,0,0,0,0,0,226.0,CISO
2022-03-28,-0.0694,0.1846,2,0.1306,0.0,0,0,2,0,0,0,1,0,372.0,CISO
2022-04-18,0.0411,,1,0.0411,0.0,0,0,1,0,1,0,0,0,606.0,CISO
2022-05-12,0.0,,1,0.0,0.0,0,0,1,0,0,0,1,0,546.0,CISO
2022-05-19,0.0,,1,0.0,0.0,0,0,1,0,0,0,1,0,439.0,CISO
2022-05-26,0.4733,,1,0.4733,0.0,0,0,0,0,0,0,1,0,594.0,CISO
2022-06-02,-0.2,,1,0.2,0.0,0,1,1,0,0,0,1,0,276.0,CISO
2022-06-15,0.2,,1,0.2,0.0,0,0,1,0,0,0,0,0,489.0,CISO
2022-07-06,-0.2,,1,0.2,0.0,0,1,1,0,0,0,0,0,237.0,CISO
2022-08-08,-0.2,,1,0.2,0.0,0,0,1,0,0,0,0,0,184.0,CISO
2022-08-29,-0.2,,1,0.2,0.0,0,1,1,0,0,0,0,0,185.0,CISO
2022-08-30,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,431.0,CISO
2022-09-06,0.0,,1,0.0,0.0,0,1,1,0,0,0,0,0,198.0,CISO
2022-09-09,-0.0667,,1,0.0667,0.0,0,1,1,0,0,0,0,1,200.0,CISO
2022-09-23,0.1656,,1,0.1656,0.0,0,1,1,0,0,1,1,0,3353.0,CISO
2022-10-21,0.0196,,1,0.0196,0.0,0,1,1,0,0,0,0,0,6644.0,CISO
2022-12-22,0.0545,,1,0.0545,0.0,0,0,1,0,0,0,0,0,266.0,CISO
2023-01-10,-0.2,,1,0.2,0.0,0,1,1,0,0,0,0,0,186.0,CISO
2023-01-12,0.2089,,1,0.2089,0.0,0,1,1,0,0,0,0,0,699.0,CISO
2023-01-23,0.16,,1,0.16,0.0,0,1,1,0,0,0,0,0,728.0,CISO
2023-01-31,0.0637,0.1843,2,0.1303,0.0,1,1,2,1,0,0,0,0,503.5,CISO
2023-02-09,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,267.0,CISO
2023-02-13,-0.1324,,1,0.1324,0.0,0,0,1,0,0,0,0,0,836.0,CISO
2023-02-14,0.1827,0.1281,2,0.1827,0.0,0,2,1,0,1,0,0,0,1656.5,CISO
2023-02-15,0.0611,,1,0.0611,0.0,1,1,1,0,0,1,0,0,2342.0,CISO
2023-02-16,-0.0074,,1,0.0074,0.0,0,0,1,0,0,0,1,0,783.0,CISO
2023-02-17,0.2117,,1,0.2117,0.0,1,0,1,1,0,1,0,0,1967.0,CISO
2023-03-01,0.1124,,1,0.1124,0.0,0,1,1,0,0,0,0,0,924.0,CISO
