date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2023-06-05,0.2043,0.0334,3,0.2043,0.0,1,2,2,0,0,1,0,1,1594.3333,CJET
2023-06-06,0.0938,0.0767,3,0.0938,0.0,2,2,2,1,1,1,0,0,1373.6667,CJET
2023-06-07,0.1535,0.091,4,0.1535,0.0,3,2,1,0,2,0,1,0,1484.75,CJET
2023-06-08,-0.0844,,1,0.0844,0.0,1,0,0,0,0,0,1,0,649.0,CJET
2023-06-12,0.192,0.2274,2,0.192,0.0,1,2,0,0,1,0,0,0,1149.0,CJET
2023-06-13,0.0917,,1,0.0917,0.0,1,0,0,0,0,0,0,0,646.0,CJET
2023-06-16,0.0179,,1,0.0179,0.0,1,1,0,0,0,0,0,0,775.0,CJET
2023-06-21,0.1367,,1,0.1367,0.0,0,0,0,0,0,0,1,0,1622.0,CJET
2023-06-27,0.0208,,1,0.0208,0.0,1,0,1,0,0,0,0,0,592.0,CJET
2023-06-30,0.0436,,1,0.0436,0.0,1,0,0,0,0,0,0,0,442.0,CJET
2023-07-13,0.045,,1,0.045,0.0,1,0,0,0,0,0,0,0,496.0,CJET
2023-07-14,0.1175,0.0098,3,0.1175,0.0,2,2,1,0,0,0,0,0,1400.3333,CJET
2023-07-16,0.3839,,1,0.3839,0.0,0,1,0,0,0,0,0,0,251.0,CJET
2023-07-17,0.1471,0.0933,3,0.1471,0.0,1,3,0,0,0,0,1,0,1185.6667,CJET
2023-08-01,0.2066,,1,0.2066,0.0,1,1,1,0,1,0,0,1,2555.0,CJET
2023-09-29,0.1465,,1,0.1465,0.0,0,0,1,0,0,0,0,0,567.0,CJET
2023-10-16,0.2372,,1,0.2372,0.0,0,0,0,0,0,0,0,0,436.0,CJET
2023-10-19,0.0828,0.0685,2,0.0828,0.0,2,0,1,0,0,0,1,0,1552.0,CJET
2023-11-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,258.0,CJET
2023-12-04,0.0341,,1,0.0341,0.0,0,0,0,0,0,0,0,0,454.0,CJET
2023-12-06,0.0086,,1,0.0086,0.0,1,1,1,0,0,1,0,0,1966.0,CJET
2023-12-12,0.149,,1,0.149,0.0,1,1,1,0,0,0,0,0,1028.0,CJET
2024-01-16,0.1705,,1,0.1705,0.0,0,0,1,0,1,0,0,0,621.0,CJET
2024-03-06,0.1278,,1,0.1278,0.0,0,0,0,0,0,0,0,0,629.0,CJET
2024-03-18,0.1167,0.0176,2,0.1167,0.0,1,2,1,0,1,1,0,0,1725.0,CJET
2024-03-19,0.159,0.1012,2,0.159,0.0,1,2,0,2,0,0,0,0,1845.0,CJET
2024-03-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,230.0,CJET
2024-05-28,0.1786,,1,0.1786,0.0,0,0,0,0,0,0,0,0,218.0,CJET
2024-06-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,266.0,CJET
2024-06-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,218.0,CJET
2024-06-28,0.05,,1,0.05,0.0,0,0,0,0,0,1,0,0,224.0,CJET
2024-07-03,0.0682,,1,0.0682,0.0,0,0,0,0,0,1,0,0,278.0,CJET
2024-07-24,0.0336,,1,0.0336,0.0,1,0,0,0,0,0,0,0,305.0,CJET
2024-09-20,-0.0499,,1,0.0499,0.0,0,0,0,0,0,0,1,0,438.0,CJET
