date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-24,0.1923,,1,0.1923,0.0,0,0,0,0,0,0,0,0,143.0,CMPS
2021-04-26,0.0988,0.019,2,0.0988,0.0,0,0,2,0,2,0,1,0,2235.0,CMPS
2021-04-27,0.1782,0.0476,3,0.1782,0.0,1,1,1,0,0,0,1,2,1809.0,CMPS
2021-04-28,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,581.0,CMPS
2021-04-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,236.0,CMPS
2021-05-04,0.1408,,1,0.1408,0.0,0,1,0,1,1,0,0,1,2423.0,CMPS
2021-05-11,0.1759,,1,0.1759,0.2,0,0,0,0,0,0,0,1,2084.0,CMPS
2021-05-14,0.0473,0.0668,2,0.0473,0.0,2,0,0,0,1,0,1,0,486.0,CMPS
2021-05-17,0.1139,,1,0.1139,0.0,1,1,1,1,1,0,0,0,2113.0,CMPS
2021-05-25,0.2167,0.0471,2,0.2167,0.0,0,1,0,0,0,0,0,0,215.0,CMPS
2021-05-26,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,206.0,CMPS
2021-05-27,0.2553,0.0558,2,0.2553,0.0,0,0,0,0,2,0,1,2,2481.0,CMPS
2021-05-28,0.2003,,1,0.2003,0.0,0,0,0,0,1,0,1,1,1826.0,CMPS
2021-06-07,0.0534,,1,0.0534,0.0,0,0,1,0,1,0,0,0,1851.0,CMPS
2021-06-08,0.2557,,1,0.2557,0.0,0,0,0,0,0,0,0,1,1718.0,CMPS
2021-06-18,-0.02,,1,0.02,0.0,0,0,1,0,0,0,0,0,657.0,CMPS
2021-06-21,0.0895,,1,0.0895,0.0,1,0,1,0,1,0,0,0,1402.0,CMPS
2021-06-28,-0.0325,,1,0.0325,0.0,1,0,0,0,0,0,0,0,956.0,CMPS
2021-06-29,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,581.0,CMPS
2021-06-30,0.3947,0.149,2,0.3947,0.0,1,2,1,0,1,0,0,0,1545.0,CMPS
2021-07-02,-0.015,,1,0.015,0.0,0,1,1,0,1,0,0,0,2615.0,CMPS
2021-07-20,0.0088,,1,0.0088,0.0,0,0,0,0,0,0,0,0,200.0,CMPS
2021-07-23,0.0826,,1,0.0826,0.0,0,0,1,0,0,0,0,0,843.0,CMPS
2021-08-03,0.026,0.0368,2,0.026,0.0,1,0,1,0,0,0,0,1,1506.5,CMPS
2021-08-04,-0.0286,,1,0.0286,0.0,0,0,1,0,1,0,0,0,450.0,CMPS
2021-08-05,0.1739,,1,0.1739,0.0,0,0,1,0,1,0,1,0,2628.0,CMPS
2021-08-11,-0.0286,,1,0.0286,0.0,0,0,1,0,1,0,0,0,424.0,CMPS
2021-08-12,0.0406,0.0575,2,0.0406,0.0,1,0,1,0,1,0,0,0,492.5,CMPS
2021-08-14,0.1973,,1,0.1973,0.0,0,1,0,0,0,0,0,0,125.0,CMPS
2021-08-18,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,200.0,CMPS
2021-08-26,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,121.0,CMPS
2021-09-05,0.1078,0.1304,2,0.1078,0.0,0,0,1,0,0,0,0,0,204.5,CMPS
2021-09-07,0.1917,0.2455,4,0.2417,0.0,0,0,0,0,1,0,1,0,259.5,CMPS
2021-09-10,0.0414,,1,0.0414,0.0,0,0,0,0,1,0,0,0,649.0,CMPS
2021-09-13,0.0853,,1,0.0853,0.2,0,0,1,0,0,0,1,0,3552.0,CMPS
2021-09-20,-0.1037,0.2776,2,0.1963,0.0,0,0,1,0,1,0,1,0,1737.5,CMPS
2021-09-21,-0.1,,1,0.1,0.0,0,0,0,0,1,0,1,0,384.0,CMPS
2021-09-22,0.1411,,1,0.1411,0.2,1,0,1,0,1,0,1,1,3138.0,CMPS
2021-09-24,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,122.0,CMPS
2021-09-29,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,151.0,CMPS
2021-10-05,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,165.0,CMPS
2021-10-12,-0.0545,,1,0.0545,0.0,0,0,0,0,1,0,0,0,235.0,CMPS
2021-10-13,0.0407,,1,0.0407,0.0,0,0,1,0,1,0,0,0,861.0,CMPS
2021-10-19,0.0838,,1,0.0838,0.0,0,0,0,0,1,0,0,0,763.0,CMPS
2021-10-22,-0.1556,,1,0.1556,0.0,0,0,0,0,0,0,0,0,112.0,CMPS
2021-10-26,0.0471,0.0666,2,0.0471,0.0,0,0,1,1,1,0,0,1,1324.0,CMPS
2021-11-03,-0.0667,,1,0.0667,0.0,0,0,0,0,1,0,0,0,709.0,CMPS
2021-11-04,0.0504,,1,0.0504,0.0,0,0,0,0,1,0,0,0,831.0,CMPS
2021-11-08,0.159,,1,0.159,0.0,0,0,1,0,1,0,1,0,2098.0,CMPS
2021-11-09,0.1745,0.2848,3,0.1935,0.0667,0,0,0,0,1,0,0,0,305.0,CMPS
2021-11-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,122.0,CMPS
2021-11-11,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,122.0,CMPS
2021-11-12,0.1136,,1,0.1136,0.0,0,0,0,0,0,0,0,0,136.0,CMPS
2021-11-13,0.2565,,1,0.2565,0.0,0,1,0,0,0,0,0,0,188.0,CMPS
2021-11-21,0.3333,,1,0.3333,0.0,0,1,0,0,0,0,0,0,149.0,CMPS
2021-11-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,99.0,CMPS
2021-11-28,-0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,119.0,CMPS
2021-11-29,0.0703,,1,0.0703,0.0,0,1,0,0,0,0,0,0,1342.0,CMPS
2021-11-30,-0.1,,1,0.1,0.0,0,0,0,0,1,0,1,0,392.0,CMPS
2021-12-01,0.1414,0.0143,2,0.1414,0.1,0,0,1,0,1,0,0,0,633.0,CMPS
