title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Comtech (CMTL) Unit Wins $2M Deal From Military System Integrator,"Comtech (CMTL) subsidiary, Comtech Xicom Technology, clinches a $2 million order from an unnamed military system integrator for the supply of Ka-band high power traveling wave tube amplifiers.",2021-05-18 13:45:00+00:00,http://www.zacks.com/stock/news/1571048/comtech-cmtl-unit-wins-%242m-deal-from-military-system-integrator?cid=CS-ZC-FT-analyst_blog|company_news_tech_sector-1571048,Zacks Investment Research,0.065,0.235,neutral,0.065,False,False,False,False,False,False,False,False,0.0,259,"['MSI', 'AVNW', 'CMTL', 'CLFD']",CMTL,2021-05-18
Comtech Telecommunication (CMTL) Q3 2021 Earnings Call Transcript,"CMTL earnings call for the period ending March 31, 2021.",2021-06-09 21:00:58+00:00,https://www.fool.com/earnings/call-transcripts/2021/06/09/comtech-telecommunication-cmtl-q3-2021-earnings-ca/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,123,['CMTL'],CMTL,2021-06-09
New Strong Sell Stocks for June 21st,"ASTE, CMTL, EBMT, MRNS and WRE have been added to the Zacks Rank #5 (Strong Sell) List on June 21, 2021.",2021-06-21 13:04:00+00:00,https://www.zacks.com/stock/news/1741893/new-strong-sell-stocks-for-june-21st,Zacks Investment Research,0.04060606060606057,0.5642424242424242,neutral,0.04060606060606057,False,False,False,False,False,False,False,False,0.0,142,"['ASTE', 'WRE', 'CMTL', 'EBMT', 'MRNS']",CMTL,2021-06-21
Comtech Telecommunications (CMTL),Comtech Telecommunications (CMTL),2021-06-22 10:30:00+00:00,https://www.zacks.com/commentary/1742867/bear-of-the-day-comtech-telecommunications-cmtl,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,68,"['CMTL', 'CLFD']",CMTL,2021-06-22
"Camping World, Comtech Telecommunications, Chuy's Holdings, Texas Roadhouse and Ruth's Hospitality highlighted as Zacks Bull and Bear of the Day","Camping World, Comtech Telecommunications, Chuy's Holdings, Texas Roadhouse and Ruth's Hospitality highlighted as Zacks Bull and Bear of the Day",2021-06-22 10:56:00+00:00,https://www.zacks.com/stock/news/1746617/camping-world-comtech-telecommunications-chuys-holdings-texas-roadhouse-and-ruths-hospitality-highlighted-as-zacks-bull-and-bear-of-the-day,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,290,"['TXRH', 'RUTH', 'CWH', 'CMTL', 'CHUY']",CMTL,2021-06-22
New Strong Sell Stocks for June 25th,"CVGW, KDNY, CMTL, GPL and TVTX have been added to the Zacks Rank #5 (Strong Sell) List on June 25, 2021.",2021-06-25 13:04:00+00:00,https://www.zacks.com/stock/news/1754158/new-strong-sell-stocks-for-june-25th,Zacks Investment Research,0.05075757575757571,0.7053030303030303,neutral,0.05075757575757571,False,False,False,False,False,False,False,False,0.0,142,"['CMTL', 'GPL', 'CVGW', 'KDNY', 'TVTX']",CMTL,2021-06-25
New Strong Sell Stocks for July 12th,"ACCD, CMTL, HEXO, NTRB, and GP have been added to the Zacks Rank #5 (Strong Sell) List on July 12, 2021",2021-07-12 12:20:00+00:00,https://www.zacks.com/stock/news/1760177/new-strong-sell-stocks-for-july-12th,Zacks Investment Research,0.05075757575757571,0.7053030303030303,neutral,0.05075757575757571,False,False,False,False,False,False,False,False,0.0,141,"['CMTL', 'GP', 'HEXO', 'ACCD']",CMTL,2021-07-12
Comtech (CMTL) Unit Secures $1.7 Million Contract for COMET,Comtech's (CMTL) troposcatter products are increasingly becoming popular among the U.S. and foreign military forces owing to high data rate transmission and reduced operating expenditure.,2021-08-17 12:38:00+00:00,https://www.zacks.com/stock/news/1782735/comtech-cmtl-unit-secures-17-million-contract-for-comet,Zacks Investment Research,0.197,0.503,positive,0.197,False,False,True,False,True,False,False,False,0.0,248,"['QCOM', 'JNPR', 'CMTL', 'CLFD']",CMTL,2021-08-17
"5 Stocks To Watch For October 4, 2021","Some of the stocks that may grab investor focus today are:

Wall Street expects  Comtech Telecomm. Corp. (NASDAQ: CMTL) to report quarterly earnings at $0.24 per share on revenue of $149.66 million after the closing bell. Comtech Telecomm shares gained 2.2% to close at $26.16 on Friday.
Tesla, Inc.  (NASDAQ: TSLA) reported strong third-quarter deliveries that beat expectations of most analysts. The company reported quarterly ...",2021-10-04 09:19:39+00:00,https://www.benzinga.com/news/earnings/21/10/23212102/5-stocks-to-watch-for-october-4-2021,Benzinga,0.4666666666666667,0.6166666666666667,positive,0.4666666666666667,True,False,False,False,False,False,False,False,0.0,471,"['AAPL', 'CMTL', 'D', 'SWX', 'TSLA']",CMTL,2021-10-04
A Peek Into The Markets: US Stock Futures Edge Lower Following Friday's Rally,"Pre-open movers
U.S. stock futures traded lower in early pre-market trade after the Dow Jones climbed more than 480 points in the previous session. Investors are awaiting earnings results from  Comtech Telecomm. Corp. (NASDAQ: CMTL).
Data on factory orders for August will be released at 10:00 a.m. ET. Analysts expect factory orders increasing 1.0% in August. Federal Reserve Bank of St. Louis President James Bullard is set to speak at 10:00 a.m. ET, while Federal Reserve Bank of Boston President Eric Rosengren will speak at 10:00 a.m. ET.
Futures for the Dow Jones Industrial Average dipped 50 points to 34,117.00 while the Standard & Poor’s 500 index futures slipped 8.75 points to 4,335.00. Futures for the Nasdaq 100 index fell 46.75 points to 14,715.00.
The U.S. has the highest number of COVID-19 cases and deaths in the world, with total infections in the country exceeding 43,683,070 with around 701,170 deaths. ...",2021-10-04 10:28:15+00:00,https://www.benzinga.com/news/earnings/21/10/23212891/a-peek-into-the-markets-us-stock-futures-edge-lower-following-fridays-rally,Benzinga,-0.014583333333333337,0.3520833333333333,neutral,0.014583333333333337,True,False,False,False,True,False,False,False,0.0,1006,"['AAPL', 'AMZN', 'CMTL', 'D', 'SWX', 'UNP', 'TSLA']",CMTL,2021-10-04
