date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,244.0,COOP
2021-04-30,0.0375,0.053,2,0.0375,0.0,1,0,0,0,0,1,0,0,413.5,COOP
2021-05-17,-0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,153.0,COOP
2021-05-25,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,121.0,COOP
2021-05-30,-0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,166.0,COOP
2021-06-01,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,1,193.0,COOP
2021-06-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,181.0,COOP
2021-06-24,-0.0833,,1,0.0833,0.0,0,0,0,0,0,0,0,0,174.0,COOP
2021-07-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,232.0,COOP
2021-07-16,0.05,,1,0.05,0.0,1,0,1,0,0,0,0,0,169.0,COOP
2021-07-22,0.0726,,1,0.0726,0.0,1,0,0,0,0,0,0,0,248.0,COOP
2021-07-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,235.0,COOP
2021-07-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,117.0,COOP
2021-08-25,-0.35,,1,0.35,0.0,0,0,0,0,0,0,0,1,255.0,COOP
2021-09-03,0.0938,,1,0.0938,0.0,1,0,0,0,0,0,0,0,197.0,COOP
2021-09-17,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,166.0,COOP
2021-09-20,0.2867,,1,0.2867,0.0,0,0,0,0,0,0,0,0,337.0,COOP
2021-10-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,243.0,COOP
2021-10-12,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,111.0,COOP
2021-10-21,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,240.0,COOP
2021-10-28,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,248.0,COOP
2021-10-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,122.0,COOP
2021-11-18,-0.3889,,1,0.3889,0.0,0,0,0,0,0,0,0,0,160.0,COOP
2021-12-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,COOP
2021-12-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,214.0,COOP
2021-12-21,-0.0389,,1,0.0389,0.0,0,0,0,0,0,0,0,0,232.0,COOP
2021-12-30,0.1633,0.1744,2,0.1633,0.0,0,0,0,0,0,0,0,0,266.5,COOP
2022-01-04,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,228.0,COOP
2022-01-24,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,215.0,COOP
2022-02-04,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,240.0,COOP
2022-02-11,0.1824,0.2101,3,0.1824,0.0,3,0,0,1,0,0,0,0,289.0,COOP
2022-02-12,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,122.0,COOP
2022-02-24,0.3111,,1,0.3111,0.0,0,0,0,0,0,0,0,0,92.0,COOP
2022-02-28,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,99.0,COOP
2022-03-01,-0.2143,,1,0.2143,0.0,0,0,0,0,0,0,0,0,142.0,COOP
