date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-26,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,249.0,CORT
2021-05-05,-0.0843,0.2126,3,0.1676,0.0,2,1,0,0,0,0,0,0,188.0,CORT
2021-05-06,0.0375,0.053,2,0.0375,0.0,2,0,0,0,0,0,0,0,203.0,CORT
2021-05-07,0.0917,0.1377,3,0.0917,0.0,3,0,0,0,0,0,0,0,156.0,CORT
2021-05-10,0.0,,1,0.0,0.0,1,0,0,0,0,1,0,0,186.0,CORT
2021-05-14,0.1917,,1,0.1917,0.0,0,0,0,0,0,0,0,0,254.0,CORT
2021-07-15,0.0,0.0,2,0.0,0.0,0,1,0,0,1,0,0,0,247.0,CORT
2021-07-21,0.35,,1,0.35,0.0,0,0,1,0,0,0,0,0,187.0,CORT
2021-07-22,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,441.0,CORT
2021-07-27,0.2143,0.303,2,0.2143,0.0,1,0,0,0,0,0,0,0,132.5,CORT
2021-07-29,0.0242,0.0342,2,0.0242,0.0,1,0,1,0,1,0,1,0,2041.5,CORT
2021-07-30,0.0,0.0,2,0.0,0.0,2,0,1,0,0,0,0,0,164.0,CORT
2021-08-12,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,486.0,CORT
2021-09-09,0.0758,,1,0.0758,0.0,0,0,0,0,0,0,0,0,839.0,CORT
2021-09-10,0.0383,,1,0.0383,0.0,0,0,1,0,0,0,0,1,2185.0,CORT
2021-09-17,0.0758,,1,0.0758,0.0,0,0,0,0,0,0,0,0,752.0,CORT
2021-10-26,0.0371,,1,0.0371,0.0,1,0,0,0,1,0,0,0,259.0,CORT
2021-10-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,442.0,CORT
2021-10-31,0.0921,,1,0.0921,0.0,1,0,1,0,0,0,0,0,4171.0,CORT
2021-11-03,0.1273,0.1251,3,0.1273,0.0,2,0,1,0,1,1,1,0,802.6667,CORT
2021-11-04,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,173.0,CORT
2021-12-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,184.0,CORT
2021-12-08,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,120.0,CORT
2021-12-10,-0.7,,1,0.7,0.0,0,0,0,0,0,0,0,0,141.0,CORT
2021-12-20,-0.12,,1,0.12,0.0,0,0,0,0,0,0,0,0,781.0,CORT
2021-12-24,-0.0762,,1,0.0762,0.0,0,1,0,0,0,0,0,0,138.0,CORT
2022-01-05,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,108.0,CORT
2022-01-06,0.2068,,1,0.2068,0.0,1,0,0,0,0,0,0,0,363.0,CORT
2022-01-28,0.0006,,1,0.0006,0.0,0,1,1,0,0,0,0,0,6875.0,CORT
2022-02-02,-0.0194,,1,0.0194,0.0,0,1,1,0,0,0,0,0,4613.0,CORT
2022-02-03,0.1837,,1,0.1837,0.0,1,0,0,0,0,0,0,0,250.0,CORT
2022-02-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,483.0,CORT
2022-02-11,0.2273,,1,0.2273,0.0,1,0,0,0,0,0,0,0,201.0,CORT
2022-02-15,0.0288,0.0499,3,0.0288,0.0,1,0,1,0,0,0,0,0,824.6667,CORT
2022-02-16,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,140.5,CORT
2022-02-23,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,152.0,CORT
2022-03-17,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,194.0,CORT
2022-03-22,0.3,,1,0.3,0.0,0,0,1,0,0,0,0,0,262.0,CORT
2022-03-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,622.0,CORT
2022-03-31,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,231.0,CORT
2022-04-04,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,224.0,CORT
2022-04-05,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,258.0,CORT
2022-04-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,219.0,CORT
2022-04-27,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,103.0,CORT
2022-05-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,255.0,CORT
2022-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,255.0,CORT
2022-05-06,-0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,153.0,CORT
