date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-04-27,0.75,,1,0.75,0.0,0,1,0,0,0,0,0,0,291.0,COSM
2022-07-01,0.2058,,1,0.2058,0.0,0,1,0,0,0,0,1,1,1887.0,COSM
2022-07-05,0.1941,,1,0.1941,0.0,0,1,0,0,0,0,1,0,2523.0,COSM
2022-07-12,0.1274,,1,0.1274,0.0,0,1,1,0,0,1,0,1,2426.0,COSM
2022-07-13,0.1271,,1,0.1271,0.0,1,1,1,0,0,1,0,1,3565.0,COSM
2022-08-24,0.2665,,1,0.2665,0.0,1,1,1,0,1,0,1,0,1931.0,COSM
2022-08-25,0.2554,0.1064,4,0.2554,0.0,4,3,4,0,4,0,1,1,2146.75,COSM
2022-08-26,0.17,,1,0.17,0.0,1,1,1,1,1,0,0,1,2929.0,COSM
2022-09-14,0.2267,,1,0.2267,0.0,1,1,1,0,1,1,0,0,3027.0,COSM
2022-09-20,0.0715,,1,0.0715,0.0,1,1,0,0,1,0,0,0,1806.0,COSM
2022-09-21,0.1203,,1,0.1203,0.0,1,1,0,0,1,0,1,0,2937.0,COSM
2022-09-22,0.1808,,1,0.1808,0.0,0,0,0,0,0,0,0,0,2069.0,COSM
2022-09-23,0.1656,,1,0.1656,0.0,0,1,1,0,0,1,1,0,3353.0,COSM
2022-10-18,0.3466,0.1458,3,0.3466,0.0,0,3,3,0,1,0,1,0,1366.3333,COSM
2022-10-19,0.1479,,1,0.1479,0.0,1,1,1,0,1,0,1,0,2303.0,COSM
2022-10-20,0.4839,,1,0.4839,0.0,0,1,0,0,0,0,0,0,257.0,COSM
2022-10-25,0.1192,,1,0.1192,0.0,0,1,0,0,0,0,1,0,944.0,COSM
2022-10-26,0.3143,0.1068,3,0.3143,0.0,0,3,0,0,0,1,2,0,1130.6667,COSM
2022-10-27,0.3006,0.1642,2,0.3006,0.0,0,2,0,0,0,1,1,0,1365.0,COSM
2022-11-11,0.211,0.1489,4,0.211,0.0,2,2,0,1,1,3,1,1,2186.5,COSM
2022-11-14,0.1686,0.1012,3,0.1686,0.0,2,3,1,1,1,0,0,0,2048.0,COSM
2022-11-15,0.2032,0.0663,2,0.2032,0.0,1,2,1,0,1,0,0,0,1723.0,COSM
2022-11-17,0.2702,,1,0.2702,0.0,0,1,0,0,0,0,0,0,246.0,COSM
2022-11-20,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,239.0,COSM
2022-11-21,0.2634,0.1419,2,0.2634,0.0,1,2,1,0,2,0,0,0,1499.0,COSM
2022-11-22,0.2628,0.1376,6,0.2628,0.0,4,5,5,0,0,0,3,0,1421.0,COSM
2022-11-23,0.1931,0.0927,5,0.1931,0.0,4,3,1,0,0,0,2,0,1286.2,COSM
2022-11-25,0.1544,0.175,3,0.1544,0.0,2,2,1,0,0,0,1,0,839.0,COSM
2022-11-26,0.2679,,1,0.2679,0.0,0,1,0,0,0,0,0,0,250.0,COSM
2022-11-28,0.0792,0.0755,3,0.0792,0.0,2,1,1,0,0,0,1,0,1401.0,COSM
2022-11-29,0.2603,0.2307,5,0.2603,0.0,3,3,1,0,0,1,2,0,882.0,COSM
2022-11-30,0.2268,0.1235,2,0.2268,0.0,2,0,0,0,0,0,0,0,1873.5,COSM
2022-12-01,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,61.0,COSM
2022-12-02,0.7,,1,0.7,0.0,0,1,0,0,0,0,0,0,173.0,COSM
2022-12-04,0.2679,,1,0.2679,0.0,0,1,0,0,0,0,0,0,266.0,COSM
2022-12-05,0.1766,0.1322,4,0.1766,0.0,3,1,0,0,1,1,1,0,1173.25,COSM
2022-12-06,0.1895,0.2851,3,0.2561,0.0,1,1,0,1,0,0,0,0,1138.3333,COSM
2022-12-07,0.2705,0.3143,2,0.2705,0.0,1,0,0,0,1,0,0,0,1760.0,COSM
2022-12-08,0.2607,0.1006,2,0.2607,0.0,2,1,1,1,0,2,0,0,1616.0,COSM
2022-12-11,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,261.0,COSM
2022-12-12,0.1945,,1,0.1945,0.0,0,0,0,0,0,0,0,0,247.0,COSM
2022-12-15,0.2449,,1,0.2449,0.0,1,0,0,0,0,0,0,0,1569.0,COSM
2022-12-16,0.2607,0.1354,3,0.2607,0.0,2,3,1,0,0,0,0,0,1399.0,COSM
2022-12-17,-0.05,,1,0.05,0.0,0,0,0,0,0,1,0,0,217.0,COSM
2022-12-19,0.3167,0.418,5,0.3434,0.0,2,2,0,0,0,3,2,0,1111.4,COSM
2022-12-20,0.1504,0.0701,2,0.1504,0.0,0,1,1,0,0,0,0,0,1380.5,COSM
2022-12-21,0.2026,0.1659,3,0.2026,0.0,1,1,2,0,0,0,0,0,1315.3333,COSM
2022-12-22,0.6333,,1,0.6333,0.0,0,0,1,0,0,0,0,0,268.0,COSM
2022-12-27,0.2198,0.1706,3,0.2198,0.0,0,0,1,0,1,0,0,0,1611.6667,COSM
2022-12-28,0.2677,0.0993,2,0.2677,0.0,0,1,2,0,0,0,0,0,1489.0,COSM
2023-01-03,0.1239,0.0676,4,0.1239,0.0,1,3,3,0,1,2,1,1,1558.5,COSM
2023-01-11,0.2646,,1,0.2646,0.0,0,1,0,0,0,0,0,0,210.0,COSM
2023-01-20,0.0995,0.0848,2,0.0995,0.0,2,0,1,0,0,1,0,2,1608.0,COSM
2023-01-23,0.2099,0.137,3,0.2099,0.0,1,1,2,0,0,0,2,2,1519.6667,COSM
2023-02-08,0.1861,,1,0.1861,0.0,0,0,1,0,0,0,0,0,275.0,COSM
2023-02-09,0.0703,0.1011,3,0.0881,0.0,0,1,0,0,0,0,0,0,233.6667,COSM
2023-04-11,0.2617,,1,0.2617,0.0,0,1,0,0,0,0,0,0,728.0,COSM
2023-04-27,0.15,,1,0.15,0.0,0,1,0,0,0,0,0,0,210.0,COSM
2023-07-20,0.2759,0.1897,2,0.2759,0.0,1,1,2,0,0,0,0,0,1531.0,COSM
2023-07-25,0.0938,,1,0.0938,0.0,0,1,0,0,0,0,1,0,727.0,COSM
2023-07-27,0.2159,,1,0.2159,0.0,1,1,1,0,0,0,0,0,928.0,COSM
2023-10-13,0.1773,,1,0.1773,0.0,0,1,0,0,0,0,1,0,726.0,COSM
2024-02-22,0.0771,,1,0.0771,0.0,1,1,0,0,0,0,0,0,833.0,COSM
2024-05-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,275.0,COSM
2024-05-13,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,278.0,COSM
2024-05-14,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,262.0,COSM
2024-05-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,243.0,COSM
2024-07-09,0.0,,1,0.0,0.0,0,0,1,0,1,0,0,0,498.0,COSM
2024-07-18,0.0682,,1,0.0682,0.0,0,0,1,0,1,0,0,0,284.0,COSM
2024-09-16,0.08,,1,0.08,0.0,0,0,0,0,0,0,0,0,449.0,COSM
