title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Benzinga's Top Ratings Upgrades, Downgrades For January 26, 2023","Upgrades
According to Tigress Financial, the prior rating for Walmart Inc (NYSE:WMT) was changed from Neutral to Buy. In the third quarter, Walmart showed an EPS of $1.50, compared to $1.45 from the year-ago quarter. The current stock performance of Walmart shows a 52-week-high of $160.77 and a 52-week-low of $117.27. Moreover, at the end of the last trading period, the closing price was at $142.34.   
For Norfolk Southern Corp (NYSE:NSC), Deutsche Bank upgraded the previous rating of Hold to Buy. For the fourth quarter, Norfolk Southern had an EPS of $3.42, compared to year-ago quarter EPS of $3.12. At the moment, the stock has a 52-week-high of $291.55 and a 52-week-low of $203.65. Norfolk Southern closed at $242.97 at the end of the last trading period.   
For FibroGen Inc (NASDAQ:FGEN), Raymond James upgraded the previous rating of Market Perform to Outperform. In the third quarter, FibroGen showed an EPS of $0.98, compared to $0.54 from the year-ago quarter. The stock has a 52-week-high of $21.30 and a 52-week-low of $7.81. At the end of the last trading period, FibroGen closed at $20.65.   
See all analyst ratings upgrades.
Downgrades
Compass Point downgraded the previous rating for Blue Foundry Bancorp (NASDAQ:BLFY) from Buy to Neutral. Blue Foundry earned $0.02 in the fourth quarter, compared to $0.65 in the year-ago quarter. The current stock performance of Blue Foundry shows a 52-week-high of $14.89 and a 52-week-low of $11.01. Moreover, at the end of the last trading period, the closing price was at $12.40.   
According to Northcoast Research, the prior rating for ManpowerGroup Inc (NYSE:MAN) was changed from Buy to Neutral. ManpowerGroup earned $2.21 in the third quarter, compared to $1.93 in the year-ago quarter. The stock has a 52-week-high of $115.54 and a 52-week-low of $64.00. At the end of the last trading period, ManpowerGroup closed at $88.61.   
According to Keefe, Bruyette & Woods, the prior rating for Popular Inc (NASDAQ:BPOP) was changed from Outperform to Market Perform. Popular earned $2.62 in the fourth quarter, compared to $2.58 in the year-ago quarter. The current stock performance of Popular shows a 52-week-high of $95.28 and a 52-week-low of $62.55. Moreover, at the end of the last trading period, the closing price was at $66.16.   
According to Janney Montgomery Scott, the prior rating for LendingClub Corp (NYSE:LC) was changed from Buy to Neutral. LendingClub earned $0.19 in the fourth quarter, compared to $0.27 in the year-ago quarter. At the moment, the stock has a 52-week-high of $23.84 and a 52-week-low of $8.23. LendingClub closed at $10.34 at the end of the last trading period.   
For Magenta Therapeutics Inc (NASDAQ:MGTA), Cowen & Co. downgraded the previous rating of Outperform to Market Perform. For the third quarter, Magenta Therapeutics had an EPS of $0.27, compared to year-ago quarter EPS of $0.30. At the moment, the stock has a 52-week-high of $3.62 and a 52-week-low of $0.32. Magenta Therapeutics closed at $0.49 at the end of the last trading period.   
For Prosperity Bancshares Inc (NYSE:PB), Janney Montgomery Scott downgraded the previous rating of Buy to Neutral. Prosperity Bancshares earned $1.51 in the fourth quarter, compared to $1.38 in the year-ago quarter. The current stock performance of Prosperity Bancshares shows a 52-week-high of $77.93 and a 52-week-low of $64.69. Moreover, at the end of the last trading period, the closing price was at $75.58.   
According to Deutsche Bank, the prior rating for Union Pacific Corp (NYSE:UNP) was changed from Buy to Hold. Union Pacific earned $2.67 in the fourth quarter, compared to $2.66 in the year-ago quarter. The stock has a 52-week-high of $278.94 and a 52-week-low of $183.70. At the end of the last trading period, Union Pacific closed at $200.12.   
According to Janney Montgomery Scott, the prior rating for UMB Financial Corp (NASDAQ:UMBF) ...Full story available on Benzinga.com",2023-01-26 15:00:36+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/01/30586904/benzingas-top-ratings-upgrades-downgrades-for-january-26-2023,Benzinga,0.023456790123456788,0.14074074074074075,neutral,0.023456790123456788,False,True,False,False,False,False,False,False,0.0,4015,"['PFE', 'RBLX', 'UNP', 'EVGO', 'WMT', 'BLFY', 'BPOP', 'H', 'TCBP', 'DXCM', 'NEE', 'VVX', 'EXEL', 'PB', 'COYA', 'NDAQ', 'PB', 'PODD', 'FROG', 'TNDM', 'TTMI', 'FROG', 'UMBF', 'MTCH', 'VSAT', 'DYN', 'ALB', 'TNDM', 'CRI', 'LC', 'DYN', 'FGEN', 'MAN', 'MGTA', 'NSC', 'DDOG']",COYA,2023-01-26
"COYA, Dr. Reddy's Sign Deal for Proposed Abatacept Biosimilar",COYA and Dr. Reddy's enter into a license agreement where the latter will source proposed biosimilar of abatacept biosimilar to Coya to develop and commercialize COYA 302.,2023-03-21 15:24:00+00:00,https://www.zacks.com/stock/news/2068596/coya-dr-reddys-sign-deal-for-proposed-abatacept-biosimilar,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,234,"['RDY', 'APTX', 'ANVS', 'COYA']",COYA,2023-03-21
"Benzinga's Top Ratings Upgrades, Downgrades For May 3, 2023","Upgrades
For The Trade Desk Inc (NASDAQ:TTD), Vertical Research upgraded the previous rating of Neutral to Positive. Trade Desk earned $0.38 in the fourth quarter, compared to $0.42 in the year-ago quarter. The current stock performance of Trade Desk shows a 52-week-high of $76.74 and a 52-week-low of $39.01. Moreover, at the end of the last trading period, the closing price was at $62.58.   
For LeMaitre Vascular Inc (NASDAQ:LMAT), Barrington Research upgraded the previous rating of Market Perform to Outperform. LeMaitre Vascular earned $0.27 in the first quarter, compared to $0.27 in the year-ago quarter. The current stock performance of LeMaitre Vascular shows a 52-week-high of $56.38 and a 52-week-low of $38.32. Moreover, at the end of the last trading period, the closing price was at $54.75.   
For Zimmer Biomet Holdings Inc (NYSE:ZBH), B of A Securities upgraded the previous rating of Underperform to Neutral. For the first quarter, Zimmer Biomet Holdings had an EPS of $1.89, compared to year-ago quarter EPS of $1.61. The current stock performance of Zimmer Biomet Holdings shows a 52-week-high of $149.25 and a 52-week-low of $100.41. Moreover, at the end of the last trading period, the closing price was at $143.01.   
Bernstein upgraded the previous rating for Marriott International Inc (NASDAQ:MAR) from Market Perform to Outperform. For the first quarter, Marriott Intl had an EPS of $2.09, compared to year-ago quarter EPS of $1.25. The stock has a 52-week-high of $183.33 and a 52-week-low of $131.02. At the end of the last trading period, Marriott Intl closed at $178.61.   
B of A Securities upgraded the previous rating for CNA Financial Corp (NYSE:CNA) from Underperform to Neutral. For the first quarter, CNA Financial had an EPS of $1.19, compared to year-ago quarter EPS of $1.16. At the moment, the stock has a 52-week-high of $47.51 and a 52-week-low of $35.92. CNA Financial closed at $39.28 at the end of the last trading period.   
B of A Securities upgraded the previous rating for Cogent Communications Holdings Inc (NASDAQ:CCOI) from Underperform to Buy. Cogent Comms Hldgs earned $0.02 in the fourth quarter, compared to $0.39 in the year-ago quarter. At the moment, the stock has a 52-week-high of $71.32 and a 52-week-low of $46.88. Cogent Comms Hldgs closed at $68.13 at the end of the last trading period.   
Craig-Hallum upgraded the previous rating for Advanced Micro Devices Inc (NASDAQ:AMD) from Hold to Buy. Advanced Micro Devices earned $0.60 in the first quarter, compared to $1.13 in the year-ago quarter. The current stock performance of Advanced Micro Devices shows a 52-week-high of $109.57 and a 52-week-low of $54.58. Moreover, at the end of the last trading period, the closing price was at $89.91.   
According to Susquehanna, the prior rating for Uber Technologies Inc (NYSE:UBER) was changed from Neutral to Positive. Uber Technologies earned $0.08 in the first quarter, compared to $0.18 in the year-ago quarter. The current stock performance of Uber Technologies shows a 52-week-high of $37.58 and a 52-week-low of $19.90. Moreover, at the end of the last trading period, the closing price was at $36.52.   
For Chewy Inc (NYSE:CHWY), Raymond James upgraded the previous rating of Market Perform to Outperform. Chewy earned $0.01 in the fourth quarter, compared to $0.16 in the year-ago quarter. The current stock performance of Chewy shows a 52-week-high of $52.88 and a 52-week-low of $22.23. Moreover, at the end of the last trading period, the closing price was at $31.10.   
Wolfe Research upgraded the previous rating for Prosperity Bancshares Inc (NYSE:PB) from Underperform to Outperform. In the first quarter, Prosperity Bancshares showed an EPS of $1.37, compared to $1.33 from the year-ago quarter. The stock has a 52-week-high of $78.76 and a 52-week-low of $58.21. At the end of the last trading period, Prosperity Bancshares closed at $59.14.   
For E2open Parent Holdings Inc (NYSE:ETWO), Credit Suisse upgraded the previous rating of Underperform to Neutral. For ...Full story available on Benzinga.com",2023-05-03 15:00:39+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/05/32189972/benzingas-top-ratings-upgrades-downgrades-for-may-3-2023,Benzinga,0.04303613053613055,0.21649184149184142,neutral,0.04303613053613055,False,True,True,False,False,False,False,False,0.0,4149,"['PB', 'COYA', 'PB', 'NRDS', 'CCOI', 'CLAR', 'GSAT', 'PINC', 'LMAT', 'VNOM', 'LOGI', 'AEYE', 'OTTR', 'NGM', 'RUTH', 'AMD', 'UBER', 'BZ', 'ZBH', 'CMA', 'TTD', 'CMI', 'ISEE', 'CNA', 'CHWY', 'MAR', 'ETWO', 'TAP', 'FIGS', 'TRI', 'WFRD']",COYA,2023-05-03
"Here's Why Momentum in Coya Therapeutics, Inc. (COYA) Should Keep going","If you are looking for stocks that are well positioned to maintain their recent uptrend, Coya Therapeutics, Inc. (COYA) could be a great choice. It is one of the several stocks that passed through our ""Recent Price Strength"" screen.",2023-05-16 12:50:05+00:00,https://www.zacks.com/stock/news/2095686/heres-why-momentum-in-coya-therapeutics-inc-coya-should-keep-going,Zacks Investment Research,0.2,0.3125,positive,0.2,False,False,False,False,False,False,False,False,0.0,305,['COYA'],COYA,2023-05-16
"Benzinga's Top Ratings Upgrades, Downgrades For May 18, 2023","Upgrades
According to CIBC, the prior rating for BlackBerry Ltd (NYSE:BB) was changed from Underperformer to Neutral. In the fourth quarter, BlackBerry showed an EPS of $0.02, compared to $0.01 from the year-ago quarter. The stock has a 52-week-high of $7.20 and a 52-week-low of $3.17. At the end of the last trading period, BlackBerry closed at $5.38.   
Evercore ISI Group upgraded the previous rating for Teva Pharmaceutical Industries Ltd (NYSE:TEVA) from In-Line to Outperform. In the first quarter, Teva Pharmaceutical Indus showed an EPS of $0.40, compared to $0.55 from the year-ago quarter. The current stock performance of Teva Pharmaceutical Indus shows a 52-week-high of $11.45 and a 52-week-low of $6.78. Moreover, at the end of the last trading period, the closing price was at $8.13.   
According to B of A Securities, the prior rating for Cincinnati Financial Corp (NASDAQ:CINF) was changed from Neutral to Buy. Cincinnati Financial earned $0.89 in the first quarter, compared to $1.58 in the year-ago quarter. The current stock performance of Cincinnati Financial shows a 52-week-high of $130.66 and a 52-week-low of $88.67. Moreover, at the end of the last trading period, the closing price was at $102.69.   
According to UBS, the prior rating for Albemarle Corp (NYSE:ALB) was changed from Neutral to Buy. For the first quarter, Albemarle had an EPS of $10.32, compared to year-ago quarter EPS of $2.38. At the moment, the stock has a 52-week-high of $334.20 and a 52-week-low of $171.82. Albemarle closed at $207.99 at the end of the last trading period.   
BTIG upgraded the previous rating for Dynatrace Inc (NYSE:DT) from Neutral to Buy. Dynatrace earned $0.31 in the fourth quarter, compared to $0.17 in the year-ago quarter. The stock has a 52-week-high of $48.00 and a 52-week-low of $31.55. At the end of the last trading period, Dynatrace closed at $47.07.   
According to Mizuho, the prior rating for WEC Energy Group Inc (NYSE:WEC) was changed from Neutral to Buy. WEC Energy Group earned $1.61 in the first quarter, compared to $1.79 in the year-ago quarter. At the moment, the stock has a 52-week-high of $108.39 and a 52-week-low of $80.91. WEC Energy Group closed at $89.27 at the end of the last trading period.   
For Rambus Inc (NASDAQ:RMBS), Jefferies upgraded the previous rating of Hold to Buy. Rambus earned $0.03 in the first quarter, compared to $0.01 in the year-ago quarter. At the moment, the stock has a 52-week-high of $54.23 and a 52-week-low of $20.00. Rambus closed at $53.55 at the end of the last trading period.   
According to Citigroup, the prior rating for Tencent Music Entertainment Group (NYSE:TME) was changed from Neutral to Buy. Tencent Music Enter Gr earned $0.13 in the first quarter, compared to $0.09 in the year-ago quarter. The stock has a 52-week-high of $9.29 and a 52-week-low of $3.15. At the end of the last trading period, Tencent Music Enter Gr closed at $8.31.   
Roth Capital upgraded the previous rating for Snap-on Inc (NYSE:SNA) from Neutral to Buy. Snap-on earned $4.60 in the first quarter, compared to $4.00 in the year-ago quarter. The stock has a 52-week-high of $265.02 and a 52-week-low of $190.37. At the end of the last trading period, Snap-on closed at $257.53.   
According to National Bank Financial Inc, the prior rating for Ritchie Bros Auctioneers Inc (NYSE:RBA) was changed from Sector Perform to Outperform. In the first quarter, Ritchie Bros Auctioneers showed an EPS of $0.57, compared to $0.46 from the year-ago quarter. At the moment, the stock has a 52-week-high of $72.68 and a 52-week-low of $48.75. Ritchie Bros Auctioneers closed at $51.85 at the end of the last trading period.   
See all analyst ratings upgrades.
Downgrades
For XP Inc (NASDAQ:XP), Banco Bradesco BBI S.A downgraded the previous rating of Outperform to Neutral. XP earned $0.28 in the first quarter, compared to $0.28 in the year-ago quarter. At the moment, the stock has a 52-week-high of $25.18 and a 52-week-low of $10.30. ...Full story available on Benzinga.com",2023-05-18 15:00:40+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/05/32468753/benzingas-top-ratings-upgrades-downgrades-for-may-18-2023,Benzinga,0.03159722222222223,0.1458333333333333,neutral,0.03159722222222223,False,True,True,False,False,False,False,False,0.0,4105,"['WEC', 'BRZE', 'AMRS', 'ACLX', 'ARRY', 'BB', 'GNLX', 'CINF', 'ICPT', 'COYA', 'RMBS', 'VRNS', 'SIGI', 'NTNX', 'TEVA', 'FUTU', 'WOLF', 'XP', 'ALB', 'ABOS', 'DT', 'TME', 'MMP', 'WTRG', 'NU', 'PLRX', 'PG', 'LTRN', 'RBA', 'TARS', 'SNA', 'NGMS', 'THG', 'MYPS']",COYA,2023-05-18
Why Bluejay Diagnostics Shares Are Trading Lower By 12%; Here Are 20 Stocks Moving Premarket,"Gainers

Visionary Education Technology Holdings Group Inc.  (NASDAQ: VEDU) shares rose 85.8% to $0.7985 in pre-market trading.
Chijet Motor Company, Inc. (NASDAQ: TTOO) shares surged 51.3% to $0.1060 in pre-market trading after dipping around 31% on Monday. T2 Biosystems reported submission for the FDA breakthrough device designation for candida auris diagnostic test.
Secoo Holding Limited  (NASDAQ: SECO) gained 35.8% to $1.100 in pre-market trading.
Zura Bio Limited (NASDAQ: ZURA) shares gained 35.4% to $8.79 in pre-market trading after the company completed approximately $80 million financing with the focus on advancing ZB-106, a potential first-in-class anti-IL-17 and anti-BAFF dual antagonist.
Greenlane Holdings, Inc. (NASDAQ: GNLN) gained 29.5% to $0.36 in pre-market trading. Greenlane reported effectiveness of previously announced reverse stock split.
GitLab Inc. (NASDAQ: GTLB) shares rose 27.6% to $45.18 in pre-market trading following better-than-expected first-quarter results.
Regional Health Properties, Inc. (NYSE: RHE) shares climbed ...",2023-06-06 12:36:13+00:00,https://www.benzinga.com/news/23/06/32735888/why-bluejay-diagnostics-shares-are-trading-lower-by-12-here-are-20-stocks-moving-premarket,Benzinga,0.061309523809523814,0.5065476190476189,neutral,0.061309523809523814,False,False,True,False,False,True,False,False,0.0,1159,"['KTTA', 'GTLB', 'BJDX', 'ACMR', 'VEDU', 'UK', 'COYA', 'SEV', 'ZURA', 'VIEW', 'MREO', 'TTOO', 'HTGM', 'SECO', 'RHE', 'GNLN', 'TMBR', 'AYRO', 'BVS', 'AGRI']",COYA,2023-06-06
Marsh & McLennan To Rally Around 14%? Here Are 10 Other Analyst Forecasts For Thursday,"Raymond James cut the price target for  Brinker International, Inc.  (NYSE: EAT) from $46 to $42.5. Raymond James analyst Brian Vaccaro maintained an Outperform rating. Brinker shares fell 6.3% to close at $36.39 on Tuesday.
Telsey Advisory Group lowered the price target for  Oxford Industries, Inc.  (NYSE: OXM) from $125 to $115. Telsey Advisory Group analyst Dana Telsey maintained a Market Perform rating. Oxford Industries shares fell 5.8% to $101.00 in pre-market trading.
Morgan Stanley cut the price target for  Carrier Global Corporation  (NYSE: CARR) from $49 to $47. Morgan Stanley analyst Betsy Graseck downgraded the stock from Overweight to Equal-Weight. Carrier Global shares fell 3.3% to $44.11 in pre-market trading.
Jefferies slashed  Wynn Resorts, Limited  (NASDAQ: WYNN) price target from $135 ...",2023-06-08 12:31:33+00:00,https://www.benzinga.com/news/23/06/32776878/marsh-mclennan-to-rally-around-14-here-are-10-other-analyst-forecasts-for-thursday,Benzinga,-0.039285714285714285,0.10357142857142856,neutral,0.039285714285714285,False,False,True,False,False,False,False,False,0.0,906,"['WYNN', 'EAT', 'HCP', 'MMC', 'OXM', 'FICO', 'EPAM', 'OLLI', 'CARR', 'CURV', 'COYA']",COYA,2023-06-08
The Latest Analyst Ratings for Coya Therapeutics,"Coya Therapeutics (NASDAQ:COYA) has observed the following analyst ratings within the last quarter: 




Bullish
Somewhat Bullish
Indifferent
Somewhat Bearish
Bearish




Total Ratings
9
0
0
0
0


Last 30D
1
0
0
0
0


1M Ago
5
0
0
0
0


2M Ago
1
0
0
0
0


3M Ago
2
0
0
0
0



These 9 analysts have an average price target of $18.33 versus the current price of Coya Therapeutics at $4.715, implying  upside.
Below is a summary of how these 9 analysts rated Coya Therapeutics over ...Full story available on Benzinga.com",2023-06-08 16:00:55+00:00,https://www.benzinga.com/analyst-ratings/23/06/32782442/the-latest-analyst-ratings-for-coya-therapeutics,Benzinga,0.09375,0.38541666666666663,neutral,0.09375,False,False,False,False,False,False,False,False,0.0,568,['COYA'],COYA,2023-06-08
Analyst Expectations for Coya Therapeutics's Future,"Within the last quarter, Coya Therapeutics (NASDAQ:COYA) has observed the following analyst ratings: 




Bullish
Somewhat Bullish
Indifferent
Somewhat Bearish
Bearish




Total Ratings
8
0
0
0
0


Last 30D
1
0
0
0
0


1M Ago
0
0
0
0
0


2M Ago
3
0
0
0
0


3M Ago
4
0
0
0
0



According to 8 analyst offering 12-month price targets in the last 3 months, Coya Therapeutics has an average price target of $19.75 with a high of $28.00 and a low of $9.00. 
Below is a summary of how these ...Full story available on Benzinga.com",2023-07-17 21:00:15+00:00,https://www.benzinga.com/analyst-ratings/23/07/33256981/analyst-expectations-for-coya-therapeuticss-future,Benzinga,0.041,0.2815,neutral,0.041,False,False,False,False,False,False,False,False,0.0,577,['COYA'],COYA,2023-07-17
Rare Stock Picks In August 2023 - From 34 Discerning Analysts,We've compiled a list of August investment picks that you may have missed. Some Seeking Alpha analysts are more discerning by nature. See their Buy recommendations here.,2023-09-03 14:30:00+00:00,https://seekingalpha.com/article/4632762-draft-rare-stock-picks-in-august-2023-from-discerning-analysts,Seeking Alpha,0.4,0.7,positive,0.4,False,True,False,False,False,False,False,False,0.0,232,"['FSI', 'BDTX', 'TDOC', 'LEVI', 'VTR', 'NVDA', 'EXPI', 'AZO', 'CFG', 'FOUR', 'MSGS', 'VTS', 'ATUS', 'HSY', 'GSM', 'X', 'TPYP', 'TACT', 'MP', 'CRM', 'ARLO', 'LOW', 'PYPL', 'NDLS', 'PH', 'SMIN', 'DCTH', 'HOOD', 'COYA', 'CHWY']",COYA,2023-09-03
